date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,0.0,1.75,1.75,1.75,1.75
2000-01-04,25000.0,1.625,1.75,1.625,1.625
2000-01-05,0.0,1.625,1.625,1.625,1.625
2000-01-06,25000.0,1.875,1.875,1.625,1.5
2000-01-07,25000.0,1.875,2.0,1.875,1.625
2000-01-10,50000.0,3.0,3.6563,2.1875,2.1875
2000-01-11,50000.0,3.0,3.375,3.0,2.9063
2000-01-12,125000.0,3.4688,3.5625,3.0625,3.0
2000-01-13,125000.0,4.0,4.5,3.875,3.875
2000-01-14,50000.0,4.0,4.25,3.9688,3.9688
2000-01-18,25000.0,3.9688,4.0625,3.9688,3.875
2000-01-19,25000.0,3.9375,4.0,3.9688,3.9375
2000-01-20,0.0,3.9375,4.0,4.0,3.9375
2000-01-21,75000.0,4.4688,4.75,3.9375,3.9375
2000-01-24,100000.0,5.875,6.625,5.0,4.9688
2000-01-25,50000.0,5.0,5.8125,5.8125,4.75
2000-01-26,25000.0,4.75,5.0,4.5938,4.25
2000-01-27,75000.0,5.5,5.625,5.0,5.0
2000-01-28,75000.0,5.75,5.75,5.5,5.3125
2000-01-31,25000.0,5.3125,5.75,5.75,5.25
2000-02-01,25000.0,4.875,5.0625,5.0,4.875
2000-02-02,25000.0,4.8125,5.1875,4.9375,4.6875
2000-02-03,0.0,4.9375,5.0,4.875,4.8125
2000-02-04,0.0,4.875,5.0,4.7813,4.6563
2000-02-07,25000.0,5.125,5.1875,5.0,4.875
2000-02-08,0.0,5.0,5.125,5.125,4.6875
2000-02-09,25000.0,5.0313,5.0313,5.0,4.875
2000-02-10,25000.0,5.1875,5.1875,5.0313,4.9688
2000-02-11,125000.0,6.625,6.875,5.375,5.125
2000-02-14,50000.0,5.6875,6.875,6.5,5.6875
2000-02-15,25000.0,5.5,5.9375,5.9375,5.4063
2000-02-16,50000.0,5.75,5.75,5.375,5.0
2000-02-17,300000.0,7.4375,8.0,5.5625,5.5625
2000-02-18,75000.0,8.25,8.875,7.75,7.4375
2000-02-22,25000.0,9.125,9.125,8.625,8.125
2000-02-23,25000.0,9.0,9.5,9.0,8.5
2000-02-24,0.0,9.0,9.25,9.0,8.75
2000-02-25,50000.0,8.9375,9.125,8.75,8.75
2000-02-28,50000.0,7.75,8.75,8.375,7.5
2000-02-29,50000.0,7.5,8.125,7.625,7.5
2000-03-01,50000.0,8.0,8.5,8.125,8.0
2000-03-02,75000.0,9.5625,9.875,8.875,8.875
2000-03-03,75000.0,12.0,13.0,9.4063,9.375
2000-03-06,50000.0,13.875,14.0,14.0,12.6875
2000-03-07,25000.0,12.625,15.0,14.9844,12.5625
2000-03-08,50000.0,10.125,13.0313,12.875,9.5
2000-03-09,50000.0,12.875,13.25,10.625,10.625
2000-03-10,25000.0,11.5,13.0,13.0,11.5
2000-03-13,50000.0,11.0313,11.5625,11.125,10.9375
2000-03-14,100000.0,11.0,11.5,11.2188,10.9375
2000-03-15,50000.0,8.0,10.625,10.625,8.0
2000-03-16,25000.0,8.0625,8.875,8.875,7.625
2000-03-17,25000.0,8.0,8.25,8.0625,7.625
2000-03-20,0.0,7.5,8.0,8.0,7.5
2000-03-21,25000.0,6.75,7.5,7.5,6.5
2000-03-22,75000.0,6.5,6.5,6.25,5.25
2000-03-23,25000.0,6.625,6.625,6.375,6.0
2000-03-24,25000.0,7.0,7.0,6.5625,6.5
2000-03-27,75000.0,8.0,8.4375,7.0625,7.0
2000-03-28,25000.0,7.25,8.5625,8.5625,7.25
2000-03-29,25000.0,6.75,7.875,7.875,6.75
2000-03-30,25000.0,7.125,7.4375,7.0,7.0
2000-03-31,25000.0,6.9375,7.25,7.125,6.9375
2000-04-03,100000.0,7.25,7.625,7.0625,7.0625
2000-04-04,25000.0,7.0,7.6875,7.625,6.875
2000-04-05,0.0,6.875,7.125,7.125,6.875
2000-04-06,0.0,7.25,7.25,6.9375,6.875
2000-04-07,0.0,7.3125,7.375,7.375,7.25
2000-04-10,25000.0,7.25,7.625,7.5,7.25
2000-04-11,0.0,6.875,7.125,7.125,6.8125
2000-04-12,25000.0,6.25,6.6875,6.6875,6.25
2000-04-13,0.0,6.0,6.125,6.125,6.0
2000-04-14,0.0,5.75,6.0,5.875,5.75
2000-04-17,50000.0,4.9375,5.75,5.625,4.875
2000-04-18,25000.0,5.1875,5.25,4.875,4.75
2000-04-19,0.0,5.375,5.375,5.125,5.0
2000-04-20,0.0,5.25,5.25,5.25,5.125
2000-04-24,0.0,5.1875,5.1875,5.125,5.0
2000-04-25,0.0,4.9375,5.0625,5.0625,4.875
2000-04-26,0.0,4.75,4.8125,4.8125,4.75
2000-04-27,0.0,4.75,4.8125,4.8125,4.75
2000-04-28,25000.0,4.5625,4.75,4.75,4.5
2000-05-01,0.0,4.625,4.625,4.625,4.5
2000-05-02,0.0,4.625,4.625,4.625,4.625
2000-05-03,0.0,4.4375,4.5,4.375,4.375
2000-05-04,25000.0,5.1875,5.375,4.5625,4.5625
2000-05-05,0.0,5.25,5.25,5.25,5.125
2000-05-08,0.0,5.25,5.375,5.375,5.125
2000-05-09,0.0,5.125,5.125,5.125,5.125
2000-05-10,0.0,4.875,5.0,5.0,4.875
2000-05-11,25000.0,5.0,5.375,5.0,5.0
2000-05-12,0.0,4.75,4.875,4.875,4.75
2000-05-15,50000.0,4.25,4.625,4.625,4.25
2000-05-16,0.0,4.3125,4.3125,4.25,4.25
2000-05-17,125000.0,3.75,4.5,4.4375,3.75
2000-05-18,150000.0,3.25,3.75,3.75,3.0
2000-05-19,50000.0,3.25,3.25,3.125,3.0
2000-05-22,25000.0,3.625,3.625,3.375,3.25
2000-05-23,0.0,3.75,3.875,3.875,3.75
2000-05-24,25000.0,3.75,4.0,4.0,3.4375
2000-05-25,50000.0,3.5,3.75,3.4375,3.4375
2000-05-26,0.0,3.5,3.625,3.625,3.5
2000-05-30,25000.0,3.375,3.5,3.5,3.375
2000-05-31,25000.0,3.3125,3.375,3.375,3.3125
2000-06-01,50000.0,3.375,3.4375,3.375,3.375
2000-06-02,50000.0,3.625,3.625,3.375,3.375
2000-06-05,25000.0,3.875,4.0,3.75,3.75
2000-06-06,25000.0,4.5,4.5,3.875,3.875
2000-06-07,50000.0,4.25,4.625,4.625,4.125
2000-06-08,25000.0,4.0,4.25,4.25,4.0
2000-06-09,25000.0,4.0,4.0,3.875,3.75
2000-06-12,0.0,3.875,3.875,3.875,3.875
2000-06-13,0.0,3.75,4.0,4.0,3.75
2000-06-14,50000.0,3.5,3.875,3.875,3.5
2000-06-15,0.0,3.5,3.625,3.625,3.25
2000-06-16,50000.0,3.125,3.5,3.5,3.125
2000-06-19,0.0,3.125,3.1875,3.0,3.0
2000-06-20,25000.0,3.0,3.125,3.0625,3.0
2000-06-21,150000.0,3.375,3.5,3.0,3.0
2000-06-22,50000.0,3.25,3.5,3.375,3.25
2000-06-23,50000.0,3.25,3.5,3.375,3.25
2000-06-26,25000.0,3.5625,3.5625,3.375,3.25
2000-06-27,150000.0,3.25,3.5,3.4375,3.0
2000-06-28,100000.0,3.375,3.375,3.375,3.25
2000-06-29,150000.0,3.25,3.375,3.375,3.0
2000-06-30,100000.0,3.5,3.75,3.3125,3.3125
2000-07-03,50000.0,3.5,3.625,3.625,3.4375
2000-07-05,50000.0,3.625,3.625,3.5,3.375
2000-07-06,425000.0,4.25,4.5,3.75,3.625
2000-07-07,150000.0,4.8125,5.1875,4.25,4.125
2000-07-10,125000.0,4.6875,5.0,4.8125,4.5625
2000-07-11,75000.0,4.375,4.875,4.75,4.3125
2000-07-12,175000.0,4.1875,4.5,4.375,4.0
2000-07-13,75000.0,4.25,4.25,4.25,4.125
2000-07-14,25000.0,4.1875,4.375,4.25,4.1875
2000-07-17,25000.0,4.1875,4.3125,4.25,4.125
2000-07-18,100000.0,4.0,4.125,4.125,3.9375
2000-07-19,75000.0,3.625,4.0,4.0,3.625
2000-07-20,150000.0,4.0,4.0625,3.625,3.625
2000-07-21,50000.0,4.0,4.0,4.0,3.875
2000-07-24,25000.0,3.75,4.0,4.0,3.625
2000-07-25,100000.0,3.75,3.875,3.875,3.625
2000-07-26,25000.0,3.75,3.75,3.5625,3.5625
2000-07-27,25000.0,3.5,3.75,3.6875,3.5
2000-07-28,50000.0,3.4375,3.625,3.625,3.375
2000-07-31,25000.0,3.125,3.4375,3.4375,3.125
2000-08-01,25000.0,3.125,3.25,3.125,3.0625
2000-08-02,25000.0,3.125,3.375,3.25,3.125
2000-08-03,50000.0,2.9375,3.25,3.125,2.9375
2000-08-04,25000.0,3.0625,3.125,3.0,3.0
2000-08-07,25000.0,3.0625,3.0625,3.0,2.875
2000-08-08,50000.0,2.9375,3.125,3.0,2.9375
2000-08-09,75000.0,3.0625,3.125,3.0,2.9375
2000-08-10,0.0,3.0,3.0,3.0,3.0
2000-08-11,0.0,2.9375,3.0,3.0,2.9375
2000-08-14,25000.0,2.875,3.0,2.9375,2.875
2000-08-15,75000.0,2.6875,2.875,2.875,2.625
2000-08-16,25000.0,2.6875,2.8125,2.8125,2.6875
