date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,92800.0,36.5,37.31,37.03,36.5
2000-01-04,17200.0,35.63,37.0,37.0,34.0
2000-01-05,61400.0,36.13,36.38,34.13,33.88
2000-01-06,42100.0,36.06,36.13,35.25,35.25
2000-01-07,34500.0,35.88,36.5,36.0,35.13
2000-01-10,141300.0,41.0,41.0,36.13,35.63
2000-01-11,53600.0,39.63,40.88,40.25,38.5
2000-01-12,40200.0,39.19,40.63,40.63,38.63
2000-01-13,50800.0,42.0,42.88,38.5,38.5
2000-01-14,62500.0,42.75,44.88,42.88,42.5
2000-01-18,107200.0,52.0,52.0,45.0,45.0
2000-01-19,52600.0,48.75,52.0,51.5,47.31
2000-01-20,26700.0,47.0,48.88,47.06,46.94
2000-01-21,299300.0,58.88,60.25,47.0,47.0
2000-01-24,292800.0,62.75,65.0,60.25,59.88
2000-01-25,171400.0,57.5,64.5,63.0,56.5
2000-01-26,50400.0,57.75,59.75,59.75,57.5
2000-01-27,77500.0,58.0,58.88,58.5,57.0
2000-01-28,54500.0,58.88,59.0,58.0,58.0
2000-01-31,136600.0,58.5,59.0,58.63,47.63
2000-02-01,60300.0,57.5,58.13,55.5,55.5
2000-02-02,26000.0,56.25,58.0,57.06,55.25
2000-02-03,84600.0,53.5,55.88,55.88,50.0
2000-02-04,25100.0,55.13,57.0,53.75,53.75
2000-02-07,71000.0,59.13,62.75,60.38,56.88
2000-02-08,16600.0,56.75,59.13,58.38,56.69
2000-02-09,15400.0,54.75,59.38,59.19,52.25
2000-02-10,26100.0,58.88,60.44,57.81,57.81
2000-02-11,19700.0,59.0,59.13,58.13,56.88
2000-02-14,10100.0,58.5,59.88,59.0,57.75
2000-02-15,98000.0,65.0,65.13,58.5,58.5
2000-02-16,129400.0,70.75,74.13,65.0,64.5
2000-02-17,189000.0,82.63,82.75,70.06,69.88
2000-02-18,185600.0,81.5,82.25,80.56,76.75
2000-02-22,109000.0,73.88,81.0,78.5,72.38
2000-02-23,64700.0,71.11,74.13,73.88,70.75
2000-02-24,39700.0,71.25,72.75,71.0,70.75
2000-02-25,94100.0,75.25,80.25,72.88,72.63
2000-02-28,116500.0,74.0,75.38,75.0,71.25
2000-02-29,242500.0,73.94,82.0,75.0,73.0
2000-03-01,1620300.0,67.25,69.94,68.13,66.06
2000-03-02,145800.0,64.63,68.25,68.13,64.5
2000-03-03,282500.0,67.75,68.75,66.75,65.5
2000-03-06,170900.0,68.13,68.13,67.88,67.5
2000-03-07,187500.0,64.25,68.0,68.0,64.0
2000-03-08,305200.0,59.0,65.75,65.69,57.88
2000-03-09,377600.0,61.25,61.25,59.5,59.25
2000-03-10,158100.0,61.5,64.0,61.5,61.5
2000-03-13,99100.0,56.63,62.0,62.0,53.0
2000-03-14,183400.0,52.69,57.88,57.88,50.75
2000-03-15,165600.0,45.75,53.25,52.75,43.88
2000-03-16,126100.0,46.0,51.13,49.63,45.5
2000-03-17,111800.0,51.5,54.0,48.25,47.0
2000-03-20,62800.0,46.0,54.63,51.56,46.0
2000-03-21,91200.0,48.5,48.5,45.63,41.63
2000-03-22,114100.0,54.25,55.5,53.25,48.94
2000-03-23,65600.0,50.63,56.0,54.38,50.0
2000-03-24,40700.0,48.12,51.12,51.0,48.12
2000-03-27,55900.0,45.13,49.06,49.06,44.25
2000-03-28,45100.0,46.0,50.13,46.5,44.63
2000-03-29,42800.0,43.94,47.25,46.63,43.0
2000-03-30,189700.0,38.13,43.5,42.5,37.44
2000-03-31,87600.0,40.5,40.88,40.25,36.88
2000-04-03,104100.0,38.25,40.88,39.5,37.0
2000-04-04,218600.0,37.38,39.25,38.31,31.75
2000-04-05,80300.0,36.25,37.25,37.25,34.75
2000-04-06,190200.0,41.5,43.5,37.25,36.75
2000-04-07,26200.0,40.0,43.25,41.63,39.0
2000-04-10,38700.0,40.25,42.5,41.75,40.0
2000-04-11,71700.0,38.88,40.38,40.38,37.0
2000-04-12,59900.0,33.5,38.88,38.88,32.88
2000-04-13,99100.0,33.13,34.69,34.0,31.02
2000-04-14,124500.0,30.0,32.63,32.63,28.38
2000-04-17,90100.0,27.75,33.25,29.25,25.25
2000-04-18,76800.0,32.06,33.31,30.53,28.0
2000-04-19,59200.0,33.5,35.06,32.06,31.88
2000-04-20,36900.0,35.44,35.88,34.5,34.06
2000-04-24,18000.0,33.88,34.94,34.13,33.75
2000-04-25,37400.0,33.63,34.0,33.31,31.75
2000-04-26,32600.0,34.75,35.38,34.0,32.44
2000-04-27,20700.0,34.0,34.88,33.38,32.75
2000-04-28,41000.0,37.13,38.5,34.5,33.0
2000-05-01,35900.0,34.69,37.88,36.06,34.63
2000-05-02,62900.0,34.75,35.88,35.88,33.88
2000-05-03,58400.0,35.25,35.75,35.0,34.75
2000-05-04,37800.0,39.25,40.13,35.25,35.25
2000-05-05,53300.0,42.88,45.0,38.63,38.63
2000-05-08,31200.0,43.75,44.0,42.38,41.0
2000-05-09,38700.0,41.0,43.81,42.88,41.0
2000-05-10,37000.0,40.25,41.98,41.5,35.5
2000-05-11,28500.0,40.31,42.0,40.0,39.75
2000-05-12,27100.0,39.63,41.56,40.5,39.63
2000-05-15,27800.0,39.88,41.5,40.13,39.63
2000-05-16,58500.0,39.19,40.44,40.44,37.25
2000-05-17,116800.0,38.13,39.19,39.19,38.0
2000-05-18,26800.0,40.25,41.81,39.25,39.13
2000-05-19,37500.0,39.75,41.0,39.75,39.25
2000-05-22,43900.0,38.75,41.0,41.0,38.5
2000-05-23,29600.0,38.44,39.13,38.75,38.38
2000-05-24,85800.0,39.48,39.48,38.5,33.75
2000-05-25,38600.0,40.5,41.56,39.25,38.63
2000-05-26,41500.0,38.88,39.5,37.5,37.5
2000-05-30,40900.0,37.81,40.5,40.0,37.5
2000-05-31,30600.0,38.0,40.0,40.0,37.75
2000-06-01,23900.0,38.94,39.81,39.19,38.5
2000-06-02,50400.0,40.5,41.13,39.75,39.25
2000-06-05,40800.0,41.0,41.5,40.5,39.69
2000-06-06,21200.0,40.88,41.5,41.5,40.0
2000-06-07,13100.0,39.88,40.88,40.88,39.25
2000-06-08,20400.0,39.25,39.88,39.72,39.25
2000-06-09,35000.0,40.44,40.75,39.0,39.0
2000-06-12,36400.0,39.81,39.81,39.25,38.06
2000-06-13,83500.0,37.13,39.5,39.5,35.75
2000-06-14,31700.0,37.0,37.25,37.13,35.88
2000-06-15,35200.0,34.13,37.13,37.13,34.13
2000-06-16,92800.0,36.13,36.25,34.0,32.0
2000-06-19,18300.0,35.38,36.38,36.13,35.25
2000-06-20,39200.0,33.63,35.88,35.88,33.0
2000-06-21,69000.0,36.0,36.13,33.75,33.44
2000-06-22,80100.0,35.75,37.25,35.38,35.25
2000-06-23,19800.0,34.19,36.0,35.63,34.19
2000-06-26,133300.0,34.0,35.13,35.0,33.5
2000-06-27,148500.0,29.44,34.25,34.0,29.13
2000-06-28,83800.0,31.13,33.75,30.25,30.25
2000-06-29,84300.0,32.25,36.25,31.0,31.0
2000-06-30,241100.0,30.75,40.0,34.0,30.75
2000-07-03,48000.0,33.5,34.13,31.19,31.19
2000-07-05,50800.0,35.19,35.31,33.5,32.56
2000-07-06,26200.0,35.0,35.88,35.19,34.0
2000-07-07,50700.0,36.13,36.13,35.75,34.5
2000-07-10,60500.0,37.19,37.44,36.0,35.88
2000-07-11,123100.0,40.31,41.0,36.38,36.38
2000-07-12,124900.0,43.0,43.63,40.06,40.0
2000-07-13,77500.0,43.94,44.63,43.06,42.88
2000-07-14,83900.0,45.63,45.63,44.94,44.81
2000-07-17,66000.0,47.88,48.0,45.75,45.69
2000-07-18,124500.0,43.94,48.13,47.88,42.06
2000-07-19,58100.0,44.5,45.88,44.06,43.25
2000-07-20,52300.0,44.56,45.13,44.63,43.31
2000-07-21,45600.0,45.0,45.13,44.88,44.5
2000-07-24,35600.0,42.13,45.25,45.0,41.25
2000-07-25,62900.0,45.06,45.25,42.56,42.25
2000-07-26,64300.0,47.44,47.63,44.88,44.0
2000-07-27,103500.0,44.0,47.5,47.5,43.38
2000-07-28,41200.0,40.09,42.38,42.19,37.88
2000-07-31,55000.0,39.75,41.5,40.5,38.77
2000-08-01,59100.0,40.0,40.25,39.25,38.5
2000-08-02,25300.0,39.0,40.13,39.88,37.39
2000-08-03,14900.0,39.25,39.25,37.63,37.63
2000-08-04,75800.0,42.0,42.13,39.5,39.5
2000-08-07,23000.0,40.19,42.31,42.0,40.0
2000-08-08,29500.0,40.44,42.5,42.5,40.38
2000-08-09,28400.0,39.38,41.06,40.78,39.38
2000-08-10,23400.0,40.31,40.31,39.25,38.31
2000-08-11,12300.0,39.63,40.38,40.38,38.5
2000-08-14,46600.0,42.38,43.5,41.44,41.44
2000-08-15,25400.0,42.0,43.0,42.81,42.0
2000-08-16,36100.0,43.0,43.13,42.5,42.5
2000-08-17,61300.0,42.88,43.19,42.56,42.56
2000-08-18,35100.0,45.0,45.0,43.19,43.19
2000-08-21,35400.0,46.0,47.63,44.88,44.31
2000-08-22,50600.0,46.06,47.19,46.75,46.06
2000-08-23,88200.0,48.44,49.19,46.97,46.56
2000-08-24,112600.0,55.13,55.25,49.13,49.13
2000-08-25,73100.0,55.63,60.25,54.63,54.5
2000-08-28,69400.0,52.25,58.75,56.5,50.38
2000-08-29,37500.0,54.25,54.88,53.0,51.75
2000-08-30,61000.0,59.88,59.88,55.25,54.88
2000-08-31,124700.0,60.38,63.63,60.0,59.75
2000-09-01,58800.0,62.63,63.0,60.44,58.63
2000-09-05,69400.0,60.0,62.06,62.06,59.25
2000-09-06,96600.0,56.0,60.5,60.0,55.5
2000-09-07,66800.0,54.75,56.5,56.5,53.5
2000-09-08,42700.0,56.13,58.5,54.81,54.75
2000-09-11,29000.0,57.13,58.44,56.75,56.63
2000-09-12,27700.0,56.13,58.0,57.25,54.5
2000-09-13,28300.0,55.38,56.38,56.38,52.88
2000-09-14,55700.0,56.25,57.06,55.31,54.25
2000-09-15,68300.0,54.25,57.03,57.03,51.0
2000-09-18,46300.0,55.5,57.88,55.25,54.44
2000-09-19,32500.0,57.19,59.0,56.0,55.44
2000-09-20,57200.0,59.94,61.0,58.13,57.5
2000-09-21,60900.0,61.5,64.0,61.06,59.5
2000-09-22,54600.0,61.44,62.69,58.0,58.0
2000-09-25,70000.0,64.5,64.75,61.63,61.38
2000-09-26,63700.0,61.44,64.88,64.88,60.5
2000-09-27,31600.0,63.0,64.38,62.5,61.5
2000-09-28,76200.0,65.94,66.06,63.75,62.75
2000-09-29,119100.0,68.13,69.5,65.81,65.13
2000-10-02,74150.0,32.75,36.0,35.0,29.25
2000-10-03,75100.0,32.5,34.75,34.5,31.75
2000-10-04,87600.0,31.5,34.0,31.94,31.0
2000-10-05,65800.0,31.75,33.94,32.52,31.25
2000-10-06,286400.0,35.0,35.0,32.0,31.94
2000-10-09,121400.0,35.69,36.0,34.94,33.63
2000-10-10,217000.0,36.53,37.75,36.0,35.75
2000-10-11,169400.0,34.25,36.38,36.25,32.13
2000-10-12,499300.0,32.13,34.38,34.25,30.75
2000-10-13,264500.0,31.88,32.5,32.38,26.44
2000-10-16,194800.0,33.63,33.88,31.44,31.25
2000-10-17,144800.0,31.88,33.63,33.63,30.13
2000-10-18,86400.0,31.81,32.0,30.5,30.0
2000-10-19,136300.0,32.75,33.38,33.38,31.75
2000-10-20,228300.0,32.5,33.13,33.11,31.75
2000-10-23,242000.0,33.56,36.25,32.0,32.0
2000-10-24,201600.0,35.75,36.25,34.38,31.88
2000-10-25,215100.0,35.75,36.44,35.5,34.5
2000-10-26,253000.0,35.0,37.0,35.56,30.75
2000-10-27,156800.0,35.13,36.88,35.97,35.13
2000-10-30,284900.0,30.0,36.0,35.25,30.0
2000-10-31,330000.0,29.0,31.19,31.19,28.0
2000-11-01,230900.0,28.63,31.0,28.97,25.88
2000-11-02,284900.0,29.44,30.13,29.5,28.75
2000-11-03,59900.0,28.88,31.0,29.88,28.13
2000-11-06,135900.0,29.0,30.0,28.75,28.06
2000-11-07,171700.0,27.63,29.13,29.13,26.75
2000-11-08,157800.0,27.13,28.75,27.0,27.0
2000-11-09,129100.0,27.28,28.25,27.0,26.5
2000-11-10,58700.0,26.31,27.5,27.5,25.13
2000-11-13,115700.0,24.13,25.75,25.69,23.88
2000-11-14,1062600.0,28.27,31.63,25.0,24.81
2000-11-15,430600.0,31.69,32.36,27.75,26.88
2000-11-16,385800.0,29.25,32.13,32.06,26.56
2000-11-17,178700.0,29.63,29.63,29.53,26.94
2000-11-20,228300.0,27.88,29.0,28.88,25.63
2000-11-21,155800.0,28.98,29.0,28.0,27.94
2000-11-22,85400.0,26.63,27.88,27.81,25.13
2000-11-24,56500.0,27.5,28.5,26.75,26.0
2000-11-27,44500.0,27.5,29.5,29.0,26.75
2000-11-28,118700.0,25.63,28.0,28.0,25.63
2000-11-29,114300.0,25.63,26.5,26.5,25.0
2000-11-30,156400.0,23.31,26.13,24.63,23.25
2000-12-01,251400.0,23.13,26.63,23.0,23.0
2000-12-04,167100.0,21.63,23.25,22.94,20.06
2000-12-05,188000.0,23.69,24.5,22.75,21.75
2000-12-06,104400.0,24.25,25.94,24.69,24.13
2000-12-07,80900.0,23.81,24.88,24.63,21.88
2000-12-08,76100.0,23.88,24.25,24.13,22.5
2000-12-11,90200.0,23.25,24.5,23.25,22.75
2000-12-12,160700.0,21.63,24.0,24.0,21.0
2000-12-13,126700.0,21.75,22.5,22.13,21.06
2000-12-14,83300.0,22.25,22.5,21.75,20.81
2000-12-15,135100.0,22.06,23.0,22.0,21.0
2000-12-18,236900.0,25.56,27.38,25.69,24.88
2000-12-19,138700.0,23.69,26.19,25.88,23.69
