date,5. volume,4. close,2. high,1. open,3. low
2016-05-13,4191956.0,30.95,31.94,29.0,29.0
2016-05-16,525422.0,28.12,31.25,30.99,28.01
2016-05-17,426467.0,28.45,28.88,28.0,28.0
2016-05-18,251224.0,28.0,29.43,28.78,27.56
2016-05-19,288795.0,28.38,28.86,27.05,27.05
2016-05-20,292294.0,29.38,30.1,28.67,28.4108
2016-05-23,1232612.0,32.7,33.28,29.86,29.4703
2016-05-24,895325.0,35.35,35.83,32.73,31.6676
2016-05-25,1346388.0,37.34,37.77,35.6,34.82
2016-05-26,886004.0,36.96,38.4296,36.97,36.302
2016-05-27,280331.0,38.0,38.09,36.99,36.06
2016-05-31,360303.0,39.28,39.43,38.12,37.59
2016-06-01,992329.0,39.57,43.1,39.17,38.71
2016-06-02,863954.0,37.54,40.46,39.4,37.37
2016-06-03,518740.0,35.24,37.79,37.35,35.11
2016-06-06,425402.0,35.9,36.85,35.37,35.33
2016-06-07,896923.0,38.52,41.2,36.84,36.605
2016-06-08,294361.0,37.6,39.62,39.49,37.54
2016-06-09,296318.0,37.75,38.3023,37.6,35.68
2016-06-10,291584.0,38.26,39.3463,37.5,37.01
2016-06-13,447874.0,36.26,39.28,37.2,35.71
2016-06-14,399258.0,38.55,38.6499,36.03,36.03
2016-06-15,914495.0,41.85,42.61,39.0,38.554
2016-06-16,967160.0,44.32,45.75,42.38,40.0
2016-06-17,646718.0,43.89,45.75,45.46,43.155
2016-06-20,901448.0,41.19,45.75,44.95,40.59
2016-06-21,1022185.0,38.9,41.7399,41.16,38.65
2016-06-22,681107.0,39.68,40.8599,38.49,38.1301
2016-06-23,458232.0,39.05,40.78,40.68,37.53
2016-06-24,1059132.0,37.26,39.7699,37.08,37.03
2016-06-27,1058728.0,34.45,37.495,37.03,32.92
2016-06-28,1001369.0,38.19,38.81,35.45,35.05
2016-06-29,397436.0,37.86,39.25,39.19,37.14
2016-06-30,537742.0,39.94,40.0,37.59,36.86
2016-07-01,582529.0,41.08,42.34,40.0,39.29
2016-07-05,344567.0,41.36,42.24,42.24,40.04
2016-07-06,401504.0,42.89,43.0,40.76,40.1
2016-07-07,1312984.0,44.19,47.0699,43.22,43.2
2016-07-08,883600.0,43.95,46.94,45.75,43.58
2016-07-11,1922990.0,48.87,49.39,46.07,45.3849
2016-07-12,1329487.0,51.36,51.87,49.32,48.31
2016-07-13,1480262.0,49.62,51.5,51.5,47.0
2016-07-14,1143412.0,52.43,52.63,51.13,50.2701
2016-07-15,806461.0,54.78,54.9,53.4,52.99
2016-07-18,1228068.0,57.09,58.4,54.5,53.2369
2016-07-19,2247351.0,58.73,60.9,57.22,55.88
2016-07-20,1566607.0,62.4,63.12,58.73,57.06
2016-07-21,1832785.0,57.85,63.879,62.53,56.88
2016-07-22,802855.0,59.16,61.138,58.36,57.56
2016-07-25,1044990.0,63.38,64.0,60.91,59.11
2016-07-26,904243.0,59.65,65.5,64.89,59.52
2016-07-27,1080855.0,64.9,64.91,62.38,60.031
2016-07-28,603334.0,63.46,64.63,63.2,62.25
2016-07-29,600048.0,65.03,66.0,64.25,63.4
2016-08-01,529003.0,63.97,66.43,65.84,63.55
2016-08-02,733801.0,60.79,65.38,65.0,59.79
2016-08-03,506691.0,61.0,62.19,60.58,58.88
2016-08-04,519393.0,64.49,64.675,61.76,60.751
2016-08-05,417918.0,64.0,65.24,65.24,63.0
2016-08-08,321196.0,64.41,65.87,64.84,63.5453
2016-08-09,544844.0,67.03,68.1,65.5,64.51
2016-08-10,1114437.0,69.2,70.43,68.39,67.55
2016-08-11,1855541.0,67.7,73.4999,71.63,67.51
2016-08-12,5134847.0,95.67,98.75,83.5,83.0
2016-08-15,3890522.0,102.33,109.36,103.23,99.33
2016-08-16,2239856.0,102.17,106.54,99.68,97.02
2016-08-17,2582766.0,115.29,115.48,101.16,101.1
2016-08-18,3429600.0,117.86,124.9,118.0,114.05
2016-08-19,1400297.0,114.78,119.39,115.0,111.31
2016-08-22,1343334.0,117.59,119.19,113.78,113.35
2016-08-23,1663809.0,110.89,120.0,120.0,110.5
2016-08-24,2609218.0,101.95,110.3071,107.69,101.45
2016-08-25,1114318.0,101.15,105.729,100.59,100.28
2016-08-26,2585523.0,107.86,109.467,101.66,100.31
2016-08-29,2854128.0,113.5,115.48,107.41,107.25
2016-08-30,1751806.0,114.57,116.85,114.5,112.3901
2016-08-31,1079165.0,111.65,115.51,114.89,110.5
2016-09-01,683804.0,112.1,114.0,113.83,110.83
2016-09-02,1203030.0,113.14,117.53,112.64,112.0
2016-09-06,3502132.0,123.44,127.2,115.2,114.66
2016-09-07,2044938.0,120.2,128.73,125.0,118.01
2016-09-08,1077572.0,117.89,121.26,119.0,116.0005
2016-09-09,3802875.0,106.41,121.935,117.89,103.2
2016-09-12,2240038.0,112.49,112.5,103.26,103.01
2016-09-13,2075013.0,106.3,110.0,110.0,104.04
2016-09-14,1445605.0,105.06,110.91,108.5,104.5
2016-09-15,1317712.0,105.96,107.8,106.01,104.25
2016-09-16,2273085.0,112.82,113.49,104.96,104.75
2016-09-19,1122296.0,114.26,117.9,116.69,113.85
2016-09-20,1615368.0,109.28,117.0,116.05,107.5
2016-09-21,1735475.0,118.49,119.81,111.49,108.56
2016-09-22,1890516.0,116.69,121.0,119.25,115.01
2016-09-23,1661158.0,119.34,121.86,116.5,114.75
2016-09-26,3287735.0,107.12,111.384,110.0,106.5
2016-09-27,2207713.0,104.9,110.26,108.96,103.0
2016-09-28,1800175.0,103.47,107.3,104.9,99.99
2016-09-29,1879431.0,102.98,106.97,104.24,102.05
2016-09-30,1341401.0,103.28,106.45,103.8,102.4
2016-10-03,1016724.0,99.5,104.0,103.17,98.1
2016-10-04,2667793.0,102.0,105.9,98.04,98.04
2016-10-05,3897174.0,113.54,116.5,110.23,108.76
2016-10-06,1158518.0,109.42,113.3,111.97,109.0
2016-10-07,7600590.0,100.0,104.8,102.95,99.5
2016-10-10,5504315.0,92.5,101.66,100.75,92.0
2016-10-11,3267775.0,90.19,96.35,93.88,89.62
2016-10-12,1892237.0,88.46,93.95,90.75,88.051
2016-10-13,3219884.0,93.92,94.94,87.3,87.0
2016-10-14,4381391.0,92.01,96.2089,93.76,89.0
2016-10-17,1396215.0,91.84,93.659,92.0,89.7328
2016-10-18,1419345.0,90.84,93.999,93.0,89.51
2016-10-19,1156428.0,88.37,92.29,90.37,88.21
2016-10-20,1469875.0,85.44,88.37,88.0,85.2
2016-10-21,1800961.0,84.79,86.8899,85.0,82.68
2016-10-24,2158207.0,91.27,91.5,85.3,84.0494
2016-10-25,1616269.0,86.5,90.9,90.8,86.01
2016-10-26,1313829.0,87.53,89.98,85.72,85.1
2016-10-27,8536742.0,73.66,88.66,87.5,72.2
2016-10-28,3976775.0,71.24,75.89,71.86,67.611
2016-10-31,2121503.0,69.69,74.39,72.71,69.52
2016-11-01,2211993.0,68.42,71.25,70.78,67.12
2016-11-02,2801110.0,68.35,74.25,70.02,67.69
2016-11-03,2799149.0,63.26,70.0195,69.6,62.69
2016-11-04,2406269.0,62.89,65.25,64.99,61.8001
2016-11-07,2539592.0,65.67,68.29,65.44,64.28
