date,5. volume,4. close,2. high,1. open,3. low
2005-06-15,2748700.0,24.93,25.04,25.0,24.84
2005-06-16,787000.0,25.05,25.1,24.95,24.91
2005-06-17,186800.0,25.1,25.23,25.08,25.04
2005-06-20,267000.0,25.07,25.1,25.07,25.02
2005-06-21,532400.0,25.16,25.2,25.08,25.08
2005-06-22,956300.0,25.29,25.29,25.23,25.15
2005-06-23,138000.0,25.27,25.3,25.3,25.22
2005-06-24,233100.0,25.3,25.33,25.24,25.2
2005-06-27,416000.0,25.27,25.31,25.26,25.2
2005-06-28,132700.0,25.22,25.3,25.25,25.22
2005-06-29,538400.0,25.24,25.29,25.25,25.18
2005-06-30,698400.0,25.28,25.3,25.24,25.17
2005-07-01,357500.0,25.25,25.29,25.29,25.16
2005-07-05,461400.0,25.15,25.17,25.125,24.97
2005-07-06,481600.0,25.21,25.21,25.17,25.11
2005-07-07,552800.0,25.25,25.27,25.21,25.16
2005-07-08,166100.0,25.28,25.35,25.25,25.25
2005-07-11,145700.0,25.24,25.34,25.34,25.2
2005-07-12,186600.0,25.31,25.38,25.22,25.22
2005-07-13,267000.0,25.4,25.47,25.35,25.32
2005-07-14,476500.0,25.44,25.6,25.4,25.4
2005-07-15,280500.0,25.48,25.55,25.52,25.48
2005-07-18,341800.0,25.48,25.65,25.65,25.4
2005-07-19,229100.0,25.58,25.59,25.48,25.46
2005-07-20,223000.0,25.63,25.69,25.65,25.57
2005-07-21,228100.0,25.64,25.69,25.6,25.5
2005-07-22,119000.0,25.68,25.7,25.65,25.61
2005-07-25,288000.0,25.67,25.7,25.68,25.58
2005-07-26,92900.0,25.67,25.7,25.7,25.6
2005-07-27,162700.0,25.67,26.64,25.67,25.58
2005-07-28,71800.0,25.7,25.71,25.68,25.6
2005-07-29,67900.0,25.68,25.78,25.73,25.55
2005-08-01,124500.0,25.62,25.8,25.8,25.56
2005-08-02,116000.0,25.69,25.79,25.65,25.63
2005-08-03,79300.0,25.7,25.74,25.7,25.66
2005-08-04,171300.0,25.72,25.75,25.75,25.65
2005-08-05,131200.0,25.6,25.7,25.69,25.56
2005-08-08,84600.0,25.6,25.7,25.7,25.55
2005-08-09,100300.0,25.63,25.66,25.6,25.55
2005-08-10,295700.0,25.71,25.78,25.7,25.64
2005-08-11,36800.0,25.8,25.81,25.71,25.71
2005-08-12,220000.0,25.9,25.94,25.87,25.8
2005-08-15,88500.0,25.83,25.9,25.9,25.77
2005-08-16,267000.0,25.86,26.0,25.78,25.78
2005-08-17,102400.0,25.89,25.95,25.85,25.85
2005-08-18,67800.0,25.95,26.02,25.9,25.85
2005-08-19,64600.0,26.0,26.19,25.94,25.91
2005-08-22,144500.0,25.93,26.12,26.01,25.85
2005-08-23,124100.0,26.09,26.14,25.9,25.89
2005-08-24,86100.0,26.13,26.14,26.09,26.09
2005-08-25,104600.0,26.18,26.19,26.12,26.09
2005-08-26,69400.0,26.12,26.3,26.18,26.0
2005-08-29,85400.0,26.15,26.2,26.06,26.06
2005-08-30,195200.0,25.83,25.9,25.85,25.78
2005-08-31,284700.0,25.86,25.91,25.8,25.8
2005-09-01,267100.0,25.79,25.95,25.83,25.75
2005-09-02,249000.0,25.83,25.86,25.85,25.73
2005-09-06,374000.0,25.77,25.88,25.88,25.65
2005-09-07,106800.0,25.64,25.78,25.78,25.61
2005-09-08,77000.0,25.69,25.75,25.75,25.65
2005-09-09,39300.0,25.72,25.75,25.75,25.68
2005-09-12,385500.0,25.49,25.75,25.74,25.375
2005-09-13,213300.0,25.49,25.59,25.59,25.45
2005-09-14,97100.0,25.52,25.59,25.45,25.43
2005-09-15,46400.0,25.35,25.57,25.57,25.33
2005-09-16,88300.0,25.4,25.45,25.42,25.32
2005-09-19,63200.0,25.39,25.43,25.4,25.31
2005-09-20,39600.0,25.38,25.45,25.45,25.35
2005-09-21,303900.0,25.51,25.58,25.5,25.48
2005-09-22,80200.0,25.48,25.54,25.5,25.41
2005-09-23,26200.0,25.42,25.55,25.5,25.37
2005-09-26,41900.0,25.45,25.46,25.4,25.37
2005-09-27,97300.0,25.48,25.48,25.35,25.32
2005-09-28,85100.0,25.45,25.5,25.44,25.33
2005-09-29,62300.0,25.46,25.54,25.44,25.42
2005-09-30,23200.0,25.49,25.55,25.51,25.43
2005-10-03,26700.0,25.51,25.56,25.56,25.45
2005-10-04,37400.0,25.48,25.56,25.55,25.43
2005-10-05,85400.0,25.57,25.57,25.45,25.45
2005-10-06,26200.0,25.51,25.65,25.65,25.47
2005-10-07,116800.0,25.44,25.5,25.49,25.33
2005-10-10,33600.0,25.47,25.48,25.42,25.4
2005-10-11,97200.0,25.4,25.6,25.6,25.36
2005-10-12,64900.0,25.28,25.48,25.4,25.21
2005-10-13,89100.0,25.13,25.15,25.03,25.01
2005-10-14,83900.0,25.17,25.22,25.18,25.1
2005-10-17,72300.0,25.23,25.37,25.15,25.11
2005-10-18,165000.0,25.3,25.32,25.2,25.2
2005-10-19,58500.0,25.31,25.42,25.3,25.28
2005-10-20,40500.0,25.4,25.44,25.36,25.27
2005-10-21,27500.0,25.37,25.48,25.37,25.32
2005-10-24,32200.0,25.26,25.47,25.45,25.23
2005-10-25,66900.0,25.17,25.37,25.36,25.12
2005-10-26,82700.0,25.04,25.17,25.17,25.02
2005-10-27,105900.0,25.07,25.18,24.95,24.95
2005-10-28,12000.0,25.04,25.14,25.13,25.0
2005-10-31,30900.0,25.11,25.15,25.03,25.02
2005-11-01,27800.0,25.14,25.14,25.1,25.07
2005-11-02,110300.0,25.15,25.15,24.95,24.95
2005-11-03,81200.0,25.09,25.15,25.15,25.03
2005-11-04,26600.0,25.1,25.14,25.09,25.04
2005-11-07,65900.0,25.11,25.14,25.13,25.07
2005-11-08,92300.0,25.2,25.25,25.15,25.13
2005-11-09,73200.0,25.06,25.2,25.2,25.0
2005-11-10,70100.0,25.09,25.14,25.11,25.07
2005-11-11,28400.0,25.12,25.19,25.17,25.05
2005-11-14,118700.0,24.86,25.05,25.05,24.8
2005-11-15,263900.0,24.78,24.85,24.79,24.7
2005-11-16,49800.0,24.78,24.97,24.65,24.65
2005-11-17,38900.0,24.79,24.79,24.79,24.68
2005-11-18,40600.0,24.82,24.84,24.79,24.75
2005-11-21,53900.0,24.73,24.84,24.7,24.67
2005-11-22,57700.0,24.75,24.8,24.8,24.71
2005-11-23,29500.0,24.75,24.82,24.75,24.7
2005-11-25,8000.0,24.81,24.9,24.9,24.8
2005-11-28,53400.0,24.8625,24.95,24.8,24.74
2005-11-29,62900.0,24.48,24.69,24.69,24.35
2005-11-30,129200.0,24.51,24.65,24.45,24.43
2005-12-01,184900.0,24.66,24.74,24.57,24.57
2005-12-02,318900.0,24.6,24.69,24.67,24.45
2005-12-05,116600.0,24.53,24.65,24.6,24.5
2005-12-06,138200.0,24.68,24.68,24.6,24.53
2005-12-07,227000.0,24.66,24.8,24.65,24.62
2005-12-08,65900.0,24.71,24.74,24.68,24.61
2005-12-09,47300.0,24.77,24.79,24.71,24.64
2005-12-12,27400.0,24.78,24.82,24.76,24.76
2005-12-13,95000.0,24.93,24.93,24.77,24.77
2005-12-14,134200.0,24.96,25.1,24.9,24.9
2005-12-15,36600.0,24.99,25.07,25.05,24.95
2005-12-16,60400.0,25.14,25.15,25.15,24.99
2005-12-19,23100.0,25.08,25.12,25.12,25.04
2005-12-20,114000.0,25.1,25.18,25.05,25.05
2005-12-21,106800.0,25.13,25.16,25.15,25.07
2005-12-22,74500.0,25.09,25.2,25.2,25.06
2005-12-23,140000.0,25.12,25.16,25.1,25.06
2005-12-27,24200.0,25.25,25.25,25.18,25.08
2005-12-28,59600.0,25.32,25.32,25.25,25.18
2005-12-29,31800.0,25.25,25.41,25.4,25.25
2005-12-30,10500.0,25.26,25.28,25.28,25.21
2006-01-03,72500.0,25.17,25.3,25.3,25.11
2006-01-04,25200.0,25.13,25.13,25.12,25.0701
2006-01-05,51200.0,25.08,25.16,25.16,25.04
2006-01-06,21100.0,25.07,25.12,25.12,25.02
2006-01-09,70200.0,25.14,25.15,25.13,25.07
2006-01-10,57800.0,25.06,25.14,25.14,25.0
2006-01-11,27000.0,24.95,25.03,25.0,24.94
2006-01-12,98200.0,25.0,25.0399,25.0,24.95
2006-01-13,128800.0,25.1,25.25,25.25,25.05
2006-01-17,32300.0,25.02,25.15,25.15,24.95
