date,5. volume,4. close,2. high,1. open,3. low
2006-11-21,16006200.0,23.02,25.1,25.0,23.0
2006-11-22,5185600.0,22.7,23.14,23.0,21.85
2006-11-24,221300.0,22.95,22.95,22.5,22.4
2006-11-27,374100.0,22.85,23.1,23.0,22.7
2006-11-28,629200.0,22.95,23.05,22.99,22.84
2006-11-29,917700.0,22.52,23.18,23.18,22.45
2006-11-30,396200.0,22.7,23.0,22.5,22.45
2006-12-01,217400.0,22.77,22.94,22.6,22.52
2006-12-04,470000.0,22.63,22.74,22.65,22.49
2006-12-05,234400.0,22.63,22.63,22.4,22.3298
2006-12-06,74400.0,22.66,22.7,22.63,22.57
2006-12-07,314000.0,23.26,23.35,22.66,22.659
2006-12-08,195600.0,23.3,23.39,23.17,23.0752
2006-12-11,302200.0,23.33,23.46,23.3,23.26
2006-12-12,109900.0,23.25,23.4,23.22,23.22
2006-12-13,1048200.0,22.95,23.26,23.25,22.6
2006-12-14,626500.0,22.75,23.01,23.0,22.5
2006-12-15,482500.0,22.88,22.95,22.65,22.31
2006-12-18,116800.0,22.88,23.0,22.63,22.45
2006-12-19,146500.0,22.73,22.8,22.8,22.35
2006-12-20,123800.0,22.9,23.07,22.88,22.45
2006-12-21,100600.0,22.61,23.0,22.65,22.36
2006-12-22,196500.0,22.38,22.7,22.4,22.35
2006-12-26,231600.0,22.24,22.35,22.3,22.1
2006-12-27,67300.0,22.75,22.85,22.2,22.128
2006-12-28,443800.0,22.71,22.97,22.97,22.6
2006-12-29,206900.0,23.18,23.37,22.61,22.59
2007-01-03,536900.0,23.35,24.14,23.51,23.25
2007-01-04,157600.0,23.45,23.52,22.75,22.75
2007-01-05,330700.0,24.11,24.15,23.35,23.35
2007-01-08,338000.0,24.94,25.0,24.06,23.86
2007-01-09,624100.0,25.75,26.28,25.5,24.85
2007-01-10,555800.0,26.15,28.0,25.85,25.58
2007-01-11,913100.0,27.07,27.19,26.25,26.25
2007-01-12,245900.0,26.92,27.12,27.01,26.62
2007-01-16,577200.0,26.8,27.25,27.13,26.52
