date,5. volume,4. close,2. high,1. open,3. low
2015-12-17,1181540.0,36.12,38.75,38.75,36.12
2015-12-18,10198576.0,33.26,36.52,36.5,32.45
2015-12-21,3980291.0,33.81,34.65,34.03,33.44
2015-12-22,3044807.0,35.08,35.2,34.0,33.76
2015-12-23,2195946.0,36.96,37.07,35.1,35.05
2015-12-24,904599.0,37.45,37.54,37.02,37.02
2015-12-28,1196783.0,36.6,37.3101,37.02,36.52
2015-12-29,967409.0,37.67,37.94,36.6,36.6
2015-12-30,1107124.0,38.22,38.73,38.22,37.53
2015-12-31,609677.0,38.4,38.9,38.31,38.01
2016-01-04,522297.0,37.85,38.78,38.78,37.54
2016-01-05,680342.0,38.13,38.3,37.94,37.53
2016-01-06,623893.0,38.05,38.37,37.5,37.5
2016-01-07,504376.0,37.8,38.1,37.56,37.5
2016-01-08,321448.0,37.76,38.15,38.0,37.48
2016-01-11,371927.0,37.39,38.3,37.9,37.35
2016-01-12,302085.0,37.27,37.725,37.65,37.0701
2016-01-13,328171.0,36.72,37.6,37.23,36.69
2016-01-14,529457.0,37.2,37.36,36.68,36.3
2016-01-15,432003.0,37.61,37.87,36.08,36.01
2016-01-19,589320.0,38.72,39.05,38.04,37.58
2016-01-20,402408.0,37.47,38.8304,38.78,37.21
2016-01-21,831681.0,37.09,38.69,38.36,36.7354
2016-01-22,406635.0,37.99,38.22,37.41,36.74
2016-01-25,447055.0,37.05,38.19,38.09,36.84
2016-01-26,351982.0,37.41,37.67,37.45,37.14
2016-01-27,247947.0,37.8,38.205,37.53,37.3
2016-01-28,283294.0,37.8,38.26,37.98,37.69
2016-01-29,366101.0,38.45,38.57,38.04,37.91
2016-02-01,788819.0,38.99,39.92,38.73,38.25
2016-02-02,491886.0,39.6,39.75,38.84,38.7201
2016-02-03,754548.0,40.56,40.8,40.05,40.05
2016-02-04,733184.0,41.12,41.24,40.77,40.29
2016-02-05,1030058.0,42.01,42.4,40.67,40.09
2016-02-08,691559.0,41.47,42.0,41.99,40.365
2016-02-09,697898.0,41.24,42.085,41.36,40.22
2016-02-10,224959.0,41.58,41.825,41.25,40.83
2016-02-11,603780.0,40.93,41.54,41.54,40.63
2016-02-12,413605.0,40.59,41.06,41.06,40.47
2016-02-16,607237.0,40.65,41.0,40.98,40.2
2016-02-17,455261.0,41.31,41.55,41.55,40.5
2016-02-18,634841.0,41.5,41.94,41.49,41.14
2016-02-19,802144.0,41.56,41.69,41.25,40.715
2016-02-22,1560800.0,38.75,39.23,38.0,37.54
2016-02-23,1101039.0,38.06,38.47,37.6,36.75
2016-02-24,952218.0,39.26,39.45,37.4,37.06
2016-02-25,577352.0,39.03,39.59,39.5,38.68
2016-02-26,598610.0,38.93,39.2,38.75,38.5
2016-02-29,716439.0,38.79,39.21,38.85,38.73
2016-03-01,689335.0,38.58,39.4,39.18,38.14
2016-03-02,608644.0,38.78,38.88,38.69,38.0
2016-03-03,524717.0,38.58,39.22,38.64,38.5308
2016-03-04,716643.0,38.53,38.81,38.49,38.24
2016-03-07,430473.0,39.2,39.63,38.25,38.25
2016-03-08,259579.0,38.59,39.1099,38.56,38.445
2016-03-09,558299.0,38.69,39.04,38.97,38.47
2016-03-10,575796.0,38.15,39.01,38.72,37.98
2016-03-11,256433.0,38.32,38.7,38.27,38.09
2016-03-14,602982.0,38.84,38.96,38.25,38.11
2016-03-15,392088.0,38.6,39.41,38.67,38.53
2016-03-16,354502.0,39.15,39.25,38.68,38.21
2016-03-17,988959.0,39.68,39.95,39.21,39.16
2016-03-18,3107353.0,40.46,40.73,39.61,39.33
2016-03-21,508416.0,40.17,40.69,39.9,39.61
2016-03-22,293499.0,40.31,40.68,39.86,39.86
2016-03-23,669038.0,40.28,40.56,40.2,40.02
2016-03-24,454030.0,40.51,40.8325,40.3,40.215
2016-03-28,291697.0,40.15,40.89,40.52,40.09
2016-03-29,576650.0,40.6,40.71,40.0,39.8301
2016-03-30,374342.0,40.28,40.88,40.57,40.23
2016-03-31,289447.0,40.11,40.63,40.13,40.08
2016-04-01,581659.0,39.63,40.43,39.95,39.4
2016-04-04,466077.0,40.01,40.2,39.53,39.41
2016-04-05,207940.0,39.46,39.974,39.96,39.2701
2016-04-06,238501.0,39.24,39.73,39.44,39.01
2016-04-07,253147.0,39.08,39.4,39.09,38.86
2016-04-08,276701.0,38.92,39.175,39.13,38.72
2016-04-11,233765.0,38.89,39.07,38.98,38.71
2016-04-12,517460.0,38.46,39.06,38.82,38.41
2016-04-13,565301.0,38.54,38.8799,38.45,37.74
2016-04-14,310953.0,38.31,38.7,38.4,38.01
2016-04-15,186412.0,38.45,38.7,38.2,38.17
2016-04-18,198608.0,38.45,38.8,38.45,38.17
2016-04-19,314515.0,38.62,38.8399,38.56,38.17
2016-04-20,276304.0,37.99,38.81,38.49,37.82
2016-04-21,477576.0,37.36,38.05,37.8,37.2
2016-04-22,815954.0,37.55,37.75,37.54,37.12
2016-04-25,717109.0,38.2,38.29,37.35,37.071
2016-04-26,1264755.0,39.04,40.09,38.99,38.72
2016-04-27,678966.0,40.46,40.58,39.2,39.0
2016-04-28,374456.0,40.36,40.73,40.48,40.12
2016-04-29,320355.0,40.1,40.5,40.12,39.38
2016-05-02,236922.0,40.68,40.88,40.38,40.25
2016-05-03,474502.0,40.31,40.92,40.68,39.81
2016-05-04,567367.0,40.85,41.23,40.16,40.16
2016-05-05,286928.0,40.39,41.39,40.76,40.275
2016-05-06,279620.0,40.32,40.43,40.43,39.58
2016-05-09,274943.0,40.25,40.48,40.42,39.83
2016-05-10,516623.0,40.21,40.62,40.46,39.73
2016-05-11,281304.0,40.38,40.53,40.29,39.885
2016-05-12,453069.0,40.59,40.69,40.44,40.17
2016-05-13,520762.0,41.12,41.14,40.71,40.45
2016-05-16,404660.0,41.34,41.44,41.2,40.83
2016-05-17,265752.0,40.59,41.24,41.21,40.38
2016-05-18,275229.0,40.06,40.67,40.43,39.91
2016-05-19,307896.0,40.62,40.68,40.08,39.95
2016-05-20,185719.0,40.67,40.8519,40.53,40.32
2016-05-23,199954.0,40.64,40.94,40.58,40.5183
2016-05-24,285870.0,41.48,41.51,40.65,40.62
2016-05-25,403072.0,41.05,41.61,41.47,40.75
2016-05-26,211287.0,41.44,41.56,41.05,40.51
2016-05-27,139381.0,41.7,41.73,41.5,41.11
2016-05-31,278635.0,42.02,42.19,41.72,41.44
2016-06-01,509552.0,42.49,42.54,42.12,41.96
2016-06-02,434018.0,42.55,42.74,42.44,42.18
2016-06-03,473924.0,43.75,43.78,42.43,42.43
2016-06-06,693440.0,44.01,44.1,43.63,43.44
2016-06-07,523173.0,43.96,44.23,44.1,43.53
2016-06-08,449676.0,43.29,43.7398,43.35,43.16
2016-06-09,479829.0,43.38,43.53,43.16,42.9
2016-06-10,254273.0,43.6,43.64,43.23,43.02
2016-06-13,284504.0,43.26,43.785,43.5,43.04
2016-06-14,384427.0,43.68,43.7,43.36,43.02
2016-06-15,676838.0,43.1,43.83,43.46,42.88
2016-06-16,422088.0,43.4,43.43,42.84,42.75
2016-06-17,436890.0,43.44,43.66,43.43,42.87
2016-06-20,431115.0,43.39,43.47,43.38,42.93
2016-06-21,520078.0,44.28,44.42,43.41,43.04
2016-06-22,511705.0,43.31,44.41,44.41,43.26
2016-06-23,404522.0,43.81,43.82,43.48,43.0001
2016-06-24,560329.0,43.55,43.885,43.18,42.73
2016-06-27,465753.0,44.57,44.72,43.4,42.86
2016-06-28,632018.0,45.05,45.26,44.52,44.07
2016-06-29,657754.0,45.82,45.86,45.47,45.24
2016-06-30,741310.0,46.06,46.49,45.72,45.69
2016-07-01,615445.0,46.49,46.74,46.07,45.72
2016-07-05,472836.0,46.3,46.53,46.46,45.98
2016-07-06,539036.0,46.34,46.44,46.15,45.91
2016-07-07,412764.0,45.58,46.505,46.06,45.31
2016-07-08,459852.0,45.88,45.96,45.25,45.04
2016-07-11,329818.0,45.87,45.99,45.78,45.3837
2016-07-12,446430.0,45.46,45.99,45.6,45.42
2016-07-13,538440.0,45.82,45.96,45.83,45.51
2016-07-14,254033.0,45.95,45.95,45.82,45.55
2016-07-15,331214.0,46.06,46.1,45.88,45.41
2016-07-18,479825.0,45.91,46.44,46.12,45.75
2016-07-19,981696.0,45.0,45.81,45.5,44.885
2016-07-20,698810.0,44.51,45.24,45.24,44.31
2016-07-21,542796.0,44.55,44.7,44.43,44.28
2016-07-22,505420.0,45.13,45.363,44.46,44.371
2016-07-25,450210.0,45.1,45.45,45.25,44.95
2016-07-26,390924.0,45.06,45.28,45.18,44.86
2016-07-27,340869.0,44.51,45.32,45.04,44.24
2016-07-28,461819.0,44.6,44.73,44.54,44.36
2016-07-29,408757.0,45.14,45.34,44.66,44.66
2016-08-01,479436.0,45.13,45.258,45.07,44.77
2016-08-02,349878.0,44.99,45.19,44.99,44.64
2016-08-03,354949.0,44.85,45.11,44.86,44.7
2016-08-04,338884.0,44.95,45.31,44.97,44.8319
2016-08-05,332503.0,44.46,45.1,45.06,44.37
2016-08-08,484028.0,44.0,44.85,44.45,44.0
2016-08-09,420388.0,43.88,44.4,44.0,43.84
2016-08-10,244373.0,43.94,44.33,44.0,43.85
2016-08-11,126541.0,43.88,44.19,44.0,43.77
2016-08-12,395836.0,43.92,44.33,43.84,43.84
2016-08-15,352732.0,43.52,44.29,44.07,43.52
2016-08-16,255611.0,42.95,44.02,43.82,42.87
2016-08-17,470246.0,43.15,43.3,42.96,42.45
2016-08-18,333602.0,43.5,43.5299,43.26,43.235
2016-08-19,356487.0,43.36,43.53,43.21,43.01
2016-08-22,139153.0,43.5,43.76,43.45,43.33
2016-08-23,348024.0,43.47,43.8616,43.62,43.4
2016-08-24,420727.0,43.23,43.49,43.29,42.93
2016-08-25,395438.0,43.18,43.52,43.3,43.09
2016-08-26,228478.0,42.0,43.39,43.16,41.93
2016-08-29,312316.0,42.3,42.4589,42.01,42.01
2016-08-30,372494.0,41.89,42.56,42.15,41.8
2016-08-31,338217.0,41.6,42.13,41.96,41.44
2016-09-01,325419.0,41.72,41.89,41.75,41.5295
2016-09-02,221705.0,42.21,42.46,41.86,41.86
2016-09-06,230874.0,42.5,42.55,42.24,42.07
2016-09-07,386852.0,42.45,42.55,41.88,41.72
2016-09-08,246127.0,42.33,42.58,41.79,41.79
2016-09-09,337506.0,40.98,42.36,42.11,40.9
2016-09-12,320009.0,41.13,41.34,40.88,40.71
2016-09-13,452054.0,41.32,41.46,41.0,40.89
2016-09-14,249206.0,41.14,41.6,41.23,41.0
2016-09-15,255069.0,41.25,41.47,41.2,41.125
2016-09-16,1063326.0,41.2,41.54,41.25,41.07
2016-09-19,445476.0,41.83,41.85,41.09,41.01
2016-09-20,222940.0,41.98,42.3,41.89,41.86
2016-09-21,239066.0,43.17,43.21,42.12,42.12
2016-09-22,373607.0,43.55,43.78,43.17,43.14
2016-09-23,657545.0,42.99,43.39,41.99,41.29
2016-09-26,230437.0,42.94,43.13,42.85,42.74
2016-09-27,363062.0,42.72,43.39,43.07,42.53
2016-09-28,323336.0,42.79,42.92,42.78,42.22
2016-09-29,331629.0,42.36,42.96,42.96,41.92
2016-09-30,797463.0,41.78,42.56,42.26,41.025
2016-10-03,343956.0,41.14,41.88,41.88,41.05
2016-10-04,1026423.0,39.76,41.03,41.01,39.41
2016-10-05,439785.0,39.74,39.98,39.81,39.36
2016-10-06,501220.0,39.71,39.74,39.58,39.095
2016-10-07,307537.0,39.55,40.0587,39.98,39.51
2016-10-10,172442.0,40.21,40.23,39.78,39.78
2016-10-11,228673.0,39.6,40.16,40.16,39.56
