date,5. volume,4. close,2. high,1. open,3. low
2017-01-05,18600.0,9.7501,9.9,9.85,9.75
2017-01-06,0.0,9.7501,9.7501,9.7501,9.7501
2017-01-09,0.0,9.7501,9.7501,9.7501,9.7501
2017-01-10,121000.0,9.8,9.81,9.81,9.8
2017-01-11,0.0,9.8,9.8,9.8,9.8
2017-01-12,68.0,9.8,9.8,9.8,9.8
2017-01-13,32.0,9.8,9.8,9.8,9.8
2017-01-17,0.0,9.8,9.8,9.8,9.8
2017-01-18,3600.0,9.85,9.85,9.85,9.85
2017-01-19,0.0,9.85,9.85,9.85,9.85
2017-01-20,1000.0,9.88,9.88,9.88,9.88
2017-01-23,0.0,9.88,9.88,9.88,9.88
2017-01-24,0.0,9.88,9.88,9.88,9.88
2017-01-25,0.0,9.88,9.88,9.88,9.88
2017-01-26,0.0,9.88,9.88,9.88,9.88
2017-01-27,0.0,9.88,9.88,9.88,9.88
2017-01-30,0.0,9.88,9.88,9.88,9.88
2017-01-31,0.0,9.88,9.88,9.88,9.88
2017-02-01,0.0,9.88,9.88,9.88,9.88
2017-02-02,0.0,9.88,9.88,9.88,9.88
2017-02-03,0.0,9.88,9.88,9.88,9.88
2017-02-06,0.0,9.88,9.88,9.88,9.88
2017-02-07,75889.0,9.9,10.178,10.178,9.9
2017-02-08,0.0,9.9,9.9,9.9,9.9
2017-02-09,0.0,9.9,9.9,9.9,9.9
2017-02-10,0.0,9.9,9.9,9.9,9.9
2017-02-13,0.0,9.9,9.9,9.9,9.9
2017-02-14,0.0,9.9,9.9,9.9,9.9
2017-02-15,100.0,9.91,9.91,9.91,9.91
2017-02-16,1000.0,9.9,9.9,9.9,9.9
2017-02-17,100.0,9.95,9.95,9.95,9.95
2017-02-21,0.0,9.95,9.95,9.95,9.95
2017-02-22,2100.0,9.91,9.91,9.91,9.91
2017-02-23,0.0,9.91,9.91,9.91,9.91
2017-02-24,0.0,9.91,9.91,9.91,9.91
2017-02-27,0.0,9.91,9.91,9.91,9.91
2017-02-28,0.0,9.91,9.91,9.91,9.91
2017-03-01,789.0,9.9,9.91,9.91,9.9
2017-03-02,0.0,9.9,9.9,9.9,9.9
2017-03-03,0.0,9.9,9.9,9.9,9.9
2017-03-06,0.0,9.9,9.9,9.9,9.9
2017-03-07,0.0,9.9,9.9,9.9,9.9
2017-03-08,700100.0,9.91,9.95,9.95,9.91
2017-03-09,0.0,9.91,9.91,9.91,9.91
2017-03-10,0.0,9.91,9.91,9.91,9.91
2017-03-13,0.0,9.91,9.91,9.91,9.91
2017-03-14,0.0,9.91,9.91,9.91,9.91
2017-03-15,202.0,9.92,9.92,9.92,9.92
2017-03-16,0.0,9.92,9.92,9.92,9.92
2017-03-17,0.0,9.92,9.92,9.92,9.92
2017-03-20,70500.0,9.9,9.92,9.91,9.9
2017-03-21,700.0,9.86,9.89,9.86,9.86
2017-03-22,0.0,9.86,9.86,9.86,9.86
2017-03-23,0.0,9.86,9.86,9.86,9.86
2017-03-24,50000.0,9.88,9.88,9.88,9.88
2017-03-27,20000.0,9.88,9.88,9.88,9.88
2017-03-28,100.0,9.92,9.92,9.92,9.92
2017-03-29,25000.0,9.88,9.88,9.88,9.88
2017-03-30,0.0,9.88,9.88,9.88,9.88
2017-03-31,1.0,9.88,9.88,9.88,9.88
2017-04-03,1.0,9.88,9.88,9.88,9.88
2017-04-04,0.0,9.88,9.88,9.88,9.88
2017-04-05,60200.0,9.85,9.86,9.85,9.85
2017-04-06,0.0,9.85,9.85,9.85,9.85
2017-04-07,0.0,9.85,9.85,9.85,9.85
2017-04-10,12201.0,9.89,9.89,9.82,9.82
2017-04-11,0.0,9.89,9.89,9.89,9.89
2017-04-12,0.0,9.89,9.89,9.89,9.89
2017-04-13,0.0,9.89,9.89,9.89,9.89
2017-04-17,0.0,9.89,9.89,9.89,9.89
2017-04-18,0.0,9.89,9.89,9.89,9.89
2017-04-19,15400.0,9.8,9.88,9.88,9.8
2017-04-20,0.0,9.8,9.8,9.8,9.8
