date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,626400.0,49.13,49.13,49.13,49.13
2000-01-04,662500.0,48.0,50.5,49.75,47.75
2000-01-05,428000.0,48.88,49.0,47.75,47.5
2000-01-06,489100.0,51.94,53.75,49.38,48.75
2000-01-07,753100.0,59.0,61.0,52.25,51.81
2000-01-10,757800.0,64.25,64.94,59.25,59.0
2000-01-11,901200.0,62.0,65.25,63.75,60.88
2000-01-12,825700.0,62.13,64.13,62.63,61.94
2000-01-13,431500.0,64.38,65.75,62.88,62.69
2000-01-14,393400.0,68.94,71.94,64.5,64.5
2000-01-18,374100.0,73.0,73.63,66.88,64.5
2000-01-19,495300.0,73.56,73.63,72.25,71.75
2000-01-20,444500.0,77.5,79.75,73.63,73.5
2000-01-21,510800.0,76.88,77.88,77.81,75.88
2000-01-24,970100.0,73.75,86.44,76.81,70.52
2000-01-25,308400.0,74.5,78.25,75.0,72.88
2000-01-26,297600.0,73.5,76.94,75.13,72.63
2000-01-27,280700.0,72.94,74.13,73.75,72.0
2000-01-28,405100.0,70.5,73.25,72.5,69.88
2000-01-31,341000.0,66.31,69.88,69.88,60.88
2000-02-01,1155700.0,72.25,73.0,66.31,66.19
2000-02-02,459300.0,75.63,78.19,71.0,70.0
2000-02-03,334100.0,82.38,83.0,76.88,76.88
2000-02-04,412600.0,86.25,90.0,82.0,82.0
2000-02-07,551600.0,94.5,95.44,86.38,85.75
2000-02-08,1407600.0,111.0,112.0,96.88,96.88
2000-02-09,1148200.0,107.3,112.8,111.0,103.0
2000-02-10,466300.0,121.0,123.0,108.5,106.5
2000-02-11,1706600.0,126.1,133.3,123.0,122.0
2000-02-14,1089000.0,121.3,126.3,126.1,118.9
2000-02-15,2369000.0,120.9,125.5,121.6,120.1
2000-02-16,3608700.0,140.1,147.6,123.6,123.5
2000-02-17,2104800.0,168.8,170.0,140.0,138.6
2000-02-18,1785200.0,182.0,189.0,167.5,163.8
2000-02-22,1253900.0,165.6,181.9,181.4,160.3
2000-02-23,868400.0,164.8,167.0,165.3,156.6
2000-02-24,509100.0,168.3,171.0,166.9,159.0
2000-02-25,705900.0,174.3,179.3,169.5,166.0
2000-02-28,1013300.0,179.5,189.8,173.0,172.6
2000-02-29,549300.0,191.9,192.0,180.9,180.2
2000-03-01,598200.0,196.1,197.0,193.0,190.5
2000-03-02,599800.0,189.0,196.3,196.0,183.3
2000-03-03,545200.0,186.0,189.8,188.3,182.0
2000-03-06,526800.0,193.8,194.5,186.0,181.9
2000-03-07,573500.0,181.3,193.0,186.1,170.0
2000-03-08,556100.0,158.5,183.6,182.7,155.4
2000-03-09,980600.0,147.4,160.0,156.1,142.6
2000-03-10,796200.0,142.9,155.0,150.0,142.0
2000-03-13,342100.0,129.0,140.8,138.0,129.0
2000-03-14,1467700.0,113.0,131.0,130.3,108.5
2000-03-15,1236100.0,111.9,120.0,117.0,110.0
2000-03-16,961700.0,104.9,115.5,113.3,94.75
2000-03-17,739100.0,100.3,107.4,103.0,99.0
2000-03-20,491400.0,86.5,105.3,103.7,86.0
2000-03-21,1024400.0,95.5,96.0,85.13,77.75
2000-03-22,513600.0,105.3,109.8,97.13,94.5
2000-03-23,572900.0,102.0,106.8,105.4,97.0
2000-03-24,348800.0,102.0,102.0,102.0,102.0
2000-03-27,466500.0,113.5,113.9,104.6,102.8
2000-03-28,395600.0,108.5,113.5,113.5,105.5
2000-03-29,817700.0,92.44,108.6,108.6,91.5
2000-03-30,395600.0,89.19,93.5,92.38,88.13
2000-03-31,572300.0,92.5,98.5,90.0,89.0
2000-04-03,467500.0,86.31,95.31,92.5,82.0
2000-04-04,855100.0,83.25,87.88,87.25,58.25
2000-04-05,782600.0,85.94,89.38,77.0,76.0
2000-04-06,431000.0,88.13,92.0,90.0,85.0
2000-04-07,510600.0,87.81,91.0,91.0,78.98
2000-04-10,412400.0,82.81,90.13,86.25,81.0
2000-04-11,404000.0,67.38,80.63,80.0,66.5
2000-04-12,678000.0,64.25,69.0,69.0,63.0
2000-04-13,347100.0,65.0,70.5,64.94,62.0
2000-04-14,419400.0,58.13,65.0,64.94,56.5
2000-04-17,356400.0,53.5,58.0,56.13,51.5
2000-04-18,1150500.0,59.0,59.0,54.75,54.0
2000-04-19,569800.0,60.5,61.75,60.0,56.0
2000-04-20,656200.0,51.31,61.0,60.5,48.0
2000-04-24,615000.0,47.25,50.13,50.0,43.13
2000-04-25,601200.0,52.38,52.38,48.25,47.5
2000-04-26,628000.0,49.25,53.13,53.13,48.75
2000-04-27,566800.0,49.63,50.38,47.25,47.0
2000-04-28,971700.0,53.25,54.44,50.88,49.19
2000-05-01,1890000.0,70.63,71.0,54.88,53.38
2000-05-02,667900.0,65.31,72.0,67.06,64.0
2000-05-03,780100.0,60.25,67.16,65.44,58.5
2000-05-04,649400.0,62.06,65.25,61.16,56.88
2000-05-05,1108000.0,68.0,68.31,62.94,61.0
2000-05-08,790200.0,60.5,67.0,67.0,59.88
2000-05-09,600000.0,55.06,62.69,62.69,54.94
2000-05-10,1266500.0,50.56,55.19,55.19,46.0
2000-05-11,576400.0,61.0,61.5,53.75,51.0
2000-05-12,421600.0,59.88,62.0,60.69,57.25
2000-05-15,1305450.0,29.19,32.88,31.0,27.0
2000-05-16,4362900.0,37.63,38.0,30.38,30.0
2000-05-17,1326900.0,35.0,38.13,36.31,33.5
2000-05-18,529400.0,33.13,36.38,36.06,32.63
2000-05-19,381200.0,34.25,35.25,32.0,31.75
2000-05-22,677400.0,32.38,34.13,34.13,28.0
2000-05-23,622100.0,30.64,34.88,33.0,30.56
2000-05-24,449900.0,31.44,31.75,31.13,27.5
2000-05-25,614000.0,33.75,34.75,31.94,31.88
2000-05-26,553200.0,29.88,34.13,33.5,28.63
2000-05-30,507200.0,35.13,35.69,31.0,30.75
2000-05-31,1284300.0,36.38,40.69,34.5,34.25
2000-06-01,934500.0,37.63,38.5,37.69,36.19
2000-06-02,1721600.0,42.19,44.75,39.69,39.5
2000-06-05,2041700.0,45.38,46.5,42.0,41.75
2000-06-06,1556800.0,49.94,51.25,45.56,45.5
2000-06-07,1187500.0,50.0,50.38,49.91,48.5
2000-06-08,2028200.0,50.48,52.13,51.0,46.75
2000-06-09,1158000.0,54.25,55.0,50.75,50.75
2000-06-12,9680900.0,38.5,42.75,42.75,37.5
2000-06-13,4033600.0,37.94,39.0,37.38,35.5
2000-06-14,2927900.0,40.13,41.44,38.69,38.69
2000-06-15,1899900.0,40.88,41.0,39.75,39.0
2000-06-16,1377700.0,42.0,42.5,40.94,39.88
2000-06-19,1350900.0,45.25,45.5,41.25,40.63
2000-06-20,1214100.0,44.25,45.75,44.75,41.0
2000-06-21,725700.0,43.5,43.81,43.25,42.0
2000-06-22,959300.0,40.5,43.88,43.88,40.38
2000-06-23,451400.0,39.13,42.5,41.0,39.0
2000-06-26,856800.0,38.38,40.5,40.25,37.88
2000-06-27,927100.0,40.88,43.0,38.75,38.5
2000-06-28,1269500.0,44.0,45.0,40.44,39.63
2000-06-29,1250900.0,43.63,44.75,43.5,43.13
2000-06-30,1788100.0,47.13,48.0,43.69,43.13
2000-07-03,326900.0,46.81,47.13,47.13,45.69
2000-07-05,1528200.0,45.25,47.38,46.25,44.75
2000-07-06,819400.0,44.06,45.0,44.88,43.63
2000-07-07,1067200.0,44.06,45.44,44.38,43.19
2000-07-10,566300.0,47.5,48.19,44.44,44.0
2000-07-11,431000.0,48.13,49.38,46.88,46.0
2000-07-12,930800.0,47.5,49.0,48.0,47.0
2000-07-13,651500.0,43.75,47.63,47.5,43.5
2000-07-14,1314100.0,44.69,46.25,44.94,43.0
2000-07-17,856100.0,46.0,46.0,44.69,43.5
2000-07-18,353100.0,45.19,45.88,45.88,44.19
2000-07-19,397800.0,43.25,45.38,45.31,43.25
2000-07-20,480900.0,43.56,44.69,43.25,43.13
2000-07-21,295200.0,41.63,43.88,43.75,41.5
2000-07-24,255500.0,41.13,45.0,41.88,40.5
2000-07-25,619800.0,39.13,42.0,41.25,37.63
2000-07-26,440100.0,39.5,41.44,39.06,38.13
2000-07-27,257800.0,38.81,40.88,39.25,38.5
2000-07-28,204700.0,36.13,39.06,38.5,36.0
2000-07-31,593800.0,33.13,36.13,36.06,32.88
2000-08-01,657200.0,35.88,38.25,32.88,32.75
2000-08-02,393200.0,38.19,38.63,36.0,35.44
2000-08-03,381900.0,37.81,38.75,36.75,36.0
2000-08-04,1641600.0,35.5,38.56,38.56,32.81
2000-08-07,640300.0,35.88,36.5,36.5,35.5
2000-08-08,613900.0,36.88,38.0,35.88,35.75
2000-08-09,482800.0,33.38,37.13,37.06,32.25
2000-08-10,1939900.0,29.98,33.44,33.44,29.0
2000-08-11,1197500.0,31.81,33.0,30.38,30.0
2000-08-14,909500.0,32.63,33.38,32.0,29.81
2000-08-15,3120200.0,33.38,34.5,32.69,31.75
2000-08-16,3327200.0,34.5,34.5,33.5,33.38
2000-08-17,296100.0,34.75,35.5,35.0,34.25
2000-08-18,549700.0,35.75,36.31,35.25,34.25
2000-08-21,252500.0,35.0,36.0,35.5,34.88
2000-08-22,801800.0,38.94,39.63,35.5,35.13
2000-08-23,475800.0,39.63,40.0,39.5,38.31
2000-08-24,1277700.0,44.25,44.5,39.75,39.63
2000-08-25,650100.0,45.38,45.94,44.06,41.94
2000-08-28,334700.0,43.25,45.5,45.06,42.0
2000-08-29,352100.0,43.69,45.56,43.25,42.88
2000-08-30,304900.0,45.75,46.0,43.56,43.56
2000-08-31,560900.0,46.25,47.63,45.69,44.63
2000-09-01,555500.0,48.63,49.06,47.06,47.0
2000-09-05,616700.0,45.94,49.25,48.88,45.06
2000-09-06,1781800.0,38.81,46.13,46.06,37.81
2000-09-07,824700.0,43.06,44.75,40.69,39.81
2000-09-08,259800.0,42.56,43.5,43.19,41.0
2000-09-11,410800.0,41.63,43.44,42.0,40.75
2000-09-12,646400.0,44.56,46.0,41.72,41.5
2000-09-13,546700.0,45.44,45.63,43.81,42.38
2000-09-14,1209000.0,45.13,45.75,45.75,44.13
2000-09-15,713700.0,40.69,45.5,45.38,40.56
2000-09-18,403900.0,38.56,42.5,42.0,38.38
2000-09-19,504900.0,41.44,41.5,39.5,38.75
2000-09-20,432100.0,41.25,44.13,41.53,40.25
2000-09-21,223700.0,42.0,42.63,41.22,39.25
2000-09-22,362900.0,44.0,44.25,40.75,40.75
2000-09-25,416800.0,42.0,45.38,45.0,41.75
