date,5. volume,4. close,2. high,1. open,3. low
2006-11-16,5704800.0,13.81,15.53,14.5,13.81
2006-11-17,960000.0,13.0,13.99,13.98,12.85
2006-11-20,973800.0,12.16,13.01,13.0,11.98
2006-11-21,950500.0,11.61,12.2,12.03,11.49
2006-11-22,283100.0,12.43,12.48,12.02,11.678
2006-11-24,161800.0,12.2,12.73,12.38,12.18
2006-11-27,183500.0,12.15,12.5,12.25,12.0
2006-11-28,263100.0,11.524,12.39,12.16,11.5
2006-11-29,142400.0,11.51,11.85,11.61,11.5
2006-11-30,82700.0,11.66,11.66,11.5,11.5
2006-12-01,134800.0,11.52,11.64,11.58,11.5
2006-12-04,316200.0,11.44,11.6,11.5,11.25
2006-12-05,292900.0,10.92,11.49,11.27,10.9
2006-12-06,158600.0,11.0,11.44,10.65,10.65
2006-12-07,182900.0,10.56,11.25,10.84,10.55
2006-12-08,192500.0,10.87,11.09,10.7,10.43
2006-12-11,64400.0,10.5,11.1,10.9,10.5
2006-12-12,109400.0,10.53,10.85,10.8,10.49
2006-12-13,220000.0,10.15,10.79,10.79,10.05
2006-12-14,129200.0,10.1,10.38,10.15,10.0
2006-12-15,87600.0,10.28,10.686,10.23,10.0601
2006-12-18,143300.0,10.51,10.585,10.25,10.25
2006-12-19,253500.0,10.79,10.82,10.37,10.23
2006-12-20,99300.0,10.29,10.77,10.77,10.26
2006-12-21,49400.0,10.35,10.53,10.29,10.26
2006-12-22,60900.0,10.19,10.46,10.28,10.05
2006-12-26,244100.0,10.29,10.89,10.3,10.25
2006-12-27,136300.0,10.62,10.79,10.55,10.29
2006-12-28,290400.0,11.55,11.81,10.87,10.76
2006-12-29,307300.0,11.71,11.8,11.55,11.5
2007-01-03,104000.0,11.34,11.65,11.45,11.15
2007-01-04,82200.0,11.5,11.7,11.62,11.25
2007-01-05,114700.0,11.09,11.79,11.79,10.8
2007-01-08,168900.0,10.52,11.0,11.0,10.32
2007-01-09,71700.0,10.44,10.52,10.5,10.3
2007-01-10,142200.0,10.32,10.65,10.32,10.05
2007-01-11,543000.0,10.4,10.59,10.48,10.15
2007-01-12,198500.0,10.62,11.29,10.63,10.3
2007-01-16,133900.0,10.83,11.18,10.89,10.71
2007-01-17,62800.0,10.71,10.98,10.98,10.65
2007-01-18,66500.0,10.51,10.95,10.89,10.38
2007-01-19,53100.0,10.5,10.65,10.51,10.32
2007-01-22,440600.0,10.26,10.75,10.75,10.15
2007-01-23,234000.0,10.22,10.41,10.3,10.19
2007-01-24,367200.0,10.22,10.3,10.21,10.17
2007-01-25,88000.0,10.28,10.63,10.2848,10.196
2007-01-26,149000.0,10.0,10.34,10.34,9.77
2007-01-29,47400.0,9.99,10.1808,10.0,9.8
2007-01-30,117300.0,10.2,10.46,10.18,10.02
2007-01-31,50800.0,10.42,10.5,10.2,10.09
2007-02-01,29900.0,10.37,10.59,10.59,10.284
2007-02-02,181100.0,10.9,10.99,10.4,10.25
2007-02-05,136200.0,11.03,11.29,10.96,10.96
2007-02-06,222100.0,10.72,11.19,11.0,10.55
2007-02-07,113200.0,10.4,10.9,10.9,10.33
2007-02-08,59200.0,10.41,10.68,10.68,10.37
2007-02-09,169100.0,10.2001,10.59,10.43,10.2
2007-02-12,368300.0,9.72,10.18,10.18,9.24
2007-02-13,358500.0,9.08,9.65,9.49,8.88
2007-02-14,320100.0,9.25,9.382,9.08,8.85
2007-02-15,149100.0,9.85,9.87,9.3,9.3
2007-02-16,77700.0,9.67,9.84,9.84,9.59
2007-02-20,113200.0,9.76,9.84,9.6,9.6
2007-02-21,62400.0,9.75,9.84,9.71,9.68
2007-02-22,69600.0,9.7,9.7755,9.75,9.62
2007-02-23,92400.0,9.75,9.81,9.61,9.61
2007-02-26,109000.0,9.99,10.0,9.85,9.75
2007-02-27,185300.0,9.7,9.76,9.6,9.31
2007-02-28,116500.0,9.66,9.89,9.6,9.19
2007-03-01,111600.0,9.7,9.73,9.41,9.22
2007-03-02,99700.0,9.26,9.6,9.57,9.25
2007-03-05,340100.0,8.42,9.3,9.02,8.34
2007-03-06,119600.0,8.59,8.83,8.51,8.5
2007-03-07,55800.0,9.03,9.1,8.8,8.61
2007-03-08,32500.0,9.26,9.32,8.9999,8.9999
2007-03-09,31700.0,9.22,9.3,9.21,9.15
2007-03-12,70900.0,9.17,9.35,9.09,9.03
2007-03-13,93800.0,9.3,9.32,9.13,9.13
2007-03-14,116400.0,9.3,9.4,9.17,8.92
2007-03-15,21300.0,9.05,9.43,9.41,9.04
2007-03-16,42200.0,8.76,9.24,9.24,8.76
2007-03-19,77200.0,8.88,8.95,8.95,8.82
2007-03-20,111800.0,8.98,9.16,8.87,8.75
2007-03-21,61800.0,9.07,9.2,9.1099,8.75
2007-03-22,102900.0,8.82,9.14,9.14,8.74
2007-03-23,31200.0,8.76,9.02,8.75,8.7
2007-03-26,62500.0,8.89,8.94,8.67,8.4
2007-03-27,71800.0,8.93,8.9905,8.85,8.84
2007-03-28,141000.0,9.01,9.04,8.93,8.93
2007-03-29,21400.0,9.2,9.2,9.0,8.96
2007-03-30,27300.0,9.15,9.24,9.2,8.96
2007-04-02,1198400.0,7.11,8.6,8.6,6.85
2007-04-03,462600.0,6.98,7.12,6.91,6.73
2007-04-04,63700.0,6.98,6.99,6.99,6.8
2007-04-05,72600.0,7.01,7.04,7.0,6.87
2007-04-09,536400.0,7.48,7.6,7.55,7.25
2007-04-10,141600.0,7.46,7.52,7.5,7.45
2007-04-11,208100.0,7.34,7.47,7.41,7.25
2007-04-12,57500.0,7.29,7.39,7.1,7.1
2007-04-13,40000.0,7.2,7.36,7.35,7.18
2007-04-16,148400.0,7.15,7.33,7.23,7.11
2007-04-17,86000.0,7.27,7.29,7.2,7.13
2007-04-18,29600.0,7.22,7.29,7.19,7.19
2007-04-19,79900.0,7.3,7.36,7.19,7.19
2007-04-20,47800.0,7.4,7.5,7.35,7.28
2007-04-23,125200.0,7.925,8.1,7.54,7.4524
2007-04-24,121600.0,8.2,8.32,7.82,7.82
2007-04-25,118800.0,8.31,8.39,8.3,8.05
2007-04-26,35100.0,8.18,8.4,8.4,8.02
2007-04-27,43900.0,7.78,8.208,8.15,7.56
2007-04-30,95500.0,7.72,7.72,7.6,7.33
2007-05-01,58900.0,7.61,7.74,7.56,7.55
2007-05-02,52200.0,7.78,7.8,7.6,7.6
2007-05-03,33600.0,7.77,7.82,7.6,7.6
2007-05-04,29300.0,8.03,8.03,7.71,7.615
2007-05-07,27500.0,8.0,8.03,8.03,7.61
2007-05-08,19400.0,7.85,7.99,7.8,7.8
2007-05-09,23600.0,7.54,8.0,7.8,7.49
2007-05-10,90300.0,7.45,7.85,7.46,7.35
2007-05-11,62500.0,7.62,7.72,7.4,7.24
2007-05-14,72400.0,7.44,7.64,7.59,7.17
2007-05-15,44100.0,7.58,7.63,7.5,7.46
2007-05-16,96600.0,7.38,7.72,7.56,7.31
2007-05-17,7400.0,7.42,7.46,7.4,7.35
2007-05-18,10000.0,7.39,7.49,7.41,7.3
2007-05-21,46300.0,7.45,7.54,7.4,7.3
2007-05-22,38600.0,7.4048,7.57,7.42,7.23
2007-05-23,159800.0,7.11,7.4,7.33,6.8801
2007-05-24,45400.0,6.99,7.22,7.08,6.9601
2007-05-25,55100.0,7.05,7.06,7.06,6.95
2007-05-29,578400.0,6.6,6.95,6.9,6.6
2007-05-30,308100.0,6.45,6.6,6.5,6.38
2007-05-31,325200.0,6.79,6.9,6.4,6.3
2007-06-01,294600.0,7.01,7.19,6.75,6.65
2007-06-04,302700.0,7.05,7.1,6.96,6.72
2007-06-05,167200.0,6.95,7.01,7.01,6.79
2007-06-06,89800.0,6.75,6.88,6.88,6.6
2007-06-07,160400.0,6.81,6.86,6.7,6.7
2007-06-08,65800.0,6.75,6.95,6.77,6.7
2007-06-11,67900.0,6.81,6.87,6.76,6.72
2007-06-12,52300.0,6.75,7.0,6.72,6.72
2007-06-13,69300.0,6.94,7.0,6.86,6.75
2007-06-14,13300.0,6.9,6.97,6.8,6.8
2007-06-15,45600.0,6.828,6.95,6.91,6.79
2007-06-18,73500.0,6.85,6.97,6.81,6.69
2007-06-19,198200.0,6.92,7.0,6.862,6.862
2007-06-20,150300.0,6.93,6.96,6.89,6.75
2007-06-21,56600.0,7.0,7.09,6.93,6.75
2007-06-22,109100.0,7.21,7.3,7.1,6.88
2007-06-25,40800.0,7.18,7.29,7.16,7.13
2007-06-26,82700.0,6.93,7.1,7.05,6.83
2007-06-27,44000.0,6.91,6.94,6.89,6.75
2007-06-28,17000.0,6.83,7.0,7.0,6.76
2007-06-29,43800.0,6.8,6.82,6.7701,6.75
2007-07-02,55400.0,6.89,7.06,6.76,6.75
2007-07-03,56300.0,6.69,7.0,7.0,6.64
2007-07-05,147400.0,6.6057,6.73,6.7,6.46
2007-07-06,88800.0,6.55,6.64,6.59,6.43
2007-07-09,78500.0,6.59,6.64,6.63,6.55
2007-07-10,117100.0,6.59,6.62,6.59,6.5
2007-07-11,322500.0,7.11,7.13,6.6,6.6
2007-07-12,68200.0,6.98,7.1,7.1,6.85
2007-07-13,133500.0,6.95,7.02,6.91,6.87
2007-07-16,127200.0,7.04,7.09,6.9,6.86
2007-07-17,170500.0,7.61,7.7,7.04,7.04
2007-07-18,213600.0,7.86,7.93,7.61,7.4
2007-07-19,182100.0,7.74,8.07,8.07,7.48
2007-07-20,68800.0,8.04,8.1,7.79,7.75
2007-07-23,42100.0,8.06,8.18,8.18,7.98
2007-07-24,32100.0,7.79,8.06,8.06,7.62
2007-07-25,63600.0,7.82,7.84,7.77,7.57
2007-07-26,77200.0,7.8,7.95,7.73,7.42
2007-07-27,80300.0,7.753,7.8,7.33,7.21
2007-07-30,58400.0,7.26,7.73,7.73,7.21
2007-07-31,69500.0,7.01,7.4,7.39,6.91
2007-08-01,38800.0,7.0,7.01,6.85,6.62
2007-08-02,56200.0,7.26,7.26,6.97,6.82
2007-08-03,44300.0,6.85,7.23,7.13,6.85
2007-08-06,383900.0,6.65,6.9,6.79,6.4
2007-08-07,56000.0,6.54,6.63,6.6,6.5
2007-08-08,146300.0,6.67,6.7,6.46,6.45
2007-08-09,68000.0,6.52,6.81,6.61,6.31
2007-08-10,86000.0,6.4,6.54,6.5,6.33
2007-08-13,53400.0,6.26,6.42,6.42,6.15
2007-08-14,50900.0,6.37,6.539,6.2,6.19
2007-08-15,86200.0,6.2,6.39,6.38,6.18
2007-08-16,112400.0,6.14,6.4,6.4,5.75
2007-08-17,27200.0,6.27,6.38,6.22,6.06
2007-08-20,58900.0,6.3,6.35,6.325,6.04
2007-08-21,10100.0,6.22,6.39,6.26,6.21
2007-08-22,26300.0,6.25,6.32,6.3,6.14
2007-08-23,64900.0,6.2,6.34,6.25,6.02
2007-08-24,35000.0,6.19,6.24,6.24,6.03
2007-08-27,82800.0,5.96,6.16,6.16,5.81
2007-08-28,61600.0,6.01,6.15,5.8701,5.8701
2007-08-29,117200.0,6.12,6.13,5.99,5.9
2007-08-30,124100.0,6.01,6.12,6.07,5.9
2007-08-31,72200.0,6.13,6.21,6.0,6.0
2007-09-04,41300.0,6.19,6.24,6.17,5.97
2007-09-05,13500.0,6.08,6.2,6.15,6.07
2007-09-06,75700.0,6.11,6.24,6.05,6.05
2007-09-07,116700.0,6.03,6.14,6.06,5.93
2007-09-10,50300.0,5.86,6.01,6.01,5.81
2007-09-11,60100.0,6.07,6.37,5.94,5.91
2007-09-12,124700.0,5.94,6.12,6.04,5.87
2007-09-13,48600.0,5.8,5.95,5.92,5.75
2007-09-14,67600.0,5.67,5.76,5.76,5.6
2007-09-17,23200.0,5.82,5.88,5.64,5.64
2007-09-18,30300.0,5.76,5.91,5.85,5.71
2007-09-19,98200.0,5.68,5.91,5.8,5.68
2007-09-20,11400.0,5.67,5.75,5.67,5.62
2007-09-21,15200.0,5.81,5.85,5.7,5.66
2007-09-24,21500.0,5.83,5.87,5.805,5.75
2007-09-25,64400.0,5.63,5.91,5.85,5.62
2007-09-26,427400.0,5.73,5.77,5.67,5.55
2007-09-27,60800.0,5.91,5.99,5.73,5.62
2007-09-28,58900.0,6.0,6.03,5.88,5.86
2007-10-01,32600.0,6.09,6.09,5.98,5.98
2007-10-02,82100.0,6.0,6.35,6.1,5.92
2007-10-03,36500.0,6.03,6.22,5.95,5.82
2007-10-04,50500.0,6.32,6.4,6.01,6.01
2007-10-05,48300.0,6.7,6.74,6.4,6.2999
2007-10-08,38200.0,6.96,6.98,6.7,6.53
2007-10-09,26900.0,6.74,6.94,6.94,6.71
2007-10-10,266500.0,6.2,6.38,5.71,5.65
2007-10-11,90600.0,6.0,6.25,6.25,5.9
2007-10-12,32300.0,6.02,6.16,6.05,5.92
2007-10-15,33100.0,5.94,6.14,6.06,5.94
2007-10-16,41300.0,5.83,6.12,5.97,5.71
2007-10-17,34300.0,5.77,5.86,5.82,5.72
2007-10-18,23200.0,5.82,5.85,5.77,5.65
2007-10-19,34600.0,5.7,6.0,5.78,5.66
2007-10-22,23200.0,5.71,5.85,5.75,5.68
2007-10-23,19400.0,5.7,5.77,5.68,5.65
2007-10-24,25400.0,5.63,5.7499,5.69,5.61
2007-10-25,33000.0,5.7,5.92,5.61,5.6
2007-10-26,21800.0,5.75,5.8,5.72,5.72
2007-10-29,33200.0,5.79,5.83,5.73,5.69
2007-10-30,62600.0,5.7,5.81,5.75,5.7
2007-10-31,172200.0,6.25,6.44,5.82,5.82
2007-11-01,53800.0,6.12,6.25,6.24,6.05
2007-11-02,36200.0,5.95,6.12,6.11,5.94
2007-11-05,54100.0,6.15,6.2,6.01,6.0
2007-11-06,57700.0,6.11,6.12,6.07,5.91
2007-11-07,149100.0,5.67,5.88,5.8,5.51
2007-11-08,34900.0,5.7,5.74,5.7,5.52
2007-11-09,18700.0,5.59,5.62,5.52,5.51
2007-11-12,102300.0,5.36,6.3,6.3,5.21
2007-11-13,33900.0,5.25,5.43,5.43,5.21
2007-11-14,17000.0,5.23,5.55,5.55,5.2
2007-11-15,14800.0,5.27,5.35,5.19,5.18
2007-11-16,65800.0,5.2,5.24,5.24,4.95
2007-11-19,59500.0,5.09,5.2,5.15,4.8
2007-11-20,37800.0,5.01,5.15,5.12,4.92
2007-11-21,71600.0,4.78,4.96,4.94,4.63
2007-11-23,12000.0,4.94,5.08,4.8,4.8
2007-11-26,21600.0,4.8,4.98,4.98,4.75
2007-11-27,26700.0,4.71,4.94,4.94,4.66
2007-11-28,31000.0,4.72,4.84,4.84,4.6
2007-11-29,37200.0,4.75,4.75,4.7,4.51
2007-11-30,55900.0,4.84,4.9,4.72,4.65
2007-12-03,48700.0,4.66,4.73,4.62,4.56
2007-12-04,25400.0,4.62,4.66,4.61,4.5
2007-12-05,43500.0,4.72,4.78,4.65,4.58
2007-12-06,42900.0,4.64,4.8,4.75,4.61
2007-12-07,33100.0,4.51,4.72,4.63,4.45
2007-12-10,30100.0,4.54,4.57,4.52,4.48
2007-12-11,35500.0,4.4,4.58,4.51,4.33
2007-12-12,44000.0,4.35,4.44,4.4,4.27
2007-12-13,51300.0,4.5,4.56,4.48,4.29
2007-12-14,39100.0,4.76,4.85,4.55,4.54
