date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,3589100.0,126.5,128.4,128.4,125.3
2000-01-04,5705600.0,120.3,125.3,121.8,120.0
2000-01-05,6947800.0,115.2,120.2,118.1,113.6
2000-01-06,5609500.0,115.9,118.9,114.3,112.3
2000-01-07,9433100.0,116.9,117.1,112.8,111.0
2000-01-10,7553600.0,126.4,127.2,119.1,118.5
2000-01-11,6816000.0,120.8,129.7,123.8,120.2
2000-01-12,7637600.0,127.1,127.3,122.0,117.9
2000-01-13,11049100.0,124.5,127.5,123.6,119.6
2000-01-14,15353800.0,135.6,139.0,129.8,129.5
2000-01-18,6933400.0,135.1,137.8,133.9,132.1
2000-01-19,7273100.0,142.4,143.3,135.5,134.3
2000-01-20,7045000.0,140.0,145.4,143.9,138.6
2000-01-21,7711500.0,141.3,142.8,141.6,137.8
2000-01-24,6338200.0,140.5,146.6,140.3,140.3
2000-01-25,8213700.0,144.4,145.3,141.4,135.3
2000-01-26,6806900.0,134.3,144.4,144.1,134.1
2000-01-27,6746500.0,135.5,140.3,137.2,133.4
2000-01-28,7873700.0,129.8,138.4,134.6,128.6
2000-01-31,7587800.0,137.3,137.6,128.7,128.3
2000-02-01,5698700.0,140.5,141.4,133.8,133.3
2000-02-02,6974300.0,143.8,147.0,140.1,139.6
2000-02-03,5899300.0,148.5,150.0,144.9,144.9
2000-02-04,4749500.0,145.4,150.9,149.6,144.9
2000-02-07,5359500.0,153.6,154.2,145.5,144.0
2000-02-08,9275100.0,161.0,161.5,154.8,152.5
2000-02-09,9439300.0,163.7,168.6,159.2,159.1
2000-02-10,6914700.0,174.8,174.8,163.8,161.3
2000-02-11,8284100.0,165.0,174.3,172.9,163.5
2000-02-14,7676300.0,161.1,169.6,167.6,159.8
2000-02-15,10276200.0,166.5,169.3,163.9,159.8
2000-02-16,12741500.0,173.4,177.8,175.0,171.5
2000-02-17,11884100.0,188.4,188.9,174.1,169.9
2000-02-18,8818200.0,177.8,189.3,188.3,177.0
2000-02-22,7543900.0,178.8,184.0,176.4,173.4
2000-02-23,5999500.0,181.0,184.3,178.5,177.6
2000-02-24,6785800.0,183.5,186.8,180.3,178.8
2000-02-25,6556200.0,172.3,185.4,183.7,171.0
2000-02-28,8512000.0,176.9,179.3,173.8,167.1
2000-02-29,6808600.0,182.9,184.5,180.0,179.6
2000-03-01,4921500.0,184.6,185.5,183.5,181.4
2000-03-02,4343200.0,180.5,186.9,183.3,180.3
