date,5. volume,4. close,2. high,1. open,3. low
2016-10-06,97267.0,4.19,5.47,4.99,3.7
2016-10-07,123504.0,4.65,4.7,4.39,4.3
2016-10-10,48723.0,4.35,4.75,4.75,4.35
2016-10-11,41595.0,4.12,4.4,4.4,3.8437
2016-10-12,101070.0,4.44,4.548,4.0,3.81
2016-10-13,67463.0,4.21,4.72,4.3798,4.175
2016-10-14,48045.0,4.0,4.47,4.15,4.0
2016-10-17,23624.0,4.01,4.35,4.14,3.9
2016-10-18,17712.0,3.99,4.0826,3.91,3.8961
2016-10-19,17908.0,4.06,4.3,4.28,3.8759
2016-10-20,8572.0,3.9978,4.19,4.19,3.984
2016-10-21,5130.0,3.9529,3.982,3.98,3.9
2016-10-24,10865.0,3.56,4.03,4.03,3.56
2016-10-25,21932.0,3.75,4.0,3.9944,3.711
2016-10-26,4722.0,3.85,4.0,3.88,3.85
2016-10-27,5848.0,3.86,3.9993,3.99,3.8
2016-10-28,21166.0,3.99,4.0,4.0,3.91
2016-10-31,40399.0,3.9699,4.02,4.0,3.9206
2016-11-01,39108.0,3.9,4.0,4.0,3.85
2016-11-02,21722.0,3.93,4.0,3.9255,3.81
2016-11-03,20737.0,4.05,4.19,3.95,3.95
2016-11-04,19801.0,4.2,4.3,3.85,3.85
2016-11-07,40112.0,4.6,4.6,4.05,4.05
2016-11-08,42568.0,4.44,4.75,4.6,4.3
2016-11-09,29121.0,4.06,4.38,4.38,4.006
2016-11-10,12612.0,4.06,4.4499,4.066,4.0
2016-11-11,8246.0,4.16,4.24,4.24,3.95
2016-11-14,41083.0,4.07,4.4,4.14,4.0
2016-11-15,2906.0,4.16,4.2539,4.14,4.1
2016-11-16,16060.0,4.125,4.23,4.16,4.08
2016-11-17,21619.0,4.25,4.25,4.05,4.0
2016-11-18,50490.0,4.27,4.52,4.25,4.15
2016-11-21,17900.0,4.17,4.35,4.29,4.05
2016-11-22,9344.0,4.08,4.2,4.1,4.01
2016-11-23,49745.0,3.85,4.05,4.05,3.82
2016-11-25,5594.0,4.11,4.15,4.13,3.91
2016-11-28,23754.0,4.0,4.24,4.13,4.0
2016-11-29,15281.0,4.01,4.08,4.08,3.8057
2016-11-30,13602.0,4.18,4.2,4.14,4.01
2016-12-01,8220.0,3.96,4.1,4.1,3.9
2016-12-02,20333.0,4.09,4.09,4.0,3.86
2016-12-05,21325.0,4.0,4.19,3.94,3.94
2016-12-06,3669.0,3.91,4.04,3.9856,3.85
2016-12-07,8467.0,3.87,3.99,3.9707,3.86
2016-12-08,19221.0,3.84,3.96,3.95,3.68
2016-12-09,4888.0,3.8,3.988,3.84,3.8
2016-12-12,31957.0,3.95,4.05,3.8306,3.8306
2016-12-13,14091.0,4.0,4.0,3.95,3.85
2016-12-14,9274.0,3.99,4.0,3.95,3.9
2016-12-15,13565.0,3.98,3.98,3.97,3.82
2016-12-16,21437.0,3.57,3.84,3.82,3.57
2016-12-19,17455.0,3.56,3.8405,3.6,3.55
2016-12-20,7234.0,3.729,3.735,3.67,3.52
2016-12-21,6610.0,3.67,3.6775,3.5501,3.55
2016-12-22,3313.0,3.61,3.74,3.74,3.61
2016-12-23,10219.0,3.55,3.6447,3.56,3.55
2016-12-27,4353.0,3.55,3.61,3.61,3.55
2016-12-28,38220.0,3.45,3.5499,3.51,3.26
2016-12-29,6082.0,3.4,3.48,3.31,3.3
2016-12-30,21133.0,3.64,3.65,3.401,3.4
2017-01-03,25919.0,3.75,3.75,3.65,3.55
2017-01-04,11434.0,3.73,3.77,3.77,3.65
2017-01-05,29694.0,3.83,3.9,3.7864,3.507
2017-01-06,3528.0,3.82,3.85,3.8,3.6573
2017-01-09,7830.0,3.8741,3.8741,3.75,3.75
2017-01-10,25616.0,3.9699,3.9933,3.88,3.72
2017-01-11,8408.0,3.88,3.95,3.91,3.83
2017-01-12,26351.0,3.85,3.98,3.88,3.8
2017-01-13,12061.0,3.81,3.85,3.8453,3.7812
2017-01-17,14524.0,3.75,3.89,3.88,3.75
2017-01-18,32107.0,3.85,3.88,3.76,3.75
2017-01-19,21497.0,3.87,3.9,3.9,3.8314
2017-01-20,7629.0,3.75,3.9,3.9,3.75
2017-01-23,5766.0,3.75,3.799,3.75,3.75
2017-01-24,47073.0,3.73,3.75,3.7,3.22
2017-01-25,47692.0,3.8,3.9,3.75,3.6628
2017-01-26,3332.0,3.7252,3.76,3.76,3.7252
2017-01-27,11979.0,3.59,3.68,3.68,3.59
2017-01-30,19535.0,3.55,3.67,3.59,3.36
2017-01-31,51433.0,3.46,3.6,3.55,3.4
2017-02-01,14439.0,3.55,3.74,3.6,3.55
2017-02-02,10561.0,3.59,3.7,3.6,3.57
2017-02-03,28802.0,3.42,3.626,3.58,3.42
2017-02-06,49240.0,3.38,3.551,3.42,3.32
2017-02-07,23767.0,3.42,3.5,3.38,3.35
2017-02-08,12522.0,3.3,3.488,3.46,3.25
2017-02-09,19155.0,3.29,3.389,3.389,3.25
2017-02-10,36957.0,2.94,3.262,3.23,2.82
2017-02-13,41220.0,3.19,3.3,2.98,2.91
2017-02-14,21527.0,2.95,3.29,3.29,2.92
2017-02-15,29052.0,3.04,3.148,2.93,2.901
2017-02-16,11000.0,2.88,3.05,2.97,2.87
2017-02-17,3099.0,3.05,3.05,2.9,2.86
2017-02-21,21280.0,2.88,3.105,3.05,2.88
2017-02-22,19800.0,2.94,3.069,3.069,2.86
2017-02-23,9362.0,2.97,2.98,2.98,2.91
2017-02-24,16799.0,3.0,3.05,2.996,2.95
2017-02-27,25205.0,3.0,3.15,2.955,2.955
2017-02-28,33955.0,2.86,3.06,2.974,2.86
2017-03-01,83338.0,3.04,3.05,2.978,2.85
2017-03-02,23887.0,3.12,3.19,3.09,3.086
2017-03-03,37890.0,3.05,3.2,3.2,3.05
2017-03-06,49266.0,2.79,3.055,3.05,2.79
2017-03-07,44417.0,2.75,2.92,2.92,2.6
2017-03-08,77397.0,2.77,3.07,2.8,2.64
2017-03-09,42339.0,2.78,2.83,2.8,2.76
2017-03-10,17407.0,2.86,2.96,2.84,2.82
2017-03-13,61560.0,2.79,2.95,2.91,2.79
2017-03-14,17474.0,2.75,2.87,2.87,2.6
2017-03-15,35714.0,2.6,2.81,2.64,2.51
2017-03-16,2435.0,2.64,2.65,2.57,2.57
2017-03-17,13977.0,2.87,2.87,2.64,2.64
2017-03-20,12904.0,2.9,2.91,2.86,2.85
2017-03-21,9921.0,2.85,3.0,3.0,2.85
2017-03-22,11643.0,2.79,2.89,2.82,2.79
2017-03-23,29144.0,2.78,2.817,2.79,2.56
2017-03-24,19965.0,2.8,2.98,2.75,2.71
2017-03-27,33053.0,2.79,2.88,2.88,2.73
2017-03-28,47243.0,2.65,2.82,2.75,2.63
2017-03-29,14841.0,2.71,2.74,2.66,2.66
2017-03-30,8297.0,2.7,2.74,2.74,2.66
2017-03-31,5895.0,2.65,2.67,2.66,2.63
2017-04-03,3464.0,2.63,2.683,2.683,2.6
2017-04-04,1110.0,2.6,2.62,2.62,2.6
2017-04-05,20041.0,2.61,2.664,2.6,2.48
2017-04-06,23278.0,2.62,2.7,2.67,2.6
2017-04-07,18486.0,2.6,2.66,2.66,2.52
2017-04-10,20304.0,2.57,2.7,2.69,2.57
2017-04-11,180684.0,2.68,3.38,2.68,2.65
2017-04-12,47520.0,2.55,2.68,2.68,2.42
2017-04-13,57902.0,2.24,2.563,2.462,1.87
2017-04-17,37788.0,2.16,2.21,2.21,1.88
2017-04-18,33373.0,2.03,2.19,2.15,2.02
2017-04-19,109133.0,1.81,2.0,1.92,1.79
2017-04-20,91048.0,1.74,1.81,1.81,1.7
2017-04-21,24054.0,1.69,1.72,1.72,1.65
2017-04-24,85449.0,1.54,1.654,1.65,1.34
2017-04-25,58299.0,1.4,1.608,1.608,1.35
2017-04-26,54206.0,1.54,1.54,1.45,1.38
2017-04-27,56221.0,1.4,1.58,1.58,1.39
2017-04-28,54160.0,1.37,1.522,1.468,1.37
2017-05-01,61831.0,1.2,1.5,1.5,1.2
2017-05-02,45236.0,1.36,1.41,1.2,1.2
2017-05-03,140152.0,1.481,1.59,1.56,1.35
2017-05-04,320872.0,1.76,1.977,1.6,1.52
2017-05-05,157832.0,1.69,1.94,1.77,1.65
2017-05-08,73554.0,1.59,1.86,1.78,1.529
2017-05-09,49952.0,1.53,1.63,1.63,1.51
2017-05-10,52163.0,1.511,1.6,1.6,1.5
2017-05-11,63923.0,1.44,1.56,1.54,1.3
2017-05-12,59910.0,1.339,1.43,1.43,1.24
2017-05-15,32386.0,1.3,1.34,1.34,1.2
2017-05-16,16674.0,1.253,1.3,1.3,1.21
2017-05-17,45629.0,1.23,1.25,1.23,1.17
2017-05-18,10639.0,1.2,1.23,1.19,1.19
2017-05-19,35149.0,1.25,1.25,1.2,1.2
2017-05-22,44912.0,1.28,1.28,1.25,1.2
2017-05-23,21940.0,1.29,1.31,1.28,1.21
2017-05-24,62955.0,1.31,1.36,1.25,1.25
2017-05-25,12909.0,1.235,1.32,1.32,1.22
2017-05-26,37855.0,1.262,1.31,1.232,1.2
2017-05-30,32704.0,1.179,1.305,1.305,1.147
2017-05-31,51578.0,1.2,1.21,1.12,1.068
2017-06-01,34649.0,1.2,1.3,1.2,1.15
2017-06-02,6147.0,1.25,1.269,1.25,1.25
2017-06-05,20511.0,1.2,1.29,1.29,1.2
2017-06-06,6985.0,1.23,1.25,1.25,1.18
2017-06-07,30566.0,1.137,1.2,1.2,1.13
2017-06-08,23161.0,1.146,1.158,1.13,1.035
2017-06-09,45124.0,1.139,1.17,1.1,1.07
