date,5. volume,4. close,2. high,1. open,3. low
2010-07-22,1717000.0,10.17,10.9,10.25,10.15
2010-07-23,422800.0,10.06,10.35,10.3,10.0
2010-07-26,199500.0,9.93,10.07,10.04,9.34
2010-07-27,375200.0,10.0,10.1,9.88,9.56
2010-07-28,269900.0,10.0,10.08,10.06,9.8
2010-07-29,166700.0,10.15,10.16,10.0,9.99
2010-07-30,76800.0,10.0,10.16,10.16,9.95
2010-08-02,73300.0,10.13,10.15,10.0,10.0
2010-08-03,79900.0,10.0,10.07,10.01,10.0
2010-08-04,138100.0,10.07,10.07,9.95,9.9
2010-08-05,103900.0,10.0,10.05,10.0,10.0
2010-08-06,119300.0,10.0,10.03,10.0,9.95
2010-08-09,55900.0,10.0,10.05,10.0,9.9
2010-08-10,137100.0,10.0,10.1,10.0,10.0
2010-08-11,47200.0,10.09,10.1,10.03,10.0
2010-08-12,74100.0,10.11,10.25,10.1,10.046
2010-08-13,18900.0,10.0,10.05,10.04,10.0
2010-08-16,22500.0,10.03,10.1,10.02,10.0
2010-08-17,42400.0,10.05,10.1,10.0,10.0
2010-08-18,37500.0,10.05,10.1,9.95,9.95
2010-08-19,153500.0,10.1,10.15,10.0,9.99
2010-08-20,415600.0,11.23,11.7398,10.15,10.08
2010-08-23,370200.0,11.5,12.33,11.58,11.34
2010-08-24,112100.0,11.59,12.0,11.5,11.0
2010-08-25,64200.0,11.55,11.67,11.48,11.17
2010-08-26,143200.0,10.95,11.55,11.38,10.635
2010-08-27,51900.0,11.25,11.31,10.8,10.8
2010-08-30,129600.0,11.44,11.96,11.25,11.2425
2010-08-31,497800.0,12.18,12.39,11.57,11.4
2010-09-01,157200.0,11.87,12.45,12.44,11.79
2010-09-02,103400.0,12.25,12.45,11.95,11.55
2010-09-03,242200.0,12.94,13.18,12.25,12.1
2010-09-07,64100.0,12.71,12.88,12.85,12.6
2010-09-08,97700.0,12.8,13.19,12.8,12.53
2010-09-09,122200.0,13.05,13.269,12.87,12.6
2010-09-10,137300.0,13.13,13.39,13.2,12.91
2010-09-13,112500.0,14.0,14.1,13.4,13.17
2010-09-14,157000.0,13.74,14.17,14.17,13.64
2010-09-15,83200.0,13.65,13.88,13.77,13.35
2010-09-16,229400.0,13.15,13.83,13.5,12.55
2010-09-17,60500.0,13.0,13.21,13.15,12.69
2010-09-20,15700.0,12.96,13.065,13.0,12.9
2010-09-21,56100.0,12.23,13.0,13.0,12.23
2010-09-22,67000.0,11.76,12.14,12.1,11.64
2010-09-23,50200.0,11.51,11.78,11.78,11.41
2010-09-24,69500.0,11.744,11.99,11.52,11.42
2010-09-27,100100.0,11.46,11.82,11.82,11.1
2010-09-28,77500.0,11.85,11.88,11.42,11.42
2010-09-29,198300.0,12.5,13.12,11.85,11.825
2010-09-30,770200.0,11.9,12.78,12.58,11.88
2010-10-01,139800.0,12.3,12.3,11.9,11.85
2010-10-04,49300.0,11.93,12.32,12.32,11.71
2010-10-05,76800.0,12.1,12.2198,12.06,11.72
2010-10-06,85100.0,12.19,12.25,12.07,11.96
2010-10-07,23300.0,12.11,12.24,12.22,12.06
2010-10-08,21200.0,12.18,12.23,12.11,12.09
2010-10-11,22500.0,12.26,12.43,12.21,12.13
2010-10-12,48400.0,12.72,12.75,12.22,12.2
2010-10-13,94700.0,12.95,12.95,12.75,12.54
2010-10-14,26700.0,12.56,12.97,12.97,12.52
2010-10-15,34600.0,12.53,12.6799,12.66,12.47
2010-10-18,38900.0,12.97,13.0,12.51,12.26
2010-10-19,54900.0,12.82,13.0,12.85,12.736
2010-10-20,23000.0,12.9,13.0,12.93,12.83
2010-10-21,30300.0,12.51,12.99,12.97,12.4
2010-10-22,12500.0,12.59,12.635,12.56,12.46
2010-10-25,16400.0,12.8,12.89,12.65,12.54
2010-10-26,21700.0,12.39,12.74,12.74,12.29
2010-10-27,33800.0,12.5,12.51,12.29,12.0
2010-10-28,28600.0,12.3,12.53,12.52,12.12
2010-10-29,297000.0,13.12,13.75,12.39,12.39
2010-11-01,188400.0,12.37,13.5,13.1,12.2
2010-11-02,72700.0,12.65,12.7,12.48,12.22
2010-11-03,611500.0,12.3,12.71,12.69,12.24
2010-11-04,133600.0,12.19,12.44,12.44,11.6
2010-11-05,504500.0,11.87,12.25,12.23,11.85
2010-11-08,118600.0,11.68,12.0519,11.9,11.62
2010-11-09,84100.0,11.77,11.9,11.59,11.51
2010-11-10,120200.0,12.02,12.22,12.1,11.87
2010-11-11,63500.0,12.07,12.15,12.1,11.99
2010-11-12,37900.0,11.93,12.06,11.98,11.81
2010-11-15,34700.0,11.88,11.945,11.9,11.78
2010-11-16,34800.0,11.59,11.77,11.77,11.51
2010-11-17,95400.0,12.0,12.15,11.65,11.65
2010-11-18,70700.0,12.26,12.41,12.15,12.05
2010-11-19,44100.0,12.29,12.34,12.28,12.16
2010-11-22,295800.0,12.97,13.25,13.05,12.62
2010-11-23,73900.0,12.86,12.95,12.9,12.7
2010-11-24,87000.0,13.0,13.0,12.9,12.85
2010-11-26,21000.0,12.96,13.0,12.95,12.8
2010-11-29,57400.0,12.87,13.0,12.97,12.711
2010-11-30,63700.0,12.95,13.0,12.86,12.7001
2010-12-01,59800.0,12.89,13.12,13.12,12.75
2010-12-02,63800.0,12.9,13.0,12.83,12.79
2010-12-03,100800.0,13.05,13.17,12.85,12.85
2010-12-06,191500.0,13.29,13.45,13.09,12.9501
2010-12-07,61000.0,13.05,13.4,13.4,13.0
2010-12-08,45200.0,12.91,13.09,13.09,12.8
2010-12-09,30900.0,13.0,13.09,12.98,12.76
2010-12-10,42700.0,13.15,13.34,13.05,12.96
2010-12-13,54600.0,12.93,13.26,13.16,12.92
2010-12-14,65600.0,12.96,13.08,13.02,12.95
2010-12-15,36300.0,12.84,13.17,12.97,12.81
2010-12-16,47500.0,12.9,13.0,12.84,12.77
2010-12-17,120800.0,12.95,13.08,12.93,12.9
2010-12-20,165000.0,13.34,13.35,12.97,12.82
2010-12-21,51200.0,13.16,13.3979,13.35,13.0401
2010-12-22,36200.0,13.3,13.37,13.21,13.1
2010-12-23,24700.0,13.2,13.28,13.28,13.1
2010-12-27,28000.0,13.14,13.3,13.2,13.08
2010-12-28,25700.0,12.99,13.045,13.03,12.9301
2010-12-29,775300.0,14.09,14.33,13.41,13.3
2010-12-30,1900800.0,14.39,14.88,14.08,14.0343
2010-12-31,183100.0,14.36,14.73,14.41,14.3
2011-01-03,398500.0,15.5,15.51,14.43,14.43
2011-01-04,359900.0,15.81,16.22,15.62,15.346
2011-01-05,413300.0,15.14,16.0,15.7,14.8
2011-01-06,261100.0,15.73,15.92,15.17,15.01
2011-01-07,267200.0,15.81,16.115,15.8,15.6
2011-01-10,247900.0,15.47,16.0,15.82,15.26
2011-01-11,298800.0,15.65,15.98,15.49,15.45
2011-01-12,200600.0,15.7,15.77,15.77,15.54
2011-01-13,294500.0,16.45,16.55,15.73,15.63
2011-01-14,282100.0,16.78,17.464,16.44,16.355
2011-01-18,156800.0,16.68,17.13,16.78,16.5
2011-01-19,226600.0,16.08,16.91,16.64,15.8
2011-01-20,127500.0,16.37,16.5425,15.99,15.25
2011-01-21,263300.0,15.49,16.5,16.5,15.26
2011-01-24,171700.0,16.43,16.49,15.46,15.3
2011-01-25,83600.0,16.17,16.31,16.22,15.9225
2011-01-26,46500.0,16.29,16.5,16.14,16.01
2011-01-27,120700.0,15.73,16.32,16.32,15.4
2011-01-28,72000.0,15.01,15.93,15.93,15.0
2011-01-31,87200.0,15.49,15.8,14.91,14.68
2011-02-01,114800.0,15.16,15.6,15.4,15.01
2011-02-02,139100.0,15.29,15.35,15.08,14.79
2011-02-03,183400.0,14.99,15.25,15.23,14.9
2011-02-04,60800.0,14.92,14.99,14.99,14.75
2011-02-07,137400.0,15.11,15.3,14.81,14.77
2011-02-08,70700.0,15.19,15.34,15.2,15.11
2011-02-09,69200.0,15.11,15.24,15.1,15.01
2011-02-10,61100.0,15.14,15.25,15.06,15.04
2011-02-11,124000.0,15.1,15.21,15.13,14.9
2011-02-14,40700.0,14.96,15.12,15.06,14.9307
2011-02-15,46000.0,14.74,14.99,14.95,14.73
2011-02-16,148800.0,15.15,15.42,14.77,14.61
2011-02-17,674100.0,14.54,15.19,14.98,13.35
2011-02-18,432000.0,14.22,14.88,14.5,14.2
2011-02-22,271000.0,14.41,14.61,13.93,13.87
2011-02-23,137800.0,14.0,14.38,14.38,13.85
2011-02-24,102500.0,14.24,14.51,14.0,14.0
2011-02-25,170500.0,14.25,14.31,14.23,14.0
2011-02-28,123500.0,14.42,14.86,14.35,14.21
2011-03-01,122000.0,14.09,14.56,14.44,14.0
2011-03-02,67100.0,14.24,14.51,14.12,14.07
2011-03-03,113600.0,14.71,14.82,14.32,14.0
2011-03-04,115900.0,14.97,15.29,14.7,14.7
2011-03-07,160100.0,14.76,15.11,14.99,14.35
2011-03-08,178500.0,14.52,15.0,14.85,14.48
2011-03-09,259900.0,13.99,14.5,14.5,13.84
2011-03-10,270700.0,13.44,13.91,13.91,12.85
2011-03-11,82500.0,13.29,13.53,13.34,13.131
2011-03-14,40700.0,13.29,13.44,13.23,13.22
2011-03-15,98100.0,13.24,13.37,12.8,12.8
2011-03-16,82900.0,12.95,13.2,13.2,12.81
2011-03-17,100000.0,13.26,13.47,13.2,12.96
2011-03-18,150300.0,13.74,13.75,13.42,13.12
2011-03-21,186100.0,13.01,13.87,13.79,12.9
