date,5. volume,4. close,2. high,1. open,3. low
2006-12-08,7335100.0,16.02,16.5,15.0,14.53
2006-12-11,1100200.0,16.8,17.44,16.21,16.09
2006-12-12,406900.0,16.01,17.0,16.8,15.75
2006-12-13,132500.0,15.75,16.2,16.02,15.59
2006-12-14,292600.0,15.36,15.65,15.65,15.25
2006-12-15,226400.0,15.49,15.96,15.46,15.24
2006-12-18,147200.0,15.34,15.7,15.5,15.18
2006-12-19,295200.0,15.05,15.4,15.4,14.8
2006-12-20,218700.0,15.06,15.15,15.05,14.81
2006-12-21,210900.0,15.75,16.0,15.11,15.1
2006-12-22,172300.0,15.75,16.3,15.8,15.34
2006-12-26,103600.0,15.99,16.15,15.8,15.78
2006-12-27,62400.0,16.1,16.15,15.99,15.99
2006-12-28,145000.0,16.3,16.4,16.12,15.95
2006-12-29,68300.0,16.4,16.45,16.4,16.27
2007-01-03,89900.0,16.0,16.45,16.45,15.77
2007-01-04,81100.0,15.75,16.18,15.95,15.7
2007-01-05,141700.0,15.4,15.8,15.75,15.18
2007-01-08,78400.0,15.56,15.95,15.5,15.25
2007-01-09,151400.0,15.41,15.7,15.7,15.1
2007-01-10,109900.0,15.5,15.6,15.41,15.39
2007-01-11,125200.0,15.6,15.75,15.7,15.35
2007-01-12,104800.0,15.95,16.0,15.65,15.36
2007-01-16,13200.0,15.52,15.96,15.96,15.4
2007-01-17,147200.0,16.25,16.25,15.88,15.65
2007-01-18,109700.0,16.29,16.45,16.35,16.1
2007-01-19,184800.0,16.64,16.79,16.29,16.29
2007-01-22,191600.0,16.59,16.65,16.55,16.34
2007-01-23,299100.0,16.37,16.63,16.54,16.2
2007-01-24,56300.0,16.35,16.45,16.35,16.29
2007-01-25,262900.0,16.52,16.61,16.5,16.23
2007-01-26,178900.0,17.0,17.2,16.52,16.35
2007-01-29,60200.0,17.5,17.89,17.0,17.0
2007-01-30,62300.0,17.5,17.83,17.65,17.35
2007-01-31,39400.0,17.18,17.6,17.6,17.09
2007-02-01,53300.0,16.92,17.45,17.2,16.91
2007-02-02,383600.0,17.1,17.2,17.0,17.0
2007-02-05,28100.0,17.1,17.12,17.1,17.01
2007-02-06,34900.0,17.08,17.15,17.11,16.99
2007-02-07,73000.0,17.1,17.1,17.1,17.0
2007-02-08,59700.0,16.72,17.09,17.09,15.83
2007-02-09,18100.0,16.47,16.85,16.7,16.27
2007-02-12,38200.0,16.2,16.5,16.5,16.01
2007-02-13,87000.0,16.29,16.35,16.2,16.06
2007-02-14,25600.0,16.59,16.65,16.44,16.29
2007-02-15,28300.0,16.84,17.0,16.58,16.49
2007-02-16,18900.0,16.45,17.0,17.0,16.39
2007-02-20,10300.0,16.49,16.6,16.6,16.35
2007-02-21,18700.0,16.41,16.78,16.52,16.39
2007-02-22,106700.0,16.3,16.85,16.46,16.2
2007-02-23,293800.0,15.9,16.45,16.45,15.76
2007-02-26,313600.0,15.42,15.85,15.85,15.4
2007-02-27,576700.0,14.06,15.7,15.4,13.7
2007-02-28,590300.0,15.22,15.3,14.52,14.12
2007-03-01,239200.0,15.75,16.18,15.38,15.07
2007-03-02,74900.0,15.54,15.68,15.4,15.25
2007-03-05,71100.0,15.48,15.95,15.4799,15.1
2007-03-06,119600.0,16.4,16.56,15.31,15.31
2007-03-07,106500.0,16.89,17.03,16.72,16.14
2007-03-08,293300.0,17.0,17.1,17.0,16.9
2007-03-09,63800.0,16.7,17.05,17.05,16.19
2007-03-12,18300.0,17.13,17.14,16.7,16.7
2007-03-13,71400.0,17.06,17.1,17.1,16.82
2007-03-14,38000.0,16.78,17.1,17.1,16.33
2007-03-15,10200.0,16.87,17.0,16.68,16.66
2007-03-16,10400.0,16.42,16.85,16.75,16.41
2007-03-19,104500.0,16.2,16.5,16.5,16.0
2007-03-20,11500.0,16.5,16.5,16.28,16.28
2007-03-21,31000.0,16.68,16.7899,16.5,16.3505
2007-03-22,20200.0,17.05,17.1,16.75,16.75
2007-03-23,11900.0,17.0,17.1,17.1,17.0
2007-03-26,63900.0,17.07,17.7,17.21,17.0
2007-03-27,36900.0,17.04,17.1,17.1,17.0
2007-03-28,25800.0,17.05,17.05,17.04,16.99
2007-03-29,61500.0,16.66,17.05,17.05,16.66
2007-03-30,13400.0,16.84,16.84,16.7,16.69
2007-04-02,29000.0,17.07,17.15,16.85,16.79
2007-04-03,124100.0,16.6,17.07,17.07,16.35
2007-04-04,62500.0,16.65,16.8,16.67,16.03
2007-04-05,91100.0,16.75,16.87,16.68,16.66
2007-04-09,135700.0,17.0,17.05,16.85,16.74
2007-04-10,30700.0,17.0,17.0499,17.0,16.9
2007-04-11,39900.0,17.01,17.1,17.03,17.0
2007-04-12,142300.0,17.09,17.25,17.05,17.0
2007-04-13,10400.0,17.02,17.1,17.09,17.0
2007-04-16,10600.0,16.95,17.05,16.96,16.95
2007-04-17,58000.0,17.05,17.39,16.99,16.95
2007-04-18,31500.0,16.99,17.18,17.01,16.93
2007-04-19,70800.0,16.69,17.03,16.99,16.66
2007-04-20,23900.0,16.9,17.2,16.58,16.58
2007-04-23,7800.0,17.01,17.01,16.89,16.79
2007-04-24,72700.0,16.78,17.25,17.16,16.7
2007-04-25,85600.0,16.43,17.13,16.8405,16.43
2007-04-26,558600.0,15.2,16.44,16.44,15.16
2007-04-27,248400.0,14.97,15.33,15.2,14.97
2007-04-30,178300.0,15.55,16.07,15.22,15.22
2007-05-01,211000.0,15.9,16.1,15.65,15.33
2007-05-02,76600.0,15.75,15.89,15.87,15.65
2007-05-03,90800.0,16.0,16.17,15.75,15.69
2007-05-04,223700.0,15.75,16.04,16.01,15.43
2007-05-07,158200.0,15.95,16.03,15.73,15.5
2007-05-08,113400.0,15.74,15.99,15.73,15.65
2007-05-09,70800.0,15.82,16.05,15.701,15.68
2007-05-10,46700.0,16.07,16.13,15.92,15.9
2007-05-11,50400.0,16.56,16.7,16.16,16.16
2007-05-14,44500.0,16.84,16.99,16.66,16.26
2007-05-15,49600.0,17.15,17.38,16.85,16.61
2007-05-16,43800.0,17.58,17.65,17.35,17.15
2007-05-17,50300.0,18.33,18.38,17.65,17.4
2007-05-18,190100.0,19.12,19.13,18.3,18.0
2007-05-21,61700.0,18.63,19.15,19.0,18.38
2007-05-22,66300.0,18.39,18.69,18.56,18.23
2007-05-23,163100.0,18.35,19.25,18.4,18.23
2007-05-24,299900.0,17.6,18.5,18.4,16.75
2007-05-25,81800.0,17.94,17.99,17.61,17.6
2007-05-29,59500.0,17.9,18.25,17.98,17.79
2007-05-30,49200.0,18.01,18.3,17.94,17.93
2007-05-31,30800.0,18.5,18.52,18.05,18.02
2007-06-01,75700.0,18.9,19.0499,18.6,18.6
2007-06-04,162100.0,19.58,19.89,19.46,19.3
2007-06-05,43900.0,19.68,19.82,19.59,19.4
2007-06-06,70700.0,19.35,19.88,19.78,19.17
2007-06-07,61900.0,19.23,19.84,19.4699,19.08
2007-06-08,29000.0,18.91,19.3299,19.28,18.87
2007-06-11,13000.0,19.01,19.1,19.0,18.91
2007-06-12,46900.0,18.9,19.16,19.16,18.85
2007-06-13,28800.0,18.99,19.2,18.91,18.88
2007-06-14,45100.0,19.13,19.51,19.51,19.0
2007-06-15,65100.0,19.29,19.51,19.15,19.15
2007-06-18,133400.0,19.0,19.45,19.3,18.85
2007-06-19,78100.0,18.54,19.1,19.1,18.5
2007-06-20,43000.0,18.1,18.64,18.64,17.95
2007-06-21,90700.0,17.87,18.09,18.06,17.65
2007-06-22,146000.0,17.96,18.29,17.9,17.7
2007-06-25,147300.0,18.7,18.72,18.16,18.16
2007-06-26,128500.0,18.96,19.05,18.85,18.75
2007-06-27,114600.0,19.05,19.25,18.31,18.2112
2007-06-28,54300.0,19.0,19.06,19.05,18.97
2007-06-29,27100.0,19.03,19.39,19.05,18.9
2007-07-02,207400.0,19.0,19.38,19.02,18.98
2007-07-03,40000.0,18.54,19.12,19.0,18.49
2007-07-05,45100.0,18.93,18.96,18.57,18.49
2007-07-06,9900.0,18.99,19.1025,19.03,18.7601
2007-07-09,251600.0,20.59,21.1199,19.34,19.32
2007-07-10,119300.0,20.5,20.79,20.39,20.26
2007-07-11,116500.0,20.85,21.35,21.0,20.73
2007-07-12,193600.0,21.75,22.0,21.45,21.1
2007-07-13,86100.0,21.5,21.96,21.8,21.3
2007-07-16,92000.0,21.55,22.2,21.79,21.4
2007-07-17,95300.0,21.33,22.24,22.15,21.33
2007-07-18,68700.0,20.87,21.12,20.83,20.19
2007-07-19,144900.0,20.6,21.54,20.92,20.47
2007-07-20,113200.0,20.05,20.85,20.85,19.9
2007-07-23,59700.0,20.11,20.45,20.4,19.75
2007-07-24,57200.0,20.52,20.61,19.93,19.882
2007-07-25,134200.0,21.19,21.3,20.81,20.75
2007-07-26,97100.0,20.76,21.18,21.18,20.67
2007-07-27,85600.0,20.81,21.03,20.76,20.681
2007-07-30,73100.0,20.82,21.2,21.0,20.71
