date,5. volume,4. close,2. high,1. open,3. low
2015-05-18,2197490.0,18.0,18.0,18.0,17.03
2015-05-19,1978735.0,18.8,19.15,17.92,17.92
2015-05-20,717649.0,18.61,18.84,18.7,18.36
2015-05-21,792997.0,18.25,18.66,18.6,18.02
2015-05-22,536245.0,18.21,18.4,18.25,18.05
2015-05-26,681449.0,18.24,18.45,18.25,18.11
2015-05-27,652738.0,18.65,18.7,18.2,18.0
2015-05-28,949781.0,18.52,18.7,18.43,18.32
2015-05-29,565490.0,18.45,18.5,18.33,18.11
2015-06-01,1014471.0,18.48,18.5,18.33,18.25
2015-06-02,922034.0,18.67,18.7,18.33,18.33
2015-06-03,1164994.0,18.93,18.95,18.7,18.51
2015-06-04,927962.0,18.91,18.93,18.91,18.73
2015-06-05,711912.0,18.86,18.9,18.88,18.63
2015-06-08,787229.0,18.87,18.9,18.7,18.63
2015-06-09,959340.0,18.9,18.93,18.9,18.82
2015-06-10,1091777.0,18.86,18.94,18.9,18.85
2015-06-11,860810.0,18.86,18.9,18.86,18.83
2015-06-12,911572.0,18.71,18.86,18.78,18.66
2015-06-15,776348.0,18.8,18.855,18.68,18.58
2015-06-16,1251089.0,18.89,18.94,18.79,18.62
2015-06-17,1460299.0,19.03,19.04,18.82,18.81
2015-06-18,997944.0,19.1,19.2,18.99,18.9499
2015-06-19,440555.0,18.85,19.1,19.08,18.83
2015-06-22,647206.0,18.69,18.99,18.85,18.69
2015-06-23,972175.0,18.76,19.0,18.45,18.3701
2015-06-24,742673.0,19.0,19.24,18.74,18.616
2015-06-25,1194241.0,18.95,19.14,19.0,18.91
2015-06-26,8790207.0,19.16,19.45,19.04,18.95
2015-06-29,722946.0,18.86,19.17,19.02,18.86
2015-06-30,492762.0,18.87,19.17,19.1,18.85
2015-07-01,652163.0,18.9,18.95,18.87,18.79
2015-07-02,341465.0,18.82,18.955,18.9,18.82
2015-07-06,422461.0,18.8,18.89,18.74,18.65
2015-07-07,448497.0,18.63,18.96,18.73,18.6
