date,5. volume,4. close,2. high,1. open,3. low
2017-05-25,4949248.0,15.01,16.75,15.0,14.6
2017-05-26,1725787.0,17.11,17.39,15.25,15.2291
2017-05-30,1244454.0,17.9,18.94,18.19,17.3
2017-05-31,671814.0,17.65,18.48,18.48,17.31
2017-06-01,414601.0,17.945,18.3,17.44,16.782
2017-06-02,292052.0,17.85,18.19,17.8,17.54
2017-06-05,742701.0,19.58,19.65,17.81,17.5
2017-06-06,748153.0,18.66,20.719,19.88,18.6
2017-06-07,336967.0,19.42,19.5,18.63,18.18
2017-06-08,300262.0,19.19,20.0,19.22,19.14
2017-06-09,269680.0,18.65,19.455,19.09,18.5
2017-06-12,319251.0,18.37,18.6,17.95,17.75
2017-06-13,228819.0,18.9,19.34,18.5,18.5
2017-06-14,266058.0,18.42,19.323,18.8,18.29
2017-06-15,178505.0,18.16,18.6,18.42,17.81
2017-06-16,394440.0,18.22,18.89,18.12,18.05
2017-06-19,357965.0,17.97,18.05,17.97,17.05
2017-06-20,117050.0,17.61,18.07,17.84,17.41
2017-06-21,305269.0,17.19,17.71,17.5,16.92
2017-06-22,320949.0,17.02,17.44,17.21,16.93
2017-06-23,808425.0,18.47,18.59,17.09,17.0
2017-06-26,487702.0,18.25,18.65,18.4,18.1
2017-06-27,485478.0,18.02,18.446,18.12,17.65
2017-06-28,387169.0,18.11,18.25,18.05,17.85
2017-06-29,308664.0,18.35,18.9,17.93,17.93
2017-06-30,216826.0,18.15,18.499,18.2,18.03
2017-07-03,170654.0,17.71,18.34,18.14,17.525
2017-07-05,215800.0,17.81,17.85,17.67,17.02
2017-07-06,157792.0,17.63,17.79,17.77,17.25
2017-07-07,422179.0,18.86,19.27,17.57,17.47
2017-07-10,321367.0,18.78,19.65,18.8,18.64
2017-07-11,242936.0,19.09,19.38,18.71,18.34
2017-07-12,555840.0,20.15,20.5,19.24,18.91
2017-07-13,218837.0,19.79,20.21,20.21,19.52
2017-07-14,282557.0,20.33,20.868,19.86,19.72
2017-07-17,214218.0,20.24,21.45,20.5,20.0
2017-07-18,208180.0,20.95,21.249,20.38,20.051
2017-07-19,154100.0,20.97,21.3501,21.16,20.72
2017-07-20,62968.0,21.22,21.4,21.1,21.0934
2017-07-21,95700.0,20.53,21.493,21.25,20.15
2017-07-24,129019.0,19.98,20.74,20.5,19.51
2017-07-25,72974.0,20.25,20.5,20.06,20.05
2017-07-26,104130.0,20.5,20.63,20.2,19.7601
2017-07-27,114520.0,19.79,20.56,20.56,19.5
2017-07-28,336753.0,19.51,19.74,19.68,19.02
2017-07-31,187967.0,19.56,19.83,19.51,19.09
2017-08-01,129062.0,20.31,20.48,19.63,19.455
2017-08-02,245219.0,19.61,20.84,20.81,19.27
2017-08-03,293856.0,20.84,20.84,19.78,19.68
2017-08-04,418620.0,19.71,20.02,19.0,18.45
2017-08-07,289188.0,22.17,22.428,19.76,19.61
2017-08-08,234256.0,22.3,23.28,21.9,21.4475
2017-08-09,158151.0,21.45,22.8799,22.25,21.36
2017-08-10,177610.0,19.89,21.5958,21.47,19.71
2017-08-11,121174.0,20.46,20.57,19.91,19.87
2017-08-14,67028.0,20.77,21.0957,20.72,20.106
2017-08-15,75046.0,20.56,21.015,20.65,20.18
2017-08-16,61647.0,20.61,20.9699,20.69,20.1607
2017-08-17,92033.0,20.25,20.64,20.61,20.15
2017-08-18,52548.0,20.52,20.54,20.15,20.11
2017-08-21,41571.0,20.42,20.627,20.47,20.25
2017-08-22,96090.0,20.68,21.0,20.59,20.14
2017-08-23,219948.0,21.26,21.85,20.51,20.51
2017-08-24,121050.0,21.42,21.861,21.41,20.9
2017-08-25,173675.0,21.88,21.9,21.59,21.149
2017-08-28,258043.0,22.54,22.86,21.9,21.618
2017-08-29,128953.0,22.45,23.15,22.8,22.44
2017-08-30,85907.0,22.81,22.89,22.69,22.35
2017-08-31,132498.0,22.89,23.2759,23.04,22.5061
2017-09-01,82987.0,22.24,23.17,23.17,22.08
2017-09-05,228353.0,23.64,23.8,22.24,22.21
2017-09-06,199301.0,24.83,25.26,23.79,22.75
2017-09-07,161652.0,25.82,26.99,24.75,24.03
2017-09-08,174530.0,26.15,26.39,25.97,25.27
2017-09-11,136228.0,27.09,27.364,26.48,25.86
2017-09-12,102514.0,27.03,27.894,27.32,26.451
2017-09-13,114304.0,25.95,27.595,27.06,25.815
2017-09-14,113105.0,26.43,26.86,26.0,25.5
2017-09-15,187616.0,25.79,26.7,26.47,25.74
2017-09-18,138280.0,25.07,26.56,25.88,24.809
2017-09-19,95514.0,25.05,25.52,25.3,25.05
2017-09-20,170793.0,23.7,25.26,25.13,23.47
2017-09-21,133776.0,23.15,23.763,23.62,22.43
2017-09-22,61802.0,22.88,23.415,23.12,22.78
2017-09-25,128457.0,22.33,23.564,23.0,21.83
2017-09-26,67299.0,22.95,23.7,22.31,22.02
2017-09-27,63418.0,23.35,23.44,23.0,23.0
2017-09-28,221647.0,25.08,25.24,23.27,23.04
2017-09-29,342963.0,28.46,28.65,26.53,25.3
2017-10-02,678054.0,24.01,27.89,27.77,23.17
2017-10-03,248219.0,24.14,24.93,24.68,23.56
2017-10-04,324373.0,22.98,24.479,24.41,22.85
2017-10-05,254029.0,23.49,24.8,23.22,22.85
2017-10-06,89054.0,24.16,24.5,23.64,23.31
2017-10-09,109361.0,24.36,25.27,24.27,24.164
2017-10-10,196821.0,23.29,24.98,24.53,23.176
2017-10-11,123873.0,23.28,23.915,23.54,23.13
2017-10-12,79320.0,23.69,24.4,23.32,23.28
2017-10-13,87343.0,23.69,24.14,23.83,23.45
2017-10-16,53579.0,23.32,23.89,23.65,23.3
2017-10-17,63466.0,23.26,23.5,23.5,23.25
2017-10-18,171165.0,23.02,23.5,23.42,22.77
2017-10-19,93121.0,23.0,23.23,23.0,22.88
2017-10-20,81371.0,23.11,24.01,23.0,23.0
2017-10-23,168166.0,22.25,23.2,23.0,21.94
2017-10-24,87418.0,22.49,23.47,22.12,22.0
2017-10-25,152167.0,22.27,23.175,22.5,22.1
2017-10-26,162789.0,23.02,23.93,22.39,22.39
2017-10-27,156463.0,23.27,23.663,23.47,22.85
2017-10-30,110459.0,22.95,23.74,23.44,22.805
2017-10-31,91510.0,23.1,23.391,23.09,22.73
2017-11-01,137785.0,22.91,23.76,23.19,22.81
2017-11-02,159843.0,24.32,24.4,22.97,22.655
2017-11-03,292914.0,22.66,24.421,22.79,22.14
2017-11-06,95042.0,22.47,23.068,22.75,22.38
2017-11-07,124427.0,22.58,23.5,22.6,22.48
2017-11-08,65780.0,22.69,23.19,22.61,22.375
2017-11-09,68249.0,22.4,22.69,22.5,22.31
2017-11-10,70312.0,22.6,22.949,22.28,22.28
2017-11-13,84297.0,23.25,23.32,22.7,22.4
2017-11-14,212135.0,22.22,23.0,22.5,21.9
2017-11-15,299330.0,21.24,22.18,21.9,20.56
2017-11-16,2162636.0,20.05,20.26,20.25,19.75
2017-11-17,305946.0,20.02,20.18,20.14,19.9
2017-11-20,354899.0,19.69,20.08,19.96,19.68
2017-11-21,903391.0,20.67,20.94,19.9,19.83
2017-11-22,260435.0,21.5,21.5,20.8,20.55
2017-11-24,69669.0,21.16,21.818,21.67,20.87
2017-11-27,376736.0,21.19,22.0,22.0,20.75
2017-11-28,440185.0,21.21,21.49,21.15,21.075
2017-11-29,435166.0,21.48,21.51,21.21,21.16
2017-11-30,529759.0,22.02,22.09,21.64,21.11
2017-12-01,500874.0,20.72,22.26,22.25,20.72
2017-12-04,273485.0,21.2,21.3999,20.99,20.4
2017-12-05,109601.0,21.14,21.75,21.32,21.01
2017-12-06,117146.0,21.2,21.475,21.19,21.01
2017-12-07,198856.0,20.76,21.4,21.25,20.51
2017-12-08,501123.0,20.06,20.5,20.36,19.74
2017-12-11,275041.0,20.11,20.24,20.06,19.62
2017-12-12,405338.0,20.24,20.6882,20.18,19.88
2017-12-13,242576.0,20.59,20.7589,20.25,20.03
2017-12-14,232404.0,20.46,20.79,20.63,20.01
2017-12-15,856954.0,20.86,21.33,20.66,19.84
2017-12-18,3023856.0,25.46,27.14,21.5,20.59
2017-12-19,1526218.0,26.15,28.47,26.96,25.2628
2017-12-20,902895.0,27.28,27.81,27.72,26.5847
2017-12-21,489449.0,26.88,28.43,28.43,26.0
2017-12-22,549209.0,27.93,28.67,26.96,26.25
2017-12-26,728741.0,29.5,30.23,28.58,28.06
2017-12-27,920571.0,30.32,31.6,29.69,29.69
2017-12-28,1001717.0,33.6,33.78,30.17,30.17
2017-12-29,832851.0,31.48,34.53,33.65,31.19
2018-01-02,747967.0,33.06,33.2872,32.82,32.06
2018-01-03,677657.0,35.73,36.08,33.98,33.34
2018-01-04,1153036.0,37.76,40.2,40.2,36.9
2018-01-05,1841299.0,39.68,43.26,39.49,38.6
2018-01-08,2183252.0,36.1,39.49,39.0,32.73
2018-01-09,1442300.0,31.87,37.391,37.26,31.1
2018-01-10,768138.0,34.57,35.03,31.65,31.25
2018-01-11,1404791.0,36.75,38.3,33.25,33.25
2018-01-12,610465.0,36.76,37.9776,37.37,36.011
2018-01-16,518756.0,37.69,38.49,38.49,37.5
2018-01-17,466405.0,38.43,38.98,38.27,37.85
2018-01-18,733535.0,36.15,37.83,36.99,34.24
2018-01-19,372938.0,35.51,36.38,35.11,35.0724
2018-01-22,449681.0,33.71,35.5,35.5,33.65
2018-01-23,697583.0,32.04,34.0,33.7,31.6063
2018-01-24,315173.0,32.1,33.45,32.0,32.0
2018-01-25,163015.0,32.26,32.91,32.3,32.19
2018-01-26,534692.0,31.39,32.69,32.5,30.25
2018-01-29,352918.0,30.94,31.9706,31.41,30.25
2018-01-30,345517.0,30.37,30.8,30.47,29.62
2018-01-31,250287.0,31.0,31.47,30.55,30.5
2018-02-01,329564.0,29.8,31.705,30.93,29.65
2018-02-02,452957.0,28.61,29.7,29.6,28.1
2018-02-05,411883.0,27.53,28.38,28.0,27.07
2018-02-06,338142.0,28.88,29.15,26.26,26.0
2018-02-07,215661.0,27.72,29.84,28.82,27.59
