date,5. volume,4. close,2. high,1. open,3. low
2005-08-05,3087900.0,14.08,15.45,12.1,12.03
2005-08-08,246900.0,14.2,15.05,14.3,14.0
2005-08-09,108100.0,14.7,15.0,14.0,14.0
2005-08-10,139400.0,14.5,15.12,15.02,14.25
2005-08-11,35800.0,14.95,14.98,14.98,14.34
2005-08-12,34000.0,14.07,14.8,14.8,14.0
2005-08-15,21900.0,14.088,14.36,14.03,14.0
2005-08-16,32200.0,14.0,14.16,13.76,13.75
2005-08-17,17600.0,14.0,14.16,14.0,14.0
2005-08-18,83900.0,14.12,14.25,14.0,14.0
2005-08-19,129100.0,14.13,14.25,14.1,14.07
2005-08-22,42800.0,14.3,14.6,14.122,14.122
2005-08-23,38300.0,14.03,14.4,14.4,14.0
2005-08-24,197900.0,14.0,14.05,14.0,13.88
2005-08-25,43400.0,14.0,14.0,13.87,13.78
2005-08-26,55400.0,13.65,13.83,13.2,13.12
2005-08-29,31500.0,13.6,13.75,13.75,13.4
2005-08-30,20500.0,13.6,13.624,13.5,13.27
2005-08-31,21400.0,13.6,13.72,13.65,13.55
2005-09-01,8300.0,13.74,13.89,13.4,13.4
2005-09-02,8800.0,13.26,13.76,13.51,13.26
2005-09-06,48400.0,12.7,13.25,13.12,12.53
2005-09-07,13900.0,12.89,13.136,12.78,12.5
2005-09-08,14900.0,12.75,13.0,12.62,12.62
2005-09-09,15000.0,13.1,13.2,12.75,12.75
2005-09-12,16200.0,13.55,13.66,13.1,13.0
2005-09-13,6600.0,13.89,14.12,13.35,13.35
2005-09-14,77500.0,13.95,14.0,13.89,13.5
2005-09-15,24100.0,13.83,13.892,13.75,13.25
2005-09-16,90200.0,13.99,15.18,15.18,13.85
2005-09-19,9800.0,13.92,14.1,13.96,13.87
2005-09-20,28400.0,13.9,14.15,13.75,13.75
2005-09-21,28400.0,13.84,14.01,13.76,13.599
2005-09-22,4800.0,13.68,13.9845,13.69,13.55
2005-09-23,3500.0,13.7,13.89,13.86,13.67
2005-09-26,14800.0,13.7,13.92,13.65,13.65
2005-09-27,13600.0,13.64,13.8,13.7,13.55
2005-09-28,12900.0,13.85,13.9099,13.87,13.67
2005-09-29,4000.0,13.9125,14.05,14.0,13.79
2005-09-30,30500.0,13.9,14.116,13.82,13.8
2005-10-03,87100.0,13.99,14.01,13.99,13.85
2005-10-04,46900.0,13.71,14.0,13.85,13.6
2005-10-05,15200.0,13.7,13.76,13.61,13.5
2005-10-06,17500.0,13.75,13.75,13.68,13.6
2005-10-07,34300.0,14.18,14.18,13.6,13.6
2005-10-10,2300.0,14.21,14.32,14.2,14.15
2005-10-11,5600.0,14.16,14.2699,14.2699,14.15
2005-10-12,6100.0,14.08,14.16,14.16,14.0
2005-10-13,3900.0,14.01,14.175,14.175,14.0
2005-10-14,1600.0,14.01,14.15,14.0,14.0
2005-10-17,2800.0,14.0,14.01,14.01,14.0
2005-10-18,30900.0,13.8,14.13,13.8,13.75
2005-10-19,3300.0,13.81,13.87,13.7945,13.71
2005-10-20,500.0,13.7,13.71,13.71,13.7
2005-10-21,9100.0,13.77,14.14,14.0,13.7
2005-10-24,11400.0,13.57,14.06,13.85,13.53
2005-10-25,13200.0,12.93,13.51,13.51,12.81
2005-10-26,12600.0,13.052,13.15,12.94,12.67
2005-10-27,72100.0,11.3,13.0,12.77,10.66
2005-10-28,52800.0,10.67,11.62,11.62,10.67
2005-10-31,33300.0,12.2,12.23,10.96,10.96
2005-11-01,41400.0,12.98,14.1,12.47,12.19
2005-11-02,11000.0,12.99,13.0,13.0,12.96
2005-11-03,20500.0,12.32,13.02,13.0,11.07
2005-11-04,20600.0,12.97,13.0,11.54,11.54
2005-11-07,33500.0,13.0,13.08,12.99,12.77
