date,5. volume,4. close,2. high,1. open,3. low
2017-06-27,580236.0,8.25,8.58,7.6,7.57
2017-06-28,135472.0,7.92,8.37,8.1,7.81
2017-06-29,43978.0,7.88,7.978,7.9,7.71
2017-06-30,20839.0,7.95,8.15,7.9,7.72
2017-07-03,16639.0,8.0,8.27,8.27,7.81
2017-07-05,30425.0,8.0,8.15,8.15,7.885
2017-07-06,48261.0,7.8,8.2,8.2,7.72
2017-07-07,9309.0,7.62,7.9,7.9,7.6
2017-07-10,48755.0,7.41,7.87,7.87,6.9401
2017-07-11,22510.0,7.15,7.55,7.4,6.95
2017-07-12,60176.0,7.69,7.69,7.05,7.0
2017-07-13,25179.0,7.52,7.626,7.61,7.45
2017-07-14,5625.0,7.73,7.73,7.49,7.45
2017-07-17,33877.0,7.45,7.7,7.65,7.4
2017-07-18,49597.0,7.28,7.56,7.4,7.01
2017-07-19,42241.0,7.27,7.4,7.2,7.15
2017-07-20,27581.0,7.34,7.4,7.2,7.2
2017-07-21,18448.0,7.19,7.3,7.2,7.19
2017-07-24,30710.0,7.18,7.24,7.18,7.18
2017-07-25,42104.0,7.01,7.214,7.214,6.83
2017-07-26,28019.0,7.04,7.05,6.95,6.85
2017-07-27,37813.0,6.98,7.02,7.004,6.98
2017-07-28,8064.0,7.02,7.05,7.008,7.0
2017-07-31,17890.0,6.68,7.039,7.0,6.68
2017-08-01,42882.0,6.85,6.9,6.75,6.608
2017-08-02,47012.0,6.77,7.18,7.05,6.71
2017-08-03,33041.0,6.98,6.98,6.75,5.937
2017-08-04,49959.0,6.7,6.9,6.7,6.6
2017-08-07,15369.0,6.7,6.889,6.75,6.7
2017-08-08,9149.0,6.77,6.89,6.86,6.71
2017-08-09,8404.0,6.59,6.665,6.665,6.44
2017-08-10,25978.0,6.62,6.87,6.5,6.5
2017-08-11,9160.0,6.83,6.83,6.58,6.49
2017-08-14,7894.0,6.77,6.85,6.76,6.69
2017-08-15,4495.0,6.29,6.77,6.77,6.28
2017-08-16,5565.0,6.77,6.77,6.31,6.25
2017-08-17,21626.0,6.68,6.84,6.65,6.5
2017-08-18,16013.0,6.55,6.7,6.7,6.47
2017-08-21,3775.0,6.42,6.5,6.5,6.314
2017-08-22,8433.0,6.42,6.42,6.4,6.3
2017-08-23,35857.0,6.6,6.8,6.35,5.99
2017-08-24,12017.0,6.5,6.5,6.33,6.27
2017-08-25,41257.0,6.39,6.51,6.5,6.15
2017-08-28,31861.0,6.25,6.49,6.35,6.05
2017-08-29,62479.0,6.0,6.21,6.19,5.98
2017-08-30,20840.0,6.25,6.38,5.95,5.672
2017-08-31,20940.0,5.855,6.1,6.1,5.756
2017-09-01,4170.0,6.0,6.05,5.81,5.81
2017-09-05,49828.0,6.0,6.19,6.0,5.925
2017-09-06,29901.0,5.98,6.15,5.96,5.75
2017-09-07,26097.0,6.0,6.12,6.0,5.901
2017-09-08,30051.0,6.12,6.9,6.0,5.95
2017-09-11,46234.0,5.96,6.245,6.12,5.79
2017-09-12,47473.0,5.98,6.04,5.8,5.8
2017-09-13,83477.0,6.03,6.4,5.99,5.93
2017-09-14,42599.0,5.79,6.36,6.13,5.69
2017-09-15,103898.0,5.51,6.89,6.89,5.51
2017-09-18,36231.0,5.55,5.83,5.55,5.55
2017-09-19,39149.0,5.54,5.778,5.52,5.52
2017-09-20,24321.0,5.55,5.82,5.82,5.5
2017-09-21,15538.0,5.54,5.8,5.52,5.52
2017-09-22,11175.0,5.45,5.76,5.76,5.4
2017-09-25,11781.0,5.08,5.45,5.29,5.01
2017-09-26,18659.0,5.13,5.677,5.19,5.02
2017-09-27,20725.0,5.24,5.24,5.11,4.99
2017-09-28,8954.0,5.19,5.2,5.15,5.05
2017-09-29,20115.0,5.53,5.71,5.1,5.1
2017-10-02,21145.0,5.53,5.58,5.58,4.51
2017-10-03,12172.0,5.61,5.799,5.05,5.05
2017-10-04,9559.0,5.56,5.7,5.6,5.16
2017-10-05,11887.0,5.64,5.66,5.55,5.55
2017-10-06,29161.0,5.61,5.68,5.6,5.42
2017-10-09,12629.0,5.12,5.475,5.36,5.12
2017-10-10,5430.0,5.34,5.473,5.31,5.31
2017-10-11,17403.0,5.25,5.32,5.32,5.177
2017-10-12,2533.0,5.21,5.34,5.23,5.21
2017-10-13,3969.0,5.47,5.48,5.245,5.15
2017-10-16,7649.0,5.26,5.489,5.21,5.21
2017-10-17,16418.0,5.18,5.225,5.22,5.0
2017-10-18,15392.0,5.29,5.46,5.1,5.1
2017-10-19,36497.0,4.8,5.2,5.13,4.75
2017-10-20,19581.0,4.55,4.964,4.88,4.51
2017-10-23,6806.0,4.55,5.12,4.609,4.5
2017-10-24,27082.0,4.18,4.81,4.81,4.18
2017-10-25,39521.0,3.97,4.339,4.22,3.915
2017-10-26,48618.0,4.25,4.87,4.0,4.0
2017-10-27,35111.0,4.64,4.66,4.34,4.1
2017-10-30,105050.0,4.54,5.6,4.51,4.43
2017-10-31,102726.0,5.32,5.75,4.6,4.4
2017-11-01,34721.0,4.95,5.4,5.32,4.95
2017-11-02,99847.0,5.28,5.4,5.0,4.82
2017-11-03,47631.0,5.1,5.57,5.28,5.05
2017-11-06,24878.0,5.0,5.484,5.18,4.99
2017-11-07,9527.0,4.77,5.09,5.0,4.636
2017-11-08,11841.0,4.66,5.21,4.74,4.58
2017-11-09,26645.0,4.93,5.08,4.61,4.59
2017-11-10,24932.0,4.63,4.81,4.6,4.59
2017-11-13,23764.0,4.35,4.64,4.64,4.3
2017-11-14,25916.0,4.63,4.63,4.37,4.25
2017-11-15,46006.0,4.29,4.71,4.71,4.26
2017-11-16,43500.0,4.26,4.5,4.36,4.23
2017-11-17,44005.0,4.16,4.52,4.39,4.11
2017-11-20,22714.0,4.22,4.46,4.18,4.05
2017-11-21,27982.0,4.04,4.329,4.23,4.03
2017-11-22,6528.0,4.04,4.2,4.2,4.04
2017-11-24,15509.0,3.99,4.054,4.0,3.845
2017-11-27,42272.0,3.93,4.15,4.01,3.75
2017-11-28,85802.0,3.65,4.2,3.99,3.501
2017-11-29,8453.0,3.79,4.1,3.64,3.64
2017-11-30,26861.0,4.16,4.5,3.81,3.61
2017-12-01,18168.0,4.14,4.14,3.86,3.85
2017-12-04,31479.0,3.91,4.25,4.06,3.75
2017-12-05,11438.0,4.45,4.45,3.8,3.8
2017-12-06,5538.0,4.0,4.12,4.12,4.0
2017-12-07,15659.0,4.025,4.8,4.8,3.85
2017-12-08,26834.0,4.7,4.9897,4.38,4.2019
2017-12-11,45969.0,4.87,5.1318,4.85,4.7
2017-12-12,23790.0,4.23,5.1,4.84,4.21
2017-12-13,31481.0,4.48,4.54,4.09,4.09
2017-12-14,47182.0,4.73,4.89,4.3,4.28
2017-12-15,42155.0,4.48,4.61,4.5,4.18
2017-12-18,30440.0,4.15,4.48,4.48,4.051
2017-12-19,89460.0,3.93,4.1612,4.01,3.73
2017-12-20,59404.0,3.8501,3.98,3.93,3.715
2017-12-21,47307.0,3.78,3.99,3.851,3.71
2017-12-22,98301.0,3.65,3.95,3.77,3.55
2017-12-26,36573.0,3.65,3.73,3.62,3.45
2017-12-27,45593.0,3.6,3.85,3.6,3.4
2017-12-28,42284.0,3.53,3.78,3.77,3.4607
2017-12-29,37394.0,3.62,3.7,3.51,3.51
2018-01-02,32110.0,3.83,3.9,3.6844,3.68
2018-01-03,33132.0,3.72,4.04,4.04,3.61
2018-01-04,78467.0,3.78,3.94,3.66,3.66
2018-01-05,7246.0,3.81,3.88,3.86,3.661
2018-01-08,4627.0,3.76,3.77,3.73,3.73
2018-01-09,6962.0,3.82,3.85,3.79,3.76
2018-01-10,43351.0,3.85,4.11,3.96,3.7363
2018-01-11,19533.0,3.82,4.03,3.88,3.7699
2018-01-12,11661.0,3.98,4.11,3.939,3.9
2018-01-16,8712.0,4.02,4.15,3.9694,3.85
2018-01-17,12392.0,3.78,4.01,3.75,3.72
2018-01-18,24187.0,3.75,3.91,3.7688,3.66
2018-01-19,38652.0,3.85,3.92,3.9008,3.7
2018-01-22,49344.0,3.8,4.24,3.85,3.66
2018-01-23,22800.0,3.82,4.0,3.99,3.61
2018-01-24,22633.0,3.85,3.85,3.81,3.6944
2018-01-25,12180.0,3.81,3.8805,3.8805,3.75
2018-01-26,40413.0,3.75,3.93,3.799,3.73
2018-01-29,4432.0,3.89,3.89,3.77,3.77
2018-01-30,25404.0,3.87,4.078,4.07,3.79
2018-01-31,9462.0,3.77,3.9316,3.9316,3.76
2018-02-01,7743.0,3.8,3.9,3.9,3.79
2018-02-02,8912.0,3.86,4.38,3.87,3.7601
2018-02-05,27396.0,3.64,3.9,3.9,3.6
2018-02-06,6437.0,3.7,3.7399,3.64,3.61
2018-02-07,42215.0,3.94,3.94,3.6805,3.6
2018-02-08,21656.0,3.67,4.1567,3.9,3.6
2018-02-09,28446.0,3.76,3.76,3.72,3.4
2018-02-12,20575.0,3.64,3.92,3.92,3.59
2018-02-13,23256.0,3.76,4.11,3.799,3.7
2018-02-14,5510.0,4.02,4.0936,3.79,3.79
2018-02-15,32251.0,4.23,4.3776,4.0,4.0
2018-02-16,39688.0,4.01,4.5,4.11,4.01
2018-02-20,37436.0,4.43,4.55,4.32,3.911
2018-02-21,34176.0,5.04,5.2,4.4,4.4
2018-02-22,18636.0,5.0,5.0,4.9,4.76
2018-02-23,15660.0,5.01,5.05,5.0,4.8
2018-02-26,81882.0,5.36,5.8,4.99,4.64
2018-02-27,36996.0,5.25,5.6691,5.227,5.12
2018-02-28,8812.0,5.11,5.34,5.34,4.9368
2018-03-01,8260.0,5.0,5.11,5.11,4.761
2018-03-02,23018.0,5.05,5.0868,5.0,4.85
2018-03-05,16834.0,5.05,5.1899,5.18,4.77
2018-03-06,22146.0,4.92,5.2,5.18,4.718
2018-03-07,21396.0,4.92,5.2,5.2,4.75
2018-03-08,23222.0,4.88,5.08,4.98,4.74
2018-03-09,19272.0,4.84,5.05,4.811,4.68
2018-03-12,7597.0,5.04,5.04,4.8048,4.7001
2018-03-13,22441.0,4.8,5.089,4.98,4.7
2018-03-14,100298.0,5.45,5.9,4.8,4.8
2018-03-15,29894.0,5.49,5.8999,5.47,5.4172
2018-03-16,18498.0,5.6,5.67,5.67,5.31
2018-03-19,20183.0,5.75,5.754,5.56,5.5501
2018-03-20,10277.0,5.6,5.66,5.66,5.5
2018-03-21,13276.0,5.48,5.54,5.54,5.45
2018-03-22,28738.0,5.46,5.4867,5.44,5.44
2018-03-23,24342.0,5.45,5.45,5.3479,5.3001
2018-03-26,22857.0,5.0,5.5,5.5,4.91
2018-03-27,37017.0,4.35,4.99,4.99,4.1801
2018-03-28,21351.0,4.5,4.8,4.4,4.4
2018-03-29,19246.0,4.51,4.54,4.49,4.41
2018-04-02,30364.0,4.8,4.8,4.2829,4.25
2018-04-03,61405.0,4.5205,5.42,4.67,4.5201
2018-04-04,81068.0,4.92,5.1,4.6,4.311
2018-04-05,8157.0,4.75,5.1976,5.1741,4.75
2018-04-06,17613.0,4.75,4.839,4.76,4.5
2018-04-09,101815.0,4.93,5.1895,4.7,4.6224
2018-04-10,4076.0,4.96,4.96,4.88,4.7346
2018-04-11,7932.0,4.85,4.97,4.84,4.71
2018-04-12,11186.0,4.77,4.809,4.711,4.56
2018-04-13,6447.0,4.79,4.9,4.71,4.6464
2018-04-16,18894.0,4.65,4.8,4.8,4.45
2018-04-17,22282.0,4.56,4.56,4.51,4.2
2018-04-18,19401.0,4.4,4.7,4.44,4.12
2018-04-19,13001.0,4.4,4.43,4.43,4.1
2018-04-20,1707.0,4.351,4.36,4.3526,4.3184
2018-04-23,29226.0,4.15,4.39,4.35,4.11
2018-04-24,29071.0,3.8868,4.0453,4.03,3.84
2018-04-25,8893.0,3.95,3.9623,3.96,3.75
2018-04-26,16595.0,3.94,3.94,3.84,3.83
2018-04-27,22308.0,3.81,3.8607,3.8607,3.5
2018-04-30,7443.0,3.79,3.83,3.76,3.7
2018-05-01,4773.0,3.87,3.87,3.79,3.75
2018-05-02,9900.0,3.95,3.95,3.8183,3.562
2018-05-03,10515.0,3.75,3.949,3.949,3.75
2018-05-04,14285.0,3.77,3.8923,3.72,3.72
2018-05-07,9143.0,3.83,3.87,3.8576,3.82
2018-05-08,2534.0,3.811,3.85,3.831,3.811
2018-05-09,2604.0,3.83,3.84,3.84,3.82
2018-05-10,3194.0,3.81,3.86,3.8232,3.81
2018-05-11,5601.0,3.8799,3.8799,3.81,3.8001
2018-05-14,7981.0,3.86,3.9,3.84,3.84
2018-05-15,35760.0,4.0,4.3,3.85,3.85
2018-05-16,31441.0,4.37,4.5,4.1383,4.12
2018-05-17,9446.0,4.35,4.35,4.2,4.1
2018-05-18,41845.0,4.25,4.84,4.35,4.1954
2018-05-21,984431.0,4.09,5.2,4.7,3.7601
2018-05-22,134260.0,3.59,4.05,4.0,3.2801
2018-05-23,23990.0,3.64,3.73,3.57,3.55
2018-05-24,68516.0,3.63,3.7379,3.67,3.57
2018-05-25,39187.0,3.85,3.85,3.67,3.62
2018-05-29,107528.0,4.1,4.29,3.85,3.61
2018-05-30,53574.0,3.97,4.43,4.14,3.97
2018-05-31,5675.0,4.05,4.221,4.0,3.9
2018-06-01,37601.0,4.2,4.2,4.06,3.861
2018-06-04,31331.0,4.24,4.2955,4.2955,3.99
2018-06-05,26014.0,4.3,4.34,4.14,4.14
2018-06-06,84666.0,4.24,4.56,4.25,4.2292
2018-06-07,23355.0,4.29,4.4,4.3,4.1
2018-06-08,18784.0,4.3,4.4,4.1183,4.1183
