date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,68800.0,2.19,2.25,2.12,1.88
2000-01-04,73400.0,2.25,2.5,2.25,2.25
2000-01-05,42700.0,2.25,2.25,2.094,2.063
2000-01-06,22700.0,2.0,2.219,2.094,2.0
2000-01-07,24900.0,2.063,2.25,2.031,2.031
2000-01-10,69200.0,2.25,2.25,2.188,2.125
2000-01-11,2400.0,2.25,2.25,2.188,2.125
2000-01-12,18800.0,2.219,2.25,2.25,2.125
2000-01-13,84100.0,2.375,2.375,2.25,2.25
2000-01-14,7700.0,2.313,2.313,2.313,2.25
2000-01-18,173100.0,3.0,3.0,2.375,2.25
2000-01-19,36300.0,2.938,2.938,2.938,2.563
2000-01-20,309100.0,2.281,2.75,2.563,2.125
2000-01-21,358300.0,2.875,2.906,2.313,2.25
2000-01-24,192400.0,3.0,3.375,2.813,2.75
2000-01-25,57800.0,2.875,3.313,3.0,2.594
2000-01-26,50100.0,2.75,2.875,2.875,2.625
2000-01-27,26200.0,2.625,2.75,2.625,2.5
2000-01-28,54500.0,2.625,2.625,2.5,2.281
2000-01-31,50700.0,2.5,2.938,2.75,2.125
2000-02-01,6200.0,2.25,2.281,2.25,2.25
2000-02-02,7000.0,2.5,2.5,2.25,2.25
2000-02-03,24000.0,2.313,2.5,2.5,2.281
2000-02-04,2900.0,2.25,2.375,2.25,2.25
2000-02-07,16500.0,2.5,2.5,2.313,2.313
2000-02-08,90600.0,3.0,3.125,3.0,2.438
2000-02-09,33300.0,2.75,3.0,3.0,2.313
2000-02-10,47800.0,3.125,3.25,2.813,2.813
2000-02-11,89000.0,3.375,3.375,3.125,3.063
2000-02-14,91400.0,3.125,3.375,3.313,3.0
2000-02-15,70600.0,3.25,3.375,3.125,3.125
2000-02-16,462100.0,5.0,5.125,3.281,3.25
2000-02-17,677100.0,6.0,6.0,5.25,4.125
2000-02-18,1389600.0,7.25,8.625,7.25,6.688
2000-02-22,513200.0,7.125,8.25,7.625,6.5
2000-02-23,342900.0,6.5,7.0,6.781,5.5
2000-02-24,283200.0,6.563,7.0,6.5,6.0
2000-02-25,248200.0,5.313,6.563,6.531,5.031
