date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,944400.0,31.75,32.56,32.5,30.94
2000-01-04,1100800.0,30.94,32.38,31.5,30.75
2000-01-05,1194300.0,30.25,31.63,31.5,30.06
2000-01-06,1468700.0,31.0,32.19,30.06,30.0
2000-01-07,1529100.0,32.0,32.75,31.31,31.0
2000-01-10,708400.0,31.56,32.94,32.63,31.31
2000-01-11,821100.0,31.94,32.38,31.38,31.0
2000-01-12,926200.0,31.06,31.63,31.56,30.56
2000-01-13,1124800.0,30.19,31.31,30.94,30.0
2000-01-14,1237400.0,29.88,30.63,30.63,29.44
2000-01-18,1107300.0,29.88,30.0,29.63,28.63
2000-01-19,1296600.0,29.88,30.75,30.06,29.63
2000-01-20,1166200.0,30.5,30.63,30.0,29.38
2000-01-21,1204400.0,29.0,30.75,30.75,28.19
2000-01-24,3058300.0,27.88,29.0,28.94,27.19
2000-01-25,1307800.0,27.0,28.0,27.88,26.81
2000-01-26,3230600.0,30.0,30.25,26.75,25.94
2000-01-27,3064200.0,33.56,33.69,32.25,31.94
2000-01-28,2028400.0,32.06,33.5,33.31,32.06
2000-01-31,1337800.0,31.81,32.56,32.5,31.75
2000-02-01,754100.0,32.0,32.19,32.0,31.75
2000-02-02,491900.0,32.19,32.38,32.0,32.0
2000-02-03,663100.0,32.31,32.38,32.06,31.19
2000-02-04,992800.0,31.75,32.06,32.06,31.38
2000-02-07,472800.0,31.13,31.5,31.5,30.88
2000-02-08,745800.0,30.38,30.81,30.63,30.0
2000-02-09,1005400.0,29.0,29.88,29.88,28.56
2000-02-10,465900.0,28.81,29.06,28.88,28.56
2000-02-11,1061600.0,28.25,28.94,28.5,27.38
2000-02-14,534700.0,28.19,28.56,28.25,27.75
2000-02-15,574900.0,28.69,28.94,28.19,27.94
2000-02-16,649100.0,28.25,29.0,28.44,28.0
2000-02-17,625300.0,27.88,28.25,28.13,27.5
2000-02-18,797000.0,27.69,27.81,27.63,27.38
2000-02-22,1363200.0,29.38,29.38,27.5,27.44
2000-02-23,1004300.0,28.31,29.06,28.5,28.06
2000-02-24,619600.0,27.31,28.19,28.06,26.5
2000-02-25,782700.0,25.38,26.44,26.44,25.25
2000-02-28,928600.0,26.25,26.38,25.94,25.38
2000-02-29,1470300.0,27.06,28.0,26.19,26.13
2000-03-01,2521800.0,29.75,29.88,27.81,27.31
2000-03-02,1235300.0,29.38,30.0,29.75,28.06
2000-03-03,835900.0,29.63,30.5,29.38,28.75
2000-03-06,1046900.0,28.75,30.44,30.0,28.56
2000-03-07,2527100.0,29.19,29.63,28.0,25.5
2000-03-08,1738600.0,28.69,29.25,29.25,27.44
2000-03-09,1043800.0,27.75,28.88,28.69,27.19
2000-03-10,1243600.0,26.25,27.75,27.75,26.06
2000-03-13,1102300.0,28.06,28.31,26.38,26.13
2000-03-14,933800.0,27.88,28.19,28.0,27.25
2000-03-15,1447200.0,30.13,30.13,27.88,27.56
2000-03-16,1911100.0,34.0,34.5,30.13,30.13
2000-03-17,1405100.0,30.44,34.25,34.25,30.25
2000-03-20,1393500.0,30.13,30.81,30.69,28.25
2000-03-21,1627600.0,29.94,29.94,29.88,29.0
2000-03-22,859300.0,29.69,30.19,30.19,28.75
2000-03-23,973300.0,30.19,30.31,29.44,29.25
2000-03-24,895200.0,29.44,30.12,29.94,29.31
2000-03-27,647600.0,28.63,29.69,29.25,28.5
2000-03-28,1502000.0,28.38,28.75,27.88,27.81
2000-03-29,958100.0,27.94,28.5,28.38,27.75
2000-03-30,1658900.0,30.5,30.94,28.0,27.88
2000-03-31,1470900.0,29.25,31.0,30.25,29.06
2000-04-03,1494500.0,30.13,30.25,29.25,28.38
2000-04-04,1712700.0,31.63,33.25,30.75,30.13
2000-04-05,1860100.0,33.81,33.81,32.13,31.63
2000-04-06,1106000.0,31.5,33.63,33.38,31.13
2000-04-07,2803900.0,30.13,31.38,30.5,29.06
