date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,420200.0,71.38,72.38,72.25,71.38
2000-01-04,642700.0,70.44,70.94,68.63,68.31
2000-01-05,477700.0,73.0,73.88,70.13,70.13
2000-01-06,536100.0,75.31,75.44,72.0,71.88
2000-01-07,679900.0,75.56,76.63,75.31,74.63
2000-01-10,883400.0,78.0,78.13,75.81,75.63
2000-01-11,724100.0,77.56,78.5,77.75,76.88
2000-01-12,603400.0,76.88,77.31,77.31,75.94
2000-01-13,374800.0,76.25,77.19,76.88,74.38
2000-01-14,349300.0,76.5,76.63,76.5,74.25
2000-01-18,490200.0,74.94,75.69,74.69,73.25
2000-01-19,1630200.0,68.69,73.25,73.0,67.13
2000-01-20,815700.0,66.5,68.25,68.25,66.38
2000-01-21,473700.0,69.5,69.5,67.25,67.25
2000-01-24,261900.0,67.31,69.31,69.25,67.13
2000-01-25,382200.0,68.25,68.38,67.31,66.88
2000-01-26,425700.0,68.88,70.69,68.25,67.31
2000-01-27,289100.0,68.44,70.56,69.13,67.63
2000-01-28,259800.0,66.5,68.44,68.44,66.5
2000-01-31,303900.0,67.75,68.5,66.5,65.38
2000-02-01,293300.0,67.06,67.25,67.25,66.13
2000-02-02,261800.0,66.63,67.38,67.31,66.19
2000-02-03,363500.0,66.06,67.75,66.13,66.0
2000-02-04,418800.0,67.13,67.94,66.0,64.5
2000-02-07,291400.0,65.81,67.13,67.13,64.31
2000-02-08,207200.0,65.75,66.0,65.56,64.5
2000-02-09,182400.0,64.63,65.5,65.5,64.0
2000-02-10,247100.0,65.0,65.06,64.63,63.38
2000-02-11,236100.0,63.44,65.75,65.06,62.63
2000-02-14,272600.0,65.69,66.0,63.44,62.69
2000-02-15,353100.0,67.5,67.75,65.56,64.88
2000-02-16,208700.0,65.69,67.75,67.75,64.13
2000-02-17,237600.0,66.94,66.94,65.56,64.19
2000-02-18,327800.0,63.25,66.88,66.88,61.88
2000-02-22,278800.0,64.69,65.25,63.25,63.25
2000-02-23,330000.0,64.5,65.5,64.5,63.38
2000-02-24,404200.0,61.88,64.5,64.5,60.88
2000-02-25,362400.0,60.75,61.38,61.25,59.69
2000-02-28,384000.0,59.94,60.81,60.5,59.56
2000-02-29,393600.0,60.69,60.81,60.0,59.5
2000-03-01,339700.0,58.69,60.19,60.19,58.13
2000-03-02,545700.0,60.13,60.5,59.38,58.69
2000-03-03,351400.0,63.38,63.88,62.0,61.69
2000-03-06,503700.0,58.44,63.25,63.13,58.31
2000-03-07,648800.0,55.31,58.5,58.5,55.25
2000-03-08,567200.0,57.38,57.5,55.38,54.81
2000-03-09,597400.0,59.69,59.75,57.5,57.13
2000-03-10,347000.0,60.5,61.5,59.56,59.5
2000-03-13,480600.0,58.94,60.63,60.63,57.69
2000-03-14,374900.0,58.06,58.88,58.69,56.25
2000-03-15,459500.0,62.81,63.25,58.31,58.31
2000-03-16,553500.0,67.69,70.0,63.0,62.81
2000-03-17,486200.0,63.31,67.25,67.0,63.25
2000-03-20,299000.0,64.0,66.81,63.44,63.44
2000-03-21,374700.0,64.0,64.5,63.94,61.63
2000-03-22,399000.0,62.13,63.25,63.13,60.25
2000-03-23,443100.0,64.56,64.69,61.63,61.5
2000-03-24,657000.0,60.62,64.12,63.94,58.88
2000-03-27,451700.0,58.44,62.5,60.0,56.88
2000-03-28,417600.0,57.44,59.75,58.56,57.19
2000-03-29,507300.0,58.94,59.25,57.94,57.25
2000-03-30,478200.0,60.94,61.75,59.19,58.81
2000-03-31,268300.0,61.06,62.63,60.31,60.31
2000-04-03,470800.0,59.44,60.94,60.81,58.75
2000-04-04,381200.0,59.38,61.13,58.81,57.44
2000-04-05,205300.0,58.38,60.5,59.13,58.06
2000-04-06,247000.0,58.13,58.44,58.19,57.63
2000-04-07,581500.0,57.75,57.94,57.25,56.25
2000-04-10,315300.0,59.75,61.5,57.88,57.69
2000-04-11,478000.0,63.75,64.25,59.5,59.44
