date,5. volume,4. close,2. high,1. open,3. low
2003-07-01,11648400.0,25.55,26.4,25.5,25.0
2003-07-02,1789400.0,25.4,25.8,25.8,25.2
2003-07-03,415700.0,25.6,25.6,25.3,25.1
2003-07-07,821100.0,25.8,26.1,25.48,25.35
2003-07-08,612400.0,25.89,25.97,25.75,25.53
2003-07-09,438500.0,25.7,25.99,25.89,25.62
2003-07-10,1254400.0,25.35,25.73,25.65,25.0
2003-07-11,431300.0,25.66,25.75,25.27,25.2
2003-07-14,769400.0,26.1,26.2,25.5,25.4
2003-07-15,394600.0,27.75,27.75,26.0,25.95
2003-07-16,569100.0,26.1,27.5,27.5,26.1
2003-07-17,475500.0,25.55,26.12,26.12,25.2
2003-07-18,442600.0,25.88,26.35,25.62,25.45
2003-07-21,242900.0,26.3,26.53,25.9,25.9
2003-07-22,305000.0,26.53,26.72,26.15,25.99
2003-07-23,1427500.0,25.49,26.53,26.53,25.49
2003-07-24,554400.0,25.65,25.8,25.69,25.5
2003-07-25,143300.0,26.38,26.39,25.7,25.63
2003-07-28,88500.0,26.13,26.38,26.38,26.0
2003-07-29,214500.0,25.85,26.21,26.2,25.77
2003-07-30,207600.0,26.21,26.26,26.0,25.85
2003-07-31,343800.0,26.18,26.28,26.18,26.05
2003-08-01,440700.0,25.5,26.1,26.1,25.5
2003-08-04,303900.0,25.15,25.45,25.45,25.15
2003-08-05,413000.0,25.4,25.6,25.15,25.1
2003-08-06,393800.0,25.78,26.13,25.55,25.5
2003-08-07,789200.0,25.22,25.65,25.6,25.1
2003-08-08,383300.0,25.15,25.23,25.22,24.65
2003-08-11,238300.0,25.0,25.03,24.95,24.67
2003-08-12,297100.0,25.01,25.35,25.35,24.99
2003-08-13,160600.0,24.94,25.02,25.0,24.91
2003-08-14,167200.0,24.7,24.95,24.94,24.6
2003-08-15,43900.0,24.7,24.8,24.7,24.7
2003-08-18,126400.0,24.7,24.83,24.7,24.6
2003-08-19,386700.0,24.7,24.95,24.85,24.4
2003-08-20,330900.0,24.65,24.77,24.77,24.5
2003-08-21,482700.0,24.27,24.7,24.54,24.25
2003-08-22,671700.0,23.7,24.27,23.85,23.31
2003-08-25,120700.0,24.3,24.39,23.7,23.55
2003-08-26,129800.0,24.72,25.0,24.45,24.2
2003-08-27,187900.0,25.01,25.2,24.76,24.72
2003-08-28,66900.0,24.43,25.0,24.94,24.43
2003-08-29,117200.0,24.55,25.1,24.5,24.5
2003-09-02,247400.0,23.97,24.65,24.5,23.75
2003-09-03,216600.0,24.0,24.15,24.0,23.85
2003-09-04,334500.0,23.42,24.0,23.9,23.25
2003-09-05,675700.0,23.45,23.55,23.25,23.1
2003-09-08,232600.0,23.8,23.83,23.53,23.53
2003-09-09,101100.0,23.67,23.9,23.8,23.6
2003-09-10,81900.0,23.68,24.0,23.67,23.65
2003-09-11,164100.0,23.45,23.68,23.68,23.41
2003-09-12,398500.0,23.3,23.45,23.45,22.5
2003-09-15,304000.0,23.1,23.2,23.2,22.8
2003-09-16,119400.0,24.0,24.05,23.3,23.26
2003-09-17,111400.0,24.31,24.65,24.0,24.0
2003-09-18,322600.0,25.55,25.7,24.31,23.9
2003-09-19,272600.0,25.5,25.75,25.6,25.4
2003-09-22,88100.0,25.67,25.7,25.37,25.1
2003-09-23,31300.0,24.8,25.52,25.52,24.8
2003-09-24,52700.0,24.6,24.85,24.85,24.6
2003-09-25,44800.0,24.7,24.72,24.4,24.2
2003-09-26,121600.0,24.4,25.43,24.82,24.4
2003-09-29,64000.0,24.3,24.65,24.5,24.01
2003-09-30,43000.0,24.95,24.95,24.25,24.2
2003-10-01,54300.0,24.8,24.95,24.9,24.45
2003-10-02,61200.0,25.49,25.59,24.85,24.72
2003-10-03,103400.0,25.4,26.05,25.4,25.3
2003-10-06,15500.0,25.6,25.65,25.4,25.4
2003-10-07,84400.0,25.85,26.0,25.55,25.5
2003-10-08,30000.0,25.58,25.86,25.85,25.55
2003-10-09,116800.0,25.9,26.05,25.65,25.65
2003-10-10,92300.0,26.0,26.3,25.9,25.9
2003-10-13,31700.0,25.35,25.78,25.77,25.35
2003-10-14,11700.0,25.26,25.35,25.3,25.25
2003-10-15,75700.0,24.9,25.28,25.27,24.77
2003-10-16,114700.0,24.2,24.9,24.85,24.2
2003-10-17,114300.0,24.25,24.34,24.1,24.06
2003-10-20,57500.0,25.1,25.12,24.35,24.35
2003-10-21,14100.0,24.92,25.0,25.0,24.67
2003-10-22,95000.0,24.8,25.0,25.0,24.8
2003-10-23,24000.0,24.73,24.8,24.7,24.55
2003-10-24,39000.0,24.2,24.7,24.7,24.16
2003-10-27,85300.0,23.93,24.34,24.34,23.86
2003-10-28,80700.0,23.96,23.98,23.97,23.5
2003-10-29,172300.0,24.3,24.5,23.97,23.9
2003-10-30,195200.0,24.95,25.0,24.4,24.4
2003-10-31,42800.0,25.05,25.25,24.9,24.9
2003-11-03,135800.0,25.5,25.65,25.25,25.2
2003-11-04,43800.0,25.45,25.5,25.5,25.25
2003-11-05,243400.0,25.65,25.85,25.45,25.3
2003-11-06,395900.0,27.44,27.7,26.4,26.35
2003-11-07,204000.0,27.3,28.15,27.65,27.3
2003-11-10,66900.0,26.51,26.83,26.75,26.5
2003-11-11,93800.0,26.45,26.65,26.65,26.29
2003-11-12,260300.0,26.45,26.45,26.3,26.1
2003-11-13,53300.0,26.5,26.6,26.35,26.3
2003-11-14,292800.0,26.09,26.55,26.55,26.05
2003-11-17,45000.0,26.34,26.35,26.2,26.2
2003-11-18,124500.0,26.35,26.55,26.35,26.3
2003-11-19,53100.0,26.63,26.63,26.35,26.35
2003-11-20,16200.0,26.55,26.9,26.6,26.52
2003-11-21,88600.0,26.4,26.6,26.6,26.27
2003-11-24,193900.0,27.4,27.45,26.4,26.4
2003-11-25,172400.0,28.0,28.0,27.45,27.45
2003-11-26,188400.0,28.6,29.0,28.15,28.1
2003-11-28,28000.0,28.55,28.6,28.58,28.42
2003-12-01,26300.0,28.4,28.7,28.65,28.19
2003-12-02,61700.0,27.9,28.32,28.3,27.9
2003-12-03,77300.0,28.21,28.49,27.94,27.88
2003-12-04,178200.0,27.65,28.25,28.15,27.64
2003-12-05,269600.0,27.61,27.7,27.7,27.59
2003-12-08,108200.0,27.65,27.66,27.61,27.54
2003-12-09,37100.0,27.8,27.95,27.85,27.8
2003-12-10,255600.0,27.17,27.7,27.7,27.0
2003-12-11,57900.0,27.5,27.6,27.35,27.3
2003-12-12,5600.0,27.6,27.6,27.55,27.5
2003-12-15,43500.0,27.5,27.75,27.6,27.5
2003-12-16,101400.0,27.65,27.74,27.55,27.5
2003-12-17,53400.0,27.61,27.7,27.7,27.15
2003-12-18,30400.0,27.94,28.0,27.64,27.57
2003-12-19,228100.0,28.0,28.02,28.0,27.8
2003-12-22,101300.0,28.46,28.5,27.9,27.9
2003-12-23,106000.0,28.2,28.5,28.31,28.05
2003-12-24,6500.0,28.3,28.47,28.17,28.16
2003-12-26,18500.0,28.8,29.0,29.0,28.61
2003-12-29,235600.0,29.24,29.24,28.78,28.78
2003-12-30,117600.0,29.27,29.35,29.24,29.14
2003-12-31,42300.0,29.28,29.42,29.28,29.21
2004-01-02,184400.0,29.62,29.62,29.3,29.3
2004-01-05,309500.0,30.18,30.4,30.15,30.1
2004-01-06,162300.0,29.16,30.15,30.15,28.98
2004-01-07,79000.0,29.25,29.35,29.16,29.1
2004-01-08,48600.0,29.12,29.36,29.23,29.1
2004-01-09,23600.0,29.0,29.05,28.95,28.92
2004-01-12,214000.0,29.3,29.41,29.2,29.0
2004-01-13,46100.0,29.23,29.45,29.4,29.23
2004-01-14,56200.0,29.25,29.29,29.25,29.2
2004-01-15,75600.0,29.4,29.45,29.25,29.02
2004-01-16,222900.0,30.95,31.1,30.0,29.9
2004-01-20,81600.0,31.28,31.34,31.05,30.95
2004-01-21,47500.0,31.61,31.63,31.45,31.26
2004-01-22,243600.0,31.95,32.19,31.65,31.65
2004-01-23,92700.0,32.6,32.6,31.95,31.93
2004-01-26,160900.0,32.25,32.95,32.6,32.24
2004-01-27,68200.0,32.31,32.35,32.35,32.25
2004-01-28,52800.0,31.65,32.36,32.31,31.65
2004-01-29,40200.0,31.49,31.95,31.66,31.16
2004-01-30,46900.0,31.95,32.1,31.6,31.6
2004-02-02,54700.0,31.91,32.0,31.95,31.75
2004-02-03,28600.0,31.91,31.91,31.91,31.91
2004-02-04,55100.0,31.76,31.95,31.75,31.5
2004-02-05,37100.0,31.75,31.87,31.75,31.7
2004-02-06,121700.0,31.8,31.9,31.65,31.65
2004-02-09,55500.0,31.9,31.95,31.95,31.8
2004-02-10,424000.0,31.05,31.95,31.8,31.0
2004-02-11,145600.0,31.25,31.5,31.1,30.74
2004-02-12,532000.0,30.5,31.25,31.25,29.3
2004-02-13,211200.0,30.61,30.85,30.5,30.4
2004-02-17,555500.0,30.55,30.73,30.36,30.35
2004-02-18,128500.0,30.5,30.58,30.5,30.4
2004-02-19,86300.0,30.37,30.5,30.5,30.2
2004-02-20,418800.0,29.65,30.36,30.36,29.46
2004-02-23,81700.0,29.5,29.6,29.45,29.3
2004-02-24,28700.0,29.86,30.2,29.5,29.49
2004-02-25,6900.0,30.12,30.19,30.0,29.9
2004-02-26,100900.0,30.26,30.31,30.05,30.05
2004-02-27,26500.0,30.51,30.75,30.2,30.19
2004-03-01,57000.0,30.87,31.05,30.45,30.45
2004-03-02,96900.0,30.8,31.05,30.82,30.74
2004-03-03,12100.0,30.71,30.81,30.8,30.65
2004-03-04,43000.0,30.84,30.85,30.7,30.6
2004-03-05,35800.0,30.79,31.18,30.8,30.79
2004-03-08,17900.0,30.98,30.99,30.75,30.75
2004-03-09,52900.0,29.9,30.95,30.93,29.9
2004-03-10,48400.0,29.8,30.03,29.95,29.64
2004-03-11,36300.0,29.59,29.97,29.8,29.56
2004-03-12,54900.0,29.75,29.8,29.25,29.2
2004-03-15,31800.0,29.75,29.75,29.75,29.75
2004-03-16,9000.0,29.38,29.57,29.5,29.3
2004-03-17,14400.0,29.38,29.48,29.38,29.25
2004-03-18,37600.0,29.3,29.41,29.39,29.3
2004-03-19,12700.0,29.29,29.3,29.3,29.29
2004-03-22,50800.0,28.48,29.19,29.19,28.42
2004-03-23,93500.0,27.82,28.49,28.49,27.75
2004-03-24,63300.0,28.35,28.35,27.9,27.9
2004-03-25,116100.0,28.21,28.5,28.39,28.2
2004-03-26,149300.0,29.0,29.0,28.25,28.06
2004-03-29,64400.0,29.2,29.2,28.87,28.86
2004-03-30,81800.0,29.06,29.3,29.2,29.05
2004-03-31,59100.0,29.55,29.66,29.2,29.2
2004-04-01,30200.0,29.4,29.69,29.5,29.4
2004-04-02,88900.0,30.24,30.25,29.7,29.61
2004-04-05,67000.0,30.49,30.6,30.4,30.31
2004-04-06,93400.0,30.65,30.95,30.55,30.55
2004-04-07,179000.0,29.49,30.66,30.66,28.85
2004-04-08,174000.0,29.17,29.19,29.1,28.531
2004-04-12,160800.0,29.24,29.26,28.8,28.69
2004-04-13,282400.0,28.93,29.23,29.2,28.8
2004-04-14,388800.0,28.07,28.82,28.3,28.05
2004-04-15,1064200.0,27.91,28.48,28.0,27.4
2004-04-16,5568300.0,27.96,28.0,27.82,27.55
2004-04-19,1439600.0,27.95,28.05,27.91,27.91
2004-04-20,1023200.0,27.91,27.99,27.95,27.75
2004-04-21,1139100.0,28.22,28.25,27.91,27.91
2004-04-22,497000.0,28.21,28.4,28.22,28.12
2004-04-23,248900.0,28.28,28.28,28.1,27.8
2004-04-26,416300.0,27.75,28.22,28.18,27.68
2004-04-27,366100.0,28.08,28.16,27.75,27.75
2004-04-28,486500.0,28.0,28.05,28.0,27.85
2004-04-29,371800.0,27.43,27.92,27.92,27.25
2004-04-30,139300.0,27.25,27.63,27.45,27.25
2004-05-03,224300.0,27.45,27.47,27.26,26.6
2004-05-04,256200.0,27.59,27.97,27.9,27.39
2004-05-05,221100.0,27.88,28.07,27.69,27.52
2004-05-06,246200.0,27.9,27.95,27.95,27.56
2004-05-07,89200.0,27.57,27.9,27.9,27.42
2004-05-10,216700.0,27.36,27.63,27.63,26.58
2004-05-11,60800.0,27.46,27.61,27.61,27.28
2004-05-12,137500.0,27.24,27.4,27.28,27.2
2004-05-13,63600.0,27.69,27.72,27.35,27.35
2004-05-14,199900.0,27.8,27.92,27.68,27.6
2004-05-17,111200.0,27.71,27.85,27.65,27.55
2004-05-18,295300.0,27.82,27.91,27.85,27.41
2004-05-19,209700.0,27.9,27.95,27.6,27.6
2004-05-20,321700.0,28.0,28.06,27.5,27.5
2004-05-21,145600.0,27.95,28.16,28.0,27.9
2004-05-24,93900.0,27.92,28.05,27.95,27.78
2004-05-25,180900.0,28.01,28.25,27.8,27.8
2004-05-26,126000.0,27.97,28.2,27.91,27.66
2004-05-27,75900.0,27.92,28.12,27.97,27.8
2004-05-28,58000.0,27.95,28.15,27.95,27.85
2004-06-01,146200.0,28.34,28.45,27.6,27.57
2004-06-02,123000.0,28.23,28.48,28.25,28.08
2004-06-03,139700.0,28.49,29.06,28.2,28.11
2004-06-04,187100.0,29.02,29.21,28.7,28.54
2004-06-07,96200.0,29.02,29.1,28.95,28.5
2004-06-08,229300.0,28.75,29.19,29.1,28.72
2004-06-09,82400.0,28.7,28.85,28.6,28.34
2004-06-10,78800.0,28.65,28.95,28.6,28.3
2004-06-14,79700.0,28.45,28.8,28.6,28.0
2004-06-15,176200.0,28.19,28.55,28.4,27.7
2004-06-16,132600.0,28.2,28.29,28.19,27.93
2004-06-17,165300.0,28.5,28.7,28.25,28.05
2004-06-18,137800.0,28.13,28.5,28.5,28.13
2004-06-21,148200.0,27.89,28.3,28.23,27.74
2004-06-22,95200.0,27.91,28.13,27.95,27.75
2004-06-23,72600.0,28.35,28.45,28.0,27.9
2004-06-24,129800.0,28.49,28.7,28.45,28.36
2004-06-25,338500.0,28.48,28.59,28.55,28.4
2004-06-28,130900.0,28.0,28.49,28.4,27.82
2004-06-29,149800.0,27.9,28.03,28.0,27.75
2004-06-30,155100.0,28.0,28.29,27.9,27.84
2004-07-01,315700.0,27.94,28.06,28.0,27.9
2004-07-02,45700.0,27.95,27.99,27.98,27.89
2004-07-06,97600.0,27.9,28.08,27.97,27.7
2004-07-07,130200.0,27.99,28.05,27.95,27.85
2004-07-08,105100.0,28.16,28.16,27.85,27.85
2004-07-09,509700.0,28.35,28.57,28.16,28.0
2004-07-12,247400.0,29.09,29.1,28.44,28.4
2004-07-13,116800.0,28.99,29.24,29.15,28.85
2004-07-14,283500.0,28.51,29.05,28.85,28.5
2004-07-15,289100.0,27.64,28.4,28.4,27.64
2004-07-16,149100.0,27.37,27.81,27.7,27.16
2004-07-19,378400.0,27.0,27.43,27.27,26.9
2004-07-20,627100.0,26.25,26.95,26.85,26.1
2004-07-21,526000.0,25.9,26.43,26.35,25.88
2004-07-22,400000.0,26.0,26.13,25.9,25.8
2004-07-23,713800.0,25.54,26.0,25.9,25.53
2004-07-26,233300.0,25.72,25.95,25.6,25.55
2004-07-27,262400.0,25.96,26.1,25.7,25.7
2004-07-28,492400.0,25.8,26.0,26.0,25.76
2004-07-29,90300.0,25.7,25.97,25.8,25.7
2004-07-30,56400.0,25.7,25.8,25.77,25.61
2004-08-02,133700.0,25.79,25.81,25.6,25.45
2004-08-03,599800.0,25.75,25.8,25.7,25.6
2004-08-04,786300.0,25.63,25.76,25.75,25.6
2004-08-05,2629500.0,24.15,25.5,25.49,23.27
