date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,4600.0,2.75,2.75,2.563,2.563
2000-01-04,2200.0,2.75,2.75,2.75,2.75
2000-01-05,6000.0,2.75,2.813,2.813,2.75
2000-01-06,5100.0,2.938,2.938,2.875,2.875
2000-01-07,900.0,2.875,2.875,2.875,2.875
2000-01-10,3300.0,2.813,2.875,2.875,2.75
2000-01-11,14000.0,2.625,2.813,2.813,2.563
2000-01-12,100.0,2.563,2.563,2.563,2.563
2000-01-13,7600.0,2.563,3.0,3.0,2.563
2000-01-14,5600.0,3.0,3.0,3.0,3.0
2000-01-18,5700.0,2.625,3.0,2.938,2.625
2000-01-19,15100.0,2.875,3.0,2.875,2.875
2000-01-20,2800.0,2.875,3.0,2.875,2.75
2000-01-21,4100.0,2.75,3.0,3.0,2.75
2000-01-24,13000.0,2.875,3.0,3.0,2.875
2000-01-25,1700.0,2.875,2.875,2.875,2.875
2000-01-26,5900.0,2.875,2.875,2.875,2.594
2000-01-27,321400.0,3.063,3.188,2.625,2.625
2000-01-28,84600.0,2.875,3.25,3.25,2.5
2000-01-31,10400.0,2.625,2.781,2.781,2.563
2000-02-01,7300.0,3.125,3.125,3.094,2.875
2000-02-02,163100.0,2.563,3.0,3.0,2.375
2000-02-03,13700.0,2.859,2.969,2.844,2.813
2000-02-04,28700.0,2.75,3.063,3.016,2.75
2000-02-07,7400.0,2.875,3.0,2.875,2.813
2000-02-08,8900.0,2.875,3.25,3.0,2.875
2000-02-09,44800.0,3.469,3.469,3.125,2.875
2000-02-10,21600.0,3.5,3.5,3.125,2.875
2000-02-11,29400.0,3.688,3.688,3.438,3.125
2000-02-14,22700.0,3.188,3.938,3.813,3.188
2000-02-15,10900.0,3.25,3.5,3.5,3.0
2000-02-16,20000.0,3.375,3.75,3.25,3.125
2000-02-17,14000.0,3.375,3.75,3.625,3.188
2000-02-18,35900.0,3.563,4.0,3.25,3.25
2000-02-22,26800.0,4.0,4.125,3.5,3.5
2000-02-23,289400.0,5.25,6.0,4.25,4.063
2000-02-24,46400.0,4.875,5.375,5.125,4.313
2000-02-25,23300.0,4.0,4.75,4.563,4.0
2000-02-28,8400.0,4.125,4.469,4.094,4.094
2000-02-29,15200.0,4.125,4.625,4.313,4.125
2000-03-01,14500.0,4.5,4.563,4.188,4.125
2000-03-02,17300.0,4.625,4.75,4.375,4.375
2000-03-03,30100.0,4.688,4.75,4.516,4.281
2000-03-06,54800.0,4.5,4.75,4.656,4.281
2000-03-07,16500.0,4.75,4.969,4.75,4.125
2000-03-08,9800.0,4.75,4.844,4.625,4.5
2000-03-09,13500.0,4.313,4.75,4.516,4.281
2000-03-10,1600.0,4.281,4.594,4.5,4.25
2000-03-13,1700.0,4.313,4.391,4.391,4.281
2000-03-14,53400.0,4.0,4.281,4.281,3.75
2000-03-15,4800.0,3.875,3.891,3.891,3.781
2000-03-16,14900.0,3.406,3.797,3.797,3.281
2000-03-17,5200.0,3.625,4.063,3.984,3.625
2000-03-20,11900.0,3.625,3.813,3.813,3.625
2000-03-21,4400.0,3.5,3.563,3.5,3.5
2000-03-22,4200.0,3.375,3.625,3.625,3.313
2000-03-23,3500.0,3.281,3.875,3.5,3.281
2000-03-24,3000.0,3.5,4.0,4.0,3.5
2000-03-27,4300.0,3.625,3.922,3.922,3.625
2000-03-28,10100.0,3.5,3.625,3.469,3.25
2000-03-29,4500.0,3.375,3.5,3.5,3.25
2000-03-30,5000.0,3.406,4.0,3.25,3.25
2000-03-31,800.0,3.375,3.375,3.375,3.375
