date,5. volume,4. close,2. high,1. open,3. low
2004-10-28,5900100.0,25.05,27.15,27.0,24.65
2004-10-29,830900.0,24.41,25.0,24.9,24.2
2004-11-01,619500.0,23.55,24.55,24.5,23.3
2004-11-02,608600.0,23.75,24.49,23.7,23.55
2004-11-03,184800.0,24.25,24.7,23.95,23.95
2004-11-04,342400.0,26.0,26.25,24.25,24.25
2004-11-05,328300.0,26.5,26.5,26.08,25.42
2004-11-08,249400.0,26.27,26.5,26.5,24.85
2004-11-09,628200.0,25.93,27.25,26.95,25.12
2004-11-10,619800.0,25.5,26.3,26.0,25.3
2004-11-11,302300.0,26.75,27.0,25.5,25.5
2004-11-12,189100.0,26.74,27.25,27.0,26.72
2004-11-15,187600.0,27.92,28.0,26.75,26.25
2004-11-16,543100.0,30.01,30.5,27.8,27.5
2004-11-17,461900.0,30.4,31.25,30.25,29.8
2004-11-18,197900.0,29.97,30.6,30.55,29.71
2004-11-19,560000.0,29.6,30.0,29.98,29.05
2004-11-22,273000.0,29.75,30.15,29.5,29.48
2004-11-23,394600.0,29.55,29.9,29.85,29.3
2004-11-24,163300.0,30.2,30.49,29.8,29.15
2004-11-26,40100.0,30.02,30.35,30.25,30.02
2004-11-29,485200.0,29.7,30.65,30.15,29.7
2004-11-30,201500.0,29.38,30.35,29.85,29.37
2004-12-01,344100.0,29.85,29.95,29.55,29.55
2004-12-02,295900.0,30.56,31.74,29.9,29.81
2004-12-03,242900.0,30.65,30.89,30.75,30.55
2004-12-06,840500.0,31.16,32.1,31.2,31.01
2004-12-07,624200.0,31.62,32.5,31.16,30.2
2004-12-08,417600.0,30.65,32.1,32.0,30.65
2004-12-09,294300.0,29.7,30.5,30.35,28.55
2004-12-10,244300.0,29.41,30.95,30.25,29.4
2004-12-13,148300.0,30.65,30.75,30.0,29.8
2004-12-14,56900.0,30.34,30.65,30.6,30.25
2004-12-15,352000.0,30.85,31.4,30.5,30.45
2004-12-16,244700.0,31.99,32.0,31.25,31.07
2004-12-17,569600.0,31.5,32.3,31.85,30.875
2004-12-20,232700.0,31.5,32.02,31.95,31.4
2004-12-21,237100.0,32.3,32.4,31.6,31.55
2004-12-22,419300.0,34.2,34.7,32.55,32.55
2004-12-23,132200.0,34.7,35.0,34.45,34.45
2004-12-27,157300.0,34.4,35.7,35.7,34.0
2004-12-28,262200.0,34.29,34.7,34.3,33.51
2004-12-29,92200.0,34.5,34.55,34.3,34.25
2004-12-30,257000.0,35.06,35.4,35.0,34.88
2004-12-31,165300.0,35.15,35.4,35.15,34.82
2005-01-03,313600.0,33.98,35.84,35.75,33.65
2005-01-04,215100.0,32.9,34.1,33.99,32.35
2005-01-05,299400.0,34.18,34.5,33.05,33.05
2005-01-06,609500.0,33.93,35.8,35.25,32.6
2005-01-07,231300.0,33.96,34.45,34.15,33.51
2005-01-10,177300.0,34.67,34.8,34.2,34.2
2005-01-11,106800.0,34.58,34.75,34.75,34.43
2005-01-12,92700.0,34.8,34.92,34.52,34.0
2005-01-13,69800.0,34.91,34.99,34.9,34.6
2005-01-14,206000.0,35.11,35.2,34.95,34.8
2005-01-18,463600.0,36.12,36.8,35.25,35.05
2005-01-19,264000.0,36.02,36.85,36.65,35.26
2005-01-20,164900.0,35.56,36.02,36.02,34.9
2005-01-21,129400.0,35.78,35.93,35.6,35.6
2005-01-24,182800.0,35.0,36.31,36.1,34.8
2005-01-25,153900.0,35.01,35.15,34.5,34.31
2005-01-26,291900.0,36.9,36.95,35.09,35.09
2005-01-27,1435100.0,32.77,36.35,36.35,31.75
2005-01-28,647000.0,31.05,32.21,32.2,30.8
2005-01-31,282500.0,31.14,32.05,31.3,31.13
2005-02-01,303700.0,31.33,31.37,31.1,31.05
2005-02-02,505400.0,33.65,33.72,31.4,31.17
2005-02-03,317700.0,33.75,33.87,33.66,33.06
2005-02-04,197200.0,33.5,34.15,33.8,33.35
2005-02-07,97600.0,32.86,33.77,33.5,32.7
2005-02-08,148200.0,32.0,32.8,32.7,31.9
2005-02-09,246100.0,31.91,32.15,32.0,31.75
2005-02-10,322700.0,33.38,33.7,33.0,32.95
2005-02-11,42300.0,33.28,33.4,33.4,32.98
2005-02-14,50000.0,33.15,33.35,33.23,32.81
2005-02-15,68500.0,33.65,33.7,33.0,33.0
2005-02-16,81600.0,33.35,33.55,33.55,33.15
2005-02-17,100900.0,33.1,33.4,33.35,33.06
2005-02-18,72100.0,33.1,33.25,33.15,33.0
2005-02-22,194700.0,33.11,33.29,33.15,32.05
2005-02-23,105500.0,33.1,33.36,33.36,33.0
2005-02-24,99100.0,33.15,33.32,32.9,32.9
2005-02-25,227400.0,33.35,33.5,33.05,33.03
2005-02-28,166500.0,34.21,34.3,33.1,33.1
2005-03-01,146200.0,35.17,35.2,34.21,34.21
2005-03-02,144400.0,35.57,35.7,35.35,34.56
2005-03-03,216400.0,36.21,36.49,35.6,35.2
2005-03-04,110600.0,35.72,36.58,36.45,35.3
2005-03-07,98200.0,35.15,36.25,36.25,34.93
2005-03-08,178100.0,34.85,35.1,35.0,34.198
2005-03-09,563000.0,32.4,34.75,34.75,32.2
2005-03-10,807200.0,31.73,32.81,32.4,30.71
2005-03-11,350000.0,31.35,31.8,31.5,31.31
2005-03-14,517400.0,30.86,31.21,31.2,29.7
2005-03-15,519900.0,31.9,32.0,31.15,30.95
2005-03-16,330400.0,32.19,32.7,31.95,31.85
2005-03-17,80700.0,31.87,32.15,32.15,31.65
2005-03-18,137800.0,31.37,32.3,32.3,31.35
2005-03-21,28300.0,31.55,31.9,31.45,31.33
2005-03-22,92900.0,31.35,31.64,31.5,31.2
2005-03-23,200300.0,30.44,31.3,31.3,30.35
2005-03-24,161300.0,30.01,30.44,30.4,29.9
2005-03-28,217800.0,30.37,30.5,29.95,29.75
2005-03-29,333400.0,29.44,30.3,30.3,29.3
2005-03-30,223800.0,29.45,29.56,29.41,28.99
2005-03-31,334500.0,30.65,30.75,29.6,29.6
2005-04-01,197100.0,30.58,30.81,30.71,30.1
2005-04-04,203900.0,31.08,31.1,30.58,30.45
2005-04-05,232900.0,30.33,31.13,31.13,30.3
2005-04-06,768000.0,28.0,30.55,30.34,27.97
2005-04-07,1478700.0,27.6,30.25,30.25,27.15
2005-04-08,183500.0,28.15,28.4,27.85,27.6
2005-04-11,148200.0,28.5,28.85,28.4,28.1
2005-04-12,272600.0,28.98,29.0,28.85,28.5
2005-04-13,106300.0,28.3,28.98,28.85,28.12
2005-04-14,294400.0,28.2,28.93,28.29,28.1
2005-04-15,336300.0,27.01,28.05,28.05,26.42
2005-04-18,290300.0,26.89,27.24,27.06,26.84
2005-04-19,320200.0,27.21,27.8,26.89,26.89
2005-04-20,100000.0,26.76,27.45,27.21,26.71
2005-04-21,166100.0,26.34,27.11,26.9,26.1
2005-04-22,259400.0,25.9,26.3,26.19,25.88
2005-04-25,331500.0,26.57,26.57,25.9,25.85
2005-04-26,282800.0,27.24,27.66,26.57,26.57
2005-04-27,376400.0,28.01,28.19,26.75,26.66
2005-04-28,487300.0,27.45,28.0,27.75,27.0
2005-04-29,549600.0,26.81,27.5,27.45,26.8
2005-05-02,176000.0,27.0,27.19,26.75,26.75
2005-05-03,235400.0,28.11,28.11,27.0,27.0
2005-05-04,513800.0,30.0,30.02,28.36,28.21
2005-05-05,503000.0,30.22,30.68,30.0,29.99
2005-05-06,108500.0,29.85,30.27,30.22,29.75
2005-05-09,140900.0,29.96,29.99,29.9,29.8
2005-05-10,174800.0,29.93,29.98,29.96,29.9
2005-05-11,159400.0,30.5,30.5,29.93,29.91
2005-05-12,359700.0,30.24,30.5,30.5,30.15
2005-05-13,203500.0,28.9,30.28,30.28,28.61
2005-05-16,116200.0,29.02,29.29,28.94,28.92
2005-05-17,517800.0,27.99,29.0,29.0,27.75
2005-05-18,258700.0,28.37,28.45,28.15,28.01
2005-05-19,72300.0,28.11,28.4,28.35,28.09
2005-05-20,294900.0,28.3,28.3,28.0,27.76
2005-05-23,335300.0,28.05,28.27,28.09,27.85
2005-05-24,218000.0,28.0,28.1,28.05,27.84
2005-05-25,291300.0,27.56,27.85,27.65,27.32
2005-05-26,806000.0,26.7,27.55,27.55,26.25
2005-05-27,202600.0,26.88,26.9,26.6,26.4
2005-05-31,271500.0,27.4,27.4,26.9,26.78
2005-06-01,305000.0,27.75,28.4,27.5,27.35
2005-06-02,103000.0,27.9,28.0,27.74,27.74
2005-06-03,7241900.0,22.11,26.99,26.99,20.0
2005-06-06,3675800.0,20.31,22.9,22.3,19.8
2005-06-07,882500.0,20.75,20.97,20.5,20.32
2005-06-08,975200.0,20.46,21.16,21.14,20.41
2005-06-09,1083200.0,21.19,21.25,20.45,20.45
2005-06-10,1588100.0,21.81,22.0,21.35,21.35
2005-06-13,415700.0,21.66,22.09,21.95,21.4
2005-06-14,740300.0,22.16,22.2,21.75,21.75
2005-06-15,691700.0,22.25,22.65,22.32,22.01
2005-06-16,273000.0,22.84,22.95,22.4,22.4
2005-06-17,232100.0,22.95,23.3,23.3,22.76
2005-06-20,264400.0,22.83,22.94,22.85,22.71
2005-06-21,204300.0,23.52,23.6,22.95,22.9
2005-06-22,184000.0,23.75,23.75,23.5,23.5
2005-06-23,169200.0,23.67,23.8,23.75,23.65
2005-06-24,582100.0,22.79,23.67,23.67,22.3
2005-06-27,206300.0,22.63,22.85,22.84,22.6
2005-06-28,155600.0,23.2,23.5,23.0,22.76
2005-06-29,146000.0,23.58,23.79,23.32,23.18
2005-06-30,456800.0,23.45,24.5,23.58,23.3
2005-07-01,145800.0,23.9,24.03,23.57,23.57
2005-07-05,234100.0,24.31,24.31,23.92,23.77
2005-07-06,225100.0,23.84,24.21,24.06,23.53
2005-07-07,395100.0,22.82,23.41,23.4,22.31
2005-07-08,193600.0,23.0,23.53,23.3,22.91
2005-07-11,182400.0,23.0,23.15,23.02,22.92
2005-07-12,159500.0,22.72,22.98,22.95,22.47
2005-07-13,203900.0,23.11,23.2,22.8,22.7
2005-07-14,153000.0,23.1,23.43,23.25,23.0
2005-07-15,125400.0,23.41,23.48,22.96,22.94
2005-07-18,93800.0,23.68,23.82,23.45,23.45
2005-07-19,44000.0,23.88,23.98,23.7,23.7
2005-07-20,73400.0,24.39,24.43,23.89,23.83
2005-07-21,117700.0,24.39,24.5,24.4,24.2
2005-07-22,231400.0,24.49,24.53,24.27,24.27
2005-07-25,243200.0,23.34,24.59,24.49,23.2
2005-07-26,254700.0,23.6,23.7,23.35,22.8
2005-07-27,100700.0,23.48,23.83,23.55,23.4
2005-07-28,679800.0,24.0,25.22,24.25,23.924
2005-07-29,191900.0,24.0,24.42,24.15,23.92
2005-08-01,493100.0,24.03,24.75,24.0,23.98
2005-08-02,154100.0,24.45,24.59,24.03,24.03
2005-08-03,155700.0,24.32,24.6,24.45,24.27
2005-08-04,146600.0,23.62,24.3,24.3,23.62
2005-08-05,106000.0,22.96,23.75,23.62,22.914
2005-08-08,238700.0,22.49,23.02,22.97,22.42
2005-08-09,207600.0,22.7,22.8,22.65,22.45
2005-08-10,264800.0,22.71,23.18,22.8,22.65
2005-08-11,212800.0,22.7,23.45,22.75,22.61
2005-08-12,198200.0,22.98,23.3,22.85,22.62
2005-08-15,148000.0,23.07,23.16,22.98,22.7
2005-08-16,155600.0,22.8,23.15,23.07,22.66
2005-08-17,87100.0,22.75,23.0,22.85,22.71
2005-08-18,90900.0,22.91,23.0,22.85,22.7
2005-08-19,45200.0,22.9,23.08,22.91,22.81
2005-08-22,186500.0,22.5,22.93,22.91,22.288
2005-08-23,215100.0,22.96,23.05,22.9,22.75
2005-08-24,132900.0,22.78,23.16,23.16,22.72
2005-08-25,309200.0,22.5,22.8,22.79,22.39
2005-08-26,116200.0,22.41,22.68,22.55,22.35
2005-08-29,248900.0,22.38,22.6,22.5,22.32
2005-08-30,90800.0,22.23,22.49,22.4,22.17
2005-08-31,98200.0,22.18,22.25,22.23,22.13
2005-09-01,301300.0,21.55,22.23,22.17,21.52
2005-09-02,95400.0,21.19,21.62,21.5,21.15
2005-09-06,354100.0,20.61,21.19,21.11,20.54
2005-09-07,835000.0,20.02,20.31,20.3,19.9
2005-09-08,391000.0,19.86,20.04,20.02,19.41
2005-09-09,1172200.0,21.23,22.42,21.9,21.12
2005-09-12,833800.0,22.69,23.35,22.45,21.56
