date,5. volume,4. close,2. high,1. open,3. low
2012-10-04,17687800.0,15.2,15.42,15.25,14.85
2012-10-05,2225900.0,15.0,15.35,15.34,14.85
2012-10-08,861200.0,14.75,14.93,14.9,14.73
2012-10-09,1140200.0,14.55,14.9255,14.75,14.4
2012-10-10,902800.0,14.16,14.55,14.45,14.1
2012-10-11,1327900.0,14.0,14.3899,14.16,13.88
2012-10-12,355600.0,14.2,14.2,14.0,14.0
2012-10-15,210000.0,14.37,14.5,14.2,14.2
2012-10-16,230200.0,14.36,14.46,14.36,14.21
2012-10-17,314800.0,14.47,14.47,14.3,14.2586
2012-10-18,573700.0,14.68,14.78,14.35,14.35
2012-10-19,618800.0,14.47,14.68,14.59,14.3
2012-10-22,291700.0,14.47,14.82,14.5,14.45
2012-10-23,138300.0,14.37,14.48,14.35,14.26
2012-10-24,231500.0,14.27,14.78,14.4,14.09
2012-10-25,73600.0,14.28,14.62,14.36,14.2
2012-10-26,163600.0,14.2,14.28,14.21,14.02
2012-10-31,190100.0,14.17,14.332,14.13,13.61
2012-11-01,199300.0,14.35,14.91,14.11,13.96
2012-11-02,146500.0,14.18,14.92,14.92,13.9835
2012-11-05,269200.0,13.98,14.38,14.13,13.92
2012-11-06,398600.0,14.1,14.23,14.1,13.92
2012-11-07,280100.0,13.63,14.15,14.0,13.5
2012-11-08,285400.0,13.48,13.8,13.7,13.25
2012-11-09,391800.0,13.65,13.79,13.25,13.12
2012-11-12,127600.0,13.88,14.0,13.8,13.6
2012-11-13,630600.0,14.15,14.28,14.09,13.9
2012-11-14,338200.0,14.25,14.5,14.25,14.09
2012-11-15,159300.0,14.01,14.497,14.11,14.01
2012-11-16,129600.0,14.06,14.4,14.3,13.93
2012-11-19,226100.0,14.16,14.4,14.23,13.97
2012-11-20,236300.0,14.3,14.32,14.06,13.9901
2012-11-21,339800.0,14.74,14.9,14.25,14.23
2012-11-23,134100.0,14.7,15.13,14.92,14.63
2012-11-26,251600.0,14.87,15.0,15.0,14.49
2012-11-27,561300.0,14.75,15.0,14.95,14.5
2012-11-28,285300.0,14.74,14.95,14.7,14.29
2012-11-29,236900.0,15.0,15.1,14.83,14.642
2012-11-30,109600.0,14.91,15.08,14.99,14.71
2012-12-03,250900.0,14.75,15.1,15.0,14.72
2012-12-04,192100.0,14.75,14.94,14.78,14.61
