date,5. volume,4. close,2. high,1. open,3. low
2001-08-02,9812900.0,16.0,16.08,16.0,15.16
2001-08-03,2776400.0,16.0,16.1,16.0,16.0
2001-08-06,416700.0,16.0,16.0,16.0,16.0
2001-08-07,1651800.0,16.0,16.01,16.0,15.9
2001-08-08,265800.0,16.0,16.0,16.0,16.0
2001-08-09,311200.0,16.0,16.01,16.0,15.9
2001-08-10,123100.0,16.0,16.04,16.0,16.0
2001-08-13,311100.0,16.0,16.05,16.0,15.95
2001-08-14,605000.0,16.0,16.0,15.95,15.88
2001-08-15,318400.0,15.95,16.0,16.0,15.5
2001-08-16,333200.0,16.0,16.0,15.9,15.65
2001-08-17,316300.0,15.85,16.0,15.85,15.2
2001-08-20,139400.0,15.89,16.0,15.95,15.6
2001-08-21,130500.0,15.9,15.97,15.8,15.8
2001-08-22,111300.0,15.91,15.99,15.9,15.75
2001-08-23,81500.0,15.9,15.99,15.9,15.85
2001-08-24,73700.0,15.85,15.99,15.9,15.8
2001-08-27,245900.0,15.99,16.04,16.0,15.81
2001-08-28,332400.0,16.25,16.32,16.0,15.95
2001-08-29,420400.0,16.47,16.6,16.6,16.06
2001-08-30,314600.0,16.76,16.8,16.8,16.49
2001-08-31,616700.0,18.25,18.25,16.85,16.85
2001-09-04,503900.0,18.07,18.3,18.25,17.4
2001-09-05,322700.0,18.2,18.35,18.3,17.91
2001-09-06,205200.0,18.0,18.6,18.0,18.0
2001-09-07,83400.0,18.0,18.0,18.0,18.0
2001-09-10,245100.0,17.5,17.85,16.5,16.25
2001-09-17,97100.0,17.0,17.2,16.0,15.6
2001-09-18,59600.0,17.03,17.15,17.15,16.75
2001-09-19,98800.0,17.4,17.7,17.7,16.5
2001-09-20,223900.0,16.8,17.25,17.25,16.35
2001-09-21,52700.0,16.5,16.6,16.6,15.05
2001-09-24,104600.0,17.1,17.5,17.5,16.7
2001-09-25,75700.0,17.1,17.1,17.1,17.1
2001-09-26,58800.0,17.65,17.65,17.65,17.05
2001-09-27,45500.0,17.0,17.65,17.65,16.9
2001-09-28,48100.0,17.0,17.0,17.0,17.0
2001-10-01,13600.0,17.0,17.05,16.9,16.75
2001-10-02,72300.0,16.5,17.2,17.2,16.16
2001-10-03,286900.0,18.5,18.5,18.5,15.31
2001-10-04,90400.0,17.25,18.25,18.25,17.16
2001-10-05,103100.0,16.0,17.25,17.25,15.98
2001-10-08,121600.0,15.95,16.4,16.0,15.8
2001-10-09,75600.0,17.3,17.69,16.0,15.95
2001-10-10,166500.0,16.45,17.3,17.23,16.0
2001-10-11,126800.0,16.1,16.9,16.85,15.74
2001-10-12,41500.0,16.25,16.75,16.05,16.0
2001-10-15,77300.0,16.0,16.75,16.25,15.85
2001-10-16,79600.0,15.95,16.1,15.9,15.8
2001-10-17,23500.0,16.3,16.43,15.9,15.9
2001-10-18,24100.0,16.6,16.6,16.44,16.0
2001-10-19,28100.0,16.61,16.85,16.59,16.4
2001-10-22,780500.0,18.0,18.45,18.0,17.52
2001-10-23,184200.0,17.64,18.25,18.1,17.62
2001-10-24,59700.0,17.05,17.7,17.7,16.86
2001-10-25,60200.0,17.05,17.05,17.05,17.05
2001-10-26,43500.0,17.5,17.7,17.2,17.04
2001-10-29,45300.0,17.7,17.8,17.5,17.5
2001-10-30,35100.0,17.6,17.8,17.8,17.46
2001-10-31,59700.0,17.62,17.98,17.6,17.6
2001-11-01,156700.0,18.6,18.6,17.62,17.6
2001-11-02,309400.0,18.6,18.6,18.6,18.6
2001-11-05,54600.0,18.2,18.8,18.5,18.05
2001-11-06,70900.0,18.95,18.95,18.35,18.25
2001-11-07,46500.0,18.7,19.49,19.49,18.65
2001-11-08,100900.0,19.05,19.59,18.65,18.65
2001-11-09,35700.0,18.85,19.49,19.15,18.8
2001-11-12,28100.0,19.0,19.25,18.75,18.5
