date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,570400.0,39.75,40.69,39.44,37.94
2000-01-04,351100.0,41.88,42.25,36.88,36.5
2000-01-05,441000.0,40.81,44.38,43.25,40.0
2000-01-06,182700.0,39.06,42.38,40.81,39.0
2000-01-07,300200.0,38.0,40.12,40.06,37.25
2000-01-10,334900.0,38.5,39.12,38.38,36.75
2000-01-11,102900.0,37.94,38.25,38.12,37.62
2000-01-12,200800.0,38.0,38.19,38.06,37.44
2000-01-13,172300.0,37.75,40.5,37.88,37.5
2000-01-14,747700.0,43.62,47.0,37.81,37.75
2000-01-18,313400.0,43.44,44.5,44.5,40.44
2000-01-19,248100.0,44.75,45.75,44.06,43.31
2000-01-20,415800.0,48.75,50.0,45.12,44.38
2000-01-21,516300.0,54.75,55.0,49.5,49.0
2000-01-24,273000.0,52.62,57.25,56.91,51.88
2000-01-25,237100.0,52.12,53.5,52.0,50.38
2000-01-26,118700.0,51.75,52.25,51.25,51.25
2000-01-27,131300.0,53.0,54.38,52.12,51.5
2000-01-28,178100.0,56.62,56.62,52.5,52.5
2000-01-31,714800.0,68.69,70.88,58.88,57.25
2000-02-01,408700.0,67.5,71.75,69.5,65.25
2000-02-02,243200.0,70.0,74.0,66.5,66.5
2000-02-03,347500.0,70.12,75.0,72.94,70.0
2000-02-04,137700.0,68.25,71.0,70.62,64.31
2000-02-07,61400.0,68.38,69.0,66.0,65.25
2000-02-08,160600.0,75.19,75.81,70.38,69.75
2000-02-09,151600.0,69.88,75.5,75.44,69.81
2000-02-10,44100.0,68.38,72.75,69.88,66.38
2000-02-11,116100.0,71.75,72.0,67.75,67.38
2000-02-14,193700.0,68.38,72.0,72.0,66.75
2000-02-15,137800.0,63.62,67.94,67.81,60.5
2000-02-16,99300.0,63.94,66.0,65.56,61.38
2000-02-17,111200.0,61.75,63.94,63.94,61.0
2000-02-18,175800.0,60.0,62.69,61.97,57.88
2000-02-22,51000.0,58.62,60.12,58.88,58.5
