date,5. volume,4. close,2. high,1. open,3. low
2002-09-17,48900.0,9.39,9.9,9.9,9.38
2002-09-18,367500.0,9.1,9.4,9.4,9.0
2002-09-19,51000.0,9.0,9.1,9.1,9.0
2002-09-20,11500.0,9.1,9.1,9.0,8.75
2002-09-23,46700.0,9.0,9.1,9.01,8.999
2002-09-24,91800.0,8.9,9.145,9.0,8.9
2002-09-25,44400.0,9.54,9.55,9.02,8.85
2002-09-26,150800.0,9.7,9.8,9.41,9.41
2002-09-27,30600.0,10.08,10.51,9.7,9.55
2002-09-30,26400.0,10.25,10.3,9.55,9.55
2002-10-01,4800.0,9.9,10.3,10.3,9.66
2002-10-02,8600.0,9.55,9.69,9.65,9.36
2002-10-03,7800.0,9.25,9.94,9.41,9.1
2002-10-04,8200.0,9.46,10.11,9.5,9.28
2002-10-07,16900.0,8.75,9.55,9.16,8.66
2002-10-08,19400.0,8.69,8.94,8.75,8.46
2002-10-09,4100.0,8.6,8.92,8.652,8.55
2002-10-10,38700.0,9.1,9.1,8.541,8.3
2002-10-11,24600.0,9.5,9.51,8.86,8.85
2002-10-14,124500.0,9.51,9.72,9.35,9.35
2002-10-15,8900.0,10.2,10.23,9.709,9.47
2002-10-16,189300.0,9.95,10.17,10.04,9.41
2002-10-17,15600.0,10.2,10.2,10.1,9.92
2002-10-18,2400.0,10.25,10.35,10.2,10.2
2002-10-21,14300.0,10.5,10.55,10.34,10.0
2002-10-22,3100.0,10.16,10.54,10.54,10.1
2002-10-23,63400.0,9.95,10.27,10.08,9.92
2002-10-24,95000.0,10.32,10.5,10.11,10.0
2002-10-25,60400.0,10.35,10.59,10.5,10.3
2002-10-28,17600.0,10.97,10.97,10.55,10.25
2002-10-29,41300.0,10.6,10.75,10.75,10.3
2002-10-30,43000.0,10.72,10.75,10.51,10.25
2002-10-31,89100.0,11.81,11.87,11.03,11.03
2002-11-01,43400.0,11.83,11.9,11.74,11.5
2002-11-04,62100.0,12.0,12.22,11.9,11.84
2002-11-05,14600.0,11.77,12.1,12.1,11.61
2002-11-06,24300.0,11.87,11.96,11.6,11.6
2002-11-07,17800.0,11.9,11.99,11.61,11.61
2002-11-08,22700.0,11.84,12.15,11.58,11.58
2002-11-11,10800.0,11.39,11.98,11.61,11.39
2002-11-12,40300.0,11.5,11.55,11.37,10.61
2002-11-13,60000.0,11.95,11.95,11.2,11.2
2002-11-14,158500.0,11.95,11.95,11.95,11.95
2002-11-15,42100.0,13.2,13.33,12.38,12.38
2002-11-18,132500.0,13.05,13.39,13.32,12.75
2002-11-19,66700.0,13.01,13.15,13.15,12.17
2002-11-20,41900.0,13.0,13.0,12.85,12.8
2002-11-21,216500.0,13.0,13.39,12.98,12.75
2002-11-22,207000.0,13.01,13.1,13.1,12.81
2002-11-25,38800.0,13.4,13.84,13.01,13.0
2002-11-26,41100.0,13.05,13.7,13.5,12.8
2002-11-27,22700.0,13.12,13.4,13.06,13.06
2002-11-29,18900.0,13.4,13.4,13.23,12.87
2002-12-02,157700.0,13.6,13.6,13.44,13.01
2002-12-03,173300.0,13.51,14.64,13.69,13.4
2002-12-04,87600.0,13.97,14.0,13.88,13.26
2002-12-05,23700.0,13.4,14.0,14.0,13.3
2002-12-06,58600.0,14.1,14.15,13.45,13.32
2002-12-09,132700.0,13.9,14.2,14.2,13.8
2002-12-10,14100.0,13.8,14.05,14.05,13.68
2002-12-11,46400.0,13.91,14.2,13.68,13.67
2002-12-12,25600.0,13.65,14.0,13.92,13.5
2002-12-13,16100.0,13.46,14.27,13.4,13.35
2002-12-16,38100.0,13.55,13.7,13.31,13.3
2002-12-17,19700.0,13.7,13.93,13.63,13.15
2002-12-18,106700.0,12.7,13.4,13.38,12.3
2002-12-19,91200.0,11.53,12.76,12.49,11.31
2002-12-20,113900.0,12.0,12.1,11.28,11.25
2002-12-23,20700.0,11.64,12.0,11.67,11.25
2002-12-24,45500.0,11.05,11.78,11.27,11.0
2002-12-26,59300.0,11.25,11.4,10.93,10.75
2002-12-27,31500.0,11.2,11.3,11.29,11.0
2002-12-30,122400.0,11.0,11.34,11.34,10.59
2002-12-31,154600.0,10.79,11.0,11.0,10.7
2003-01-02,293100.0,10.85,11.44,10.91,10.81
2003-01-03,216800.0,10.89,11.17,10.8,10.8
2003-01-06,297300.0,11.0,11.14,11.06,10.93
2003-01-07,275300.0,11.0,11.32,11.0,10.95
2003-01-08,23600.0,11.0,11.03,11.02,10.87
2003-01-09,103600.0,11.45,11.54,10.98,10.98
2003-01-10,51400.0,11.74,11.9,11.43,11.3
2003-01-13,44700.0,11.5,11.8,11.8,11.47
2003-01-14,56800.0,10.91,11.7,11.7,10.73
2003-01-15,930900.0,10.3,10.8,10.38,9.72
2003-01-16,148000.0,10.54,10.55,10.5,10.0
2003-01-17,171400.0,10.31,10.45,10.37,10.03
2003-01-21,50100.0,10.91,10.97,10.45,10.45
2003-01-22,100700.0,11.0,11.1,10.71,10.71
2003-01-23,126000.0,11.15,11.15,10.85,10.75
2003-01-24,85600.0,10.85,11.1,11.1,10.81
2003-01-27,148400.0,10.7,10.95,10.8,10.59
2003-01-28,49200.0,11.5,11.51,10.8,10.8
2003-01-29,35300.0,11.5,11.51,10.8,10.8
2003-01-30,265400.0,11.45,12.06,11.05,11.05
2003-01-31,232200.0,11.35,12.06,11.65,11.12
2003-02-03,76500.0,11.32,11.45,11.33,11.23
2003-02-04,26900.0,10.89,11.3,11.22,10.88
2003-02-05,28700.0,10.83,11.1,11.1,10.76
2003-02-06,71100.0,10.1,10.99,10.99,9.88
2003-02-07,45800.0,10.2,11.47,11.15,10.14
2003-02-10,22900.0,10.22,10.29,10.2,10.15
2003-02-11,39400.0,10.32,10.33,10.22,10.0
2003-02-12,111600.0,10.35,10.45,10.18,9.76
2003-02-13,305700.0,8.791,9.98,9.98,8.66
2003-02-14,199700.0,8.341,8.95,8.95,8.271
2003-02-18,642300.0,9.0,9.0,8.42,8.41
2003-02-19,169300.0,9.0,9.09,8.81,8.78
2003-02-20,265200.0,9.13,9.17,8.85,8.6
2003-02-21,348600.0,9.39,9.74,8.999,8.91
2003-02-24,168600.0,9.46,9.75,9.31,9.12
2003-02-25,38800.0,9.201,9.48,9.48,9.11
2003-02-26,40000.0,9.32,9.43,9.23,9.19
2003-02-27,14200.0,9.47,9.48,9.32,9.24
2003-02-28,135500.0,9.65,10.36,9.4,9.4
2003-03-03,80100.0,9.28,9.75,9.73,9.12
2003-03-04,21700.0,9.25,9.45,9.29,9.11
2003-03-05,41400.0,9.02,9.25,9.2,8.95
2003-03-06,57400.0,9.31,9.37,9.15,8.981
2003-03-07,206300.0,9.232,9.33,9.25,9.01
2003-03-10,26300.0,9.75,9.87,9.34,9.34
2003-03-11,24100.0,9.35,9.85,9.63,9.16
2003-03-12,43000.0,9.29,9.3,9.26,9.15
2003-03-13,54000.0,9.41,10.0,9.12,9.12
2003-03-14,105500.0,9.25,9.9,9.451,9.25
2003-03-17,110200.0,9.67,9.72,9.27,9.25
2003-03-18,26900.0,10.0,10.0,9.62,9.62
2003-03-19,122000.0,10.35,10.93,9.67,9.41
2003-03-20,43500.0,10.32,10.7,10.45,10.0
2003-03-21,20200.0,10.95,10.98,10.21,10.01
2003-03-24,62700.0,10.66,10.93,10.84,10.36
2003-03-25,18200.0,10.75,10.95,10.8,10.66
2003-03-26,46900.0,10.55,10.95,10.79,10.55
2003-03-27,74500.0,10.7,11.0,10.91,10.51
2003-03-28,48000.0,10.97,11.26,10.76,10.6
2003-03-31,48700.0,11.03,11.14,11.14,10.98
2003-04-01,111300.0,11.08,11.16,11.09,11.0
2003-04-02,95000.0,11.25,11.25,11.05,10.79
2003-04-03,58900.0,11.61,11.75,11.25,10.98
2003-04-04,97600.0,11.95,12.0,11.65,11.65
2003-04-07,175500.0,12.03,12.54,11.77,11.74
2003-04-08,53000.0,11.99,12.02,11.95,11.91
2003-04-09,68700.0,12.3,12.5,12.0,11.88
2003-04-10,44100.0,12.43,12.43,12.3,11.94
2003-04-11,79600.0,12.2,12.49,12.49,12.17
2003-04-14,104900.0,12.52,12.75,12.36,12.16
2003-04-15,18900.0,12.69,12.75,12.17,12.17
2003-04-16,24300.0,12.61,12.78,12.55,12.28
2003-04-17,19600.0,12.64,12.77,12.66,12.52
2003-04-21,37800.0,12.95,12.98,12.65,12.65
2003-04-22,39400.0,12.97,13.01,12.96,12.82
2003-04-23,54500.0,12.98,13.02,12.99,12.68
2003-04-24,31300.0,12.66,13.0,12.9,12.66
2003-04-25,91300.0,12.8358,13.02,12.66,12.54
2003-04-28,192600.0,13.03,13.2,12.86,12.8
2003-04-29,301500.0,13.45,14.1,13.05,12.9
2003-04-30,51100.0,12.37,13.63,13.34,12.36
2003-05-01,99100.0,12.15,12.39,12.39,11.5
2003-05-02,497400.0,13.5,14.02,14.02,13.0
2003-05-05,132600.0,13.26,13.83,13.5,13.0
2003-05-06,57300.0,13.46,13.49,13.38,13.34
2003-05-07,79300.0,12.75,13.28,13.23,12.74
2003-05-08,82600.0,12.34,12.96,12.95,12.22
2003-05-09,79800.0,12.17,12.38,12.34,12.06
2003-05-12,49600.0,12.85,13.04,12.1,12.09
2003-05-13,70400.0,12.99,13.14,12.7,12.7
2003-05-14,61000.0,13.14,13.25,13.0,12.99
2003-05-15,109900.0,13.45,13.7,13.15,13.0
2003-05-16,66000.0,12.98,13.51,13.45,12.96
2003-05-19,51500.0,12.49,12.98,12.96,11.94
2003-05-20,43000.0,12.47,12.5,12.49,12.31
2003-05-21,35400.0,12.46,12.47,11.96,11.9
2003-05-22,107700.0,12.4,12.7,12.28,12.24
2003-05-23,80200.0,12.64,12.74,12.6,12.59
2003-05-27,140800.0,12.75,12.75,12.35,12.34
2003-05-28,233500.0,13.0,13.0,12.75,12.41
2003-05-29,35600.0,12.55,12.98,12.95,12.49
2003-05-30,74100.0,12.5,12.75,12.39,12.39
2003-06-02,86000.0,12.6,13.05,12.41,12.32
2003-06-03,87500.0,12.59,12.7,12.55,12.48
2003-06-04,84800.0,12.46,12.6,12.57,12.26
2003-06-05,388500.0,12.32,12.6,12.55,12.08
2003-06-06,605800.0,12.5,12.8,12.25,12.2
2003-06-09,113200.0,12.6,12.75,12.5,12.382
2003-06-10,42800.0,12.7,12.84,12.55,12.472
2003-06-11,54800.0,13.0,13.04,12.7,12.602
2003-06-12,161700.0,13.75,13.75,13.002,13.002
2003-06-13,118800.0,13.46,14.0,13.502,13.35
2003-06-16,246800.0,14.22,14.25,13.6,13.6
2003-06-17,179800.0,14.42,14.52,13.7,13.7
2003-06-18,101900.0,14.25,14.75,14.5,13.95
2003-06-19,67100.0,14.22,14.46,14.25,13.91
2003-06-20,85900.0,13.95,14.3,14.17,13.622
2003-06-23,134100.0,13.199,14.13,14.13,13.17
2003-06-24,137300.0,13.38,13.64,13.16,13.05
2003-06-25,50200.0,13.43,13.62,13.37,13.24
2003-06-26,71700.0,13.52,13.8,13.39,13.39
2003-06-27,148700.0,13.42,13.92,13.77,13.21
2003-06-30,706600.0,12.65,13.58,13.5,12.41
2003-07-01,276300.0,12.85,12.89,12.5,12.29
2003-07-02,146400.0,13.85,14.0,12.89,12.81
2003-07-03,43800.0,13.71,13.9,13.45,13.3
2003-07-07,181500.0,14.2,14.2,13.65,13.65
2003-07-08,187000.0,14.79,14.85,14.2,14.2
2003-07-09,191500.0,15.0,15.25,14.75,14.65
2003-07-10,135300.0,13.7,14.98,14.98,13.51
2003-07-11,74900.0,13.5,14.049,13.8,13.45
2003-07-14,44900.0,13.8125,14.0,13.8,13.7
2003-07-15,117300.0,14.9,15.0,13.91,13.78
2003-07-16,89100.0,14.76,14.87,14.81,14.41
2003-07-17,41800.0,14.6,14.74,14.45,14.36
2003-07-18,96100.0,14.51,14.85,14.5,14.25
2003-07-21,53700.0,14.68,14.95,14.55,14.5
2003-07-22,237000.0,15.45,15.6,14.95,14.56
2003-07-23,114500.0,15.55,16.0,15.45,15.15
2003-07-24,98800.0,14.82,15.69,15.69,14.33
2003-07-25,58400.0,15.441,15.7,14.8,14.55
2003-07-28,44300.0,15.03,15.8,15.4,14.8
2003-07-29,66000.0,15.0,15.2,15.2,14.861
2003-07-30,138100.0,15.45,15.61,15.18,14.35
2003-07-31,283200.0,14.691,15.4,15.37,13.86
2003-08-01,101900.0,13.7,14.62,14.62,13.25
2003-08-04,65500.0,14.3,14.85,13.75,13.75
2003-08-05,82400.0,14.44,14.85,14.55,14.29
2003-08-06,67000.0,14.3,14.5,14.25,14.25
2003-08-07,60000.0,14.2,14.85,14.59,13.98
2003-08-08,67200.0,13.94,14.2,14.2,13.87
2003-08-11,66900.0,14.09,14.3,14.0,13.82
2003-08-12,70900.0,14.5,14.5,14.2,13.94
2003-08-13,48800.0,14.19,14.5,14.5,14.15
2003-08-14,59900.0,14.54,14.75,14.39,14.06
2003-08-15,33800.0,14.75,14.83,14.4,14.34
2003-08-18,121600.0,15.2,15.2,14.75,14.53
2003-08-19,56400.0,15.66,15.84,15.1,14.94
2003-08-20,114500.0,15.99,15.99,15.65,15.48
2003-08-21,81100.0,15.91,15.99,15.99,15.75
2003-08-22,219600.0,15.85,16.0,15.93,15.71
2003-08-25,90200.0,15.8,15.92,15.92,15.22
2003-08-26,260100.0,17.0,17.0,15.41,15.41
2003-08-27,65000.0,16.86,16.97,16.97,16.2
2003-08-28,71700.0,17.0,17.25,16.74,16.5
2003-08-29,76500.0,17.03,17.11,17.0,16.65
2003-09-02,102500.0,17.0,17.5,17.03,16.7
2003-09-03,198700.0,17.28,17.68,16.98,16.94
2003-09-04,59400.0,16.99,17.549,17.21,16.86
2003-09-05,51800.0,16.76,17.07,17.07,16.32
2003-09-08,42400.0,16.35,17.0,16.55,16.31
2003-09-09,133700.0,15.55,16.39,16.39,15.52
2003-09-10,73900.0,15.26,15.88,15.48,15.21
2003-09-11,18100.0,15.68,15.7,15.37,15.37
2003-09-12,71900.0,15.46,15.7,15.46,15.43
2003-09-15,20900.0,15.11,15.56,15.46,15.11
2003-09-16,94200.0,15.22,15.49,15.02,14.81
2003-09-17,58600.0,15.0,15.41,15.11,14.94
2003-09-18,405200.0,15.61,15.75,15.04,15.0
2003-09-19,150500.0,15.85,15.9,15.75,15.44
2003-09-22,118900.0,15.22,15.7,15.63,15.02
2003-09-23,42100.0,15.61,15.72,15.18,15.11
2003-09-24,24600.0,15.7,15.72,15.52,15.47
2003-09-25,51800.0,15.36,15.82,15.52,15.3
2003-09-26,28100.0,15.35,15.62,15.48,15.34
2003-09-29,706900.0,15.59,15.65,15.45,15.04
2003-09-30,38200.0,15.28,15.65,15.65,15.25
2003-10-01,68000.0,15.68,15.7,15.28,15.11
2003-10-02,10400.0,15.45,15.79,15.73,15.45
2003-10-03,195900.0,15.85,16.1,15.5,15.5
2003-10-06,33900.0,16.27,16.33,16.26,15.85
2003-10-07,17300.0,16.49,16.5,16.061,16.0
2003-10-08,37100.0,15.93,16.6,16.5,15.93
2003-10-09,69800.0,15.05,16.13,15.92,14.61
2003-10-10,65600.0,15.16,15.18,15.04,14.9
2003-10-13,39500.0,16.09,16.09,15.2,15.15
2003-10-14,27400.0,16.5,16.5,16.1,16.06
2003-10-15,32200.0,16.38,16.68,16.5,16.38
2003-10-16,32600.0,16.5,16.5,16.47,16.07
2003-10-17,27400.0,16.4,16.6,16.54,16.35
2003-10-20,41600.0,16.94,16.95,16.43,16.43
2003-10-21,118600.0,17.01,17.09,16.92,16.78
2003-10-22,47200.0,16.99,17.04,17.04,16.83
2003-10-23,74600.0,17.28,17.4,16.85,16.69
2003-10-24,92200.0,16.921,17.21,17.14,16.92
2003-10-27,110700.0,17.29,17.3,17.0,17.0
2003-10-28,50000.0,17.5,17.5,17.2,17.13
2003-10-29,43900.0,17.65,17.65,17.5,17.26
2003-10-30,221500.0,18.45,18.66,17.98,17.95
2003-10-31,235500.0,18.67,18.83,18.5,18.41
2003-11-03,268700.0,19.35,19.4,18.72,18.46
2003-11-04,96900.0,19.51,19.73,19.25,19.25
2003-11-05,47600.0,19.36,19.49,19.48,19.3
2003-11-06,108900.0,19.66,19.75,19.28,18.49
2003-11-07,59400.0,19.65,19.9,19.71,19.5
2003-11-10,20700.0,19.46,19.76,19.76,19.37
2003-11-11,130300.0,18.95,19.36,19.36,18.73
2003-11-12,87300.0,19.05,19.27,18.75,18.75
2003-11-13,79000.0,19.01,19.07,18.99,18.75
2003-11-14,136800.0,19.14,19.639,19.15,19.06
2003-11-17,316900.0,18.33,19.12,19.12,18.0
2003-11-18,2719900.0,19.9,20.42,18.55,18.55
2003-11-19,272700.0,20.34,20.87,20.25,19.98
2003-11-20,396400.0,20.51,20.52,20.42,20.02
2003-11-21,672600.0,20.61,20.75,20.36,20.16
2003-11-24,183400.0,20.78,21.1,20.65,20.65
2003-11-25,177600.0,21.12,21.18,21.01,20.8
2003-11-26,117900.0,21.2,21.28,21.0,20.71
2003-11-28,58700.0,21.59,21.64,21.2,21.17
2003-12-01,431000.0,21.5,22.39,22.15,21.4
2003-12-02,318600.0,21.0,21.75,21.54,20.75
2003-12-03,337300.0,20.27,21.43,21.24,20.27
2003-12-04,179900.0,21.25,21.25,20.3,20.25
2003-12-05,146200.0,20.9,21.3,21.2,20.8
2003-12-08,162900.0,20.88,21.2,20.93,20.58
2003-12-09,181000.0,20.9,21.18,20.8,20.73
2003-12-10,159600.0,21.18,21.52,20.9,20.8
2003-12-11,112000.0,22.17,22.17,21.25,21.25
2003-12-12,53900.0,22.1,22.25,22.2,21.74
2003-12-15,158600.0,21.21,22.83,22.34,21.13
2003-12-16,171600.0,20.98,21.12,20.94,20.8
2003-12-17,92400.0,21.37,21.73,21.0,21.0
2003-12-18,109600.0,21.09,21.75,21.3,20.98
2003-12-19,74900.0,21.34,21.5,21.46,20.98
2003-12-22,63700.0,21.05,21.43,21.43,20.88
2003-12-23,80700.0,21.2,21.51,21.0,21.0
2003-12-24,28200.0,21.12,21.39,21.28,21.05
2003-12-26,10500.0,20.93,21.27,21.03,20.86
2003-12-29,65900.0,21.16,21.2,21.05,20.96
2003-12-30,172400.0,21.08,21.37,20.89,20.89
2003-12-31,80800.0,20.95,21.16,21.02,20.6
2004-01-02,98000.0,21.39,21.4,21.019,21.019
2004-01-05,111700.0,21.46,21.5,21.3,21.3
2004-01-06,305000.0,22.05,22.44,21.48,21.45
2004-01-07,83800.0,22.44,22.5,22.19,22.0
2004-01-08,99300.0,21.75,22.0,21.93,21.52
2004-01-09,132900.0,21.6,21.85,21.69,21.51
2004-01-12,113600.0,20.94,21.77,21.57,20.58
2004-01-13,102800.0,21.89,21.94,20.78,20.64
2004-01-14,37700.0,22.03,22.09,21.99,21.73
2004-01-15,40700.0,21.99,22.329,21.875,21.67
2004-01-16,95300.0,22.04,22.29,22.06,21.86
2004-01-20,228300.0,24.25,24.28,22.01,22.01
2004-01-21,89200.0,23.74,24.11,24.11,23.0
2004-01-22,132400.0,24.0,24.15,23.75,23.75
2004-01-23,74400.0,24.72,24.72,24.12,23.85
2004-01-26,85000.0,24.8,24.93,24.73,24.32
2004-01-27,98300.0,24.451,24.94,24.93,24.45
2004-01-28,96900.0,23.84,24.64,24.4,23.6
2004-01-29,130700.0,24.98,25.0,23.55,23.55
2004-01-30,75200.0,24.57,25.0,24.88,24.25
2004-02-02,66200.0,24.24,24.84,24.84,23.89
2004-02-03,89900.0,23.5,24.35,24.35,23.49
2004-02-04,55900.0,23.11,23.495,23.48,23.1
2004-02-05,32900.0,23.61,23.65,23.26,23.01
2004-02-06,35600.0,23.91,24.28,23.24,23.24
2004-02-09,25800.0,24.0,24.089,23.89,23.85
2004-02-10,31600.0,23.7,23.89,23.83,23.35
2004-02-11,184000.0,25.287,25.33,23.44,23.44
2004-02-12,92300.0,24.61,25.949,25.04,24.5
2004-02-13,86000.0,25.03,25.19,24.3,23.15
2004-02-17,74300.0,25.42,25.8,25.44,25.18
2004-02-18,44600.0,24.49,25.5,25.48,24.47
2004-02-19,48900.0,24.34,25.08,24.47,24.33
2004-02-20,53400.0,24.47,24.99,24.73,24.1
2004-02-23,58200.0,23.29,24.87,24.68,23.26
2004-02-24,55500.0,24.65,24.65,23.26,23.15
2004-02-25,239500.0,25.08,25.45,24.5,24.35
2004-02-26,65100.0,25.01,25.2,25.06,24.751
2004-02-27,36900.0,25.13,25.39,24.85,24.85
2004-03-01,131200.0,25.62,26.19,24.88,24.88
2004-03-02,30700.0,25.351,26.13,25.7,25.33
2004-03-03,56200.0,25.07,25.28,25.28,24.58
2004-03-04,45100.0,25.5,25.6,24.82,24.82
2004-03-05,71200.0,25.54,26.02,25.9,25.41
2004-03-08,98400.0,25.52,25.94,25.685,25.52
2004-03-09,101600.0,24.72,25.9,25.52,24.12
2004-03-10,175400.0,25.02,25.48,24.82,24.5
2004-03-11,49600.0,24.17,25.25,25.0,24.142
2004-03-12,76300.0,24.01,24.17,24.0,23.18
2004-03-15,86900.0,22.88,23.945,23.945,22.71
2004-03-16,125700.0,23.38,23.98,23.0,22.88
2004-03-17,192700.0,24.99,25.1,24.61,24.55
