date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,443412.0,2.813,2.875,2.781,2.75
2000-01-04,280417.0,2.75,2.875,2.828,2.719
2000-01-05,91972.0,2.688,2.75,2.75,2.688
2000-01-06,215826.0,2.781,2.844,2.734,2.688
2000-01-07,156012.0,2.781,2.844,2.813,2.656
2000-01-10,130194.0,2.625,2.75,2.75,2.625
2000-01-11,177053.0,2.625,2.75,2.734,2.594
2000-01-12,66705.0,2.688,2.719,2.719,2.656
2000-01-13,55495.0,2.656,2.688,2.688,2.656
2000-01-14,66245.0,2.563,2.75,2.656,2.531
2000-01-18,62478.0,2.531,2.656,2.594,2.531
2000-01-19,152429.0,2.531,2.656,2.656,2.5
2000-01-20,64592.0,2.563,2.656,2.531,2.531
2000-01-21,29677.0,2.5,2.625,2.625,2.5
2000-01-24,137360.0,2.5,2.594,2.594,2.5
2000-01-25,77363.0,2.5,2.625,2.563,2.438
2000-01-26,299437.0,2.5,2.625,2.469,2.438
2000-01-27,58711.0,2.5,2.563,2.531,2.469
2000-01-28,48513.0,2.469,2.531,2.5,2.469
2000-01-31,214172.0,2.438,2.5,2.438,2.375
2000-02-01,67532.0,2.438,2.5,2.469,2.438
2000-02-02,42265.0,2.438,2.5,2.469,2.438
2000-02-03,108694.0,2.438,2.5,2.5,2.438
2000-02-04,108694.0,2.438,2.453,2.453,2.375
2000-02-07,147008.0,2.469,2.469,2.406,2.375
2000-02-08,87653.0,2.375,2.469,2.469,2.313
2000-02-09,229700.0,2.281,2.406,2.406,2.188
2000-02-10,171540.0,2.281,2.281,2.25,2.219
2000-02-11,112277.0,2.281,2.281,2.266,2.188
2000-02-14,116963.0,2.313,2.5,2.5,2.219
2000-02-15,398851.0,2.75,2.781,2.375,2.25
2000-02-16,270678.0,2.688,2.844,2.813,2.563
2000-02-17,517743.0,2.75,2.969,2.688,2.625
2000-02-18,4310361.0,5.031,6.25,3.25,3.094
2000-02-22,3725086.0,6.5,7.0,6.625,6.0
2000-02-23,1676624.0,5.344,6.5,6.469,4.875
2000-02-24,1209323.0,5.344,5.563,5.531,4.0
2000-02-25,731272.0,4.688,5.344,5.344,4.438
2000-02-28,497713.0,5.0,5.125,5.0,4.625
2000-02-29,662638.0,5.438,5.563,5.094,4.906
2000-03-01,398483.0,5.5,5.531,5.469,5.281
2000-03-02,472906.0,5.531,5.875,5.531,5.438
