date,5. volume,4. close,2. high,1. open,3. low
2001-12-14,10000.0,14.9,15.0,15.0,14.9
2001-12-17,22800.0,14.7,14.91,14.91,14.65
2001-12-18,0.0,14.7,14.7,14.7,14.7
2001-12-19,7500.0,14.0,14.55,14.55,14.0
2001-12-20,10500.0,13.6,14.0,14.0,13.51
2001-12-21,15400.0,13.11,13.85,13.85,13.11
2001-12-24,5500.0,12.98,13.05,13.05,12.91
2001-12-26,48400.0,12.7,13.0,12.87,12.66
2001-12-27,9300.0,12.95,13.2,12.8,12.73
2001-12-28,37500.0,13.05,13.15,12.95,12.77
2001-12-31,9700.0,13.15,13.35,13.15,13.15
2002-01-02,29300.0,13.77,13.77,13.16,13.16
2002-01-03,5000.0,13.6,13.7,13.7,13.5
2002-01-04,9700.0,13.58,13.64,13.64,13.47
2002-01-07,400.0,13.58,13.58,13.58,13.58
2002-01-08,9800.0,13.6,13.6,13.5,13.5
2002-01-09,9600.0,13.43,13.55,13.55,13.43
2002-01-10,5900.0,13.45,13.45,13.38,13.35
2002-01-11,2300.0,13.58,13.58,13.44,13.44
2002-01-14,4600.0,13.65,13.65,13.47,13.47
2002-01-15,6800.0,13.7,13.7,13.68,13.68
2002-01-16,5100.0,13.75,13.75,13.65,13.65
2002-01-17,2800.0,13.74,13.74,13.72,13.72
2002-01-18,2900.0,13.7,13.74,13.74,13.7
2002-01-22,1000.0,13.64,13.64,13.64,13.64
2002-01-23,10200.0,13.74,13.74,13.74,13.55
2002-01-24,12300.0,13.6,13.75,13.75,13.6
2002-01-25,4200.0,13.55,13.63,13.63,13.55
2002-01-28,15600.0,13.75,13.75,13.75,13.45
2002-01-29,6300.0,13.5,13.74,13.72,13.5
2002-01-30,6600.0,13.5,13.5,13.43,13.36
2002-01-31,9800.0,13.7,13.7,13.58,13.58
2002-02-01,7200.0,13.77,13.77,13.77,13.72
2002-02-04,3200.0,13.72,13.72,13.72,13.72
2002-02-05,0.0,13.72,13.72,13.72,13.72
2002-02-06,12300.0,13.7,13.75,13.75,13.6
2002-02-07,1000.0,13.75,13.78,13.75,13.75
2002-02-08,2800.0,13.67,13.89,13.8,13.67
2002-02-11,3100.0,13.75,13.75,13.73,13.73
2002-02-12,5800.0,13.75,13.75,13.65,13.65
2002-02-13,7000.0,13.66,13.8,13.75,13.66
2002-02-14,7800.0,13.65,13.7,13.7,13.65
2002-02-15,3000.0,13.53,13.65,13.65,13.53
2002-02-19,12000.0,13.55,13.68,13.55,13.41
2002-02-20,2000.0,13.7,13.7,13.7,13.5
2002-02-21,4300.0,13.62,13.7,13.65,13.6
2002-02-22,1200.0,13.6,13.6,13.6,13.6
2002-02-25,5100.0,13.57,13.65,13.65,13.55
2002-02-26,8800.0,13.5,13.6,13.53,13.5
2002-02-27,4900.0,13.56,13.63,13.52,13.52
2002-02-28,1100.0,13.55,13.56,13.56,13.54
2002-03-01,12000.0,13.87,13.87,13.58,13.58
2002-03-04,600.0,13.91,13.91,13.91,13.91
2002-03-05,25100.0,13.95,14.12,13.92,13.92
2002-03-06,8500.0,13.83,13.94,13.94,13.83
2002-03-07,4300.0,13.92,13.92,13.8,13.8
2002-03-08,7000.0,13.92,13.92,13.89,13.85
2002-03-11,7700.0,13.96,13.96,13.9,13.88
2002-03-12,2400.0,14.05,14.05,14.05,13.97
2002-03-13,15500.0,14.1,14.17,14.1,14.1
2002-03-14,2900.0,14.1,14.1,14.1,14.01
2002-03-15,6500.0,14.08,14.2,14.14,14.05
2002-03-18,1400.0,14.07,14.07,14.05,14.05
2002-03-19,5500.0,14.04,14.08,14.08,14.0
2002-03-20,3400.0,13.91,14.0,14.0,13.91
2002-03-21,4200.0,13.91,13.91,13.91,13.91
2002-03-22,3700.0,13.85,13.9,13.89,13.83
2002-03-25,10900.0,13.74,13.83,13.83,13.74
2002-03-26,3200.0,13.7,13.74,13.74,13.65
2002-03-27,2900.0,13.6,13.65,13.65,13.6
2002-03-28,5800.0,13.68,13.7,13.7,13.59
2002-04-01,6500.0,13.74,13.81,13.81,13.7
2002-04-02,5200.0,13.81,13.81,13.78,13.75
2002-04-03,400.0,13.72,13.72,13.72,13.72
2002-04-04,3700.0,13.72,13.72,13.72,13.72
2002-04-05,500.0,13.74,13.74,13.74,13.74
2002-04-08,1700.0,13.76,13.76,13.75,13.75
2002-04-09,2200.0,13.7,13.7,13.66,13.66
2002-04-10,15100.0,13.47,13.68,13.64,13.45
2002-04-11,1100.0,13.38,13.38,13.38,13.38
2002-04-12,4600.0,13.4,13.42,13.38,13.38
2002-04-15,4500.0,13.42,13.44,13.42,13.39
2002-04-16,4000.0,13.39,13.4,13.4,13.38
2002-04-17,900.0,13.45,13.45,13.4,13.4
2002-04-18,6400.0,13.38,13.4,13.4,13.38
2002-04-19,700.0,13.44,13.44,13.44,13.44
2002-04-22,1000.0,13.46,13.46,13.46,13.46
2002-04-23,7800.0,13.36,13.46,13.42,13.36
2002-04-24,1100.0,13.45,13.45,13.37,13.37
2002-04-25,10300.0,13.38,13.5,13.5,13.36
2002-04-26,100.0,13.37,13.37,13.37,13.37
2002-04-29,3600.0,13.4,13.4,13.37,13.37
2002-04-30,7800.0,13.4,13.47,13.47,13.37
2002-05-01,5800.0,13.6,13.6,13.4,13.4
2002-05-02,2400.0,13.66,13.66,13.6,13.6
2002-05-03,2900.0,13.76,13.76,13.73,13.73
2002-05-06,2500.0,13.64,13.7,13.7,13.64
2002-05-07,4300.0,13.65,13.65,13.6,13.56
2002-05-08,100.0,13.65,13.65,13.65,13.65
2002-05-09,2800.0,13.65,13.7,13.7,13.65
2002-05-10,3600.0,13.63,13.64,13.64,13.56
2002-05-13,2800.0,13.53,13.56,13.56,13.53
2002-05-14,1000.0,13.6,13.6,13.53,13.53
2002-05-15,1700.0,13.7,13.7,13.62,13.62
2002-05-16,3500.0,13.65,13.74,13.74,13.64
2002-05-17,2000.0,13.61,13.65,13.65,13.61
2002-05-20,1300.0,13.58,13.61,13.61,13.58
2002-05-21,8800.0,13.47,13.58,13.54,13.46
2002-05-22,15200.0,13.37,13.5,13.5,13.37
2002-05-23,26800.0,13.27,13.4,13.4,13.25
2002-05-24,3500.0,13.32,13.32,13.27,13.27
2002-05-28,700.0,13.38,13.38,13.38,13.38
2002-05-29,4500.0,13.41,13.45,13.4,13.4
2002-05-30,5300.0,13.41,13.48,13.42,13.4
2002-05-31,1300.0,13.4,13.42,13.42,13.4
2002-06-03,10400.0,13.4,13.57,13.45,13.4
2002-06-04,2000.0,13.53,13.53,13.48,13.48
2002-06-05,5300.0,13.46,13.46,13.46,13.46
2002-06-06,7200.0,13.58,13.58,13.46,13.46
2002-06-07,1300.0,13.61,13.61,13.56,13.56
2002-06-10,5500.0,13.55,13.63,13.6,13.55
2002-06-11,0.0,13.48,13.48,13.48,13.48
2002-06-12,0.0,13.48,13.48,13.48,13.48
