date,5. volume,4. close,2. high,1. open,3. low
2015-02-13,1528330.0,8.97,10.25,10.0,8.01
2015-02-17,39823.0,9.24,9.26,8.99,8.75
2015-02-18,43068.0,9.24,9.83,9.83,9.0501
2015-02-19,18297.0,9.24,9.5,9.25,9.07
2015-02-20,19784.0,9.42,10.0,10.0,9.0
2015-02-23,35652.0,9.61,9.73,9.25,9.24
2015-02-24,94289.0,9.39,9.76,9.12,9.12
2015-02-25,64264.0,9.49,9.6792,9.45,9.41
2015-02-26,80071.0,11.45,11.85,9.8,9.31
2015-02-27,167644.0,12.0,12.92,11.94,11.0
2015-03-02,118275.0,11.94,12.0,12.0,11.16
2015-03-03,55976.0,11.69,11.94,11.63,11.4401
2015-03-04,57396.0,11.32,11.75,11.74,10.01
2015-03-05,37355.0,11.65,11.75,11.75,10.66
2015-03-06,39053.0,11.64,11.75,11.26,11.26
2015-03-09,12924.0,10.75,11.32,11.32,10.51
2015-03-10,26077.0,9.87,10.35,10.26,9.69
2015-03-11,20676.0,10.16,10.81,9.8,9.7
2015-03-12,4919.0,10.22,10.22,9.85,9.78
2015-03-13,4073.0,9.75,9.82,9.8,9.75
2015-03-16,152352.0,11.2,11.49,11.0,10.5001
2015-03-17,84754.0,11.38,11.5,11.22,11.14
2015-03-18,34404.0,11.07,11.46,11.13,10.88
2015-03-19,23948.0,10.78,10.9999,10.75,10.41
2015-03-20,19371.0,11.1,11.2,10.65,10.65
2015-03-23,40054.0,10.2,11.12,11.12,10.2
2015-03-24,108726.0,10.29,10.83,10.11,10.071
2015-03-25,50324.0,10.09,10.4999,10.0649,10.0
2015-03-26,21455.0,10.36,10.51,10.0,10.0
2015-03-27,13940.0,10.0,10.37,10.37,9.9
2015-03-30,46086.0,9.35,10.03,10.03,9.11
2015-03-31,14352.0,9.18,9.49,9.27,8.98
2015-04-01,11569.0,9.345,9.5,9.44,9.18
2015-04-02,11977.0,9.65,9.83,9.35,9.16
2015-04-06,7572.0,9.75,9.86,9.55,9.37
2015-04-07,7809.0,10.08,10.0999,9.96,9.85
2015-04-08,11832.0,10.1225,10.3,10.11,10.11
2015-04-09,3645.0,9.8,10.22,10.18,9.8
2015-04-10,4561.0,9.94,10.25,9.83,9.77
2015-04-13,7249.0,10.19,10.23,9.99,9.99
2015-04-14,7273.0,10.32,10.4,10.2,10.2
2015-04-15,2706.0,10.45,10.58,10.3401,10.3401
2015-04-16,3711.0,10.51,10.88,10.88,10.51
2015-04-17,22816.0,10.33,10.61,10.6029,10.22
2015-04-20,18784.0,10.37,10.5,10.5,9.4613
2015-04-21,12371.0,10.06,10.31,10.31,9.3183
2015-04-22,3011.0,9.975,10.13,9.6799,9.66
2015-04-23,5378.0,9.9201,10.05,9.72,9.72
2015-04-24,4847.0,9.53,9.81,9.76,9.3
2015-04-27,7506.0,9.51,9.82,9.64,9.45
2015-04-28,47966.0,8.5,9.58,9.35,8.02
2015-04-29,18109.0,9.09,9.167,8.84,8.84
2015-04-30,2277.0,9.0,9.3799,9.3799,9.0
2015-05-01,7574.0,9.27,9.3075,9.06,8.11
2015-05-04,13968.0,8.58,9.1,9.1,8.43
2015-05-05,104094.0,8.38,9.12,8.4,8.229
2015-05-06,8739.0,8.59,8.59,8.29,8.22
2015-05-07,6423.0,8.455,8.947,8.947,8.31
2015-05-08,6060.0,8.55,8.6199,8.53,8.3
2015-05-11,42896.0,8.53,8.87,8.75,8.02
2015-05-12,16065.0,8.65,8.65,8.45,8.23
2015-05-13,3029.0,8.5,8.51,8.0372,8.0372
2015-05-14,4246.0,8.5205,8.88,8.5,8.3
2015-05-15,7536.0,8.66,8.74,8.63,8.5
2015-05-18,35470.0,8.2,8.59,8.59,8.11
2015-05-19,3991.0,8.39,8.39,8.15,8.15
2015-05-20,64734.0,8.55,8.98,8.225,8.22
2015-05-21,13095.0,9.02,9.1,8.67,8.55
2015-05-22,18448.0,9.05,9.3,9.13,8.7801
2015-05-26,19931.0,9.34,9.49,8.96,8.96
2015-05-27,12298.0,9.39,9.68,9.4,9.39
2015-05-28,1701.0,9.51,9.51,9.51,9.48
2015-05-29,1963.0,9.28,9.7,9.37,9.2295
2015-06-01,16883.0,9.25,9.72,9.6,9.22
2015-06-02,6253.0,9.34,9.5,9.5,9.26
2015-06-03,9030.0,9.25,9.4699,9.315,9.17
2015-06-04,83168.0,8.89,9.47,9.2,8.42
2015-06-05,10252.0,8.91,8.94,8.9,8.67
2015-06-08,17119.0,9.18,9.42,9.0,8.77
2015-06-09,13060.0,9.13,9.38,9.22,9.11
2015-06-10,12006.0,9.21,9.38,9.33,8.896
2015-06-11,12768.0,9.39,9.39,9.38,9.1
2015-06-12,6685.0,9.11,9.34,9.28,8.85
2015-06-15,12630.0,8.98,9.4,9.07,8.96
2015-06-16,18048.0,9.01,9.11,8.91,8.85
2015-06-17,18964.0,8.91,9.4,8.98,8.82
2015-06-18,27742.0,8.47,9.18,9.03,8.24
2015-06-19,76164.0,7.56,8.63,8.15,7.56
2015-06-22,23556.0,7.56,7.85,7.85,7.5
2015-06-23,13553.0,7.93,8.0,7.74,7.7
2015-06-24,9858.0,7.97,7.99,7.99,7.56
2015-06-25,38648.0,7.79,8.04,8.04,7.32
2015-06-26,13362.0,7.54,7.97,7.97,7.54
2015-06-29,8450.0,7.78,7.9799,7.57,7.56
2015-06-30,4960.0,7.93,7.9599,7.78,7.7
2015-07-01,15565.0,8.0,8.19,7.99,7.85
2015-07-02,21878.0,8.0,8.14,8.05,7.9
2015-07-06,12868.0,8.06,8.282,8.282,7.87
2015-07-07,39026.0,8.28,8.54,8.15,7.86
2015-07-08,22361.0,8.2265,8.4925,8.271,8.11
2015-07-09,13972.0,8.07,8.48,8.4,8.07
2015-07-10,28870.0,7.92,8.08,8.07,7.76
2015-07-13,11966.0,7.63,8.05,8.05,7.36
2015-07-14,22158.0,7.68,8.3299,7.67,7.67
2015-07-15,12595.0,7.865,8.1047,7.94,7.83
2015-07-16,18483.0,7.94,8.1999,8.12,7.9
2015-07-17,42755.0,7.75,8.29,8.1,7.652
2015-07-20,68242.0,7.67,8.07,8.07,7.65
2015-07-21,153956.0,7.39,8.01,8.0,7.35
2015-07-22,21060.0,7.65,7.78,7.48,7.36
2015-07-23,7323.0,7.51,7.9517,7.73,7.38
2015-07-24,15096.0,7.65,7.72,7.6848,7.46
2015-07-27,657695.0,3.39,3.42,3.25,2.75
2015-07-28,217726.0,3.72,3.8999,3.45,3.3901
2015-07-29,42182.0,3.81,3.89,3.8,3.76
2015-07-30,102166.0,3.51,3.85,3.79,3.5
2015-07-31,28545.0,3.47,3.52,3.52,3.26
2015-08-03,16248.0,3.175,3.48,3.48,3.13
2015-08-04,14196.0,3.2301,3.29,3.27,3.1488
2015-08-05,19345.0,3.3,3.3,3.1894,3.12
2015-08-06,41830.0,3.005,3.22,3.22,2.95
2015-08-07,4255.0,2.996,3.059,2.97,2.97
2015-08-10,23069.0,3.08,3.2499,3.13,2.9401
2015-08-11,26470.0,3.32,3.33,3.08,3.08
2015-08-12,14940.0,3.07,3.24,3.2,3.07
2015-08-13,37977.0,3.35,3.35,3.15,3.1
2015-08-14,46480.0,4.0101,4.1,3.34,3.34
2015-08-17,40506.0,4.48,4.5499,4.09,4.0
2015-08-18,136568.0,4.88,6.1775,4.51,4.51
2015-08-19,148390.0,5.65,5.95,5.54,5.13
2015-08-20,69736.0,5.51,5.88,5.65,5.31
2015-08-21,34124.0,5.01,5.17,5.04,4.5948
2015-08-24,22785.0,4.82,5.0,5.0,4.25
2015-08-25,37277.0,5.02,5.08,4.82,4.82
2015-08-26,50284.0,4.87,5.8299,5.16,4.86
2015-08-27,14654.0,5.09,5.511,5.0,5.0
2015-08-28,8038.0,5.02,5.36,5.36,5.01
2015-08-31,16623.0,5.08,5.34,5.15,5.08
2015-09-01,77790.0,4.54,5.08,5.08,4.26
2015-09-02,33753.0,4.1,4.36,4.36,3.73
2015-09-03,13933.0,4.38,4.48,4.12,4.05
2015-09-04,14645.0,4.02,4.23,4.14,3.84
2015-09-08,46985.0,4.29,4.96,4.08,3.81
2015-09-09,66808.0,4.09,4.74,4.39,3.91
2015-09-10,21302.0,4.46,4.46,4.16,4.16
2015-09-11,5906.0,4.1201,4.46,4.44,4.1
2015-09-14,15517.0,3.86,4.23,4.18,3.81
2015-09-15,2871.0,4.0,4.16,3.87,3.87
2015-09-16,23629.0,3.84,4.1,4.1,3.73
2015-09-17,13630.0,3.98,4.04,3.55,3.55
2015-09-18,18554.0,3.96,4.2399,3.87,3.75
2015-09-21,4585.0,3.955,4.13,4.128,3.92
2015-09-22,5270.0,3.87,3.89,3.72,3.72
2015-09-23,2862.0,3.9,3.9,3.8,3.7511
2015-09-24,93847.0,3.72,3.82,3.8,3.5317
2015-09-25,16226590.0,6.3,7.64,5.8,4.9
2015-09-28,1334212.0,4.75,6.02,5.64,4.55
2015-09-29,437545.0,4.12,4.81,4.81,3.86
2015-09-30,4507702.0,5.19,6.05,4.45,4.25
2015-10-01,493204.0,4.45,5.09,4.95,4.22
2015-10-02,173683.0,4.37,4.7,4.23,4.17
2015-10-05,237455.0,4.22,4.3699,4.23,3.85
2015-10-06,54486.0,4.05,4.3299,4.29,3.97
2015-10-07,125528.0,3.92,4.22,4.12,3.88
2015-10-08,108736.0,3.8,3.9399,3.92,3.8
2015-10-09,109282.0,3.674,3.93,3.8,3.62
2015-10-12,56813.0,3.62,3.77,3.77,3.55
2015-10-13,171865.0,3.61,3.9,3.56,3.55
2015-10-14,90761.0,3.6,3.76,3.61,3.47
2015-10-15,62275.0,3.55,3.74,3.55,3.4905
2015-10-16,44305.0,3.64,3.75,3.5101,3.51
2015-10-19,45409.0,3.65,3.81,3.67,3.56
2015-10-20,148434.0,3.22,3.7799,3.7799,3.21
2015-10-21,62057.0,3.14,3.3599,3.35,3.12
2015-10-22,46127.0,2.92,3.2599,3.16,2.92
2015-10-23,146438.0,3.17,3.24,2.93,2.92
2015-10-26,25668.0,3.29,3.34,3.17,3.12
2015-10-27,59252.0,3.08,3.27,3.27,2.98
2015-10-28,301826.0,3.34,3.634,3.08,2.968
2015-10-29,306461.0,3.55,3.89,3.44,3.42
2015-10-30,131637.0,3.12,3.55,3.55,2.83
2015-11-02,198059.0,3.4,3.65,3.2,3.0972
2015-11-03,22891.0,3.52,3.5887,3.38,3.38
2015-11-04,23122.0,3.45,3.53,3.53,3.31
2015-11-05,9428.0,3.43,3.44,3.42,3.23
2015-11-06,25630.0,3.39,3.44,3.44,3.26
2015-11-09,19410.0,3.2,3.35,3.35,3.17
2015-11-10,31770.0,3.18,3.2312,3.2,3.1
2015-11-11,13349.0,3.095,3.1104,3.1104,3.05
2015-11-12,45114.0,3.03,3.0912,3.04,3.03
2015-11-13,11098.0,2.97,3.05,3.05,2.9696
2015-11-16,46000.0,2.87,2.98,2.97,2.87
2015-11-17,7294.0,2.9,2.96,2.91,2.9
2015-11-18,17118.0,2.91,2.952,2.91,2.9
2015-11-19,52542.0,2.965,3.0099,2.95,2.85
2015-11-20,333952.0,3.03,3.26,3.0185,2.88
2015-11-23,561488.0,3.37,3.7,3.15,3.0001
2015-11-24,105870.0,3.21,3.4899,3.37,3.17
2015-11-25,68523.0,3.16,3.28,3.22,3.05
2015-11-27,34705.0,3.28,3.29,3.17,3.08
2015-11-30,39915.0,3.16,3.28,3.28,3.0908
2015-12-01,107765.0,3.07,3.16,3.14,3.05
2015-12-02,47866.0,3.02,3.07,3.07,2.91
2015-12-03,36657.0,2.98,3.06,2.98,2.8301
2015-12-04,63231.0,3.1198,3.12,2.96,2.95
2015-12-07,24616.0,3.04,3.12,3.12,2.97
2015-12-08,42190.0,2.953,3.0,3.0,2.8479
2015-12-09,24408.0,2.91,3.008,2.97,2.86
2015-12-10,11339.0,2.9,3.0,2.91,2.9
2015-12-11,18674.0,2.88,2.93,2.83,2.81
