date,5. volume,4. close,2. high,1. open,3. low
2006-03-27,1065200.0,23.05,23.05,22.89,22.23
2006-03-28,1556100.0,22.38,22.47,22.47,21.9
2006-03-29,641300.0,22.84,23.14,22.1,22.05
2006-03-30,293600.0,22.75,23.1,23.0,22.7
2006-03-31,113600.0,22.93,22.93,22.83,22.35
2006-04-03,160200.0,22.7,23.1,23.0,22.67
2006-04-04,454600.0,23.6,23.6,22.9,22.9
2006-04-05,84400.0,23.4,23.75,23.6,23.4
2006-04-06,60000.0,22.69,23.3,23.2,22.69
2006-04-07,21400.0,22.55,22.85,22.75,22.55
2006-04-10,104300.0,22.1,22.8,22.8,21.99
2006-04-11,558900.0,21.86,22.1,22.04,21.71
2006-04-12,351800.0,22.0,22.59,21.96,21.88
2006-04-13,270600.0,22.45,22.74,22.07,21.88
2006-04-17,138100.0,22.65,22.82,22.46,22.46
2006-04-18,339300.0,23.3,23.3,22.7,22.55
2006-04-19,118200.0,23.17,23.35,23.35,23.14
2006-04-20,164900.0,22.9,23.1,23.1,22.8
2006-04-21,80200.0,22.99,23.0,22.95,22.85
2006-04-24,131400.0,22.75,22.99,22.99,22.68
2006-04-25,302100.0,23.05,23.16,22.55,22.55
2006-04-26,77700.0,23.28,23.35,23.1,23.08
2006-04-27,30500.0,23.15,23.28,23.28,22.9
2006-04-28,38800.0,23.17,23.2,23.12,22.84
2006-05-01,3800.0,23.3,23.3,23.2,23.2
2006-05-02,226800.0,23.45,23.5,23.23,23.15
2006-05-03,365700.0,23.58,23.75,23.35,23.33
2006-05-04,188900.0,23.5,23.75,23.7,23.5
2006-05-05,274800.0,23.75,23.75,23.45,23.25
2006-05-08,58400.0,23.75,24.05,23.78,23.65
2006-05-09,267400.0,24.5,24.69,23.8,23.75
2006-05-10,14000.0,24.54,24.6,24.45,24.45
2006-05-11,12700.0,23.83,24.55,24.5,23.8
2006-05-12,422500.0,22.55,23.8,23.73,22.55
2006-05-15,189700.0,21.65,22.48,22.48,21.55
2006-05-16,43200.0,21.43,21.94,21.7,21.3
2006-05-17,570500.0,21.48,21.69,21.63,21.39
2006-05-18,27700.0,20.68,21.48,21.48,20.65
2006-05-19,77100.0,20.6,20.8,20.73,20.35
2006-05-22,640400.0,19.96,20.6,20.6,19.68
2006-05-23,862100.0,20.25,20.7,20.05,20.05
2006-05-24,356900.0,19.55,20.2,20.2,19.25
2006-05-25,74500.0,20.32,21.0,19.7,19.7
2006-05-26,47300.0,20.11,20.38,20.35,20.09
2006-05-30,119700.0,19.86,20.06,19.69,19.5
2006-05-31,511700.0,21.8,21.9,19.9,19.9
2006-06-01,164500.0,21.94,22.19,21.55,21.15
2006-06-02,566600.0,21.95,22.45,21.85,21.85
2006-06-05,95400.0,20.72,21.98,21.98,20.72
2006-06-06,109800.0,21.3,21.3,20.7,20.57
2006-06-07,217800.0,21.55,21.81,21.45,21.4
2006-06-08,315400.0,20.65,21.45,21.45,20.59
2006-06-09,3900.0,20.51,20.66,20.65,20.5
2006-06-12,117000.0,19.0,20.3501,20.35,18.71
2006-06-13,181100.0,19.18,19.45,19.0,19.0
