date,5. volume,4. close,2. high,1. open,3. low
2013-06-04,44301.0,50.3,50.6,50.6,50.24
2013-06-05,62433.0,50.36,50.4,50.4,50.3
2013-06-06,106771.0,50.29,50.35,50.34,50.27
2013-06-07,70801.0,50.185,50.33,50.33,50.185
2013-06-10,128791.0,49.826,50.26,50.26,49.7999
2013-06-11,50782.0,49.82,50.1,50.1,49.8
2013-06-12,196153.0,50.02,50.2,50.0,49.885
2013-06-13,105318.0,49.85,50.04,50.01,49.85
2013-06-14,99832.0,49.97,50.13,50.13,49.97
2013-06-17,99386.0,50.01,50.1,50.1,49.9
2013-06-18,138333.0,49.93,50.05,50.05,49.84
2013-06-19,86066.0,49.81,50.11,50.11,49.7
2013-06-20,125215.0,49.65,49.7,49.7,49.445
2013-06-21,217883.0,49.55,50.0,50.0,49.41
2013-06-24,312891.0,49.529,49.55,49.49,49.12
2013-06-25,262830.0,49.37,49.59,49.59,49.34
2013-06-26,1222932.0,49.345,49.519,49.46,49.335
2013-06-27,2004412.0,49.47,49.63,49.63,49.3
2013-06-28,2443104.0,49.41,49.45,49.45,49.3
2013-07-01,2230945.0,49.46,49.53,49.53,49.45
2013-07-02,89912.0,49.42,49.51,49.31,49.31
2013-07-03,37162.0,49.5799,49.6299,49.6213,49.4
2013-07-05,139319.0,49.34,49.42,49.42,49.0671
2013-07-08,202790.0,49.49,49.59,49.59,49.45
2013-07-09,62365.0,49.5299,49.63,49.63,49.45
2013-07-10,57002.0,49.55,49.8,49.8,49.481
2013-07-11,88904.0,49.62,49.7499,49.7,49.52
2013-07-12,423253.0,49.57,49.7,49.65,49.54
2013-07-15,1037882.0,49.55,49.789,49.68,49.5
2013-07-16,586121.0,49.655,49.7602,49.7,49.53
2013-07-17,229973.0,49.6999,49.72,49.71,49.64
2013-07-18,161470.0,49.68,49.739,49.72,49.5
2013-07-19,91063.0,49.5026,49.7196,49.71,49.471
2013-07-22,53958.0,49.6481,49.7399,49.72,49.55
2013-07-23,88100.0,49.74,49.78,49.76,49.51
2013-07-24,97988.0,49.62,49.69,49.69,49.5
2013-07-25,108876.0,49.56,49.6366,49.6366,49.3001
2013-07-26,52982.0,49.7,49.7,49.501,49.341
2013-07-29,635104.0,49.62,49.69,49.69,49.5
2013-07-30,80148.0,49.6,49.6329,49.6,49.45
2013-07-31,76501.0,49.49,49.649,49.64,49.3
2013-08-01,65555.0,49.45,49.69,49.69,49.4
2013-08-02,57054.0,49.64,49.64,49.59,49.45
2013-08-05,71444.0,49.56,49.64,49.64,49.5001
2013-08-06,86077.0,49.54,49.6,49.6,49.47
2013-08-07,65485.0,49.55,49.64,49.62,49.45
2013-08-08,45777.0,49.57,49.61,49.61,49.5
2013-08-09,43078.0,49.63,49.64,49.37,49.37
2013-08-12,47482.0,49.64,49.67,49.67,49.53
2013-08-13,56556.0,49.49,49.599,49.53,49.36
2013-08-14,64226.0,49.45,49.519,49.49,49.19
2013-08-15,54828.0,49.36,49.3799,49.3698,49.151
2013-08-16,57371.0,49.34,49.39,49.31,49.11
2013-08-19,94079.0,49.15,49.41,49.41,49.061
2013-08-20,71762.0,49.31,49.4,49.14,49.06
2013-08-21,63187.0,49.1804,49.32,49.31,49.08
2013-08-22,131196.0,49.09,49.329,49.22,48.92
2013-08-23,118275.0,49.07,49.15,49.15,48.9201
2013-08-26,58910.0,49.06,49.15,49.15,48.96
2013-08-27,38359.0,49.13,49.3899,49.05,49.05
2013-08-28,52387.0,49.1,49.339,49.17,49.09
2013-08-29,75309.0,49.2501,49.4,49.11,49.11
2013-08-30,79656.0,49.33,49.4055,49.39,49.16
2013-09-03,152666.0,49.02,49.3,49.3,48.98
2013-09-04,84257.0,49.26,49.34,49.34,49.2
2013-09-05,35465.0,48.85,49.12,49.12,48.8301
2013-09-06,66037.0,49.12,49.18,49.0,48.98
2013-09-09,51808.0,49.07,49.18,49.18,48.871
2013-09-10,540351.0,48.95,49.33,49.33,48.511
2013-09-11,85014.0,49.09,49.1,49.08,48.9
2013-09-12,137400.0,49.16,49.259,48.93,48.93
2013-09-13,87306.0,49.15,49.1799,48.91,48.8804
2013-09-16,43105.0,49.21,49.35,49.35,49.0601
2013-09-17,77505.0,49.23,49.29,49.29,49.14
2013-09-18,116894.0,49.6099,49.69,49.28,48.95
2013-09-19,75486.0,49.55,49.69,49.69,49.47
2013-09-20,101130.0,49.43,49.46,49.26,49.03
2013-09-23,76716.0,49.63,49.63,49.55,49.46
2013-09-24,115470.0,49.67,49.72,49.67,49.5
2013-09-25,40623.0,49.7,49.7,49.6,49.5654
2013-09-26,256659.0,49.65,49.7,49.7,49.57
2013-09-27,66719.0,49.72,49.76,49.74,49.5129
2013-09-30,86736.0,49.65,49.67,49.67,49.57
2013-10-01,91211.0,49.65,49.66,49.63,49.5
2013-10-02,208472.0,49.75,49.809,49.72,49.61
2013-10-03,112881.0,49.67,49.72,49.59,49.5807
2013-10-04,228003.0,49.65,49.72,49.72,49.54
2013-10-07,82148.0,49.74,49.84,49.83,49.56
2013-10-08,53516.0,49.66,49.68,49.31,49.3
2013-10-09,100500.0,49.66,49.76,49.76,49.35
2013-10-10,40594.0,49.6,49.7,49.6,49.55
2013-10-11,52566.0,49.48,49.68,49.48,49.43
2013-10-14,54225.0,49.54,49.76,49.63,49.5
2013-10-15,64405.0,49.54,49.72,49.64,49.5
2013-10-16,90349.0,49.65,49.73,49.62,49.3602
2013-10-17,53900.0,49.7,49.85,49.85,49.55
2013-10-18,93264.0,49.62,49.78,49.65,49.6
2013-10-21,64184.0,49.69,49.82,49.72,49.6001
2013-10-22,54500.0,49.91,49.93,49.89,49.69
2013-10-23,68465.0,49.93,49.9699,49.91,49.76
2013-10-24,107623.0,49.85,50.0,49.9,49.85
2013-10-25,43379.0,49.98,50.0,49.97,49.9101
2013-10-28,49200.0,49.97,50.04,50.04,49.9
2013-10-29,89800.0,50.04,50.04,50.02,49.91
2013-10-30,69311.0,49.97,50.168,49.99,49.96
2013-10-31,454261.0,50.05,50.17,50.09,49.9
2013-11-01,99900.0,50.08,50.09,50.08,50.0
2013-11-04,71100.0,50.05,50.08,50.02,50.0
2013-11-05,120300.0,49.95,49.98,49.93,49.88
2013-11-06,68099.0,49.84,49.99,49.85,49.8001
2013-11-07,85400.0,49.96,50.06,49.99,49.9
2013-11-08,79714.0,49.91,50.03,49.92,49.811
2013-11-11,79200.0,49.93,50.01,49.86,49.86
2013-11-12,88500.0,49.93,49.94,49.93,49.84
2013-11-13,112700.0,49.97,49.98,49.89,49.88
2013-11-14,72825.0,49.96,49.9999,49.96,49.85
2013-11-15,163700.0,49.98,50.0,49.99,49.9
2013-11-18,133400.0,50.0,50.02,50.0,49.91
2013-11-19,130789.0,49.95,50.0,49.92,49.9
2013-11-20,73224.0,49.91,50.03,49.99,49.88
2013-11-21,88808.0,49.89,49.95,49.85,49.811
2013-11-22,86500.0,49.9,49.95,49.92,49.85
2013-11-25,102902.0,49.97,50.0096,49.94,49.92
2013-11-26,78000.0,50.04,50.05,50.0,49.97
2013-11-27,70700.0,49.99,50.04,50.04,49.94
2013-11-29,56860.0,50.02,50.05,50.05,49.97
2013-12-02,295202.0,49.88,49.98,49.98,49.8228
2013-12-03,105284.0,49.94,49.96,49.95,49.89
2013-12-04,717942.0,49.79,49.8599,49.85,49.74
2013-12-05,70975.0,49.71,49.76,49.69,49.68
2013-12-06,77357.0,49.76,49.7799,49.76,49.701
2013-12-09,184800.0,49.79,49.833,49.83,49.77
2013-12-10,80210.0,49.83,49.87,49.82,49.78
2013-12-11,99757.0,49.85,49.889,49.87,49.8001
2013-12-12,234913.0,49.82,49.85,49.83,49.75
2013-12-13,69340.0,49.86,49.87,49.84,49.82
2013-12-16,189246.0,49.85,49.9,49.88,49.83
2013-12-17,96927.0,49.8386,49.9099,49.87,49.8101
2013-12-18,626351.0,49.84,49.889,49.86,49.7401
2013-12-19,222000.0,49.74,49.81,49.78,49.72
2013-12-20,86388.0,49.74,49.82,49.72,49.72
2013-12-23,238952.0,49.775,49.8399,49.8,49.67
2013-12-24,55295.0,49.71,49.72,49.72,49.62
2013-12-26,103355.0,49.71,49.71,49.66,49.62
2013-12-27,111323.0,49.57,49.6498,49.63,49.53
2013-12-30,122612.0,49.599,49.69,49.69,49.525
2013-12-31,93256.0,49.62,49.64,49.64,49.53
2014-01-02,123627.0,49.64,49.68,49.67,49.58
2014-01-03,82374.0,49.6,49.71,49.7,49.5516
2014-01-06,134259.0,49.72,49.76,49.69,49.6401
2014-01-07,148365.0,49.84,49.84,49.83,49.76
2014-01-08,139768.0,49.72,49.86,49.82,49.6801
2014-01-09,154587.0,49.76,49.8099,49.77,49.681
2014-01-10,73148.0,49.89,49.89,49.87,49.771
2014-01-13,103732.0,49.93,49.98,49.95,49.85
2014-01-14,135397.0,49.91,49.98,49.98,49.9
2014-01-15,109242.0,49.89,49.9699,49.93,49.8529
2014-01-16,108324.0,50.02,50.05,49.98,49.95
2014-01-17,106535.0,50.06,50.06,50.05,49.94
2014-01-21,112472.0,50.07,50.1,50.08,50.02
2014-01-22,220830.0,49.99,50.07,50.07,49.99
2014-01-23,112272.0,50.11,50.12,50.1,50.04
2014-01-24,194062.0,50.21,50.25,50.11,50.11
2014-01-27,146391.0,50.13,50.15,50.15,50.03
2014-01-28,90025.0,50.17,50.18,50.13,50.06
2014-01-29,131959.0,50.22,50.2679,50.21,50.15
2014-01-30,86073.0,50.26,50.3,50.27,50.19
2014-01-31,85614.0,50.33,50.369,50.33,50.27
2014-02-03,139941.0,50.34,50.38,50.38,50.2109
2014-02-04,152921.0,50.29,50.32,50.32,50.2499
2014-02-05,67682.0,50.29,50.344,50.32,50.25
2014-02-06,99646.0,50.22,50.3,50.3,50.176
2014-02-07,128842.0,50.3,50.3399,50.26,50.21
2014-02-10,127280.0,50.23,50.33,50.33,50.21
2014-02-11,108142.0,50.26,50.29,50.2,50.2
2014-02-12,153686.0,50.18,50.2599,50.24,50.12
2014-02-13,131420.0,50.32,50.34,50.27,50.164
2014-02-14,92666.0,50.26,50.27,50.26,50.16
2014-02-18,119549.0,50.32,50.33,50.24,50.23
2014-02-19,134476.0,50.32,50.4108,50.41,50.31
2014-02-20,343417.0,50.1,50.29,50.29,50.07
2014-02-21,83036.0,50.27,50.2899,50.17,50.17
2014-02-24,104267.0,50.28,50.35,50.35,50.21
2014-02-25,80881.0,50.39,50.4,50.35,50.3
2014-02-26,103381.0,50.46,50.46,50.44,50.37
2014-02-27,103530.0,50.57,50.585,50.56,50.46
2014-02-28,133946.0,50.51,50.55,50.55,50.43
2014-03-03,106781.0,50.59,50.6,50.53,50.43
2014-03-04,99417.0,50.49,50.56,50.56,50.46
2014-03-05,85742.0,50.5,50.54,50.51,50.46
2014-03-06,111672.0,50.44,50.47,50.47,50.35
2014-03-07,97994.0,50.39,50.4391,50.35,50.3101
2014-03-10,77281.0,50.42,50.44,50.41,50.35
2014-03-11,232364.0,50.44,50.4693,50.4,50.35
2014-03-12,76720.0,50.51,50.54,50.48,50.44
2014-03-13,145616.0,50.53,50.57,50.48,50.44
2014-03-14,67830.0,50.55,50.65,50.65,50.51
2014-03-17,133998.0,50.55,50.57,50.56,50.51
2014-03-18,114156.0,50.57,50.57,50.54,50.5001
2014-03-19,139073.0,50.44,50.57,50.57,50.3701
2014-03-20,70750.0,50.42,50.444,50.4,50.33
2014-03-21,98519.0,50.5,50.5099,50.46,50.38
2014-03-24,90573.0,50.54,50.5499,50.46,50.45
2014-03-25,87223.0,50.55,50.59,50.59,50.46
2014-03-26,164145.0,50.6,50.61,50.59,50.4901
2014-03-27,92980.0,50.65,50.65,50.64,50.6
2014-03-28,96482.0,50.6,50.65,50.64,50.521
2014-03-31,128267.0,50.61,50.6196,50.54,50.5
2014-04-01,484677.0,50.51,50.55,50.52,50.46
2014-04-02,154979.0,50.45,50.49,50.49,50.3704
2014-04-03,99975.0,50.52,50.53,50.47,50.46
2014-04-04,224293.0,50.6,50.64,50.53,50.5101
2014-04-07,128235.0,50.65,50.67,50.67,50.6
