date,5. volume,4. close,2. high,1. open,3. low
2016-07-20,2737472.0,15.13,19.0,19.0,15.05
2016-07-21,410720.0,15.16,15.45,15.08,14.5
2016-07-22,324168.0,15.0,15.1,15.0,14.7
2016-07-25,138303.0,14.88,15.114,15.0,14.7
2016-07-26,76979.0,14.97,14.97,14.83,14.6701
2016-07-27,41988.0,14.95,14.96,14.96,14.81
2016-07-28,41163.0,14.95,14.99,14.9251,14.8
2016-07-29,46501.0,14.72,14.9,14.83,14.7
2016-08-01,39205.0,15.17,15.1975,14.73,14.69
2016-08-02,48184.0,15.16,15.5188,15.25,14.74
2016-08-03,31245.0,15.05,15.2,15.08,14.84
2016-08-04,12392.0,15.04,15.25,15.25,14.81
2016-08-05,16582.0,15.0,15.25,14.905,14.9
2016-08-08,31025.0,15.27,15.43,15.0,15.0
2016-08-09,7827.0,15.08,15.4,15.4,15.0001
2016-08-10,17679.0,15.15,15.25,15.04,15.01
2016-08-11,27667.0,14.97,15.2,15.01,14.77
2016-08-12,45733.0,14.7,14.86,14.86,13.06
2016-08-15,53337.0,14.8,15.25,14.7,14.7
2016-08-16,20759.0,14.51,14.95,14.95,14.32
2016-08-17,14261.0,14.5,14.7855,14.5,14.34
2016-08-18,21461.0,14.59,14.88,14.38,14.17
2016-08-19,11470.0,14.4,14.8258,14.7,14.4
2016-08-22,27553.0,14.93,14.95,14.4,14.4
2016-08-23,25826.0,14.8,15.09,14.85,14.595
2016-08-24,40043.0,15.03,15.2,15.09,14.9
2016-08-25,21647.0,15.24,15.39,15.05,15.03
2016-08-26,144798.0,15.1,15.47,15.24,14.61
2016-08-29,16073.0,15.34,15.485,15.215,15.21
2016-08-30,23235.0,15.16,15.5,15.34,15.11
2016-08-31,169508.0,15.64,17.23,15.5,15.18
2016-09-01,55227.0,14.99,16.25,15.46,14.5
2016-09-02,59261.0,14.86,15.2,15.02,14.64
2016-09-06,16779.0,14.65,14.74,14.74,14.5
2016-09-07,38652.0,15.15,15.45,14.53,14.51
2016-09-08,35432.0,14.84,15.94,15.16,14.6
2016-09-09,22799.0,14.83,15.54,14.73,14.5
2016-09-12,16860.0,14.66,15.05,14.64,14.5
2016-09-13,28310.0,14.22,14.6,14.6,13.65
2016-09-14,42659.0,14.11,14.25,14.14,13.5465
2016-09-15,38884.0,14.27,14.67,14.14,13.6
2016-09-16,305543.0,14.28,15.11,14.5,13.86
2016-09-19,74866.0,15.09,15.19,14.17,14.01
2016-09-20,72630.0,15.76,15.78,15.02,14.305
2016-09-21,38819.0,15.66,15.8,15.78,14.81
2016-09-22,74176.0,15.9,16.71,15.48,15.35
2016-09-23,68287.0,15.64,15.9,15.77,14.74
2016-09-26,54116.0,16.31,16.4,15.81,14.76
2016-09-27,47654.0,15.99,16.4,16.2,15.38
2016-09-28,173496.0,17.54,18.98,15.6025,15.5101
2016-09-29,82202.0,18.21,18.5,17.38,17.05
2016-09-30,484700.0,17.81,18.64,18.06,17.53
2016-10-03,82950.0,17.92,18.17,17.96,16.93
2016-10-04,66269.0,16.87,17.9,17.77,16.51
2016-10-05,31330.0,17.17,17.37,17.2,16.51
