date,5. volume,4. close,2. high,1. open,3. low
2016-09-13,334.0,14.76,14.76,14.76,14.76
2016-09-14,95.0,14.76,14.76,14.76,14.76
2016-09-15,61.0,14.76,14.76,14.76,14.76
2016-09-16,1514.0,14.7,14.7199,14.7199,14.7
2016-09-19,651.0,14.84,14.85,14.82,14.816
2016-09-20,261.0,14.97,14.97,14.97,14.97
2016-09-21,157.0,14.97,14.97,14.97,14.97
2016-09-22,4005.0,15.3196,15.39,15.38,15.29
2016-09-23,9542.0,15.27,15.33,15.33,15.24
2016-09-26,2935.0,15.0308,15.15,15.15,15.0308
2016-09-27,3550.0,15.21,16.68,15.17,15.1168
2016-09-28,2975.0,15.31,15.31,15.29,15.21
2016-09-29,3868.0,15.26,15.31,15.31,15.25
2016-09-30,4098.0,15.31,15.31,15.28,15.2
2016-10-03,3592.0,15.2567,15.36,15.36,15.19
2016-10-04,10857.0,15.25,15.39,15.39,15.25
2016-10-05,1464.0,15.3902,15.41,15.38,15.38
2016-10-06,3831.0,15.34,15.4,15.4,15.3051
2016-10-07,8760.0,15.35,15.36,15.35,15.3
2016-10-10,10963.0,15.422,15.45,15.44,15.4156
2016-10-11,6171.0,15.3,15.46,15.46,15.3
2016-10-12,5485.0,15.24,15.31,15.31,15.1875
2016-10-13,6408.0,15.12,15.12,15.08,15.0
2016-10-14,3166.0,15.12,15.1795,15.17,15.12
2016-10-17,10736.0,15.17,15.21,15.18,15.15
2016-10-18,3488.0,15.29,15.37,15.37,15.2807
2016-10-19,6345.0,15.26,15.36,15.36,15.25
2016-10-20,8914.0,15.3,15.3,15.26,15.25
2016-10-21,500.0,15.2999,15.2999,15.2829,15.2829
2016-10-24,12517.0,15.3,15.44,15.44,15.28
2016-10-25,15068.0,15.17,15.25,15.25,15.15
2016-10-26,4079.0,15.17,15.18,15.1569,15.1301
2016-10-27,22094.0,15.0,15.1,15.1,15.0
2016-10-28,3555.0,15.06,15.09,15.06,15.02
2016-10-31,2603.0,15.02,15.1,15.1,15.02
2016-11-01,5667.0,14.95,15.04,15.04,14.95
2016-11-02,10223.0,14.81,14.91,14.91,14.81
2016-11-03,3223.0,14.87,14.99,14.99,14.8308
2016-11-04,7178.0,14.82,14.89,14.89,14.74
2016-11-07,5811.0,14.98,15.07,15.07,14.9748
2016-11-08,3162.0,15.05,15.06,14.99,14.97
2016-11-09,14842.0,15.06,15.08,14.8,14.8
2016-11-10,2262.0,15.19,15.25,15.2,15.08
2016-11-11,4869.0,15.17,15.19,15.17,15.1493
2016-11-14,5502.0,15.23,15.23,15.16,15.1501
2016-11-15,3112.0,15.27,15.27,15.18,15.18
2016-11-16,2048.0,15.0935,15.1663,15.1663,15.0864
2016-11-17,4511.0,15.35,15.35,15.26,15.1971
2016-11-18,7295.0,15.13,15.26,15.26,15.124
2016-11-21,13358.0,15.1848,15.22,15.1872,15.13
2016-11-22,2452.0,15.159,15.22,15.22,15.1361
2016-11-23,11053.0,15.19,15.19,15.16,15.0508
2016-11-25,5890.0,15.2,15.21,15.2,15.15
2016-11-28,13568.0,15.19,15.26,15.26,15.15
2016-11-29,9532.0,15.2,15.224,15.15,15.1399
2016-11-30,10163.0,15.08,15.2,15.15,15.0454
2016-12-01,8306.0,14.9,15.11,15.11,14.8966
2016-12-02,8532.0,14.83,14.83,14.82,14.6901
2016-12-05,8810.0,14.9965,15.03,14.94,14.94
2016-12-06,5895.0,14.961,14.99,14.98,14.8859
2016-12-07,8927.0,15.13,15.17,15.01,14.951
2016-12-08,9072.0,15.22,15.24,15.24,15.1283
2016-12-09,9898.0,15.2,15.24,15.24,15.13
2016-12-12,17310.0,15.04,15.19,15.19,15.03
2016-12-13,10938.0,15.15,15.179,15.16,15.1256
2016-12-14,15229.0,14.9,15.14,15.14,14.9
2016-12-15,5035.0,14.93,14.93,14.9,14.89
2016-12-16,11925.0,14.85,14.94,14.94,14.837
2016-12-19,6263.0,14.95,14.97,14.85,14.85
2016-12-20,11079.0,14.97,15.01,15.01,14.94
2016-12-21,10431.0,14.95,15.0,15.0,14.91
2016-12-22,3682.0,14.9108,14.97,14.97,14.9001
2016-12-23,7577.0,14.9476,15.0891,15.07,14.9001
2016-12-27,19608.0,14.9468,14.98,14.98,14.9276
2016-12-28,21695.0,14.99,15.08,15.07,14.941
2016-12-29,9343.0,14.928,14.98,14.98,14.92
2016-12-30,7738.0,15.0,15.06,14.9,14.9
2017-01-03,7995.0,15.1,15.11,15.11,15.01
2017-01-04,17253.0,15.32,15.32,15.27,15.2
2017-01-05,22771.0,15.35,15.5166,15.42,15.33
2017-01-06,28653.0,15.37,15.4,15.39,15.33
2017-01-09,34194.0,15.33,15.45,15.45,15.307
2017-01-10,14135.0,15.39,15.41,15.41,15.35
2017-01-11,17863.0,15.5,15.5,15.47,15.41
2017-01-12,12629.0,15.54,15.59,15.59,15.45
2017-01-13,47709.0,15.63,15.64,15.6,15.55
2017-01-17,36320.0,15.52,15.69,15.69,15.5
2017-01-18,20829.0,15.51,15.55,15.52,15.411
2017-01-19,21431.0,15.58,15.71,15.66,15.5
2017-01-20,26524.0,15.66,15.81,15.81,15.66
2017-01-23,32151.0,15.7792,15.79,15.79,15.69
2017-01-24,41798.0,16.0,16.0,15.92,15.8001
2017-01-25,76431.0,16.37,16.38,16.33,16.245
2017-01-26,65815.0,16.39,16.55,16.55,16.37
2017-01-27,50598.0,16.3312,16.45,16.45,16.3032
2017-01-30,26235.0,16.27,16.33,16.33,16.1298
2017-01-31,18280.0,16.315,16.35,16.35,16.2168
2017-02-01,40569.0,16.47,16.54,16.54,16.39
2017-02-02,35178.0,16.39,16.41,16.41,16.3
2017-02-03,40415.0,16.44,16.47,16.47,16.4
2017-02-06,59885.0,16.35,16.41,16.41,16.24
2017-02-07,96829.0,16.36,16.45,16.45,16.35
2017-02-08,40900.0,16.36,16.44,16.44,16.34
2017-02-09,106696.0,16.32,16.45,16.45,16.27
2017-02-10,64266.0,16.43,16.53,16.53,16.4
2017-02-13,53785.0,16.6,16.68,16.68,16.5337
2017-02-14,52820.0,16.62,16.62,16.59,16.45
2017-02-15,59292.0,16.61,16.6396,16.62,16.51
2017-02-16,50100.0,16.6,16.657,16.65,16.538
2017-02-17,23464.0,16.7,16.7,16.62,16.6
2017-02-21,98778.0,16.745,16.7786,16.76,16.72
2017-02-22,62617.0,16.7,16.74,16.74,16.6608
2017-02-23,47360.0,16.765,16.86,16.86,16.711
2017-02-24,66938.0,16.6,16.75,16.75,16.55
2017-02-27,42870.0,16.62,16.66,16.65,16.52
2017-02-28,96755.0,16.59,16.676,16.66,16.59
2017-03-01,87757.0,16.8593,16.88,16.77,16.75
2017-03-02,35856.0,16.73,16.83,16.83,16.7
2017-03-03,52194.0,16.7147,16.79,16.79,16.645
2017-03-06,49627.0,16.64,16.73,16.67,16.5903
2017-03-07,79301.0,16.578,16.61,16.61,16.5401
2017-03-08,58762.0,16.59,16.65,16.62,16.57
2017-03-09,73675.0,16.5748,16.63,16.63,16.55
2017-03-10,60929.0,16.73,16.7651,16.63,16.63
2017-03-13,112196.0,16.99,17.0399,17.0,16.96
2017-03-14,107674.0,16.91,17.0,17.0,16.874
2017-03-15,76981.0,17.06,17.1153,16.98,16.9001
2017-03-16,109555.0,17.12,17.255,17.23,17.115
2017-03-17,190263.0,17.27,17.29,17.26,17.1935
2017-03-20,156455.0,17.2906,17.34,17.34,17.2531
2017-03-21,67492.0,17.13,17.42,17.41,17.13
2017-03-22,64382.0,17.13,17.15,17.13,17.03
2017-03-23,53881.0,17.23,17.2819,17.16,17.14
2017-03-24,174926.0,17.2966,17.3499,17.28,17.23
2017-03-27,170983.0,17.32,17.36,17.26,17.2
2017-03-28,148550.0,17.43,17.479,17.44,17.37
2017-03-29,83715.0,17.435,17.45,17.45,17.37
2017-03-30,80554.0,17.38,17.45,17.45,17.37
2017-03-31,67911.0,17.3628,17.3699,17.35,17.26
2017-04-03,70203.0,17.3229,17.37,17.37,17.25
2017-04-04,53044.0,17.2292,17.27,17.27,17.1732
2017-04-05,106016.0,17.23,17.3699,17.33,17.23
2017-04-06,78427.0,17.11,17.16,17.16,17.1
2017-04-07,81484.0,17.2,17.22,17.16,17.1301
2017-04-10,101914.0,17.12,17.2,17.17,17.1
2017-04-11,73147.0,17.08,17.1,17.1,17.0
2017-04-12,56890.0,17.0,17.08,17.08,16.961
2017-04-13,45082.0,16.92,17.0,17.0,16.9
2017-04-17,76829.0,17.03,17.03,17.0,16.93
2017-04-18,80470.0,16.95,16.99,16.98,16.9
2017-04-19,110050.0,17.2,17.2,17.01,17.01
2017-04-20,127899.0,17.27,17.31,17.26,17.2
2017-04-21,50477.0,17.23,17.27,17.27,17.2
2017-04-24,74185.0,17.56,17.56,17.45,17.36
2017-04-25,124058.0,17.5436,17.56,17.56,17.5
2017-04-26,108339.0,17.7,17.7,17.59,17.59
2017-04-27,118244.0,17.7737,17.78,17.77,17.75
2017-04-28,320011.0,17.96,17.96,17.85,17.77
