date,5. volume,4. close,2. high,1. open,3. low
2008-11-19,2000.0,19.0,19.01,19.0,19.0
2008-11-20,3031.0,19.7401,19.96,19.92,19.0101
2008-11-21,1000.0,19.0,19.03,19.03,19.0
2008-11-24,0.0,19.0,19.0,19.0,19.0
2008-11-25,200.0,19.0101,19.0101,19.01,19.01
2008-11-26,3439.0,19.01,19.01,19.0,19.0
2008-11-28,0.0,19.01,19.01,19.01,19.01
2008-12-01,1670.0,20.0,20.0,19.89,19.89
2008-12-02,900.0,19.04,20.0,19.9999,19.04
2008-12-03,0.0,19.04,19.04,19.04,19.04
2008-12-04,0.0,19.04,19.04,19.04,19.04
2008-12-05,2020.0,20.0,20.0,19.9999,19.9999
2008-12-08,0.0,20.0,20.0,20.0,20.0
2008-12-09,1500.0,19.5,19.5,19.5,19.5
2008-12-10,2100.0,20.0,20.0,20.0,20.0
2008-12-11,0.0,20.0,20.0,20.0,20.0
2008-12-12,0.0,20.0,20.0,20.0,20.0
2008-12-15,2194.0,19.01,20.0,20.0,19.01
2008-12-16,0.0,19.01,19.01,19.01,19.01
2008-12-17,1314.0,19.0,19.01,19.01,19.0
2008-12-18,1100.0,19.99,19.9999,19.9999,19.92
2008-12-19,0.0,19.99,19.99,19.99,19.99
2008-12-22,1700.0,19.5,19.5,19.07,19.07
2008-12-23,715.0,20.5,20.5,20.4999,20.49
2008-12-24,1400.0,20.5,20.5,20.5,20.5
2008-12-26,0.0,20.5,20.5,20.5,20.5
2008-12-29,0.0,20.5,20.5,20.5,20.5
2008-12-30,0.0,20.5,20.5,20.5,20.5
2008-12-31,462.0,20.99,21.0,21.0,20.99
2009-01-02,0.0,20.99,20.99,20.99,20.99
2009-01-05,0.0,20.99,20.99,20.99,20.99
2009-01-06,0.0,20.99,20.99,20.99,20.99
2009-01-07,1000.0,21.0,21.0,21.0,21.0
2009-01-08,0.0,21.0,21.0,21.0,21.0
2009-01-09,0.0,21.0,21.0,21.0,21.0
2009-01-12,0.0,21.0,21.0,21.0,21.0
2009-01-13,0.0,21.0,21.0,21.0,21.0
2009-01-14,100.0,21.0,21.0,21.0,21.0
2009-01-15,0.0,21.0,21.0,21.0,21.0
2009-01-16,0.0,21.0,21.0,21.0,21.0
2009-01-20,200.0,20.0,20.0,20.0,20.0
2009-01-21,0.0,20.0,20.0,20.0,20.0
2009-01-22,0.0,20.0,20.0,20.0,20.0
2009-01-23,1400.0,18.74,18.75,18.75,18.74
2009-01-26,200.0,18.0001,18.0001,18.0001,18.0001
2009-01-27,0.0,18.0,18.0,18.0,18.0
2009-01-28,1600.0,18.0,18.0,17.75,17.75
2009-01-29,0.0,18.0,18.0,18.0,18.0
2009-01-30,0.0,18.0,18.0,18.0,18.0
2009-02-02,0.0,18.0,18.0,18.0,18.0
2009-02-03,1000.0,17.7499,17.75,17.75,17.7499
2009-02-04,1900.0,17.715,17.74,17.0,16.5208
2009-02-05,600.0,17.74,17.75,17.74,17.74
2009-02-06,445.0,17.75,17.75,17.0,17.0
2009-02-09,0.0,17.75,17.75,17.75,17.75
2009-02-10,0.0,17.75,17.75,17.75,17.75
2009-02-11,0.0,17.75,17.75,17.75,17.75
2009-02-12,500.0,17.5,17.5,17.5,17.5
2009-02-13,1000.0,16.0,16.005,16.0,16.0
2009-02-17,1000.0,16.0,16.0,16.0,15.9999
2009-02-18,3600.0,13.035,15.25,15.25,13.035
2009-02-19,3600.0,10.14,13.06,13.06,10.14
2009-02-20,5701.0,9.15,10.82,10.31,9.15
2009-02-23,6500.0,6.02,8.5,8.15,6.02
2009-02-24,217239.0,7.25,7.25,6.2,4.26
2009-02-25,25421.0,8.05,8.41,7.7499,7.5
2009-02-26,16161.0,8.8,9.1,8.0,7.76
2009-02-27,5477.0,10.0,10.0,9.0,9.0
2009-03-02,1762.0,10.0,10.01,10.01,10.0
2009-03-03,1843.0,10.0,10.18,10.03,10.0
2009-03-04,6839.0,10.05,11.5,11.0,10.0
2009-03-05,4843.0,10.1,10.1,10.05,10.0
2009-03-06,2180.0,13.0,13.0,11.48,11.23
2009-03-09,774.0,13.26,13.49,13.25,13.25
2009-03-10,0.0,13.26,13.26,13.26,13.26
2009-03-11,5001.0,12.5,12.5001,12.5001,12.5
2009-03-12,5580.0,12.9999,13.0,12.37,12.37
2009-03-13,0.0,12.9999,12.9999,12.9999,12.9999
2009-03-16,1500.0,13.0,13.0,12.9999,12.9999
2009-03-17,0.0,13.0,13.0,13.0,13.0
2009-03-18,1180.0,13.0,13.0,12.37,12.37
2009-03-19,700.0,12.365,12.3701,12.3701,12.365
2009-03-20,700.0,13.0,13.0,12.37,12.37
2009-03-23,700.0,11.6,13.0,11.5701,11.5701
2009-03-24,1521.0,12.4,12.98,11.58,11.57
2009-03-25,0.0,12.4,12.4,12.4,12.4
2009-03-26,200.0,12.1,12.1,11.8,11.8
2009-03-27,1500.0,12.2,12.2,12.2,12.2
2009-03-30,3289.0,11.57,12.0,11.6,11.57
2009-03-31,2800.0,10.2,11.9,10.09,10.05
2009-04-01,125.0,10.41,10.41,10.41,10.41
2009-04-02,2521.0,11.5,11.5,10.51,10.5
2009-04-03,6200.0,12.0,12.0,12.0,12.0
2009-04-06,600.0,12.0,12.0,12.0,12.0
2009-04-07,0.0,12.0,12.0,12.0,12.0
2009-04-08,700.0,12.5,12.5,12.0,12.0
2009-04-09,300.0,12.2,12.2,12.2,12.2
2009-04-13,0.0,12.2,12.2,12.2,12.2
2009-04-14,5592.0,13.0,13.0,12.99,12.99
2009-04-15,1215.0,13.5,13.5,13.0,13.0
2009-04-16,2656.0,13.0,13.5,13.48,13.0
2009-04-17,7057.0,13.5,13.5,13.48,13.48
2009-04-20,900.0,13.755,13.95,13.95,13.75
2009-04-21,1792.0,15.0,15.0,13.97,13.97
2009-04-22,700.0,13.5001,14.0001,14.0001,13.5001
2009-04-23,2563.0,13.5,13.5,13.5,13.04
2009-04-24,2796.0,12.14,13.11,13.11,11.88
2009-04-27,2019.0,13.43,13.43,13.12,12.23
2009-04-28,3640.0,12.3,13.51,13.5001,12.0601
2009-04-29,0.0,12.3,12.3,12.3,12.3
2009-04-30,0.0,12.3,12.3,12.3,12.3
2009-05-01,3571.0,13.0,13.0,12.98,12.98
2009-05-04,1000.0,13.0,13.0,13.0,13.0
2009-05-05,1700.0,13.0,13.0,12.9999,12.9999
2009-05-06,1300.0,13.0,13.0,12.9999,12.9999
2009-05-07,2396.0,13.0,13.1,13.1,13.0
2009-05-08,590.0,13.1,13.1,13.1,13.1
2009-05-11,625.0,13.37,13.37,13.37,13.37
2009-05-12,1400.0,13.0,13.0,13.0,13.0
2009-05-13,0.0,13.0,13.0,13.0,13.0
2009-05-14,500.0,12.65,12.65,12.65,12.65
2009-05-15,0.0,12.65,12.65,12.65,12.65
2009-05-18,0.0,12.65,12.65,12.65,12.65
2009-05-19,0.0,12.65,12.65,12.65,12.65
2009-05-20,2000.0,12.8,12.8,12.8,12.8
2009-05-21,400.0,12.8,12.8,12.8,12.8
2009-05-22,0.0,12.8,12.8,12.8,12.8
2009-05-26,0.0,12.8,12.8,12.8,12.8
2009-05-27,641.0,12.7,12.7,12.7,12.7
2009-05-28,2900.0,13.4,13.4,12.7001,12.7
2009-05-29,500.0,13.03,13.03,13.03,13.03
2009-06-01,400.0,13.15,14.5,14.5,13.15
2009-06-02,200.0,13.15,13.15,13.15,13.15
2009-06-03,0.0,13.15,13.15,13.15,13.15
2009-06-04,0.0,13.15,13.15,13.15,13.15
2009-06-05,0.0,13.15,13.15,13.15,13.15
2009-06-08,700.0,13.25,13.25,13.25,13.25
2009-06-09,42700.0,14.49,17.01,16.8,14.07
2009-06-10,29086.0,15.6,15.98,15.23,15.0
2009-06-11,27640.0,15.25,15.6,15.6,15.25
2009-06-12,7250.0,15.21,15.21,15.15,15.15
2009-06-15,41912.0,16.1,16.1,15.05,15.05
2009-06-16,52350.0,16.0,16.0101,15.7501,15.7501
2009-06-17,7692.0,15.5,16.0,15.9999,15.5
2009-06-18,2504.0,15.4,15.4,15.35,15.345
2009-06-19,9500.0,15.5,15.5001,15.36,15.36
2009-06-22,10065.0,15.04,15.11,15.1,14.995
2009-06-23,18400.0,14.8,15.01,14.8,14.4001
2009-06-24,10206.0,14.2,14.8,14.8,14.2
2009-06-25,15900.0,13.9,14.4501,14.0,13.9
2009-06-26,1800.0,13.9,14.0,13.99,13.9
2009-06-29,62000.0,17.0,17.01,15.95,15.95
2009-06-30,14538.0,16.3,16.65,16.65,16.3
2009-07-01,7185.0,16.4,16.6,16.3,16.3
2009-07-02,9200.0,15.5,15.65,15.6,15.42
2009-07-06,5100.0,15.12,15.5,15.5,15.12
2009-07-07,20752.0,14.58,14.82,14.82,14.0801
2009-07-08,15303.0,13.15,14.33,14.33,13.15
2009-07-09,23212.0,12.9,13.1701,13.16,12.9
2009-07-10,27494.0,12.18,12.9,12.9,12.15
2009-07-13,41818.0,12.0,12.21,12.0,11.82
2009-07-14,19822.0,12.1,12.2001,12.02,12.02
2009-07-15,14030.0,12.9,13.0,12.3,12.15
2009-07-16,7098.0,12.5,12.78,12.78,12.3
2009-07-17,55316.0,11.1,12.05,12.0,10.99
2009-07-20,38392.0,10.526,11.82,10.95,10.526
2009-07-21,22010.0,10.19,10.95,10.8,9.74
2009-07-22,17683.0,9.9,10.0,9.74,9.66
2009-07-23,104174.0,11.25,12.58,9.9,9.9
2009-07-24,42360.0,13.0,13.0,12.0,11.87
2009-07-27,15889.0,12.5,12.9,12.8,12.4
2009-07-28,2400.0,12.5,12.5,12.5,12.5
2009-07-29,0.0,12.5,12.5,12.5,12.5
2009-07-30,0.0,12.5,12.5,12.5,12.5
2009-07-31,0.0,12.5,12.5,12.5,12.5
2009-08-03,2375.0,11.8501,12.9,12.5,11.8501
2009-08-04,500.0,14.69,14.69,12.5,12.5
2009-08-05,21523.0,15.5,15.69,14.69,14.69
2009-08-06,13923.0,15.15,16.1,15.4501,15.0
2009-08-07,38221.0,16.6,17.0,16.5701,15.5
2009-08-10,40009.0,14.72,16.17,15.89,14.72
2009-08-11,5343.0,14.8101,16.0,15.63,14.8101
2009-08-12,14840.0,15.0,15.5,14.94,14.88
2009-08-13,39682.0,15.8,16.0,15.49,15.44
2009-08-14,20256.0,15.9,16.5,16.19,15.75
2009-08-17,16104.0,16.22,16.38,15.31,15.31
2009-08-18,10334.0,15.9999,17.68,16.22,15.1
2009-08-19,2774.0,13.45,15.39,15.39,13.45
2009-08-20,1000.0,13.6101,13.66,13.66,13.6101
2009-08-21,7695.0,16.0,16.16,13.61,13.45
2009-08-24,11113.0,15.1,15.1,15.06,14.98
2009-08-25,200.0,15.27,15.3,15.3,15.27
2009-08-26,4766.0,16.0,16.0,15.5001,15.5
2009-08-27,0.0,16.0,16.0,16.0,16.0
2009-08-28,13400.0,14.86,16.3,15.75,14.86
2009-08-31,8383.0,17.2,17.2,15.26,14.85
2009-09-01,0.0,17.2,17.2,17.2,17.2
2009-09-02,0.0,17.2,17.2,17.2,17.2
2009-09-03,0.0,17.2,17.2,17.2,17.2
2009-09-04,0.0,17.2,17.2,17.2,17.2
2009-09-08,2000.0,16.005,16.005,16.005,16.005
2009-09-09,400.0,15.2801,15.2801,15.2801,15.2801
2009-09-10,8740.0,16.375,16.375,16.0,15.995
2009-09-11,0.0,16.375,16.375,16.375,16.375
2009-09-14,1400.0,16.25,16.25,16.25,16.25
2009-09-15,100.0,16.45,16.45,16.45,16.45
2009-09-16,3919.0,16.85,16.85,16.0,16.0
2009-09-17,3000.0,16.0,16.0,16.0,16.0
2009-09-18,200.0,15.53,15.5375,15.5375,15.53
2009-09-21,5238.0,17.1999,17.2,16.46,16.46
2009-09-22,0.0,17.1999,17.1999,17.1999,17.1999
2009-09-23,100.0,17.2,17.2,17.2,17.2
2009-09-24,0.0,17.2,17.2,17.2,17.2
2009-09-25,0.0,17.2,17.2,17.2,17.2
2009-09-28,0.0,17.2,17.2,17.2,17.2
2009-09-29,2000.0,16.31,16.31,15.61,15.6
2009-09-30,200.0,15.65,15.65,15.65,15.65
2009-10-01,0.0,15.65,15.65,15.65,15.65
2009-10-02,0.0,15.65,15.65,15.65,15.65
2009-10-05,0.0,15.65,15.65,15.65,15.65
2009-10-06,0.0,15.65,15.65,15.65,15.65
2009-10-07,0.0,15.65,15.65,15.65,15.65
2009-10-08,0.0,15.65,15.65,15.65,15.65
2009-10-09,0.0,15.65,15.65,15.65,15.65
2009-10-12,0.0,15.65,15.65,15.65,15.65
2009-10-13,0.0,15.65,15.65,15.65,15.65
2009-10-14,0.0,15.65,15.65,15.65,15.65
2009-10-15,899.0,16.2,16.3,15.91,15.91
2009-10-16,0.0,16.2,16.2,16.2,16.2
2009-10-19,150.0,15.9101,15.9101,15.9101,15.9101
2009-10-20,600.0,16.2,16.2,16.2,16.2
2009-10-21,0.0,16.2,16.2,16.2,16.2
2009-10-22,0.0,16.2,16.2,16.2,16.2
2009-10-23,0.0,16.2,16.2,16.2,16.2
2009-10-26,2600.0,15.9,15.9,15.8499,15.8499
2009-10-27,2900.0,15.85,15.85,15.85,15.85
2009-10-28,500.0,16.02,16.09,16.05,16.02
2009-10-29,0.0,16.02,16.02,16.02,16.02
2009-10-30,900.0,15.56,15.56,15.56,15.56
2009-11-02,0.0,15.56,15.56,15.56,15.56
2009-11-03,100.0,16.19,16.19,16.19,16.19
2009-11-04,0.0,16.19,16.19,16.19,16.19
2009-11-05,0.0,16.19,16.19,16.19,16.19
2009-11-06,0.0,16.19,16.19,16.19,16.19
2009-11-09,0.0,16.19,16.19,16.19,16.19
2009-11-10,0.0,16.19,16.19,16.19,16.19
2009-11-11,6000.0,16.0,16.0,15.98,15.98
2009-11-12,1400.0,15.77,15.77,15.77,15.77
2009-11-13,1400.0,15.58,15.75,15.7,15.58
2009-11-16,7800.0,15.85,15.85,15.7,15.7
2009-11-17,622.0,15.986,16.0,16.0,15.986
2009-11-18,0.0,15.986,15.986,15.986,15.986
2009-11-19,1702.0,15.9,15.9,15.9,15.68
2009-11-20,1350.0,15.5,15.5,15.5,15.5
2009-11-23,1000.0,15.6001,15.62,15.62,15.6
2009-11-24,300.0,15.49,15.6,15.6,15.49
2009-11-25,998.0,15.5,15.5,15.47,15.47
2009-11-27,200.0,15.5,15.5,15.5,15.5
2009-11-30,4000.0,15.0,15.03,15.03,15.0
2009-12-01,1200.0,15.34,15.49,15.47,15.1
2009-12-02,0.0,15.34,15.34,15.34,15.34
2009-12-03,900.0,14.5,14.51,14.51,14.5
2009-12-04,900.0,15.3,15.3,15.3,15.3
2009-12-07,325.0,15.5,15.5,15.5,15.5
2009-12-08,3800.0,15.5,15.5,15.4999,15.48
2009-12-09,2298.0,15.5,15.5,15.5,15.4999
2009-12-10,2500.0,16.0,16.0,14.745,14.74
2009-12-11,0.0,16.0,16.0,16.0,16.0
2009-12-14,0.0,16.0,16.0,16.0,16.0
2009-12-15,0.0,16.0,16.0,16.0,16.0
2009-12-16,0.0,16.0,16.0,16.0,16.0
2009-12-17,0.0,16.0,16.0,16.0,16.0
2009-12-18,0.0,16.0,16.0,16.0,16.0
2009-12-21,1500.0,14.0,15.5,15.5,14.0
2009-12-22,0.0,14.0,14.0,14.0,14.0
2009-12-23,0.0,14.0,14.0,14.0,14.0
2009-12-24,0.0,14.0,14.0,14.0,14.0
2009-12-28,400.0,15.5499,15.5499,15.5499,15.5499
2009-12-29,599.0,15.48,15.48,15.05,15.05
2009-12-30,0.0,15.48,15.48,15.48,15.48
2009-12-31,0.0,15.48,15.48,15.48,15.48
2010-01-04,0.0,15.48,15.48,15.48,15.48
2010-01-05,0.0,15.48,15.48,15.48,15.48
2010-01-06,0.0,15.48,15.48,15.48,15.48
2010-01-07,0.0,15.48,15.48,15.48,15.48
2010-01-08,700.0,15.0001,15.0001,15.0,15.0
2010-01-11,0.0,15.0001,15.0001,15.0001,15.0001
2010-01-12,2800.0,14.36,14.5001,14.5001,13.34
2010-01-13,300.0,14.98,14.98,14.9799,14.9799
2010-01-14,0.0,14.98,14.98,14.98,14.98
2010-01-15,0.0,14.98,14.98,14.98,14.98
2010-01-19,800.0,14.95,14.95,14.5,14.5
2010-01-20,813.0,14.35,14.52,14.51,14.35
2010-01-21,500.0,14.93,14.93,14.65,14.65
2010-01-22,0.0,14.93,14.93,14.93,14.93
2010-01-25,0.0,14.93,14.93,14.93,14.93
2010-01-26,851.0,14.9,14.9,14.8999,14.8999
2010-01-27,0.0,14.9,14.9,14.9,14.9
2010-01-28,0.0,14.9,14.9,14.9,14.9
2010-01-29,0.0,14.9,14.9,14.9,14.9
2010-02-01,0.0,14.9,14.9,14.9,14.9
2010-02-02,100.0,15.0,15.0,15.0,15.0
2010-02-03,0.0,15.0,15.0,15.0,15.0
2010-02-04,0.0,15.0,15.0,15.0,15.0
2010-02-05,0.0,15.0,15.0,15.0,15.0
2010-02-08,0.0,15.0,15.0,15.0,15.0
2010-02-09,600.0,14.95,14.95,14.0,14.0
2010-02-10,0.0,14.95,14.95,14.95,14.95
2010-02-11,0.0,14.95,14.95,14.95,14.95
2010-02-12,0.0,14.95,14.95,14.95,14.95
2010-02-16,0.0,14.95,14.95,14.95,14.95
2010-02-17,0.0,14.95,14.95,14.95,14.95
2010-02-18,0.0,14.95,14.95,14.95,14.95
2010-02-19,0.0,14.95,14.95,14.95,14.95
2010-02-22,435.0,14.95,14.95,14.93,14.93
