date,5. volume,4. close,2. high,1. open,3. low
2013-03-22,314116.0,22.03,25.0,21.0,21.0
2013-03-25,124965.0,21.64,22.25,22.09,21.17
2013-03-26,602706.0,21.28,21.8,21.5,21.13
2013-03-27,628528.0,21.36,21.96,21.28,21.13
2013-03-28,408601.0,21.26,21.72,21.39,21.23
2013-04-01,184205.0,21.7,22.08,21.64,21.59
2013-04-02,589458.0,22.55,23.68,22.63,22.175
2013-04-03,181977.0,22.9,23.1,22.9,22.6
2013-04-04,111581.0,22.75,23.4,23.02,22.71
2013-04-05,248144.0,22.64,22.7,22.63,22.33
2013-04-08,117280.0,22.48,22.84,22.84,22.26
2013-04-09,208021.0,22.27,22.75,22.75,22.13
2013-04-10,183942.0,21.9,22.43,22.2,21.9
2013-04-11,273542.0,22.09,22.28,22.2,21.75
2013-04-12,964800.0,22.09,22.09,22.09,22.09
2013-04-15,1699938.0,22.31,22.44,21.64,21.276
2013-04-16,1170900.0,22.05,22.27,22.01,21.76
2013-04-17,744835.0,21.93,22.6,22.04,21.81
2013-04-18,479932.0,21.69,22.23,22.23,21.54
2013-04-19,895251.0,21.47,21.84,21.79,21.45
2013-04-22,1285644.0,21.04,21.34,20.93,20.75
2013-04-23,1385251.0,21.11,21.27,21.03,20.76
2013-04-24,776166.0,21.01,21.26,21.11,20.92
2013-04-25,408812.0,21.35,21.59,21.1,21.06
2013-04-26,879701.0,21.15,21.34,21.34,21.06
2013-04-29,1353382.0,21.55,21.8,21.24,21.2
2013-04-30,617956.0,22.08,22.1999,21.55,21.23
2013-05-01,490851.0,22.52,22.69,22.2,22.07
2013-05-02,522079.0,22.87,23.06,22.41,22.41
2013-05-03,373335.0,22.5,23.62,23.25,22.46
2013-05-06,390015.0,22.47,22.65,22.5,22.43
2013-05-07,433360.0,22.68,22.68,22.54,22.426
2013-05-08,767454.0,22.9,23.05,22.76,22.76
2013-05-09,274103.0,22.55,22.9,22.9,22.54
2013-05-10,546298.0,22.52,22.85,22.7,22.5
2013-05-13,171186.0,22.55,22.7299,22.67,22.41
2013-05-14,363972.0,22.62,22.7,22.45,22.43
2013-05-15,534617.0,22.64,22.735,22.53,22.44
2013-05-16,189235.0,22.78,22.85,22.8,22.56
2013-05-17,227710.0,22.57,22.8,22.8,22.5
2013-05-20,108356.0,22.82,22.89,22.59,22.49
2013-05-21,458077.0,23.64,23.76,22.78,22.65
2013-05-22,198011.0,23.29,23.99,23.55,23.11
2013-05-23,102871.0,23.27,23.46,23.4,22.93
2013-05-24,185355.0,22.9,23.54,23.27,22.77
2013-05-28,214053.0,22.87,23.36,23.07,22.63
2013-05-29,293972.0,22.21,22.81,22.81,22.13
2013-05-30,294887.0,22.09,22.22,22.13,22.03
2013-05-31,450427.0,21.5,22.06,21.94,21.41
2013-06-03,453240.0,21.16,21.38,21.37,20.95
2013-06-04,142358.0,20.94,21.16,21.04,20.88
2013-06-05,199967.0,20.9,21.07,21.01,20.8801
2013-06-06,225987.0,20.98,21.23,20.88,20.88
2013-06-07,179321.0,21.1,21.29,21.21,20.89
2013-06-10,192196.0,20.9,21.13,21.04,20.88
2013-06-11,104635.0,20.98,21.29,20.85,20.82
2013-06-12,109605.0,21.03,21.15,21.0,20.9
2013-06-13,262468.0,21.23,21.34,21.01,20.6901
2013-06-14,122137.0,20.89,21.33,21.33,20.82
2013-06-17,104654.0,20.91,21.4172,21.08,20.9
2013-06-18,124016.0,20.92,21.21,21.0,20.79
2013-06-19,120068.0,20.6,21.08,21.08,20.59
2013-06-20,349660.0,20.09,20.62,20.6,20.0
2013-06-21,71775.0,20.08,20.46,19.97,19.97
2013-06-24,231019.0,19.57,20.34,19.9,19.07
2013-06-25,133610.0,20.03,20.06,19.74,19.5
2013-06-26,76266.0,20.29,20.55,20.04,20.01
2013-06-27,173442.0,20.22,20.45,20.44,20.1
2013-06-28,90959.0,20.3,20.43,20.145,20.0
2013-07-01,147389.0,20.13,20.5,20.46,19.93
2013-07-02,93214.0,20.11,20.25,20.25,20.0203
2013-07-03,47506.0,20.12,20.1971,20.13,20.0
2013-07-05,131872.0,20.34,20.449,20.05,19.5
2013-07-08,71140.0,20.29,20.56,20.56,20.13
2013-07-09,67159.0,20.28,20.38,20.23,20.2
2013-07-10,359249.0,19.99,20.38,20.38,19.95
2013-07-11,141781.0,20.52,20.52,20.11,20.11
2013-07-12,179889.0,20.98,20.98,20.37,20.2
2013-07-15,83458.0,21.07,21.34,20.97,20.56
2013-07-16,97358.0,21.35,21.46,21.19,20.7301
2013-07-17,70250.0,20.82,21.49,21.49,20.81
2013-07-18,183475.0,20.95,21.08,20.75,20.75
2013-07-19,113762.0,20.9,21.0475,20.95,20.792
2013-07-22,65101.0,20.87,21.05,20.79,20.71
2013-07-23,146848.0,21.0,21.12,20.85,20.63
2013-07-24,147954.0,21.28,21.28,20.97,20.83
2013-07-25,64776.0,21.17,21.4,21.16,21.03
2013-07-26,32127.0,21.28,21.3999,21.26,21.125
2013-07-29,40300.0,21.31,21.45,21.12,21.05
2013-07-30,47165.0,21.14,21.45,21.45,20.95
2013-07-31,40850.0,20.81,21.1501,21.07,20.67
2013-08-01,59899.0,20.37,20.93,20.93,20.35
2013-08-02,46795.0,20.51,20.65,20.42,20.36
2013-08-05,19796.0,20.65,21.48,21.48,20.56
2013-08-06,69266.0,20.33,20.92,20.73,20.25
2013-08-07,103966.0,20.2,20.47,20.43,20.09
2013-08-08,306456.0,20.27,20.55,20.4,20.0
2013-08-09,126470.0,20.4,20.48,20.4,20.24
2013-08-12,83398.0,20.41,20.69,20.25,20.2301
2013-08-13,60811.0,20.54,20.72,20.37,20.37
2013-08-14,43419.0,20.7,20.79,20.46,20.46
2013-08-15,24515.0,20.38,20.74,20.65,20.35
2013-08-16,44817.0,20.25,20.4,20.38,20.21
2013-08-19,32981.0,20.23,20.45,20.34,20.1
2013-08-20,21368.0,20.5,20.59,20.34,20.2
2013-08-21,14702.0,20.095,20.54,20.36,20.09
2013-08-22,28175.0,20.01,20.24,20.24,20.01
2013-08-23,114509.0,20.08,20.32,20.0,20.0
2013-08-26,150015.0,19.8,20.34,20.1,19.76
2013-08-27,143563.0,19.39,19.84,19.76,19.2
2013-08-28,216543.0,18.93,19.479,19.04,18.82
2013-08-29,154831.0,19.05,19.29,18.96,18.9
2013-08-30,56608.0,19.12,19.55,19.04,18.82
2013-09-03,294345.0,18.94,19.43,19.25,18.94
2013-09-04,128640.0,18.99,19.31,19.07,18.99
2013-09-05,29584.0,19.17,19.3,19.1,19.1
2013-09-06,43074.0,19.23,19.53,19.35,19.2
2013-09-09,88232.0,19.12,19.46,19.25,18.92
2013-09-10,53209.0,18.86,19.17,19.12,18.85
2013-09-11,61862.0,19.19,19.25,18.86,18.8
2013-09-12,46052.0,19.3,19.3696,19.31,19.03
2013-09-13,32515.0,19.25,19.46,19.29,19.16
2013-09-16,79148.0,19.29,19.676,19.44,19.2125
2013-09-17,54454.0,19.37,19.54,19.26,19.26
2013-09-18,142445.0,19.62,19.77,19.4,19.4
2013-09-19,79805.0,19.94,19.98,19.6,19.5
2013-09-20,66061.0,19.78,19.9,19.9,18.88
2013-09-23,50137.0,19.58,19.72,19.56,19.35
2013-09-24,46261.0,19.4,19.59,19.59,19.341
2013-09-25,72450.0,19.39,19.74,19.34,19.3
2013-09-26,56327.0,19.56,19.76,19.51,19.5
2013-09-27,72946.0,19.34,19.84,19.57,19.34
2013-09-30,161076.0,19.38,19.83,19.35,19.3
2013-10-01,226981.0,19.27,19.89,19.59,19.22
2013-10-02,182874.0,19.33,19.6,19.3,19.2
2013-10-03,80997.0,19.06,19.55,19.22,19.06
2013-10-04,93539.0,19.16,19.36,19.2,19.07
2013-10-07,50427.0,19.23,19.35,19.17,19.15
2013-10-08,67721.0,19.1,19.35,19.18,19.07
2013-10-09,69816.0,19.03,19.26,19.09,19.03
2013-10-10,29984.0,19.09,19.48,19.12,19.05
2013-10-11,302647.0,19.03,19.1599,19.13,18.94
2013-10-14,51186.0,19.06,19.12,18.94,18.93
2013-10-15,85531.0,19.11,19.23,19.0,18.9
2013-10-16,83654.0,19.3,19.35,19.12,19.1
2013-10-17,90444.0,19.49,19.54,19.3,19.22
2013-10-18,140351.0,19.81,19.87,19.63,19.51
2013-10-21,72188.0,19.81,19.9,19.81,19.75
2013-10-22,72031.0,19.62,20.0,19.87,19.54
2013-10-23,142229.0,19.66,19.94,19.75,19.37
2013-10-24,96930.0,19.72,19.8,19.76,19.56
2013-10-25,151064.0,19.7,19.9,19.9,19.55
2013-10-28,201540.0,19.59,19.87,19.87,19.57
2013-10-29,151905.0,19.53,19.6925,19.6,19.45
2013-10-30,175323.0,19.38,19.69,19.53,19.34
2013-10-31,158617.0,19.26,19.45,19.44,19.23
2013-11-01,217777.0,19.32,19.51,19.39,19.2
2013-11-04,117307.0,19.29,19.5,19.47,19.23
2013-11-05,105458.0,19.18,19.3,19.11,19.11
2013-11-06,86666.0,19.14,19.29,19.21,19.13
2013-11-07,283492.0,19.03,19.27,19.18,18.96
2013-11-08,131084.0,19.23,19.35,18.91,18.85
2013-11-11,76214.0,19.15,19.32,19.31,19.11
2013-11-12,106654.0,19.1,19.18,19.12,19.04
2013-11-13,88156.0,19.25,19.26,19.15,19.06
2013-11-14,119551.0,19.31,19.46,19.12,19.12
2013-11-15,124469.0,19.445,19.48,19.47,19.35
2013-11-18,97151.0,19.42,19.509,19.5,19.31
2013-11-19,64977.0,19.3,19.43,19.4,19.23
2013-11-20,152724.0,19.14,19.38,19.25,19.13
2013-11-21,65471.0,19.13,19.25,19.08,19.08
2013-11-22,96898.0,19.2,19.37,19.12,19.1
2013-11-25,122812.0,19.44,19.46,19.27,19.25
2013-11-26,91949.0,19.36,19.49,19.13,19.13
2013-11-27,63588.0,19.62,19.68,19.44,19.39
2013-11-29,43119.0,19.72,19.87,19.61,19.61
2013-12-02,105917.0,19.73,19.83,19.71,19.634
2013-12-03,629876.0,19.6,19.68,19.66,19.37
2013-12-04,72393.0,19.46,19.62,19.55,19.31
2013-12-05,77882.0,19.3,19.42,19.39,19.28
2013-12-06,169457.0,19.5,19.58,19.31,19.31
2013-12-09,343229.0,20.13,20.18,19.58,19.58
2013-12-10,249170.0,20.4,20.5,20.17,20.0
2013-12-11,186989.0,20.41,20.5,20.28,20.25
2013-12-12,894790.0,20.2,20.45,20.45,20.0
2013-12-13,148747.0,19.77,20.31,20.26,19.61
2013-12-16,68765.0,19.79,19.92,19.8,19.71
2013-12-17,59790.0,19.79,19.86,19.83,19.6
2013-12-18,227757.0,20.21,20.38,19.79,19.6704
2013-12-19,102668.0,20.14,20.47,20.27,20.0
2013-12-20,85957.0,20.0,20.25,20.08,19.89
2013-12-23,92330.0,20.08,20.31,20.18,20.03
2013-12-24,26319.0,20.0899,20.16,20.08,20.06
2013-12-26,85328.0,20.12,20.12,19.84,19.751
2013-12-27,162897.0,19.97,20.2,20.2,19.88
2013-12-30,80305.0,19.96,20.0,19.95,19.9
2013-12-31,85799.0,19.94,20.05,20.05,19.93
2014-01-02,155446.0,19.85,20.23,19.85,19.71
2014-01-03,114591.0,19.79,20.05,20.05,19.76
2014-01-06,74717.0,19.88,20.07,19.91,19.75
2014-01-07,137055.0,19.45,19.81,19.81,19.3
2014-01-08,214793.0,19.34,20.0,19.39,19.01
2014-01-09,105356.0,19.16,19.5,19.5,19.14
2014-01-10,85494.0,19.2,19.25,19.25,19.0608
2014-01-13,75751.0,19.12,19.19,19.07,19.01
2014-01-14,94795.0,19.17,19.28,19.07,19.0
2014-01-15,81764.0,19.16,19.28,19.14,19.05
2014-01-16,87760.0,19.18,19.35,19.1,19.1
2014-01-17,121379.0,19.0,19.27,19.1,19.0
2014-01-21,183016.0,19.13,19.44,19.05,19.02
2014-01-22,156843.0,19.02,19.16,19.05,18.77
2014-01-23,38861.0,19.11,19.12,18.96,18.88
2014-01-24,122112.0,19.02,19.26,19.01,18.85
2014-01-27,39689.0,19.0,19.14,19.01,18.87
2014-01-28,50296.0,19.15,19.21,19.0,18.87
2014-01-29,36633.0,19.0,19.25,19.2,18.87
2014-01-30,69564.0,18.95,19.07,19.03,18.87
2014-01-31,51749.0,18.95,19.02,18.79,18.74
2014-02-03,88252.0,18.74,19.33,18.93,18.73
2014-02-04,73552.0,18.68,19.01,18.76,18.6
2014-02-05,88790.0,18.61,18.75,18.64,18.45
2014-02-06,75859.0,18.8,18.99,18.63,18.58
2014-02-07,159583.0,18.63,18.87,18.75,18.51
2014-02-10,69754.0,18.79,18.83,18.6,18.56
2014-02-11,80404.0,19.21,19.35,18.85,18.84
2014-02-12,72481.0,19.44,19.5,19.18,19.13
2014-02-13,92699.0,19.44,19.6,19.32,19.28
2014-02-14,70343.0,19.45,19.64,19.54,19.31
2014-02-18,72703.0,19.71,19.8,19.71,19.5
2014-02-19,58634.0,19.5,19.844,19.76,19.43
2014-02-20,41617.0,19.66,19.77,19.57,19.5
2014-02-21,86297.0,19.84,19.9,19.63,19.63
2014-02-24,55358.0,19.82,19.95,19.93,19.715
2014-02-25,58297.0,19.75,19.89,19.89,19.72
2014-02-26,81951.0,19.5,19.62,19.62,19.42
2014-02-27,122765.0,19.5,19.58,19.41,19.361
2014-02-28,138973.0,19.34,19.7,19.59,19.26
2014-03-03,148681.0,19.5,19.81,19.31,19.24
2014-03-04,99716.0,19.91,19.97,19.67,19.45
2014-03-05,105383.0,19.76,20.08,19.87,19.62
2014-03-06,113082.0,19.64,19.89,19.83,19.55
2014-03-07,130020.0,19.55,19.66,19.57,19.5
2014-03-10,415558.0,19.49,19.65,19.62,19.36
2014-03-11,689253.0,19.62,19.7,19.48,19.48
2014-03-12,94676.0,19.49,19.55,19.55,19.28
2014-03-13,99120.0,19.27,19.58,19.46,19.25
2014-03-14,135786.0,19.0,19.3499,19.27,18.96
2014-03-17,128967.0,19.0,19.21,19.0,19.0
2014-03-18,494228.0,18.82,19.06,19.06,18.8
2014-03-19,1913805.0,18.8,18.82,18.74,18.19
2014-03-20,2045995.0,18.91,19.3,19.25,18.8
2014-03-21,687270.0,19.1,19.26,19.24,18.81
2014-03-24,581518.0,18.61,19.4,19.2,18.52
2014-03-25,1847175.0,18.84,19.16,18.73,18.55
2014-03-26,2850259.0,18.79,18.91,18.86,18.59
2014-03-27,3895505.0,18.78,19.005,18.7,18.63
2014-03-28,3831202.0,18.85,18.975,18.93,18.79
2014-03-31,4333160.0,18.7,18.95,18.87,18.59
2014-04-01,1042057.0,18.91,18.94,18.7,18.5
2014-04-02,1997898.0,18.99,19.2,19.0,18.88
2014-04-03,2122056.0,18.65,19.0599,18.95,18.63
2014-04-04,1356641.0,18.84,18.98,18.76,18.74
2014-04-07,1028106.0,18.93,18.98,18.89,18.73
2014-04-08,1230108.0,19.13,19.15,18.97,18.95
2014-04-09,1674161.0,19.13,19.25,19.08,19.0
2014-04-10,1066279.0,19.08,19.25,19.06,19.0
2014-04-11,796231.0,19.04,19.23,18.98,18.98
2014-04-14,501232.0,19.19,19.25,19.05,19.05
2014-04-15,449942.0,19.22,19.25,19.16,19.105
2014-04-16,601509.0,19.42,19.45,19.21,19.17
2014-04-17,1303193.0,19.6,19.64,19.45,19.4
2014-04-21,498005.0,19.65,19.7,19.68,19.58
2014-04-22,588611.0,19.78,19.81,19.67,19.67
2014-04-23,629787.0,19.65,19.88,19.73,19.595
2014-04-24,470842.0,19.59,19.68,19.64,19.5
2014-04-25,574779.0,19.52,19.64,19.49,19.43
2014-04-28,566267.0,19.33,19.69,19.62,19.26
2014-04-29,787820.0,19.34,19.43,19.43,19.23
2014-04-30,1675882.0,19.46,19.58,19.35,19.26
2014-05-01,422346.0,19.5,19.77,19.55,19.36
2014-05-02,356172.0,19.47,19.64,19.49,19.42
2014-05-05,601254.0,19.44,19.73,19.45,19.36
2014-05-06,731505.0,19.29,19.53,19.48,19.25
2014-05-07,727509.0,19.7,19.74,19.27,19.26
2014-05-08,1275171.0,19.94,19.96,19.73,19.67
2014-05-09,985399.0,20.05,20.06,19.94,19.78
2014-05-12,969919.0,20.1,20.16,20.16,19.97
2014-05-13,791775.0,19.96,20.28,20.09,19.91
2014-05-14,835339.0,20.01,20.08,19.98,19.94
2014-05-15,808139.0,19.88,20.1,20.1,19.86
2014-05-16,393725.0,20.02,20.08,19.84,19.84
2014-05-19,168745.0,19.96,20.02,19.96,19.9
2014-05-20,529833.0,19.88,19.98,19.91,19.84
2014-05-21,995128.0,19.9,19.97,19.9,19.87
2014-05-22,2522753.0,20.25,20.35,19.91,19.88
2014-05-23,513276.0,20.32,20.34,20.21,20.19
2014-05-27,676108.0,20.46,20.5499,20.51,20.37
2014-05-28,489446.0,20.19,20.54,20.21,20.11
2014-05-29,512639.0,20.15,20.34,20.2,20.06
2014-05-30,341718.0,20.03,20.16,20.16,19.94
2014-06-02,596032.0,20.04,20.2,19.99,19.934
2014-06-03,352702.0,20.16,20.16,19.93,19.91
2014-06-04,386295.0,20.19,20.21,20.19,20.07
2014-06-05,405523.0,20.26,20.3,20.16,20.1
2014-06-06,940680.0,20.59,20.6,20.3,20.3
2014-06-09,664532.0,20.62,20.69,20.6,20.52
2014-06-10,491962.0,20.53,20.67,20.62,20.48
2014-06-11,2962624.0,20.55,20.64,20.61,20.44
2014-06-12,1868425.0,20.34,20.64,20.56,20.305
2014-06-13,698708.0,20.49,20.61,20.28,20.21
2014-06-16,4482479.0,20.7,20.72,20.56,20.5
2014-06-17,1668697.0,20.85,20.9,20.8,20.73
2014-06-18,780892.0,20.72,20.852,20.77,20.65
2014-06-19,895281.0,20.67,20.89,20.79,20.525
2014-06-20,1225888.0,20.8,20.85,20.7,20.61
2014-06-23,630080.0,20.53,20.84,20.84,20.5
2014-06-24,529865.0,20.6,20.78,20.43,20.43
2014-06-25,1126401.0,20.76,20.84,20.63,20.54
