date,5. volume,4. close,2. high,1. open,3. low
2017-12-01,127550.0,0.352,0.352,0.3,0.3
2017-12-04,11950.0,0.35,0.35,0.35,0.35
2017-12-05,0.0,0.35,0.35,0.35,0.35
2017-12-06,0.0,0.35,0.35,0.35,0.35
2017-12-07,301450.0,0.4,0.44,0.34,0.34
2017-12-08,95850.0,0.39,0.4,0.4,0.3608
2017-12-11,159400.0,0.39,0.39,0.37,0.37
2017-12-12,1000.0,0.3701,0.3701,0.37,0.37
2017-12-13,187.0,0.3701,0.3701,0.3701,0.3701
2017-12-14,24000.0,0.37,0.38,0.38,0.37
2017-12-15,10005.0,0.39,0.39,0.39,0.39
2017-12-21,2300.0,0.38,0.38,0.38,0.38
2017-12-27,500.0,0.4,0.4,0.4,0.4
2018-01-02,17094.0,0.41,0.41,0.41,0.372
2018-01-08,20706.0,0.3768,0.3768,0.372,0.372
2018-01-09,14800.0,0.3735,0.3735,0.3735,0.37
2018-01-10,5.0,0.3735,0.3735,0.3735,0.3735
2018-01-11,50.0,0.3735,0.3735,0.3735,0.3735
2018-01-12,1000.0,0.381,0.381,0.381,0.381
2018-01-17,5500.0,0.3858,0.3858,0.385,0.385
2018-01-24,995.0,0.385,0.385,0.385,0.385
2018-01-26,1000.0,0.4,0.4,0.4,0.4
2018-02-16,37499.0,0.4,0.4,0.4,0.4
2018-02-21,501.0,0.4,0.4,0.4,0.4
2018-03-12,1500.0,0.4,0.4,0.4,0.4
2018-03-15,2000.0,0.4,0.4,0.3898,0.3898
2018-03-16,68550.0,0.38,0.39,0.39,0.37
2018-03-20,20600.0,0.37,0.3705,0.37,0.37
2018-03-21,56089.0,0.37,0.3722,0.37,0.37
2018-03-23,13700.0,0.4,0.4,0.38,0.38
2018-03-26,44607.0,0.45,0.45,0.41,0.4
2018-04-10,30444.0,0.5,0.5,0.45,0.45
2018-04-11,33499.0,0.49,0.49,0.48,0.48
2018-04-12,38300.0,0.47,0.471,0.47,0.47
2018-04-13,42029.0,0.5,0.5498,0.49,0.49
2018-04-17,4030.0,0.5,0.5,0.5,0.5
2018-05-09,2233.0,0.48,0.5,0.4999,0.48
2018-05-15,53300.0,0.4,0.45,0.45,0.4
