date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,295200.0,42.0,44.06,42.25,38.69
2000-01-04,781600.0,41.25,45.38,40.69,40.63
2000-01-05,122400.0,42.5,43.5,40.88,40.38
2000-01-06,108400.0,41.19,43.75,42.28,39.5
2000-01-07,106800.0,40.0,40.94,40.0,38.5
2000-01-10,475200.0,45.0,45.0,41.13,40.75
2000-01-11,1157200.0,49.25,50.88,46.0,43.38
2000-01-12,311200.0,48.88,51.88,49.56,46.75
2000-01-13,270800.0,48.94,50.5,49.31,47.75
2000-01-14,299200.0,49.38,50.5,49.88,47.75
2000-01-18,106000.0,49.69,51.31,51.31,47.06
2000-01-19,135600.0,49.38,50.0,49.81,48.25
2000-01-20,133600.0,49.63,51.0,49.5,48.0
2000-01-21,459600.0,44.0,53.5,49.44,43.25
2000-01-24,261600.0,47.25,48.88,44.5,40.25
2000-01-25,52000.0,48.75,49.5,47.13,46.5
2000-01-26,79600.0,47.25,49.0,47.13,45.63
2000-01-27,38400.0,46.0,48.25,47.75,46.0
2000-01-28,99200.0,41.88,47.0,47.0,41.06
2000-01-31,346400.0,36.44,42.25,41.38,35.0
2000-02-01,218000.0,37.94,38.75,36.44,35.56
2000-02-02,76000.0,38.63,39.88,38.31,37.5
2000-02-03,72000.0,38.88,40.44,39.63,38.56
2000-02-04,136800.0,39.0,41.44,39.88,36.75
2000-02-07,318400.0,33.75,39.5,39.34,32.0
2000-02-08,415200.0,37.75,38.75,36.5,35.75
2000-02-09,122800.0,36.06,38.31,37.94,35.75
2000-02-10,505600.0,36.25,40.63,36.06,35.75
2000-02-11,242800.0,35.25,38.25,37.25,34.38
2000-02-14,332000.0,37.0,37.0,35.94,34.0
2000-02-15,66800.0,36.0,36.94,36.94,35.0
2000-02-16,170800.0,35.25,37.0,35.88,34.75
2000-02-17,208400.0,37.19,38.19,36.69,35.88
2000-02-18,164400.0,36.0,38.44,37.06,36.0
2000-02-22,159200.0,35.38,36.38,36.0,34.06
2000-02-23,206400.0,33.75,36.0,35.25,33.63
2000-02-24,398800.0,35.13,35.75,34.38,34.25
2000-02-25,567600.0,38.0,39.25,35.94,35.13
2000-02-28,306800.0,40.94,42.5,37.81,37.5
2000-02-29,259200.0,39.88,43.0,41.5,39.25
2000-03-01,143600.0,40.5,40.5,40.0,39.5
2000-03-02,192400.0,38.88,39.94,39.63,37.5
