date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,49467.0,22.63,22.75,22.38,22.38
2000-01-04,1200.0,22.25,23.0,23.0,22.25
2000-01-05,5067.0,22.63,22.63,22.06,21.56
2000-01-06,2600.0,22.06,22.06,22.0,22.0
2000-01-07,1600.0,22.0,22.0,21.91,21.5
2000-01-10,3267.0,22.06,22.5,22.5,20.63
2000-01-11,5467.0,22.0,22.0,20.25,20.25
2000-01-12,467.0,21.5,21.5,21.5,21.5
2000-01-13,4200.0,21.5,21.5,21.5,21.5
2000-01-14,5667.0,21.5,21.5,21.5,21.5
2000-01-18,6000.0,23.0,23.0,22.0,22.0
2000-01-19,867.0,23.0,23.0,23.0,23.0
2000-01-20,3400.0,22.25,22.38,22.25,22.25
2000-01-21,7000.0,22.25,22.31,22.31,21.63
2000-01-24,5667.0,22.0,22.25,22.25,22.0
2000-01-25,3667.0,21.31,22.69,22.38,21.31
2000-01-26,4800.0,22.25,22.25,22.0,22.0
2000-01-27,67.0,21.06,21.06,21.06,21.06
2000-01-28,3267.0,21.44,22.0,22.0,21.13
2000-01-31,2600.0,21.0,21.06,21.06,21.0
2000-02-01,4600.0,20.69,21.0,21.0,20.69
2000-02-02,3400.0,20.0,20.31,20.31,19.75
2000-02-03,800.0,20.13,20.13,20.0,20.0
2000-02-04,800.0,20.63,20.63,20.13,20.13
2000-02-07,2067.0,20.5,20.5,19.88,19.75
2000-02-08,2400.0,19.88,20.5,20.5,19.88
2000-02-09,3667.0,19.88,20.63,20.63,19.88
2000-02-10,6067.0,20.25,20.25,20.25,20.09
2000-02-11,4200.0,20.25,20.25,20.25,20.25
2000-02-14,800.0,20.38,20.38,20.0,20.0
2000-02-15,1400.0,20.06,20.5,20.5,20.06
2000-02-16,7000.0,19.75,20.38,20.0,19.69
2000-02-17,1667.0,19.5,19.88,19.88,19.5
2000-02-18,1067.0,19.5,20.0,20.0,19.5
2000-02-22,28067.0,19.38,19.88,19.5,19.0
2000-02-23,1067.0,19.38,19.38,19.38,19.38
2000-02-24,0.0,19.38,19.38,19.38,19.38
2000-02-25,7800.0,19.25,19.38,18.88,18.88
2000-02-28,4267.0,18.91,19.13,19.13,18.91
2000-02-29,267.0,18.94,18.94,18.94,18.94
2000-03-01,3000.0,19.75,19.75,19.38,19.38
2000-03-02,7067.0,19.27,20.38,19.75,19.25
2000-03-03,200.0,20.13,20.13,20.13,20.13
2000-03-06,667.0,20.38,20.38,20.13,20.13
2000-03-07,0.0,20.37,20.37,20.37,20.37
2000-03-08,0.0,20.37,20.37,20.37,20.37
2000-03-09,4400.0,19.81,19.88,19.88,19.75
2000-03-10,200.0,19.44,20.13,20.13,19.44
