date,5. volume,4. close,2. high,1. open,3. low
2017-06-30,3492724.0,20.05,20.48,20.35,19.84
2017-07-03,96378.0,20.1,20.35,20.1,19.9525
2017-07-05,165540.0,20.2,20.28,20.02,20.0
2017-07-06,73490.0,20.18,20.29,20.14,20.01
2017-07-07,111348.0,20.27,20.61,20.26,20.2
2017-07-10,55371.0,20.35,20.61,20.42,20.3
2017-07-11,106836.0,20.26,20.45,20.28,20.0701
2017-07-12,157625.0,20.86,21.0,20.19,20.12
2017-07-13,35058.0,20.8,21.1,21.1,20.6601
2017-07-14,39942.0,20.78,20.95,20.77,20.75
2017-07-17,34166.0,20.85,20.96,20.78,20.78
2017-07-18,102692.0,21.13,21.295,21.0,20.851
2017-07-19,31392.0,21.07,21.3696,21.29,21.07
2017-07-20,105430.0,20.32,21.39,21.06,20.3
2017-07-21,89253.0,20.72,21.0,20.5,20.1913
2017-07-24,25273.0,20.85,20.9923,20.72,20.67
2017-07-25,65615.0,20.54,21.17,20.91,20.38
2017-07-26,75859.0,20.59,20.8682,20.4,20.4
2017-07-27,27124.0,20.52,20.77,20.51,20.51
2017-07-28,71114.0,20.45,20.6,20.5,20.35
2017-07-31,38289.0,20.16,20.5,20.5,20.16
2017-08-01,135044.0,20.05,20.41,20.16,19.29
2017-08-02,49123.0,20.73,20.95,19.93,19.695
2017-08-03,32689.0,20.46,20.9,20.66,20.46
2017-08-04,42728.0,21.13,21.42,20.5,20.39
2017-08-07,27824.0,21.0,21.45,21.39,20.84
2017-08-08,35394.0,20.52,20.875,20.87,20.21
2017-08-09,31434.0,20.46,20.46,20.45,20.3
2017-08-10,18012.0,20.26,20.595,20.47,20.26
2017-08-11,12447.0,20.32,20.85,20.27,20.25
2017-08-14,23697.0,20.69,21.01,20.52,20.33
2017-08-15,54781.0,20.78,21.1,20.58,20.27
2017-08-16,46431.0,21.15,21.3,20.91,20.77
2017-08-17,40062.0,20.67,21.49,21.02,20.32
2017-08-18,26289.0,20.74,20.815,20.67,20.27
2017-08-21,25370.0,20.83,21.13,20.74,20.36
2017-08-22,18938.0,20.88,21.02,20.87,20.513
2017-08-23,44757.0,20.47,20.92,20.92,20.27
2017-08-24,95968.0,21.02,21.07,20.47,19.75
2017-08-25,39969.0,21.01,21.07,21.07,20.44
2017-08-28,67581.0,21.07,21.32,21.08,20.9
2017-08-29,39420.0,20.89,21.15,20.98,20.85
2017-08-30,64519.0,21.24,21.44,20.92,20.92
2017-08-31,65663.0,21.13,21.44,21.17,21.02
2017-09-01,62478.0,21.5,21.69,21.19,21.05
2017-09-05,77630.0,21.19,21.45,21.45,21.125
2017-09-06,80699.0,21.12,21.52,21.14,20.722
2017-09-07,69047.0,21.03,21.7,21.22,21.0
2017-09-08,49205.0,21.25,21.3,21.13,21.02
2017-09-11,83228.0,21.2,21.4,21.15,21.08
2017-09-12,57505.0,21.57,21.7,21.35,20.96
2017-09-13,78793.0,21.54,21.59,21.57,21.34
2017-09-14,66794.0,21.05,21.45,21.26,20.98
2017-09-15,600492.0,20.13,21.05,21.05,20.03
2017-09-18,104553.0,20.38,20.65,20.09,19.78
2017-09-19,45007.0,20.63,20.94,20.262,20.262
2017-09-20,57649.0,21.04,21.24,20.8,20.64
2017-09-21,22867.0,21.17,21.26,21.03,20.71
2017-09-22,30586.0,20.91,21.28,21.28,20.75
2017-09-25,45664.0,21.4,21.48,21.48,20.59
2017-09-26,107634.0,21.44,21.82,21.39,21.27
2017-09-27,61933.0,21.01,21.72,21.54,20.93
2017-09-28,64670.0,21.09,21.18,20.96,20.8
2017-09-29,41186.0,21.26,21.4,21.09,21.05
2017-10-02,46795.0,21.27,21.415,21.27,21.24
2017-10-03,105990.0,20.75,21.365,21.25,20.66
2017-10-04,72551.0,20.28,20.71,20.71,20.18
2017-10-05,98768.0,20.32,20.75,20.31,20.0
2017-10-06,32713.0,20.39,20.67,20.28,20.25
2017-10-09,103429.0,20.54,20.63,20.5,20.35
2017-10-10,113437.0,20.6,20.862,20.5,20.41
2017-10-11,47320.0,20.69,20.7,20.51,20.4
2017-10-12,49975.0,20.69,20.71,20.65,20.5
2017-10-13,12695.0,20.58,20.74,20.58,20.52
2017-10-16,43434.0,20.6,20.738,20.58,20.47
2017-10-17,201341.0,20.47,20.88,20.57,20.35
2017-10-18,104483.0,20.49,20.67,20.474,20.391
2017-10-19,13821.0,20.57,20.59,20.42,20.42
2017-10-20,105623.0,20.67,20.79,20.79,20.45
2017-10-23,15400.0,20.56,20.69,20.67,20.53
2017-10-24,10428.0,20.6,20.68,20.56,20.56
2017-10-25,38965.0,20.58,20.61,20.6,20.36
2017-10-26,25814.0,20.67,20.7,20.63,20.54
2017-10-27,109292.0,20.16,20.75,20.55,20.0
2017-10-30,143007.0,19.92,20.11,20.07,19.91
2017-10-31,68990.0,20.05,20.225,20.0,19.99
2017-11-01,85762.0,19.93,20.22,20.05,19.72
2017-11-02,67732.0,19.96,20.02,19.97,19.94
2017-11-03,14408.0,20.03,20.21,19.94,19.9
2017-11-06,23336.0,19.93,20.04,20.04,19.91
2017-11-07,65933.0,19.82,20.02,20.02,19.61
2017-11-08,51358.0,19.56,19.75,19.7,19.51
2017-11-09,21001.0,19.49,19.54,19.5,19.42
2017-11-10,14036.0,19.53,19.65,19.56,19.49
2017-11-13,17845.0,19.62,19.67,19.42,19.2
2017-11-14,29501.0,19.56,19.71,19.59,19.5
2017-11-15,132979.0,19.45,19.62,19.4,19.4
2017-11-16,15193.0,19.57,19.73,19.6,19.5
2017-11-17,46549.0,19.51,19.59,19.42,19.11
2017-11-20,25636.0,19.91,19.91,19.5,19.5
2017-11-21,15944.0,19.94,20.02,19.93,19.57
2017-11-22,15233.0,20.23,20.3,20.0,20.0
2017-11-24,6650.0,19.73,20.16,19.021,19.021
2017-11-27,12737.0,19.81,19.94,19.75,19.75
2017-11-28,50358.0,20.54,20.54,20.0,20.0
2017-11-29,428817.0,21.12,21.25,20.93,20.93
2017-11-30,225786.0,21.35,21.67,21.25,21.05
2017-12-01,168436.0,21.93,22.85,21.4,21.35
2017-12-04,82054.0,22.93,22.93,22.25,22.25
2017-12-05,106493.0,23.17,23.65,23.05,23.0
2017-12-06,106998.0,22.68,23.43,23.19,22.55
2017-12-07,42781.0,22.13,22.66,22.66,22.06
2017-12-08,42587.0,21.99,22.4502,22.29,21.98
2017-12-11,35287.0,21.29,22.1,22.07,21.12
2017-12-12,112992.0,21.15,21.53,21.3,21.06
2017-12-13,52157.0,21.35,21.56,21.19,21.19
2017-12-14,46890.0,21.17,21.51,21.18,21.11
2017-12-15,204704.0,21.51,21.6,21.37,21.15
2017-12-18,487352.0,21.82,22.265,21.74,21.6
2017-12-19,36567.0,21.91,22.17,21.78,21.71
2017-12-20,36042.0,21.83,22.05,21.73,21.57
2017-12-21,65965.0,21.76,21.9,21.9,21.52
2017-12-22,30853.0,21.58,21.95,21.55,21.475
2017-12-26,61117.0,21.57,21.6899,21.57,21.09
2017-12-27,61945.0,22.92,22.99,21.59,21.59
2017-12-28,95774.0,22.99,23.0,22.93,22.29
2017-12-29,170991.0,22.97,23.18,22.75,22.73
2018-01-02,140083.0,22.86,22.95,22.75,22.37
2018-01-03,98813.0,22.35,22.79,22.79,22.16
2018-01-04,47312.0,22.04,22.46,22.4,21.92
2018-01-05,38168.0,22.16,22.34,22.09,22.03
2018-01-08,42208.0,22.22,22.34,22.05,22.01
2018-01-09,40212.0,22.5,22.5,22.3,22.0
2018-01-10,59692.0,22.53,22.72,22.4,22.35
2018-01-11,31058.0,22.75,22.84,22.51,22.3996
2018-01-12,101623.0,23.05,23.5,22.48,22.48
2018-01-16,60856.0,22.67,23.4,23.31,22.4158
2018-01-17,75806.0,23.06,23.06,22.83,22.74
2018-01-18,49836.0,22.64,23.4,23.0,22.51
2018-01-19,28099.0,22.82,23.0,22.64,22.59
2018-01-22,33900.0,22.7,22.99,22.79,22.555
2018-01-23,39991.0,22.81,22.89,22.59,22.48
2018-01-24,34543.0,22.48,22.8,22.76,22.48
2018-01-25,20852.0,22.62,22.75,22.4,22.3145
2018-01-26,55667.0,22.68,23.0,22.9,22.55
2018-01-29,86247.0,22.79,23.0,22.69,22.69
2018-01-30,10619.0,22.65,22.705,22.63,22.4326
2018-01-31,30546.0,22.37,22.66,22.66,22.26
2018-02-01,43110.0,22.64,22.66,22.36,22.095
2018-02-02,20204.0,22.53,22.65,22.08,22.08
2018-02-05,68505.0,21.9,22.59,22.47,21.7
2018-02-06,38651.0,22.17,22.34,21.62,21.6
2018-02-07,33546.0,22.46,22.56,22.08,21.99
2018-02-08,44941.0,21.97,22.38,22.38,21.95
2018-02-09,29113.0,21.99,22.09,21.45,21.355
2018-02-12,22124.0,21.81,22.05,22.05,21.53
2018-02-13,50850.0,22.01,22.13,21.73,21.5
2018-02-14,48620.0,22.28,22.46,21.85,21.67
2018-02-15,17199.0,22.42,22.48,22.35,22.075
2018-02-16,43306.0,22.41,22.67,22.21,21.62
2018-02-20,17497.0,22.44,22.45,22.36,21.87
2018-02-21,53922.0,22.45,22.5,22.42,21.8301
