date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,3667.0,19.38,19.62,19.5,19.38
2000-01-04,10833.0,18.63,19.5,19.5,18.63
2000-01-05,5667.0,18.5,18.5,18.25,18.25
2000-01-06,16833.0,18.5,18.5,18.38,18.06
2000-01-07,9667.0,18.13,18.5,18.5,18.13
2000-01-10,5500.0,18.63,18.69,18.38,18.38
2000-01-11,7500.0,18.81,18.94,18.94,18.69
2000-01-12,13167.0,18.88,18.88,18.88,18.88
2000-01-13,12667.0,19.0,19.0,18.75,18.63
2000-01-14,17833.0,19.88,19.94,19.25,19.25
2000-01-18,21167.0,19.63,19.75,19.75,19.13
2000-01-19,13500.0,19.75,19.75,19.63,19.38
2000-01-20,11500.0,20.0,20.0,19.81,19.75
2000-01-21,19000.0,20.0,20.25,20.0,19.88
2000-01-24,6833.0,20.0,20.19,20.06,19.88
2000-01-25,15667.0,19.5,20.06,20.0,19.5
2000-01-26,23000.0,18.88,19.88,19.63,18.88
2000-01-27,9000.0,18.25,18.75,18.75,18.25
2000-01-28,45167.0,18.56,18.81,18.19,17.88
2000-01-31,27833.0,18.38,18.5,18.31,18.19
2000-02-01,16167.0,18.44,18.5,18.31,18.31
2000-02-02,17667.0,17.88,18.44,18.44,17.88
2000-02-03,4000.0,17.75,17.94,17.94,17.75
2000-02-04,33167.0,17.88,17.88,17.88,17.88
2000-02-07,16833.0,18.0,18.0,17.63,17.63
2000-02-08,16167.0,17.75,18.0,18.0,17.56
2000-02-09,17167.0,17.31,17.63,17.5,17.25
2000-02-10,14000.0,17.5,17.5,17.38,17.38
2000-02-11,40333.0,17.5,17.75,17.38,17.38
2000-02-14,29500.0,17.5,17.63,17.5,17.5
2000-02-15,39333.0,17.5,17.69,17.5,17.44
2000-02-16,25500.0,17.63,17.75,17.5,17.5
2000-02-17,87833.0,18.38,18.38,17.94,17.88
2000-02-18,26667.0,18.38,18.56,18.5,18.38
2000-02-22,22667.0,18.5,18.63,18.31,18.31
2000-02-23,18000.0,19.38,19.38,18.5,18.5
2000-02-24,28333.0,18.94,19.69,19.5,18.94
2000-02-25,52833.0,18.69,18.81,18.81,18.56
2000-02-28,54333.0,18.56,18.81,18.63,18.56
2000-02-29,56167.0,18.5,18.63,18.56,18.5
2000-03-01,16167.0,18.38,18.69,18.5,18.38
2000-03-02,74000.0,18.5,18.5,18.25,18.25
2000-03-03,32667.0,18.56,18.88,18.63,18.56
2000-03-06,13500.0,18.31,18.44,18.44,18.19
2000-03-07,93833.0,18.0,18.25,18.13,17.06
2000-03-08,17000.0,17.81,18.0,18.0,17.69
2000-03-09,41000.0,17.56,17.88,17.88,17.5
2000-03-10,25833.0,17.25,17.44,17.44,17.13
2000-03-13,39667.0,17.25,17.44,17.38,17.25
2000-03-14,32333.0,17.13,17.13,17.13,17.13
2000-03-15,24167.0,17.88,17.88,17.19,17.19
2000-03-16,74000.0,18.63,18.63,18.0,18.0
2000-03-17,28000.0,18.69,18.88,18.75,18.69
2000-03-20,24833.0,18.44,18.75,18.69,18.38
2000-03-21,40333.0,18.5,18.69,18.5,18.5
2000-03-22,10667.0,18.5,18.88,18.75,18.5
2000-03-23,125500.0,18.69,18.75,18.75,18.38
2000-03-24,24500.0,18.94,18.94,18.88,18.38
2000-03-27,10500.0,19.13,19.25,19.13,19.06
2000-03-28,12167.0,19.38,19.38,19.13,19.13
2000-03-29,10333.0,18.69,19.38,19.38,18.69
2000-03-30,49167.0,18.69,18.69,18.69,18.0
2000-03-31,8500.0,18.75,18.75,18.69,18.63
2000-04-03,21000.0,19.0,19.0,18.75,18.75
2000-04-04,5833.0,18.81,19.0,19.0,18.75
2000-04-05,11333.0,18.75,18.75,18.69,18.5
2000-04-06,23167.0,18.19,18.63,18.63,18.19
2000-04-07,1000.0,18.5,18.63,18.31,18.31
2000-04-10,12667.0,18.63,18.81,18.5,18.5
2000-04-11,20333.0,18.63,18.75,18.5,18.5
2000-04-12,5500.0,18.5,18.69,18.5,18.5
2000-04-13,5500.0,18.63,18.75,18.56,18.56
2000-04-14,32500.0,18.44,18.69,18.56,18.38
2000-04-17,6500.0,18.0,18.38,18.38,18.0
2000-04-18,18000.0,18.25,18.25,18.19,18.0
2000-04-19,5667.0,17.94,18.0,18.0,17.94
2000-04-20,12667.0,17.88,17.94,17.94,17.88
2000-04-24,12000.0,17.44,17.88,17.88,17.44
2000-04-25,10833.0,17.69,17.75,17.69,17.56
2000-04-26,44000.0,18.06,18.06,17.69,17.56
2000-04-27,17500.0,18.5,18.69,18.31,18.13
2000-04-28,60000.0,19.13,19.31,18.75,18.75
2000-05-01,10500.0,19.56,19.63,19.25,19.13
2000-05-02,28167.0,19.56,19.63,19.44,19.44
2000-05-03,7833.0,19.56,19.63,19.56,19.56
2000-05-04,1333.0,19.56,19.56,19.56,19.56
2000-05-05,4167.0,19.69,19.69,19.69,19.69
2000-05-08,3667.0,19.69,19.69,19.69,19.69
2000-05-09,8333.0,19.63,19.69,19.69,19.63
2000-05-10,29000.0,20.0,20.06,19.63,19.63
2000-05-11,6000.0,19.75,20.0,20.0,19.75
2000-05-12,42667.0,20.25,20.44,19.94,19.88
2000-05-15,16000.0,20.38,20.38,20.38,20.13
2000-05-16,44833.0,21.81,21.94,20.56,20.56
2000-05-17,27167.0,21.88,22.19,21.69,21.56
2000-05-18,12000.0,21.75,22.0,21.63,21.19
2000-05-19,25333.0,21.75,22.19,22.0,21.63
2000-05-22,27000.0,20.88,21.75,21.75,20.63
2000-05-23,6167.0,20.31,20.88,20.88,20.06
2000-05-24,11667.0,19.63,20.56,20.44,19.44
2000-05-25,19667.0,18.94,19.5,19.5,18.81
2000-05-26,10667.0,19.19,19.25,18.88,18.88
2000-05-30,8000.0,19.13,19.25,19.25,18.94
2000-05-31,9333.0,19.13,19.13,19.13,19.13
2000-06-01,9333.0,18.88,18.88,18.56,18.44
2000-06-02,18667.0,19.63,19.88,19.19,19.19
2000-06-05,6000.0,19.06,19.63,19.63,19.0
2000-06-06,11667.0,19.0,19.31,19.0,18.75
2000-06-07,10000.0,18.69,19.0,18.88,18.69
2000-06-08,7333.0,18.75,18.88,18.63,18.63
2000-06-09,14167.0,18.88,18.94,18.75,18.75
2000-06-12,26667.0,18.56,18.69,18.69,18.31
2000-06-13,10167.0,18.88,18.94,18.69,18.56
2000-06-14,22667.0,19.0,19.25,19.13,19.0
2000-06-15,8500.0,19.0,19.06,19.0,18.81
2000-06-16,6667.0,18.75,19.0,19.0,18.56
2000-06-19,10000.0,18.38,18.63,18.56,18.38
2000-06-20,4667.0,17.81,18.31,18.25,17.81
2000-06-21,13667.0,18.25,18.38,17.81,17.81
2000-06-22,4333.0,18.44,18.44,18.25,18.25
2000-06-23,2833.0,18.38,18.44,18.44,18.25
2000-06-26,7500.0,18.0,18.38,18.38,18.0
2000-06-27,8667.0,18.06,18.13,18.13,18.0
2000-06-28,5833.0,18.5,18.5,18.0,18.0
2000-06-29,15667.0,18.5,18.81,18.5,18.06
2000-06-30,2500.0,18.25,18.5,18.5,18.25
2000-07-03,1000.0,18.25,18.31,18.31,18.25
2000-07-05,13500.0,18.5,18.5,18.38,18.25
2000-07-06,2167.0,18.63,18.63,18.5,18.44
2000-07-07,6167.0,18.63,18.63,18.63,18.5
2000-07-10,1500.0,18.63,18.63,18.63,18.63
2000-07-11,20333.0,18.31,18.56,18.44,18.31
2000-07-12,73000.0,18.38,18.5,18.38,18.38
2000-07-13,6833.0,18.5,18.56,18.44,18.44
2000-07-14,1500.0,18.69,18.69,18.5,18.5
2000-07-17,6667.0,18.94,19.06,18.63,18.63
2000-07-18,37167.0,19.13,19.44,18.94,18.94
2000-07-19,3833.0,19.06,19.38,19.13,19.06
