date,5. volume,4. close,2. high,1. open,3. low
2015-06-19,14165758.0,20.49,21.15,20.75,20.21
2015-06-22,1047207.0,20.68,20.84,20.64,20.55
2015-06-23,1257932.0,20.5,20.88,20.84,20.41
2015-06-24,1048709.0,20.31,20.72,20.42,20.295
2015-06-25,1990004.0,20.0,20.7,20.7,19.99
2015-06-26,1210567.0,19.69,20.38,20.38,19.65
2015-06-29,613929.0,19.18,20.39,19.55,19.05
2015-06-30,1219545.0,18.62,19.51,19.06,18.33
2015-07-01,725767.0,18.19,18.94,18.65,18.08
2015-07-02,235725.0,18.05,18.49,18.49,17.98
2015-07-06,313968.0,18.03,18.2854,18.0,18.0
2015-07-07,433350.0,18.16,18.25,18.07,17.94
2015-07-08,498761.0,17.88,18.86,18.16,17.87
2015-07-09,814087.0,17.9,19.0,19.0,17.75
2015-07-10,267280.0,18.04,18.48,17.99,17.88
2015-07-13,306215.0,18.07,18.185,18.1,17.92
2015-07-14,888879.0,17.75,18.25,18.1,17.75
2015-07-15,279743.0,17.38,17.82,17.6,17.3
2015-07-16,295285.0,17.29,17.7199,17.43,17.25
2015-07-17,522781.0,17.4,17.6,17.5,17.25
2015-07-20,316359.0,17.47,17.89,17.5,17.46
2015-07-21,317226.0,17.16,17.7,17.63,17.14
2015-07-22,430482.0,16.81,17.45,17.1,16.75
2015-07-23,256585.0,16.82,17.0,16.9,16.6
2015-07-24,480361.0,16.37,16.9,16.9,16.26
2015-07-27,627710.0,16.91,17.03,16.38,16.14
2015-07-28,497871.0,17.02,17.3,17.16,16.43
2015-07-29,132177.0,16.98,17.19,17.0,16.87
2015-07-30,789106.0,16.11,17.175,16.92,15.91
2015-07-31,327162.0,15.92,16.93,15.91,15.83
2015-08-03,240900.0,15.51,16.295,15.86,15.36
2015-08-04,349116.0,14.9,15.84,15.72,14.72
2015-08-05,569285.0,16.23,16.455,15.25,15.24
2015-08-06,442624.0,14.53,16.31,16.31,14.52
2015-08-07,978092.0,14.1,15.7599,14.43,13.75
2015-08-10,874541.0,14.74,15.23,14.1,13.7
2015-08-11,422017.0,14.22,14.88,14.49,14.03
2015-08-12,1366210.0,15.6,15.83,14.92,14.25
2015-08-13,894768.0,15.98,17.6,15.66,15.5001
2015-08-14,338127.0,15.77,16.47,15.82,15.58
2015-08-17,109416.0,15.63,16.21,15.79,15.53
2015-08-18,270530.0,15.31,15.8,15.73,15.05
2015-08-19,274074.0,15.67,15.79,15.73,14.81
2015-08-20,441272.0,15.7,15.92,15.6,15.254
2015-08-21,602508.0,15.52,15.81,15.41,14.99
2015-08-24,657524.0,14.53,15.3999,14.75,14.43
2015-08-25,1559443.0,14.18,15.71,14.97,14.09
2015-08-26,703455.0,14.21,14.665,14.34,13.4075
2015-08-27,749860.0,14.23,14.9,14.45,14.16
2015-08-28,437088.0,14.91,15.45,14.31,14.2
2015-08-31,227939.0,14.85,15.198,14.83,14.77
2015-09-01,310727.0,14.72,14.74,14.29,14.2501
2015-09-02,308767.0,14.9,14.925,14.62,14.62
2015-09-03,538811.0,14.99,15.45,14.77,14.77
2015-09-04,394937.0,14.79,15.2,14.84,14.7
2015-09-08,197368.0,14.24,14.95,14.79,14.13
2015-09-09,186345.0,14.1,14.65,14.09,14.02
2015-09-10,302123.0,13.48,14.41,14.28,13.45
2015-09-11,285099.0,13.43,13.81,13.34,12.88
2015-09-14,347759.0,13.38,13.865,13.55,13.33
2015-09-15,266802.0,13.34,13.5799,13.3,13.01
2015-09-16,524188.0,13.45,13.55,13.41,13.22
