date,5. volume,4. close,2. high,1. open,3. low
2015-08-14,34611.0,13.15,13.2,12.93,12.93
2015-08-17,67574.0,13.07,13.25,13.25,12.99
2015-08-18,87090.0,13.07,13.22,13.11,12.93
2015-08-19,145158.0,12.95,13.13,13.0,12.63
2015-08-20,138799.0,12.75,13.03,12.87,12.68
2015-08-21,231592.0,12.53,12.8,12.44,12.4
2015-08-24,243923.0,12.42,13.015,12.12,12.0
2015-08-25,202524.0,11.87,12.77,12.61,11.82
2015-08-26,279785.0,12.1,12.23,12.04,11.89
2015-08-27,277900.0,12.29,12.4,12.15,12.09
2015-08-28,193704.0,12.6,12.68,12.28,12.28
2015-08-31,169343.0,13.16,13.2799,12.64,12.39
2015-09-01,185378.0,12.55,12.99,12.99,12.53
2015-09-02,207796.0,12.32,12.8,12.54,12.25
2015-09-03,155124.0,12.18,12.4101,12.3,12.16
2015-09-04,132919.0,11.81,12.17,12.15,11.81
2015-09-08,142707.0,11.84,12.07,12.07,11.755
2015-09-09,130195.0,11.75,11.98,11.89,11.73
2015-09-10,234015.0,11.84,11.9,11.81,11.63
2015-09-11,97890.0,11.71,11.8,11.7,11.57
2015-09-14,73607.0,11.65,11.79,11.79,11.53
2015-09-15,132834.0,11.62,11.98,11.75,11.55
2015-09-16,138672.0,11.68,11.88,11.68,11.67
2015-09-17,201352.0,11.74,12.0,11.69,11.69
2015-09-18,319306.0,11.43,11.61,11.6,11.1
2015-09-21,165831.0,11.2,11.59,11.45,11.15
2015-09-22,152028.0,10.7,11.2,11.1,10.56
2015-09-23,94885.0,10.25,10.77,10.77,10.16
2015-09-24,333287.0,10.08,10.34,10.34,9.97
2015-09-25,233904.0,10.13,10.25,10.16,10.01
2015-09-28,180452.0,10.05,10.055,10.05,9.82
2015-09-29,194779.0,10.02,10.09,10.02,9.93
2015-09-30,137781.0,10.08,10.31,10.09,10.0
2015-10-01,157822.0,10.13,10.31,10.15,10.05
2015-10-02,176586.0,10.35,10.37,10.08,9.94
2015-10-05,109995.0,11.14,11.3,10.45,10.45
2015-10-06,78961.0,10.95,11.22,10.98,10.78
2015-10-07,103018.0,11.32,11.4201,10.99,10.99
2015-10-08,112326.0,11.39,11.57,11.27,11.27
2015-10-09,156030.0,11.24,11.55,11.45,11.24
2015-10-12,81752.0,10.96,11.29,11.29,10.92
2015-10-13,83496.0,10.67,11.01,10.89,10.66
2015-10-14,118795.0,10.7,10.73,10.7,10.3644
2015-10-15,153372.0,10.74,10.79,10.71,10.55
2015-10-16,71585.0,10.79,10.82,10.77,10.48
2015-10-19,99927.0,10.18,10.7673,10.67,10.1
2015-10-20,167458.0,10.35,10.43,10.18,10.06
2015-10-21,44773.0,10.11,10.5,10.4,10.1
2015-10-22,168838.0,10.33,10.51,10.17,10.17
2015-10-23,244907.0,10.28,10.48,10.38,10.17
2015-10-26,119348.0,10.15,10.33,10.33,10.06
2015-10-27,232686.0,10.05,10.4,10.08,9.82
2015-10-28,615294.0,11.9,11.99,10.38,10.26
2015-10-29,156359.0,11.77,12.36,11.77,11.61
2015-10-30,184898.0,11.62,11.92,11.85,11.41
2015-11-02,202352.0,12.21,12.24,11.56,11.4
2015-11-03,303627.0,11.21,12.24,12.09,11.15
2015-11-04,430398.0,11.38,11.46,11.26,11.01
2015-11-05,160519.0,11.77,11.81,11.38,11.38
2015-11-06,220844.0,12.11,12.21,11.75,11.73
2015-11-09,143857.0,11.75,12.14,12.11,11.56
2015-11-10,177800.0,12.26,12.3,11.89,11.82
2015-11-11,113607.0,12.11,12.26,12.26,12.03
2015-11-12,114741.0,11.86,12.17,12.03,11.78
2015-11-13,127872.0,11.37,11.94,11.73,11.35
2015-11-16,148866.0,11.26,11.47,11.4,11.0
2015-11-17,119969.0,11.09,11.39,11.33,10.9
2015-11-18,88763.0,10.98,11.395,11.13,10.92
2015-11-19,99210.0,11.02,11.06,10.99,10.84
2015-11-20,115153.0,11.04,11.21,11.08,11.0218
