date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,35172000.0,24.31,26.31,25.69,24.25
2000-01-04,37053000.0,23.25,24.44,23.38,23.12
2000-01-05,26406000.0,22.87,23.25,23.0,22.25
2000-01-06,20393000.0,23.19,23.62,22.31,22.31
2000-01-07,20871000.0,23.94,24.12,23.0,22.94
2000-01-10,28704000.0,22.0,23.75,23.56,22.0
2000-01-11,29453000.0,21.31,22.19,21.94,21.12
2000-01-12,30967000.0,23.0,23.06,22.69,22.0
2000-01-13,17950000.0,23.0,23.19,23.0,22.5
2000-01-14,36357000.0,23.31,24.25,23.44,23.0
2000-01-18,23611000.0,22.5,23.38,23.25,22.44
2000-01-19,20178000.0,22.63,23.06,22.5,22.44
2000-01-20,26761000.0,22.63,22.63,22.13,21.5
2000-01-21,26503000.0,20.75,21.88,21.75,20.62
2000-01-24,29705000.0,20.13,20.88,20.44,19.87
2000-01-25,21124000.0,20.94,21.19,20.37,20.06
2000-01-26,25618000.0,20.81,21.44,20.88,20.56
2000-01-27,20061000.0,21.0,21.25,20.56,20.56
2000-01-28,22720000.0,19.87,20.88,20.88,19.62
2000-01-31,22773000.0,19.94,20.19,19.87,19.13
2000-02-01,43835000.0,21.75,21.88,19.75,19.75
2000-02-02,57355000.0,22.37,23.5,22.0,21.44
2000-02-03,68311000.0,21.06,23.31,23.25,20.81
2000-02-04,43890000.0,21.31,21.56,20.62,20.56
2000-02-07,21197000.0,21.38,21.69,21.69,21.31
2000-02-08,37501000.0,21.0,21.69,21.44,20.88
2000-02-09,24637000.0,20.0,21.06,21.06,19.94
2000-02-10,67011000.0,18.69,20.0,19.94,18.31
2000-02-11,69637000.0,18.06,18.56,18.31,17.75
2000-02-14,50288000.0,17.94,18.0,18.0,17.19
2000-02-15,33721000.0,18.0,18.31,17.94,17.88
2000-02-16,31083000.0,17.25,18.25,18.12,17.25
2000-02-17,38408000.0,18.5,18.62,17.63,17.63
2000-02-18,41354000.0,17.19,18.5,18.5,17.06
2000-02-22,32620000.0,17.5,17.5,17.25,16.5
2000-02-23,17205000.0,16.94,17.5,17.44,16.88
2000-02-24,27852000.0,17.12,17.31,16.69,16.44
2000-02-25,17266000.0,17.0,17.56,17.56,16.94
2000-02-28,28258000.0,16.75,17.19,17.0,16.44
2000-02-29,25301000.0,17.81,18.06,17.19,16.81
2000-03-01,25255000.0,17.37,17.81,17.81,17.19
2000-03-02,20165000.0,17.12,17.44,17.37,16.81
2000-03-03,24543000.0,17.56,17.69,17.25,17.06
2000-03-06,18604000.0,17.25,18.0,18.0,17.06
2000-03-07,31149000.0,16.19,17.31,17.25,16.06
2000-03-08,25134000.0,16.38,16.81,16.44,16.31
2000-03-09,57413000.0,17.5,18.0,16.38,15.62
2000-03-10,93036000.0,18.12,19.38,18.31,17.88
2000-03-13,39290000.0,17.56,17.94,17.69,17.25
2000-03-14,35535000.0,17.63,18.31,18.0,17.31
2000-03-15,22990000.0,17.19,17.69,17.56,17.19
2000-03-16,53241000.0,17.25,17.44,17.25,16.81
2000-03-17,42486000.0,16.94,17.81,17.06,16.88
2000-03-20,24769000.0,17.31,17.37,17.0,16.88
2000-03-21,32602000.0,18.0,18.0,17.5,17.37
2000-03-22,26448000.0,17.63,18.19,17.94,17.06
2000-03-23,13333000.0,17.63,17.69,17.5,17.31
2000-03-24,23873000.0,17.69,18.06,17.5,17.44
