date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,1900.0,12.0,12.5,12.5,12.0
2000-01-04,7300.0,11.5,11.88,11.88,11.5
2000-01-05,900.0,11.31,11.31,11.31,11.31
2000-01-06,1100.0,11.75,12.0,11.75,11.5
2000-01-07,9100.0,11.25,11.5,11.5,11.25
2000-01-10,1200.0,11.38,11.5,11.5,11.38
2000-01-11,10800.0,11.25,11.25,11.13,11.0
2000-01-12,7700.0,11.13,11.25,11.13,11.0
2000-01-13,1100.0,11.13,11.13,11.13,11.13
2000-01-14,11300.0,11.25,11.5,11.13,11.13
2000-01-18,15300.0,11.38,11.5,11.38,11.13
2000-01-19,0.0,11.38,11.38,11.38,11.38
2000-01-20,1400.0,11.38,11.38,11.25,11.25
2000-01-21,52200.0,11.38,11.5,11.39,11.38
2000-01-24,5100.0,11.44,11.5,11.5,11.44
2000-01-25,15300.0,11.63,12.5,11.75,11.56
2000-01-26,1100.0,11.38,11.5,11.5,11.38
2000-01-27,39400.0,11.5,11.88,11.38,11.38
2000-01-28,1700.0,11.38,11.38,11.38,11.38
2000-01-31,0.0,11.38,11.38,11.38,11.38
2000-02-01,5000.0,11.63,11.63,11.5,11.5
2000-02-02,500.0,11.38,11.88,11.38,11.38
2000-02-03,13400.0,11.38,11.63,11.38,11.38
2000-02-04,9600.0,11.38,11.5,11.5,11.31
2000-02-07,3500.0,11.41,11.41,11.41,11.41
2000-02-08,3500.0,11.31,11.31,11.31,11.31
2000-02-09,10900.0,11.25,11.41,11.41,11.25
2000-02-10,47500.0,11.38,11.5,11.25,11.25
2000-02-11,0.0,11.38,11.38,11.38,11.38
2000-02-14,15200.0,11.0,11.38,11.25,11.0
2000-02-15,700.0,11.31,11.38,11.31,11.31
2000-02-16,1100.0,11.31,11.31,11.13,11.13
2000-02-17,0.0,11.31,11.31,11.31,11.31
2000-02-18,1500.0,11.13,11.5,11.5,11.13
2000-02-22,700.0,11.13,11.13,11.13,11.13
2000-02-23,33100.0,11.19,11.38,11.31,11.13
2000-02-24,8900.0,11.25,11.25,11.25,11.25
2000-02-25,4900.0,11.19,11.19,11.19,11.13
2000-02-28,700.0,11.13,11.25,11.25,11.13
2000-02-29,0.0,11.12,11.12,11.12,11.12
2000-03-01,5900.0,11.38,11.38,11.19,11.19
2000-03-02,23200.0,11.19,11.31,11.19,11.19
2000-03-03,400.0,11.5,11.5,11.5,11.5
2000-03-06,2200.0,11.19,11.5,11.5,11.19
2000-03-07,1900.0,11.38,11.38,11.19,11.19
2000-03-08,5000.0,11.13,11.25,11.19,11.13
2000-03-09,6400.0,11.13,11.5,11.5,11.13
2000-03-10,24600.0,11.0,11.5,11.13,10.75
2000-03-13,2700.0,10.38,10.5,10.5,9.5
2000-03-14,800.0,10.25,10.25,10.13,9.875
2000-03-15,6800.0,11.25,11.25,10.13,10.13
2000-03-16,1000.0,10.06,10.06,10.06,10.06
