date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,130700.0,19.94,20.69,20.62,19.56
2000-01-04,156100.0,19.38,19.81,19.81,19.19
2000-01-05,217600.0,20.13,20.13,19.13,19.06
2000-01-06,396000.0,20.38,20.38,19.94,19.81
2000-01-07,196100.0,20.25,20.5,20.5,20.06
2000-01-10,150200.0,20.81,21.25,20.25,20.06
2000-01-11,93800.0,20.56,20.94,20.94,20.5
2000-01-12,141500.0,20.63,20.94,20.63,20.56
2000-01-13,163400.0,21.13,21.19,20.69,20.56
2000-01-14,548300.0,23.0,23.81,21.38,21.31
2000-01-18,529600.0,24.06,24.13,23.06,23.0
2000-01-19,1184000.0,24.44,24.5,24.5,23.97
2000-01-20,497100.0,24.13,24.38,24.25,24.0
2000-01-21,300100.0,23.69,24.44,24.25,23.69
2000-01-24,409500.0,24.19,24.5,24.38,24.06
2000-01-25,407700.0,24.19,24.44,24.19,23.94
2000-01-26,498600.0,24.0,24.13,23.88,23.81
2000-01-27,655600.0,24.0,24.13,23.94,23.44
2000-01-28,344700.0,23.94,24.13,24.13,23.56
2000-01-31,238900.0,24.0,24.13,23.88,23.75
2000-02-01,169600.0,23.75,24.06,23.94,23.63
2000-02-02,183000.0,23.94,24.0,23.88,23.88
2000-02-03,84400.0,23.69,24.0,24.0,23.63
2000-02-04,146500.0,23.75,23.81,23.75,23.69
2000-02-07,154900.0,23.56,23.88,23.88,23.38
2000-02-08,167300.0,23.75,23.88,23.56,23.56
2000-02-09,627600.0,23.13,23.94,23.81,23.13
2000-02-10,202800.0,22.81,23.13,23.13,22.56
2000-02-11,103300.0,22.81,23.19,23.0,22.75
2000-02-14,115300.0,23.06,23.19,22.94,22.81
2000-02-15,130100.0,23.38,23.38,23.06,22.94
2000-02-16,100600.0,22.81,23.31,23.25,22.75
2000-02-17,120700.0,22.81,23.06,22.81,22.75
2000-02-18,76100.0,22.06,22.81,22.81,21.75
2000-02-22,156000.0,22.88,23.0,22.19,22.19
2000-02-23,151200.0,22.88,23.06,22.94,22.81
2000-02-24,232500.0,22.75,22.94,22.94,22.38
2000-02-25,165500.0,22.75,23.31,23.19,22.69
2000-02-28,105500.0,22.19,22.88,22.88,22.13
2000-02-29,112300.0,22.13,22.88,22.31,22.06
2000-03-01,122500.0,21.25,22.19,22.06,21.25
2000-03-02,135100.0,21.0,21.44,21.44,20.94
2000-03-03,402000.0,22.94,22.94,21.13,21.13
2000-03-06,259900.0,23.0,23.81,23.0,22.88
2000-03-07,637900.0,25.06,25.63,23.0,23.0
2000-03-08,363300.0,26.0,26.0,25.25,25.0
2000-03-09,442700.0,27.13,27.19,26.0,26.0
2000-03-10,465400.0,27.06,27.19,26.5,26.44
2000-03-13,318600.0,27.13,27.13,26.63,26.06
2000-03-14,265100.0,26.94,27.0,27.0,26.5
2000-03-15,248800.0,26.38,26.81,26.5,26.13
2000-03-16,324200.0,27.88,28.25,26.38,26.25
2000-03-17,389000.0,28.75,28.75,27.88,26.94
2000-03-20,289100.0,27.25,28.31,28.25,26.75
2000-03-21,185200.0,28.69,28.75,27.25,27.25
2000-03-22,314600.0,28.63,29.0,28.56,27.69
2000-03-23,185700.0,27.81,28.44,28.25,27.75
2000-03-24,180800.0,27.75,28.13,27.94,27.31
2000-03-27,298900.0,26.69,28.5,28.5,26.5
2000-03-28,230300.0,28.88,28.88,26.81,26.75
2000-03-29,341400.0,29.06,29.5,28.25,28.13
2000-03-30,310200.0,28.75,29.5,28.81,28.75
2000-03-31,628200.0,30.5,30.5,28.75,28.5
2000-04-03,333800.0,29.5,30.88,29.75,29.13
2000-04-04,482300.0,28.0,29.94,29.31,27.19
2000-04-05,162300.0,28.25,28.94,28.25,28.0
2000-04-06,190500.0,28.0,28.63,28.25,27.75
2000-04-07,171500.0,29.0,29.0,27.94,27.25
2000-04-10,141300.0,27.31,28.75,28.75,27.31
2000-04-11,164100.0,27.69,28.25,27.75,27.44
2000-04-12,140000.0,27.75,27.94,27.69,27.25
2000-04-13,114800.0,27.19,27.88,27.88,27.0
2000-04-14,153600.0,25.56,27.19,27.19,25.5
2000-04-17,118300.0,26.25,26.38,25.75,25.69
2000-04-18,242000.0,26.19,26.38,26.25,25.56
2000-04-19,191100.0,25.38,26.38,26.31,25.25
2000-04-20,115500.0,25.75,25.94,25.56,25.56
2000-04-24,57300.0,25.31,25.69,25.63,25.19
2000-04-25,92800.0,25.06,25.38,25.38,24.75
2000-04-26,271200.0,25.81,26.75,26.25,25.81
2000-04-27,137400.0,26.25,26.63,25.63,25.63
2000-04-28,195900.0,27.0,27.13,26.25,26.25
2000-05-01,113800.0,27.5,27.75,27.75,27.38
2000-05-02,129900.0,27.06,27.31,27.31,26.88
2000-05-03,150800.0,26.38,27.0,26.88,26.31
2000-05-04,371200.0,27.88,28.38,26.38,26.38
2000-05-05,94700.0,27.5,27.69,27.63,27.31
2000-05-08,129000.0,27.63,27.75,27.13,26.88
2000-05-09,217500.0,28.25,28.31,27.88,27.56
2000-05-10,114500.0,27.0,28.13,27.94,27.0
2000-05-11,323700.0,27.13,27.63,27.0,27.0
2000-05-12,150000.0,26.81,27.13,27.13,26.75
2000-05-15,103800.0,26.94,27.19,26.94,26.94
2000-05-16,158300.0,27.06,27.31,26.94,26.88
2000-05-17,63900.0,26.94,27.5,27.19,26.75
2000-05-18,83900.0,26.5,27.19,27.0,26.38
2000-05-19,80000.0,26.63,26.94,26.25,26.13
2000-05-22,167900.0,26.69,27.25,26.81,26.63
2000-05-23,156900.0,26.75,27.38,26.69,26.63
2000-05-24,258000.0,27.31,27.63,26.81,26.81
2000-05-25,561700.0,27.0,27.94,27.69,26.69
2000-05-26,802600.0,26.88,27.38,27.0,26.88
2000-05-30,223700.0,27.0,27.19,27.0,26.94
2000-05-31,198600.0,26.69,26.94,26.88,26.63
2000-06-01,116700.0,26.56,26.56,26.25,26.06
2000-06-02,161900.0,27.44,27.63,27.06,26.94
2000-06-05,161500.0,27.47,27.88,27.44,27.44
2000-06-06,120600.0,27.19,27.88,27.63,27.06
2000-06-07,263600.0,28.38,28.44,27.44,27.25
2000-06-08,302700.0,28.13,29.25,29.25,27.81
2000-06-09,202700.0,28.63,28.88,28.5,27.75
2000-06-12,245600.0,29.25,29.81,28.75,28.75
2000-06-13,131900.0,28.78,29.63,29.19,28.78
2000-06-14,216400.0,29.72,30.44,28.81,28.69
2000-06-15,156900.0,30.0,30.31,29.75,29.44
2000-06-16,174300.0,30.09,30.25,30.0,29.88
2000-06-19,161900.0,29.5,29.81,29.75,28.66
2000-06-20,90200.0,29.06,29.63,29.63,28.75
2000-06-21,96300.0,28.94,29.25,29.0,28.88
2000-06-22,94300.0,28.19,29.5,29.0,28.06
