date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,349500.0,67.69,70.37,70.0,67.25
2000-01-04,254600.0,62.25,67.0,66.75,61.25
2000-01-05,580800.0,63.22,63.88,61.13,61.0
2000-01-06,239700.0,61.5,63.5,62.94,61.5
2000-01-07,282000.0,61.0,61.75,61.5,58.75
2000-01-10,479200.0,61.13,64.0,60.5,57.5
2000-01-11,172500.0,58.38,61.61,61.25,58.25
2000-01-12,249300.0,56.75,58.69,58.38,55.0
2000-01-13,157700.0,59.63,61.75,57.13,56.88
2000-01-14,227500.0,63.63,64.88,59.38,59.38
2000-01-18,116600.0,63.69,64.38,62.88,60.38
2000-01-19,165200.0,63.0,64.5,60.69,59.31
2000-01-20,289100.0,67.25,67.75,63.0,62.25
2000-01-21,457000.0,64.88,68.5,68.19,63.5
2000-01-24,618500.0,68.25,70.5,66.0,66.0
2000-01-25,395200.0,67.25,70.48,67.94,64.88
2000-01-26,768400.0,80.5,81.5,68.75,68.13
2000-01-27,300300.0,75.5,80.0,79.63,71.75
2000-01-28,254200.0,73.25,76.13,66.25,65.5
2000-01-31,249000.0,69.75,74.31,72.0,68.75
2000-02-01,221600.0,71.63,72.63,71.0,68.0
2000-02-02,254000.0,75.0,75.0,71.0,71.0
2000-02-03,180600.0,77.38,78.0,75.31,75.0
2000-02-04,673800.0,91.13,91.13,77.25,77.25
2000-02-07,714800.0,95.69,100.3,85.94,85.75
2000-02-08,730800.0,99.75,104.4,97.5,96.13
2000-02-09,644800.0,107.5,110.0,97.88,96.5
2000-02-10,363700.0,103.0,112.0,106.5,103.0
2000-02-11,2523000.0,118.4,120.5,108.0,107.5
2000-02-14,792400.0,115.9,118.3,118.0,115.8
2000-02-15,746600.0,113.8,116.3,115.9,113.3
2000-02-16,1074900.0,134.0,142.0,113.9,113.8
2000-02-17,680400.0,143.0,147.5,139.5,136.5
2000-02-18,483400.0,137.0,148.6,144.9,134.6
2000-02-22,567700.0,135.0,139.0,136.1,121.0
2000-02-23,406300.0,140.8,143.5,135.9,135.5
2000-02-24,514000.0,139.9,146.0,139.9,135.5
2000-02-25,799500.0,142.2,152.8,139.5,139.5
2000-02-28,440500.0,159.0,160.0,143.8,143.8
2000-02-29,435800.0,165.5,170.8,161.0,155.0
2000-03-01,185500.0,165.8,170.5,165.5,164.0
2000-03-02,231700.0,170.0,176.0,170.8,166.5
2000-03-03,212500.0,180.0,180.3,174.0,174.0
2000-03-06,285000.0,184.1,187.0,174.5,173.0
2000-03-07,174900.0,177.6,185.8,184.3,177.4
2000-03-08,456900.0,170.5,178.1,178.0,162.5
2000-03-09,263500.0,176.1,177.3,169.5,165.5
2000-03-10,226800.0,168.5,178.8,175.5,167.0
2000-03-13,457700.0,163.0,170.0,166.9,159.8
2000-03-14,1670000.0,131.8,173.3,173.0,109.5
2000-03-15,595200.0,124.4,140.0,130.0,120.5
2000-03-16,630600.0,120.5,133.0,132.0,113.3
2000-03-17,489300.0,127.9,131.4,120.3,120.0
2000-03-20,357600.0,110.6,134.0,134.0,110.5
2000-03-21,1810600.0,117.8,118.0,101.6,86.94
2000-03-22,396900.0,131.0,136.4,120.0,118.0
2000-03-23,202100.0,125.0,135.8,135.8,120.8
2000-03-24,170000.0,123.13,130.8,130.0,119.5
2000-03-27,197600.0,127.1,128.8,125.1,125.1
2000-03-28,331000.0,104.3,127.8,126.5,104.3
2000-03-29,823200.0,95.13,110.0,109.0,94.75
2000-03-30,689100.0,87.19,101.5,92.5,83.25
2000-03-31,669100.0,99.56,105.5,91.0,91.0
2000-04-03,724800.0,95.0,108.6,108.6,94.25
2000-04-04,1023500.0,77.88,100.0,100.0,69.5
2000-04-05,756800.0,85.94,90.25,76.0,75.31
2000-04-06,576300.0,99.19,100.0,91.44,88.25
2000-04-07,361700.0,103.0,108.9,107.1,98.0
2000-04-10,485000.0,99.25,109.9,103.5,98.75
2000-04-11,712000.0,101.1,108.0,104.1,96.0
2000-04-12,518300.0,99.75,104.0,100.0,90.0
2000-04-13,465300.0,106.1,107.0,99.88,96.0
2000-04-14,603300.0,90.13,103.8,103.6,85.0
2000-04-17,347033.0,27.88,29.25,28.0,25.0
2000-04-18,1285200.0,33.63,33.88,28.13,28.13
2000-04-19,1877500.0,37.5,42.0,37.25,34.0
2000-04-20,490100.0,36.0,39.75,38.75,35.5
2000-04-24,1247600.0,32.0,35.0,33.75,30.0
2000-04-25,1434500.0,37.5,38.13,33.0,31.0
2000-04-26,2334500.0,41.38,43.0,41.38,40.75
2000-04-27,1564600.0,46.88,47.38,37.75,36.0
