date,5. volume,4. close,2. high,1. open,3. low
2010-10-06,95000.0,4.0,4.0,4.0,4.0
2010-10-07,0.0,4.0,4.0,4.0,4.0
2010-10-08,56500.0,4.0,4.0,4.0,4.0
2010-10-11,95890.0,4.03,4.03,4.0,4.0
2010-10-12,213496.0,4.4,4.4,4.0,4.0
2010-10-13,310897.0,4.95,4.95,4.75,4.75
2010-10-14,139200.0,5.1,5.1,4.95,4.95
2010-10-15,158422.0,5.2,5.4,5.25,5.2
2010-10-18,49928.0,5.55,6.0,5.3,5.3
2010-10-19,276326.0,5.05,6.0,6.0,4.87
2010-10-20,26801.0,4.955,5.29,5.29,4.84
2010-10-21,526577.0,4.85,5.0,4.51,4.51
2010-10-22,67260.0,4.75,4.85,4.85,4.7
2010-10-25,39452.0,4.75,4.85,4.8,4.75
2010-10-26,55693.0,4.73,5.05,4.7,4.7
2010-10-27,33402.0,4.65,4.7,4.63,4.6
2010-10-28,96720.0,4.75,4.78,4.725,4.69
2010-10-29,66322.0,4.85,4.925,4.76,4.62
2010-11-01,55965.0,4.6,4.85,4.85,4.5
2010-11-02,51255.0,4.52,4.8,4.51,4.5
2010-11-03,27725.0,4.49,4.8,4.75,4.45
2010-11-04,49548.0,4.66,4.68,4.6,4.48
2010-11-05,10979.0,4.5,4.6,4.5001,4.5
2010-11-08,68604.0,4.39,4.5,4.5,4.06
2010-11-09,47682.0,4.4,4.5,4.408,4.36
2010-11-10,87570.0,4.31,4.5,4.5,4.042
2010-11-11,187430.0,4.17,4.38,4.25,4.16
2010-11-12,104700.0,4.11,4.22,4.2,4.1
2010-11-15,111110.0,4.13,4.18,4.1,4.1
2010-11-16,46552.0,4.11,4.16,4.16,4.11
2010-11-17,23000.0,4.16,4.28,4.15,4.15
2010-11-18,104075.0,4.2,4.21,4.2,4.11
2010-11-19,11618.0,4.3,4.3,4.11,4.11
2010-11-22,76416.0,4.26,4.3001,4.2,4.18
2010-11-23,26900.0,4.2,4.29,4.29,4.2
2010-11-24,55837.0,4.33,4.33,4.2264,4.2
2010-11-26,11200.0,4.32,4.32,4.3,4.3
2010-11-29,94032.0,4.23,4.45,4.34,4.2
2010-11-30,45500.0,4.64,4.64,4.2201,4.2
2010-12-01,24772.0,4.25,4.57,4.42,4.25
2010-12-02,53777.0,4.27,4.31,4.31,4.2
2010-12-03,5470.0,4.4675,4.475,4.3,4.3
2010-12-06,13015.0,4.3,4.99,4.99,4.3
2010-12-07,32386.0,4.38,4.69,4.36,4.3
2010-12-08,8554.0,4.38,4.4099,4.38,4.38
2010-12-09,18359.0,4.47,4.49,4.38,4.38
2010-12-10,15340.0,4.3,4.62,4.47,4.3
2010-12-13,4297.0,4.4,4.4,4.3,4.3
2010-12-14,11156.0,4.32,4.5,4.5,4.2
2010-12-15,8710.0,4.32,4.38,4.35,4.3199
2010-12-16,1077.0,4.31,4.35,4.269,4.269
2010-12-17,61078.0,4.5,4.6,4.51,4.26
2010-12-20,23800.0,4.58,4.6,4.52,4.4
2010-12-21,106460.0,4.62,4.65,4.42,4.42
2010-12-22,90848.0,4.69,4.74,4.7,4.56
2010-12-23,30388.0,4.85,4.87,4.69,4.65
2010-12-27,41505.0,4.83,4.85,4.85,4.76
2010-12-28,15325.0,4.85,4.8597,4.75,4.75
2010-12-29,104152.0,4.83,4.9,4.81,4.75
2010-12-30,31268.0,4.85,4.9,4.87,4.84
2010-12-31,22283.0,4.9,4.9,4.85,4.81
2011-01-03,40110.0,4.95,4.99,4.9,4.88
2011-01-04,39604.0,4.86,5.0,5.0,4.86
2011-01-05,59346.0,4.86,4.98,4.75,4.712
2011-01-06,92575.0,4.76,4.9,4.9,4.74
2011-01-07,47625.0,4.84,4.85,4.84,4.8
2011-01-10,1919500.0,2.83,4.66,4.66,2.8
2011-01-11,779730.0,2.97,3.069,3.0,2.92
2011-01-12,227357.0,3.02,3.06,3.05,2.96
2011-01-13,168012.0,2.97,3.03,3.01,2.91
2011-01-14,31325.0,2.98,3.04,3.04,2.9
2011-01-18,125237.0,2.74,2.99,2.8,2.71
2011-01-19,187353.0,2.58,2.76,2.73,2.27
2011-01-20,47100.0,2.6,2.65,2.5001,2.5
2011-01-21,13146.0,2.56,2.6,2.53,2.53
2011-01-24,17068.0,2.68,2.86,2.44,2.44
2011-01-25,48281.0,2.67,2.77,2.68,2.65
2011-01-26,44252.0,2.67,2.93,2.93,2.52
2011-01-27,164778.0,2.45,2.68,2.53,2.44
2011-01-28,100374.0,2.41,2.61,2.61,2.39
2011-01-31,29071.0,2.32,2.6,2.01,2.01
2011-02-01,44499.0,2.41,2.48,2.3465,2.1
2011-02-02,23422.0,2.41,2.46,2.215,2.215
2011-02-03,104837.0,2.4,2.46,2.45,2.13
2011-02-04,56980.0,2.38,2.6,2.49,2.38
2011-02-07,5186.0,2.4,2.47,2.3,2.3
2011-02-08,39326.0,2.36,2.4,2.4,2.24
2011-02-09,7775.0,2.38,2.38,2.34,2.29
