date,5. volume,4. close,2. high,1. open,3. low
2015-06-25,16185.0,3.9,4.05,3.95,3.81
2015-06-26,25070.0,3.82,3.9,3.9,3.74
2015-06-29,15880.0,3.787,3.85,3.54,3.54
2015-06-30,62391.0,3.154,3.85,3.38,3.02
2015-07-01,58347.0,3.17,3.3166,3.2176,3.17
2015-07-02,14634.0,3.183,3.2,3.17,3.149
2015-07-06,12006.0,3.176,3.19,3.19,3.12
2015-07-07,7850.0,3.1602,3.18,3.15,3.12
2015-07-08,1509.0,3.144,3.165,3.12,3.11
2015-07-09,8615.0,3.09,3.172,3.172,3.0765
2015-07-10,29119.0,3.1499,3.1599,3.08,3.08
2015-07-13,16136.0,3.1313,3.79,3.79,3.08
2015-07-14,16850.0,3.02,3.15,3.15,3.02
2015-07-15,3045.0,3.05,3.06,3.02,3.02
2015-07-16,83658.0,3.2313,3.5,3.1365,3.03
2015-07-17,23000.0,3.25,3.3899,3.16,3.08
2015-07-20,36086.0,2.9694,3.2252,3.11,2.96
2015-07-21,6400.0,2.92,2.98,2.98,2.92
2015-07-22,79238.0,2.71,2.962,2.92,2.68
2015-07-23,7634.0,2.89,2.96,2.701,2.7
2015-07-24,5727.0,2.832,2.8499,2.8499,2.75
2015-07-27,4906.0,2.91,2.91,2.7272,2.7272
2015-07-28,1298.0,2.799,2.916,2.8801,2.799
2015-07-29,15564.0,2.7599,2.8896,2.7,2.7
2015-07-30,51403.0,2.88,3.2225,3.06,2.86
2015-07-31,19886.0,2.89,2.93,2.8501,2.85
2015-08-03,33044.0,2.75,2.9,2.82,2.7
2015-08-04,18850.0,2.63,2.89,2.7,2.6
2015-08-05,13310.0,2.65,2.85,2.85,2.61
2015-08-06,3170.0,2.81,2.9,2.79,2.79
2015-08-07,1054.0,2.839,2.839,2.839,2.839
2015-08-10,6570.0,2.92,2.92,2.8894,2.83
2015-08-11,5850.0,2.8252,2.85,2.8001,2.8
2015-08-12,26294.0,2.55,2.81,2.81,2.51
2015-08-13,23648.0,2.51,2.67,2.55,2.5001
2015-08-14,184235.0,2.565,2.87,2.44,2.35
2015-08-17,111120.0,2.48,2.72,2.7,2.4
2015-08-18,17290.0,2.5,2.59,2.53,2.44
2015-08-19,10306.0,2.53,2.646,2.55,2.53
2015-08-20,8900.0,2.42,2.54,2.52,2.42
2015-08-21,14130.0,2.47,2.75,2.37,2.37
2015-08-24,12811.0,2.2299,2.7777,2.38,2.17
2015-08-25,16049.0,2.2999,2.39,2.33,2.2599
2015-08-26,10327.0,2.2725,2.29,2.29,2.21
2015-08-27,16395.0,2.35,2.382,2.382,2.2801
2015-08-28,5764.0,2.41,2.49,2.38,2.3
2015-08-31,11077.0,2.27,2.44,2.44,2.2201
2015-09-01,35566.0,2.4499,2.7644,2.75,2.35
2015-09-02,10521.0,2.3999,2.4,2.4,2.261
2015-09-03,30452.0,2.47,2.49,2.4,2.36
2015-09-04,25255.0,2.49,2.5676,2.5676,2.42
2015-09-08,20732.0,2.57,2.59,2.5,2.42
2015-09-09,196191.0,2.87,2.87,2.57,2.56
2015-09-10,399022.0,3.36,3.67,2.95,2.795
2015-09-11,149045.0,3.71,3.77,3.39,3.3
2015-09-14,264585.0,4.35,5.19,4.0,3.9
2015-09-15,633651.0,3.9,4.35,4.35,3.06
2015-09-16,90921.0,3.9,4.05,3.95,3.66
2015-09-17,182469.0,3.87,3.9,3.76,3.33
2015-09-18,90421.0,3.15,3.84,3.63,3.15
2015-09-21,79064.0,3.49,3.6799,3.64,3.352
2015-09-22,3209638.0,4.33,4.94,3.25,3.11
2015-09-23,655503.0,3.61,3.95,3.82,3.44
2015-09-24,63588.0,3.46,3.6975,3.51,3.35
2015-09-25,101933.0,3.54,3.65,3.5,3.36
2015-09-28,117262.0,3.57,3.95,3.54,3.44
2015-09-29,45644.0,3.53,3.79,3.6,3.4201
2015-09-30,137806.0,3.43,3.64,3.615,3.335
2015-10-01,31006.0,3.32,3.5,3.4116,3.3101
2015-10-02,38292.0,3.31,3.36,3.27,3.2225
2015-10-05,216018.0,2.87,3.28,3.27,2.81
2015-10-06,56794.0,2.68,2.9,2.87,2.6799
2015-10-07,64444.0,2.8,2.97,2.69,2.69
2015-10-08,53214.0,2.83,2.94,2.77,2.77
2015-10-09,57600.0,2.75,2.9,2.8399,2.7189
2015-10-12,49154.0,2.64,2.79,2.69,2.629
2015-10-13,62844.0,2.5795,2.8,2.64,2.535
2015-10-14,241389.0,2.73,2.84,2.62,2.56
2015-10-15,111903.0,2.7905,2.839,2.79,2.7
2015-10-16,68897.0,2.71,2.85,2.79,2.7
2015-10-19,14636.0,2.7,2.85,2.85,2.7
2015-10-20,80927.0,2.68,3.1,3.1,2.68
2015-10-21,26896.0,2.71,2.7794,2.65,2.65
2015-10-22,35902.0,2.66,2.74,2.74,2.655
2015-10-23,22824.0,2.7,2.76,2.76,2.662
2015-10-26,29023.0,2.65,2.67,2.58,2.569
2015-10-27,40221.0,2.55,2.63,2.51,2.5
2015-10-28,85142.0,2.61,2.76,2.74,2.6
2015-10-29,74615.0,2.69,2.84,2.62,2.6
2015-10-30,38521.0,2.67,2.775,2.65,2.55
2015-11-02,22833.0,2.7,2.7299,2.67,2.66
2015-11-03,19357.0,2.6799,2.712,2.67,2.61
2015-11-04,16552.0,2.67,2.67,2.67,2.61
2015-11-05,26091.0,2.67,2.7499,2.696,2.63
2015-11-06,8487.0,2.63,2.75,2.64,2.6201
2015-11-09,20508.0,2.64,2.71,2.71,2.59
2015-11-10,9575.0,2.63,2.64,2.6044,2.58
2015-11-11,15776.0,2.58,2.649,2.63,2.57
2015-11-12,32029.0,2.65,2.65,2.57,2.53
2015-11-13,73828.0,2.52,2.6,2.58,2.51
2015-11-16,141508.0,2.43,2.55,2.55,2.35
2015-11-17,174051.0,2.44,2.48,2.38,2.38
2015-11-18,130084.0,2.36,2.4475,2.39,2.31
2015-11-19,47229.0,2.42,2.5,2.45,2.33
2015-11-20,62418.0,2.59,2.8,2.45,2.42
2015-11-23,41429.0,2.67,2.7374,2.64,2.64
2015-11-24,23087.0,2.62,2.6699,2.6699,2.5345
2015-11-25,27795.0,2.58,2.63,2.63,2.5544
2015-11-27,16462.0,2.6,2.62,2.62,2.5801
2015-11-30,53023.0,2.67,2.74,2.6,2.5802
2015-12-01,147105.0,2.8,2.89,2.7,2.67
2015-12-02,153572.0,2.97,2.97,2.82,2.7601
2015-12-03,147123.0,2.96,3.14,3.03,2.9
2015-12-04,227595.0,3.34,3.47,3.01,2.9601
2015-12-07,236538.0,3.44,3.74,3.42,3.3401
2015-12-08,82238.0,3.36,3.45,3.39,3.3101
2015-12-09,60205.0,3.235,3.33,3.26,3.2
2015-12-10,62208.0,3.07,3.33,3.26,3.06
2015-12-11,38371.0,3.09,3.254,3.25,3.07
2015-12-14,70815.0,3.0,3.325,3.09,2.93
2015-12-15,90233.0,3.0,3.063,3.018,2.9
2015-12-16,45181.0,3.01,3.1425,3.1,3.0
2015-12-17,112572.0,3.2,3.29,3.0,3.0
2015-12-18,186932.0,2.99,3.24,3.24,2.9
2015-12-21,118634.0,2.84,3.09,3.01,2.75
2015-12-22,64455.0,2.62,2.8272,2.81,2.6
2015-12-23,30479.0,2.72,2.8175,2.68,2.68
2015-12-24,10343.0,2.72,2.859,2.7,2.62
2015-12-28,76192.0,2.61,2.7828,2.75,2.61
2015-12-29,153206.0,2.4143,2.6899,2.6899,2.33
2015-12-30,27276.0,2.41,2.5,2.39,2.39
2015-12-31,83998.0,2.36,2.48,2.45,2.34
2016-01-04,148091.0,2.5,2.77,2.6,2.454
2016-01-05,65195.0,2.6,2.66,2.5,2.5
2016-01-06,29520.0,2.54,2.5999,2.55,2.5001
2016-01-07,53824.0,2.48,2.6888,2.5,2.39
2016-01-08,25230.0,2.5,2.685,2.685,2.49
2016-01-11,51854.0,2.85,2.85,2.5,2.4937
2016-01-12,60788.0,2.7,2.88,2.88,2.62
2016-01-13,105749.0,2.4,2.64,2.64,2.3
2016-01-14,36565.0,2.45,2.45,2.34,2.33
2016-01-15,81158.0,2.24,2.4,2.3701,2.24
2016-01-19,94386.0,2.15,2.2703,2.25,2.06
2016-01-20,39511.0,2.14,2.21,2.21,2.07
2016-01-21,11139.0,2.3289,2.7139,2.7139,2.21
2016-01-22,15996.0,2.31,2.4,2.397,2.27
2016-01-25,23700.0,2.25,2.33,2.2799,2.25
2016-01-26,325245.0,2.28,2.65,2.6,2.13
2016-01-27,48137.0,2.18,2.3,2.3,2.11
2016-01-28,30667.0,2.09,2.19,2.18,2.02
2016-01-29,79881.0,2.07,2.08,2.07,2.0
2016-02-01,7563.0,2.14,2.18,2.0612,2.0612
2016-02-02,28390.0,2.16,2.241,2.18,2.06
2016-02-03,56529.0,2.22,2.2569,2.2376,2.08
2016-02-04,24554.0,2.06,2.245,2.245,2.06
2016-02-05,57188.0,2.13,2.1797,2.12,2.0601
2016-02-08,49260.0,2.04,2.13,2.1,2.03
2016-02-09,99495.0,1.96,2.05,2.04,1.88
2016-02-10,126329.0,1.92,2.046,1.99,1.92
2016-02-11,98296.0,1.77,2.0999,2.05,1.67
2016-02-12,213860.0,1.6492,1.8,1.77,1.56
2016-02-16,112727.0,2.07,2.295,1.74,1.62
2016-02-17,152704.0,2.27,2.28,2.2,1.91
2016-02-18,82606.0,2.3,2.32,2.32,1.951
2016-02-19,112158.0,2.33,2.62,2.24,2.1501
2016-02-22,158335.0,2.44,2.6,2.41,2.24
2016-02-23,51273.0,2.23,2.48,2.48,2.16
2016-02-24,78394.0,2.23,2.38,2.134,2.11
