date,5. volume,4. close,2. high,1. open,3. low
2017-02-17,5355.0,1.488,1.73,1.73,1.45
2017-02-21,310886.0,0.95,1.44,1.44,0.85
2017-02-22,692690.0,0.48,0.984,0.984,0.2457
2017-02-23,270508.0,0.7048,0.77,0.54,0.461
2017-02-24,70632.0,0.8,0.85,0.66,0.6
2017-02-27,2970.0,0.6908,0.7183,0.7183,0.6908
2017-02-28,52349.0,0.75,0.7608,0.61,0.6
2017-03-01,71028.0,0.85,0.95,0.74,0.74
2017-03-02,5130.0,0.8,0.9,0.88,0.8
2017-03-03,8032.0,0.85,0.85,0.3,0.3
2017-03-06,29700.0,0.6704,0.8,0.8,0.63
2017-03-07,2600.0,0.66,1.0,0.8206,0.66
2017-03-08,2550.0,0.63,0.7145,0.7145,0.63
2017-03-09,2000.0,0.69,0.69,0.68,0.67
2017-03-10,3800.0,0.5873,0.7076,0.7076,0.5
2017-03-13,2508.0,0.6005,0.6648,0.6015,0.6001
2017-03-14,400.0,0.6669,0.6669,0.6669,0.6669
2017-03-15,12390.0,0.667,0.667,0.667,0.58
2017-03-16,1100.0,0.6091,0.619,0.619,0.6091
2017-03-17,1596.0,0.6491,0.65,0.65,0.6
2017-03-20,16447.0,0.55,0.65,0.65,0.523
2017-03-21,6605.0,0.6433,0.7,0.55,0.55
2017-03-22,3509.0,0.7,0.7,0.6499,0.6481
2017-03-23,3725.0,0.64,0.65,0.6422,0.6
2017-03-24,0.0,0.64,0.64,0.64,0.64
2017-03-27,4985.0,0.67,0.6999,0.6752,0.67
2017-03-28,10714.0,0.7,0.7499,0.7499,0.6001
2017-03-29,4700.0,0.65,0.6735,0.6735,0.63
2017-03-30,16400.0,0.74,0.7499,0.7499,0.7249
2017-03-31,103.0,0.7499,0.7499,0.7499,0.7499
2017-04-03,0.0,0.7499,0.7499,0.7499,0.7499
2017-04-04,100.0,0.7499,0.7499,0.7499,0.7499
2017-04-05,3005.0,0.65,0.65,0.65,0.65
2017-04-06,15.0,0.65,0.65,0.65,0.65
2017-04-07,10000.0,0.65,0.65,0.65,0.65
2017-04-10,5885.0,0.6999,0.75,0.7499,0.6999
2017-04-11,860.0,0.6,0.6,0.6,0.6
2017-04-12,3022.0,0.66,0.7,0.7,0.66
2017-04-13,42.0,0.66,0.66,0.66,0.66
2017-04-17,300.0,0.5978,0.5978,0.5978,0.5744
2017-04-18,500.0,0.6,0.6,0.6,0.6
2017-04-19,12.0,0.6,0.6,0.6,0.6
2017-04-20,0.0,0.6,0.6,0.6,0.6
2017-04-21,0.0,0.6,0.6,0.6,0.6
2017-04-24,1940.0,0.65,0.6999,0.6999,0.65
2017-04-25,2050.0,0.55,0.55,0.55,0.55
2017-04-26,5601.0,0.52,0.5588,0.52,0.52
2017-04-27,2200.0,0.52,0.52,0.5198,0.5198
2017-04-28,0.0,0.52,0.52,0.52,0.52
2017-05-01,0.0,0.52,0.52,0.52,0.52
2017-05-02,0.0,0.52,0.52,0.52,0.52
2017-05-03,0.0,0.52,0.52,0.52,0.52
2017-05-04,0.0,0.52,0.52,0.52,0.52
2017-05-05,448.0,0.5205,0.5205,0.5205,0.5205
2017-05-08,2200.0,0.5474,0.5475,0.5475,0.5465
2017-05-09,586.0,0.605,0.605,0.605,0.605
2017-05-10,7824.0,0.63,0.65,0.6099,0.6099
2017-05-11,127.0,0.63,0.63,0.63,0.63
2017-05-12,31105.0,0.5099,0.5777,0.471,0.471
2017-05-15,8914.0,0.5,0.501,0.501,0.5
2017-05-16,5.0,0.5,0.5,0.5,0.5
2017-05-17,49990.0,0.6566,0.7785,0.6599,0.65
2017-05-18,3691.0,0.556,0.7029,0.69,0.556
2017-05-19,3008.0,0.5001,0.5743,0.3702,0.3602
2017-05-22,420.0,0.5002,0.51,0.51,0.5002
2017-05-23,10.0,0.5002,0.5002,0.5002,0.5002
2017-05-24,9352.0,0.5002,0.55,0.5011,0.5
2017-05-25,2916.0,0.56,0.6,0.6,0.56
2017-05-26,14.0,0.56,0.56,0.56,0.56
2017-05-30,22.0,0.56,0.56,0.56,0.56
2017-05-31,873.0,0.5725,0.5725,0.5723,0.5723
2017-06-01,11.0,0.5725,0.5725,0.5725,0.5725
2017-06-02,29221.0,0.5927,0.6,0.5989,0.5477
2017-06-05,5381.0,0.5971,0.5971,0.5931,0.53
2017-06-06,9.0,0.5971,0.5971,0.5971,0.5971
2017-06-07,4.0,0.5971,0.5971,0.5971,0.5971
2017-06-08,4.0,0.5971,0.5971,0.5971,0.5971
2017-06-09,6016.0,0.6,0.6,0.6,0.5966
2017-06-12,10.0,0.6,0.6,0.6,0.6
2017-06-13,4557.0,0.58,0.58,0.5544,0.55
2017-06-14,1995.0,0.55,0.55,0.55,0.55
2017-06-15,3400.0,0.52,0.55,0.55,0.52
2017-06-16,0.0,0.52,0.52,0.52,0.52
2017-06-19,6.0,0.52,0.52,0.52,0.52
2017-06-20,45677.0,0.51,0.51,0.5093,0.5093
2017-06-21,11.0,0.51,0.51,0.51,0.51
2017-06-22,200.0,0.57,0.57,0.57,0.57
2017-06-23,10.0,0.57,0.57,0.57,0.57
2017-06-26,2099.0,0.75,0.75,0.6,0.6
2017-06-27,259.0,0.7,0.7,0.7,0.7
2017-06-28,2950.0,0.66,0.66,0.66,0.66
2017-06-29,0.0,0.66,0.66,0.66,0.66
2017-06-30,10.0,0.66,0.66,0.66,0.66
2017-07-03,1.0,0.66,0.66,0.66,0.66
2017-07-05,9.0,0.66,0.66,0.66,0.66
2017-07-06,1430.0,0.55,0.55,0.55,0.55
2017-07-07,0.0,0.55,0.55,0.55,0.55
2017-07-10,0.0,0.55,0.55,0.55,0.55
2017-07-11,0.0,0.55,0.55,0.55,0.55
2017-07-12,5.0,0.55,0.55,0.55,0.55
2017-07-13,3523.0,0.41,0.5775,0.5775,0.41
2017-07-14,4151.0,0.56,0.56,0.56,0.56
2017-07-17,3.0,0.56,0.56,0.56,0.56
2017-07-18,11.0,0.56,0.56,0.56,0.56
2017-07-19,0.0,0.56,0.56,0.56,0.56
2017-07-20,2.0,0.56,0.56,0.56,0.56
2017-07-21,401.0,0.5,0.5,0.5,0.5
2017-07-24,4088.0,0.58,0.58,0.55,0.55
