date,5. volume,4. close,2. high,1. open,3. low
2002-06-27,203600.0,15.02,15.02,15.0,15.0
2002-06-28,781800.0,15.03,15.05,15.02,15.0
2002-07-01,73200.0,15.05,15.05,15.0,15.0
2002-07-02,109100.0,15.01,15.05,15.01,15.0
2002-07-03,120800.0,15.05,15.05,15.05,15.0
2002-07-05,11100.0,15.04,15.05,15.01,15.0
2002-07-08,79400.0,15.05,15.05,15.04,15.0
2002-07-09,94300.0,15.05,15.05,15.04,15.0
2002-07-10,107000.0,15.0,15.05,15.01,15.0
2002-07-11,175200.0,15.0,15.04,15.0,15.0
2002-07-12,151900.0,15.0,15.05,15.0,15.0
2002-07-15,305400.0,15.0,15.02,15.0,14.1
2002-07-16,75200.0,15.0,15.02,15.0,15.0
2002-07-17,59100.0,15.04,15.05,15.0,15.0
2002-07-18,53600.0,15.04,15.04,15.0,15.0
2002-07-19,79500.0,15.0,15.05,15.02,15.0
2002-07-22,177000.0,15.03,15.05,15.0,15.0
2002-07-23,214100.0,15.0,15.05,15.05,15.0
2002-07-24,168900.0,15.01,15.01,15.0,15.0
2002-07-25,59700.0,15.01,15.01,15.0,15.0
2002-07-26,100700.0,15.0,15.01,15.01,15.0
2002-07-29,162100.0,15.01,15.03,15.0,15.0
2002-07-30,78000.0,15.0,15.05,15.0,15.0
2002-07-31,90400.0,15.0,15.03,15.0,15.0
2002-08-01,58900.0,15.01,15.01,15.0,15.0
2002-08-02,61400.0,15.0,15.03,15.0,15.0
2002-08-05,160900.0,14.75,15.01,15.0,14.65
2002-08-06,88800.0,14.71,14.8,14.8,14.7
2002-08-07,59800.0,14.6,14.71,14.71,14.6
2002-08-08,46700.0,14.61,14.7,14.6,14.6
2002-08-09,55200.0,14.7,14.85,14.7,14.64
2002-08-12,71000.0,14.95,14.95,14.6,14.6
2002-08-13,57100.0,14.95,14.95,14.75,14.7
2002-08-14,112400.0,15.0,15.01,15.0,14.86
2002-08-15,77500.0,14.82,15.0,15.0,14.81
2002-08-16,65000.0,14.92,15.05,14.9,14.82
2002-08-19,58200.0,14.95,15.0,15.0,14.86
2002-08-20,99900.0,14.93,15.0,15.0,14.88
2002-08-21,96400.0,14.9,15.0,14.95,14.9
2002-08-22,134700.0,14.81,15.0,14.85,14.66
2002-08-23,44600.0,14.85,14.9,14.85,14.8
2002-08-26,101200.0,14.95,14.95,14.85,14.82
2002-08-27,124900.0,14.91,15.05,15.0,14.9
2002-08-28,89500.0,15.0,15.1,15.01,14.91
2002-08-29,100500.0,15.11,15.15,15.05,14.9
2002-08-30,65200.0,15.12,15.2,15.11,15.02
2002-09-03,109700.0,14.95,15.25,15.2,14.95
2002-09-04,93100.0,15.18,15.18,14.92,14.92
2002-09-05,115200.0,15.1,15.25,15.18,15.01
