date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,257400.0,39.12,40.0,40.0,38.88
2000-01-04,201400.0,37.81,38.5,38.5,37.81
2000-01-05,202400.0,37.63,37.75,37.5,37.5
2000-01-06,267700.0,37.5,37.5,37.0,37.0
2000-01-07,138700.0,38.0,38.0,37.56,37.19
2000-01-10,75200.0,39.69,39.88,38.25,38.0
2000-01-11,61900.0,39.06,39.88,39.5,38.81
2000-01-12,120700.0,39.38,39.88,39.13,39.0
2000-01-13,30700.0,39.75,39.88,39.25,39.25
2000-01-14,76000.0,40.0,40.13,39.5,39.44
2000-01-18,52000.0,39.69,40.0,39.81,39.63
2000-01-19,88300.0,40.88,40.94,39.56,39.5
2000-01-20,65600.0,40.44,40.81,40.81,40.19
2000-01-21,134500.0,39.31,40.41,40.41,39.25
2000-01-24,151500.0,41.19,41.38,39.5,39.25
2000-01-25,281700.0,40.5,42.06,41.13,40.19
2000-01-26,198700.0,40.75,40.88,40.88,39.56
2000-01-27,27900.0,39.94,40.75,40.75,39.88
2000-01-28,122100.0,41.5,41.5,39.88,39.75
2000-01-31,94000.0,40.69,42.13,41.06,40.0
2000-02-01,102800.0,41.25,41.25,40.75,39.38
2000-02-02,198400.0,42.5,43.0,40.78,40.5
2000-02-03,46000.0,42.5,42.63,42.56,42.0
2000-02-04,72600.0,42.81,43.06,42.5,42.31
2000-02-07,105600.0,43.5,43.5,42.63,42.05
2000-02-08,171500.0,44.19,45.25,43.5,43.44
2000-02-09,367800.0,47.88,49.0,44.25,44.25
2000-02-10,174000.0,47.19,48.38,48.25,47.13
2000-02-11,243200.0,43.56,47.63,47.63,43.56
2000-02-14,121100.0,43.25,44.25,44.13,41.75
2000-02-15,179500.0,41.75,43.5,43.25,41.13
2000-02-16,66700.0,42.5,42.88,42.25,42.23
2000-02-17,70600.0,42.13,42.94,42.72,41.88
2000-02-18,56000.0,40.75,42.5,42.5,40.75
2000-02-22,122200.0,41.5,42.13,40.63,40.0
2000-02-23,682000.0,44.69,46.25,44.5,43.88
2000-02-24,365800.0,45.25,46.5,44.5,44.38
2000-02-25,234600.0,45.91,46.38,45.38,45.25
2000-02-28,336900.0,49.5,50.13,46.0,45.56
2000-02-29,2922200.0,51.0,51.38,49.5,48.88
2000-03-01,808500.0,50.25,50.56,50.41,49.81
2000-03-02,600400.0,49.66,50.44,50.38,49.63
2000-03-03,476500.0,49.63,50.05,50.0,49.56
2000-03-06,178700.0,49.56,49.69,49.69,49.5
2000-03-07,214800.0,50.94,50.94,49.5,49.38
2000-03-08,203000.0,50.88,51.88,50.38,50.38
2000-03-09,84600.0,50.38,51.25,51.25,50.38
2000-03-10,122000.0,49.44,50.44,50.38,49.38
2000-03-13,140100.0,48.63,49.25,49.25,47.5
2000-03-14,405500.0,46.06,48.88,48.63,43.38
2000-03-15,589600.0,45.44,46.5,46.25,45.38
2000-03-16,253100.0,44.06,46.0,45.63,42.88
2000-03-17,240100.0,41.69,43.06,42.22,41.69
2000-03-20,244100.0,40.13,43.5,43.38,40.0
2000-03-21,151200.0,41.06,41.13,40.63,39.31
2000-03-22,143700.0,42.06,42.06,41.56,41.13
2000-03-23,265000.0,42.06,42.25,42.0,41.69
2000-03-24,143400.0,42.0,42.5,42.5,42.0
2000-03-27,57000.0,41.88,42.38,42.38,41.44
2000-03-28,122900.0,41.88,42.06,41.97,41.88
2000-03-29,106400.0,40.5,42.13,41.88,40.25
2000-03-30,137800.0,39.56,42.13,40.63,39.5
2000-03-31,533300.0,37.25,40.88,40.13,37.25
2000-04-03,177900.0,35.0,38.25,38.0,34.31
2000-04-04,812000.0,40.38,43.38,35.56,35.0
2000-04-05,727600.0,39.38,41.38,39.75,38.75
2000-04-06,135000.0,40.38,42.13,39.5,39.06
2000-04-07,190800.0,43.44,43.81,41.06,40.63
2000-04-10,192900.0,41.69,44.0,42.88,41.69
2000-04-11,109600.0,42.13,45.13,41.56,40.63
2000-04-12,159900.0,46.0,46.25,42.13,42.13
2000-04-13,178300.0,44.06,46.13,46.0,43.88
2000-04-14,77100.0,41.25,43.81,43.81,38.75
2000-04-17,251000.0,41.31,42.0,41.0,38.44
2000-04-18,395100.0,45.0,47.5,41.25,41.06
2000-04-19,149800.0,46.91,47.0,45.69,43.75
2000-04-20,257500.0,48.0,49.19,47.0,45.94
2000-04-24,181100.0,48.88,49.94,48.0,47.44
2000-04-25,74800.0,49.44,49.56,49.25,47.5
2000-04-26,64200.0,48.19,49.75,49.75,48.0
2000-04-27,96100.0,49.25,49.69,47.75,46.75
2000-04-28,163600.0,50.0,50.13,49.44,48.88
2000-05-01,261300.0,50.38,51.0,49.75,49.75
2000-05-02,136800.0,50.63,50.69,50.0,49.75
2000-05-03,127100.0,47.38,50.75,50.5,46.0
2000-05-04,356100.0,48.38,50.75,48.13,47.5
2000-05-05,385900.0,51.88,52.25,48.63,48.38
2000-05-08,141000.0,51.63,52.19,52.19,50.75
2000-05-09,431900.0,51.81,53.0,51.63,50.88
2000-05-10,142100.0,51.44,52.75,52.0,51.25
2000-05-11,225500.0,51.75,52.25,51.56,51.44
2000-05-12,110100.0,51.72,52.38,51.75,51.5
2000-05-15,56600.0,51.69,51.69,51.5,50.69
2000-05-16,119300.0,48.75,52.5,51.75,48.75
2000-05-17,160000.0,45.69,49.19,49.13,45.19
2000-05-18,135000.0,44.38,46.13,46.13,43.38
2000-05-19,99600.0,44.13,44.13,43.0,42.63
2000-05-22,218100.0,44.44,44.63,43.56,39.88
2000-05-23,331800.0,47.63,49.56,44.75,42.5
2000-05-24,123800.0,47.31,48.0,47.13,46.39
2000-05-25,232100.0,46.0,48.5,48.31,45.75
2000-05-26,254400.0,46.0,46.75,45.88,45.81
2000-05-30,149500.0,45.38,46.63,46.63,44.13
2000-05-31,93200.0,45.69,45.75,45.38,44.94
2000-06-01,59200.0,47.81,48.19,45.38,45.25
2000-06-02,100100.0,46.0,48.75,48.38,46.0
2000-06-05,183200.0,45.56,46.38,46.31,44.06
2000-06-06,176000.0,45.03,46.31,45.28,44.81
2000-06-07,179600.0,44.88,45.38,45.25,44.5
2000-06-08,243400.0,43.13,44.5,44.5,42.19
2000-06-09,241400.0,43.22,43.75,43.63,42.31
2000-06-12,104000.0,46.38,47.88,43.5,43.31
2000-06-13,78600.0,46.88,47.0,46.25,45.5
2000-06-14,81200.0,47.06,48.38,46.88,45.69
2000-06-15,102300.0,46.81,47.25,47.0,45.44
2000-06-16,351200.0,47.25,49.75,47.13,46.81
2000-06-19,60800.0,46.0,47.63,47.5,44.75
2000-06-20,266200.0,44.06,46.13,46.13,44.0
2000-06-21,177100.0,42.5,44.25,44.13,41.75
2000-06-22,192300.0,41.5,43.13,42.56,41.5
2000-06-23,158000.0,41.75,43.13,42.75,41.5
2000-06-26,197700.0,41.75,42.38,42.0,40.88
2000-06-27,189200.0,41.56,42.13,41.63,40.94
2000-06-28,359300.0,42.5,43.75,41.5,41.5
2000-06-29,396700.0,41.56,43.06,42.63,39.25
2000-06-30,1179200.0,49.5,49.75,41.38,41.31
2000-07-03,174900.0,47.44,47.94,47.5,45.75
2000-07-05,145300.0,47.75,48.38,46.69,46.69
2000-07-06,166800.0,47.0,47.94,47.81,46.5
2000-07-07,99500.0,47.5,48.13,46.88,46.69
2000-07-10,271700.0,50.0,50.13,48.0,47.13
2000-07-11,267800.0,51.5,52.06,49.81,49.63
2000-07-12,203200.0,53.19,53.38,51.75,50.0
2000-07-13,161300.0,53.13,53.13,52.56,51.63
2000-07-14,182100.0,54.19,54.36,53.19,53.13
2000-07-17,230200.0,55.38,55.63,54.25,53.75
2000-07-18,242300.0,55.63,56.25,55.0,54.25
2000-07-19,331700.0,53.25,56.5,56.44,52.75
2000-07-20,438000.0,56.38,56.56,53.63,53.5
2000-07-21,205900.0,56.69,57.06,56.38,55.94
2000-07-24,104600.0,55.88,56.94,56.94,55.88
2000-07-25,203900.0,57.0,57.88,56.38,56.13
2000-07-26,433100.0,59.69,59.69,58.0,57.0
2000-07-27,494300.0,58.94,59.88,59.0,58.25
2000-07-28,290400.0,59.94,60.06,59.0,58.56
2000-07-31,349800.0,63.77,64.13,59.88,59.13
2000-08-01,195700.0,59.81,63.5,63.5,59.0
2000-08-02,442600.0,58.5,60.75,60.13,57.63
2000-08-03,95800.0,58.06,58.25,57.75,56.13
2000-08-04,62700.0,57.81,58.38,58.38,56.75
2000-08-07,85900.0,58.06,58.25,58.25,57.5
2000-08-08,116100.0,56.77,58.25,58.19,56.5
2000-08-09,106200.0,58.13,58.38,57.5,56.75
2000-08-10,203000.0,59.13,60.25,58.38,58.0
2000-08-11,123200.0,60.13,60.5,59.44,59.0
2000-08-14,114600.0,60.13,60.25,60.25,59.5
2000-08-15,75600.0,57.63,60.13,60.13,57.5
2000-08-16,195800.0,59.75,60.06,57.63,57.63
2000-08-17,44800.0,61.06,61.06,60.0,60.0
2000-08-18,227200.0,61.13,61.5,60.91,60.38
2000-08-21,307800.0,60.58,61.5,61.5,60.13
2000-08-22,88000.0,58.81,60.63,60.06,58.0
2000-08-23,95900.0,57.75,59.88,59.44,56.5
2000-08-24,91000.0,59.5,60.0,57.38,57.38
2000-08-25,317800.0,61.75,61.88,59.5,59.0
2000-08-28,52500.0,59.0,61.75,61.38,59.0
2000-08-29,70100.0,59.38,59.75,59.31,58.75
2000-08-30,100900.0,59.31,59.5,59.13,58.75
2000-08-31,82100.0,59.19,59.5,59.5,59.13
2000-09-01,178400.0,58.63,59.81,59.44,58.31
2000-09-05,110300.0,58.19,59.0,58.75,58.13
2000-09-06,93900.0,58.19,59.0,58.13,57.88
2000-09-07,52000.0,58.75,59.25,58.13,58.13
2000-09-08,144200.0,58.44,59.5,58.75,58.38
2000-09-11,363400.0,56.88,58.31,58.31,56.0
2000-09-12,49800.0,57.31,57.5,56.0,56.0
2000-09-13,111900.0,59.03,59.5,57.63,57.25
2000-09-14,50100.0,59.56,59.88,59.0,58.88
2000-09-15,191300.0,59.5,60.0,59.0,58.75
2000-09-18,228300.0,56.13,59.63,59.63,55.19
2000-09-19,129700.0,56.19,56.75,56.31,55.75
2000-09-20,146300.0,56.5,57.0,56.63,56.13
2000-09-21,213000.0,58.25,60.38,57.25,56.88
2000-09-22,82700.0,57.81,58.25,58.25,57.38
2000-09-25,63300.0,57.63,57.81,57.5,57.31
2000-09-26,294500.0,56.31,57.81,57.81,54.63
2000-09-27,45200.0,55.64,56.56,56.56,55.25
2000-09-28,102100.0,56.56,56.75,55.25,54.77
2000-09-29,105600.0,56.36,57.0,57.0,54.56
2000-10-02,127500.0,53.56,56.0,55.88,53.44
2000-10-03,200200.0,52.5,54.38,54.13,52.19
2000-10-04,157200.0,54.94,56.0,52.5,52.44
2000-10-05,47900.0,54.81,55.25,54.25,54.25
2000-10-06,117400.0,52.81,55.81,55.81,51.5
2000-10-09,800800.0,47.94,52.5,52.48,44.63
2000-10-10,432500.0,52.63,53.31,49.09,48.06
2000-10-11,172000.0,54.19,55.38,54.31,53.5
2000-10-12,184500.0,53.31,54.94,54.5,52.88
2000-10-13,169800.0,55.63,55.75,52.75,52.75
2000-10-16,102400.0,56.5,58.06,55.0,54.63
2000-10-17,185200.0,56.0,56.75,55.88,54.88
2000-10-18,749600.0,51.13,54.75,54.69,50.19
2000-10-19,325300.0,50.64,53.06,51.06,50.63
2000-10-20,262900.0,52.0,52.36,50.73,50.73
2000-10-23,59500.0,51.06,52.88,52.13,51.06
2000-10-24,105800.0,51.23,51.88,51.5,50.88
2000-10-25,85600.0,51.63,52.75,51.5,51.25
2000-10-26,147800.0,56.75,56.75,51.75,51.75
2000-10-27,97700.0,55.58,57.5,57.48,54.75
2000-10-30,168000.0,55.06,55.75,55.0,54.5
2000-10-31,130800.0,54.69,56.13,55.0,54.5
2000-11-01,98500.0,55.56,55.88,55.13,55.06
2000-11-02,142400.0,56.0,56.06,54.5,54.5
2000-11-03,119400.0,54.88,56.25,56.13,54.56
2000-11-06,109200.0,54.88,56.0,54.88,54.88
2000-11-07,84400.0,54.0,55.44,55.38,53.13
2000-11-08,205200.0,55.0,56.0,54.19,53.19
2000-11-09,171800.0,54.88,55.25,55.23,54.38
2000-11-10,86500.0,53.19,55.0,55.0,53.0
2000-11-13,92900.0,53.69,54.0,53.13,52.63
2000-11-14,263700.0,54.88,55.56,54.5,54.5
2000-11-15,232600.0,55.38,55.88,54.88,54.5
2000-11-16,180800.0,55.63,58.0,55.5,54.25
2000-11-17,115000.0,56.75,58.38,56.5,56.38
2000-11-20,144500.0,57.0,59.0,56.86,56.5
2000-11-21,246700.0,58.13,58.25,58.0,57.0
2000-11-22,328600.0,60.0,60.0,57.44,57.06
2000-11-24,105900.0,60.5,60.5,59.88,59.25
2000-11-27,186200.0,61.06,61.94,60.48,60.48
2000-11-28,124000.0,59.56,61.38,60.25,58.75
2000-11-29,125400.0,58.94,60.06,59.39,58.31
2000-11-30,175100.0,56.63,60.06,58.52,55.75
2000-12-01,118400.0,58.25,58.25,56.38,56.38
2000-12-04,85300.0,30.19,30.63,29.73,28.56
