date,5. volume,4. close,2. high,1. open,3. low
2003-05-29,343000.0,15.53,15.65,15.6,15.4
2003-05-30,267700.0,15.62,15.68,15.5,15.49
2003-06-02,305900.0,15.5,15.7,15.63,15.45
2003-06-03,298300.0,15.66,15.75,15.65,15.49
2003-06-04,468300.0,15.4,15.5,15.5,15.2
2003-06-05,286800.0,15.44,15.54,15.35,15.35
2003-06-06,206000.0,15.5,15.52,15.44,15.4
2003-06-09,213300.0,15.39,15.52,15.5,15.35
2003-06-10,213100.0,15.47,15.5,15.41,15.36
2003-06-11,262200.0,15.5,15.52,15.5,15.36
2003-06-12,293800.0,15.58,15.6,15.51,15.47
2003-06-13,198700.0,15.54,15.65,15.64,15.47
2003-06-16,228600.0,15.5,15.6,15.59,15.46
2003-06-17,264700.0,15.45,15.54,15.54,15.41
2003-06-18,234100.0,15.45,15.5,15.48,15.43
2003-06-19,230500.0,15.46,15.5,15.49,15.4
2003-06-20,206000.0,15.5,15.52,15.4,15.37
2003-06-23,230000.0,15.39,15.53,15.53,15.1
2003-06-24,217200.0,15.2,15.39,15.39,15.06
2003-06-25,183100.0,15.2,15.28,15.2,15.1
2003-06-26,145000.0,15.25,15.27,15.27,15.11
2003-06-27,189500.0,15.34,15.48,15.29,15.21
2003-06-30,145000.0,15.3,15.34,15.3,15.15
2003-07-01,115800.0,15.24,15.35,15.26,15.16
2003-07-02,139300.0,15.25,15.34,15.25,15.23
2003-07-03,69500.0,15.3,15.35,15.35,15.23
2003-07-07,181300.0,15.35,15.35,15.3,15.16
2003-07-08,208200.0,15.38,15.39,15.32,15.26
2003-07-09,162300.0,15.32,15.42,15.38,15.27
2003-07-10,103600.0,15.32,15.33,15.29,15.26
2003-07-11,115100.0,15.4,15.42,15.32,15.26
2003-07-14,176400.0,15.39,15.45,15.44,15.33
2003-07-15,157700.0,15.39,15.43,15.4,15.27
2003-07-16,247200.0,15.17,15.37,15.32,15.12
2003-07-17,198500.0,15.25,15.29,15.23,15.15
2003-07-18,195800.0,15.29,15.44,15.35,15.16
