date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,8900.0,6.875,6.938,6.938,6.688
2000-01-04,14100.0,6.875,7.0,7.0,6.875
2000-01-05,14500.0,7.0,7.0,7.0,6.75
2000-01-06,32800.0,7.0,7.063,6.75,6.75
2000-01-07,31100.0,7.125,7.25,7.0,7.0
2000-01-10,12100.0,7.063,7.125,7.063,7.063
2000-01-11,18100.0,7.188,7.188,7.125,7.063
2000-01-12,30000.0,6.5,7.125,7.125,6.5
2000-01-13,15500.0,6.75,6.813,6.375,6.375
2000-01-14,14900.0,6.75,6.875,6.875,6.625
2000-01-18,11600.0,6.875,6.938,6.75,6.625
2000-01-19,11100.0,6.75,6.875,6.75,6.75
2000-01-20,14500.0,6.875,6.938,6.875,6.875
2000-01-21,17800.0,6.813,6.938,6.813,6.75
2000-01-24,14400.0,6.75,6.938,6.75,6.75
2000-01-25,15700.0,6.75,6.938,6.875,6.688
2000-01-26,9400.0,6.75,6.813,6.625,6.625
2000-01-27,12100.0,6.625,6.938,6.875,6.625
2000-01-28,9800.0,6.5,6.75,6.75,6.5
2000-01-31,9800.0,6.563,6.75,6.5,6.375
2000-02-01,16300.0,6.875,6.875,6.625,6.625
2000-02-02,10900.0,6.813,6.875,6.75,6.75
2000-02-03,15000.0,6.875,7.0,6.75,6.75
2000-02-04,18800.0,6.813,6.938,6.875,6.75
2000-02-07,13300.0,6.938,6.938,6.75,6.75
2000-02-08,46000.0,7.0,7.0,6.875,6.875
2000-02-09,16900.0,7.063,7.063,7.0,7.0
2000-02-10,16000.0,6.938,7.125,7.125,6.938
2000-02-11,16000.0,6.938,7.063,6.875,6.813
2000-02-14,13100.0,7.0,7.0,7.0,6.75
2000-02-15,21400.0,7.0,7.063,6.875,6.875
2000-02-16,11500.0,7.063,7.063,7.0,7.0
2000-02-17,15900.0,7.0,7.125,7.125,7.0
2000-02-18,8000.0,6.75,7.0,6.875,6.75
2000-02-22,8500.0,7.0,7.0,6.625,6.625
2000-02-23,5000.0,6.625,6.75,6.75,6.625
2000-02-24,12700.0,6.813,6.938,6.625,6.5
2000-02-25,11100.0,7.0,7.0,6.813,6.813
2000-02-28,20500.0,7.0,7.125,6.875,6.875
2000-02-29,4300.0,6.875,7.0,7.0,6.875
2000-03-01,6600.0,7.0,7.0,7.0,6.875
2000-03-02,30000.0,6.75,7.0,6.875,6.75
2000-03-03,12300.0,7.0,7.0,6.75,6.75
2000-03-06,5900.0,6.75,7.0,7.0,6.75
2000-03-07,17100.0,6.75,7.0,6.875,6.75
2000-03-08,2700.0,6.875,6.875,6.75,6.75
2000-03-09,16900.0,6.938,7.0,7.0,6.875
2000-03-10,8000.0,6.813,7.0,6.938,6.813
2000-03-13,15700.0,6.875,6.875,6.688,6.5
2000-03-14,2900.0,6.75,6.875,6.875,6.625
2000-03-15,5900.0,6.625,6.75,6.75,6.625
2000-03-16,22300.0,6.75,6.813,6.625,6.625
2000-03-17,11400.0,6.625,6.75,6.5,6.5
2000-03-20,8300.0,6.688,6.688,6.5,6.5
2000-03-21,8900.0,6.625,6.75,6.563,6.5
2000-03-22,3900.0,6.625,6.75,6.75,6.5
2000-03-23,9900.0,6.625,6.75,6.625,6.563
2000-03-24,10000.0,6.563,6.688,6.688,6.5
2000-03-27,6700.0,6.688,6.688,6.688,6.563
2000-03-28,17100.0,6.75,6.75,6.563,6.563
2000-03-29,4300.0,6.625,6.75,6.75,6.625
2000-03-30,12800.0,6.625,6.75,6.688,6.5
2000-03-31,7500.0,6.563,6.688,6.625,6.563
2000-04-03,11600.0,6.5,6.688,6.688,6.438
2000-04-04,12500.0,6.5,6.625,6.5,6.25
2000-04-05,19700.0,6.375,6.375,6.25,6.188
2000-04-06,7800.0,6.375,6.375,6.25,6.25
2000-04-07,9800.0,6.25,6.375,6.25,6.25
2000-04-10,5900.0,6.563,6.563,6.375,6.375
2000-04-11,23400.0,6.438,6.563,6.438,6.125
2000-04-12,7100.0,6.25,6.563,6.563,6.25
2000-04-13,10200.0,6.563,6.563,6.25,6.125
2000-04-14,12100.0,6.188,6.563,6.438,6.188
2000-04-17,7400.0,6.25,6.375,6.188,6.063
2000-04-18,8000.0,6.25,6.375,6.125,6.0
2000-04-19,16000.0,6.063,6.188,6.125,6.0
2000-04-20,9600.0,6.188,6.188,6.063,5.875
2000-04-24,10800.0,6.125,6.25,6.125,5.875
2000-04-25,7900.0,6.375,6.375,6.25,6.125
2000-04-26,15100.0,6.688,6.688,6.313,6.313
2000-04-27,12400.0,6.625,6.75,6.625,6.563
2000-04-28,7200.0,6.313,6.625,6.563,6.313
2000-05-01,3900.0,6.688,6.688,6.438,6.438
2000-05-02,5200.0,6.688,6.688,6.563,6.563
2000-05-03,8800.0,6.625,6.75,6.625,6.563
2000-05-04,9300.0,6.625,6.75,6.5,6.5
2000-05-05,3800.0,6.625,6.625,6.563,6.563
2000-05-08,8500.0,6.5,6.625,6.5,6.5
2000-05-09,9000.0,6.375,6.625,6.5,6.375
2000-05-10,8300.0,6.625,6.625,6.5,6.5
2000-05-11,4200.0,6.375,6.625,6.5,6.375
2000-05-12,11500.0,6.5,6.5,6.25,6.125
2000-05-15,15000.0,6.25,6.75,6.625,6.25
2000-05-16,11500.0,6.0,6.25,6.125,5.875
2000-05-17,7100.0,6.375,6.375,6.125,6.0
2000-05-18,12500.0,6.5,6.625,6.5,6.25
2000-05-19,10700.0,6.5,6.625,6.375,6.313
2000-05-22,20500.0,6.5,6.5,6.125,6.125
2000-05-23,22600.0,5.875,6.375,6.375,5.875
2000-05-24,13100.0,5.75,6.125,6.0,5.75
2000-05-25,13400.0,5.375,5.75,5.75,5.0
2000-05-26,18500.0,5.375,5.75,5.375,5.375
2000-05-30,19900.0,5.625,5.75,5.125,5.0
2000-05-31,15700.0,6.13,6.25,5.75,5.75
2000-06-01,9000.0,6.375,6.625,6.25,6.25
2000-06-02,19900.0,6.375,6.688,6.5,6.375
2000-06-05,14000.0,6.438,6.5,6.5,6.125
2000-06-06,14400.0,6.5,6.5,6.313,6.313
2000-06-07,14000.0,6.625,6.625,6.375,6.375
2000-06-08,7400.0,6.5,6.75,6.625,6.5
2000-06-09,5000.0,6.625,6.688,6.625,6.625
2000-06-12,14400.0,6.5,6.688,6.5,6.5
2000-06-13,18700.0,6.5,6.688,6.375,6.25
2000-06-14,9400.0,6.625,6.625,6.375,6.375
2000-06-15,12800.0,6.75,6.75,6.5,6.5
2000-06-16,14200.0,6.5,6.75,6.75,6.5
2000-06-19,9500.0,6.375,6.5,6.5,6.375
2000-06-20,8300.0,6.5,6.5,6.5,6.25
2000-06-21,10400.0,6.188,6.5,6.5,6.188
2000-06-22,13500.0,6.5,6.5,6.313,6.313
2000-06-23,15900.0,6.25,6.625,6.5,6.125
2000-06-26,16300.0,6.375,6.5,6.25,6.25
2000-06-27,9900.0,6.438,6.563,6.25,6.25
2000-06-28,10700.0,6.5,6.625,6.5,6.313
2000-06-29,8700.0,6.375,6.625,6.625,6.375
2000-06-30,9000.0,6.313,6.438,6.375,6.25
2000-07-03,6400.0,6.313,6.375,6.375,6.25
2000-07-05,19600.0,6.375,6.563,6.438,6.313
2000-07-06,8900.0,6.5,6.5,6.25,6.25
2000-07-07,9500.0,6.375,6.375,6.25,6.25
2000-07-10,9900.0,6.563,6.563,6.25,6.25
2000-07-11,5000.0,6.5,6.5,6.5,6.375
2000-07-12,14300.0,6.688,6.688,6.375,6.375
2000-07-13,13300.0,6.625,6.688,6.688,6.375
2000-07-14,6600.0,6.625,6.688,6.5,6.5
2000-07-17,13300.0,6.563,6.625,6.5,6.375
2000-07-18,7700.0,6.688,6.75,6.563,6.563
2000-07-19,8500.0,6.688,6.75,6.75,6.5
2000-07-20,9500.0,6.75,6.75,6.688,6.5
2000-07-21,19200.0,6.5,6.75,6.625,6.438
2000-07-24,9500.0,6.688,6.688,6.5,6.375
2000-07-25,8000.0,6.625,6.75,6.75,6.5
2000-07-26,11500.0,6.688,6.75,6.625,6.625
2000-07-27,7800.0,6.688,6.813,6.813,6.688
2000-07-28,11800.0,6.375,6.688,6.688,6.25
2000-07-31,24700.0,6.75,6.813,6.375,6.188
2000-08-01,22800.0,6.813,6.813,6.625,6.375
2000-08-02,36900.0,6.125,6.813,6.688,6.125
2000-08-03,7800.0,6.625,6.688,6.25,6.25
2000-08-04,9500.0,6.75,6.75,6.688,6.563
2000-08-07,12100.0,6.688,6.75,6.75,6.625
2000-08-08,9600.0,6.625,6.75,6.75,6.5
2000-08-09,12500.0,6.375,6.688,6.688,6.125
2000-08-10,6400.0,6.125,6.25,6.25,6.125
2000-08-11,22000.0,6.125,6.125,6.0,5.875
