date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,2000.0,18.38,18.38,18.38,18.38
2000-01-04,4200.0,18.31,18.38,18.25,18.19
2000-01-05,800.0,18.31,18.31,18.31,18.31
2000-01-06,1400.0,18.38,18.38,18.25,18.25
2000-01-07,700.0,18.38,18.38,18.31,18.31
2000-01-10,400.0,18.44,18.44,18.44,18.44
2000-01-11,0.0,18.44,18.44,18.44,18.44
2000-01-12,19000.0,18.25,18.38,18.38,18.19
2000-01-13,11600.0,18.38,18.38,18.25,18.25
2000-01-14,300.0,18.38,18.38,18.38,18.38
2000-01-18,28800.0,18.0,18.38,18.25,18.0
2000-01-19,200.0,18.0,18.0,18.0,18.0
2000-01-20,11400.0,18.0,18.0,18.0,18.0
2000-01-21,1100.0,18.13,18.13,18.0,18.0
2000-01-24,2500.0,18.0,18.0,18.0,18.0
2000-01-25,400.0,17.88,17.94,17.94,17.88
2000-01-26,12300.0,18.0,18.0,17.94,17.88
2000-01-27,4300.0,17.94,18.13,18.13,17.88
2000-01-28,1700.0,18.0,18.06,18.0,18.0
2000-01-31,11400.0,18.19,18.19,18.06,18.0
2000-02-01,18100.0,18.56,18.63,18.25,18.13
2000-02-02,15000.0,18.38,18.69,18.62,18.38
2000-02-03,100.0,18.31,18.31,18.31,18.31
2000-02-04,11700.0,18.31,18.38,18.25,18.25
2000-02-07,11200.0,18.31,18.31,18.31,18.25
2000-02-08,20000.0,18.19,18.25,18.25,18.19
2000-02-09,18300.0,18.25,18.25,18.25,18.19
2000-02-10,11000.0,18.38,18.44,18.31,18.31
2000-02-11,17100.0,18.69,18.75,18.5,18.5
2000-02-14,13500.0,18.5,18.63,18.63,18.5
2000-02-15,10100.0,18.5,18.5,18.5,18.5
2000-02-16,23200.0,18.88,18.88,18.63,18.63
2000-02-17,8500.0,18.81,18.88,18.81,18.81
2000-02-18,6500.0,18.88,18.88,18.88,18.81
2000-02-22,11100.0,18.81,18.81,18.81,18.81
2000-02-23,23300.0,18.69,18.81,18.81,18.63
2000-02-24,17800.0,18.69,18.75,18.75,18.63
2000-02-25,3300.0,18.44,18.63,18.63,18.44
2000-02-28,100.0,18.5,18.5,18.5,18.5
2000-02-29,1300.0,18.63,18.63,18.5,18.5
2000-03-01,2800.0,18.88,18.88,18.75,18.75
2000-03-02,3800.0,18.81,18.81,18.81,18.81
2000-03-03,31000.0,19.13,19.13,18.88,18.81
2000-03-06,5800.0,19.88,19.88,19.06,19.06
2000-03-07,9000.0,19.56,19.81,19.81,19.5
2000-03-08,17400.0,19.44,19.5,19.5,19.38
2000-03-09,16000.0,19.0,19.38,19.38,19.0
2000-03-10,17100.0,19.0,19.0,19.0,18.94
2000-03-13,5100.0,19.0,19.0,19.0,18.94
2000-03-14,13700.0,19.06,19.13,19.0,19.0
2000-03-15,15800.0,19.06,19.06,19.0,19.0
2000-03-16,23400.0,19.0,19.0,19.0,19.0
2000-03-17,21700.0,19.13,19.13,19.0,19.0
2000-03-20,4100.0,18.94,19.0,18.94,18.94
2000-03-21,46100.0,18.88,18.88,18.88,18.88
2000-03-22,27100.0,18.88,18.88,18.81,18.75
2000-03-23,20300.0,18.88,18.88,18.81,18.81
2000-03-24,27300.0,18.75,18.75,18.75,18.75
2000-03-27,41800.0,19.0,19.0,18.75,18.75
2000-03-28,200.0,19.0,19.0,19.0,19.0
2000-03-29,1800.0,19.0,19.0,19.0,19.0
2000-03-30,26900.0,19.06,19.25,19.0,19.0
2000-03-31,28500.0,19.06,19.13,19.06,18.94
2000-04-03,3700.0,19.31,19.38,19.13,19.13
2000-04-04,22800.0,19.25,19.25,19.25,19.0
2000-04-05,22000.0,19.63,19.63,19.31,19.31
2000-04-06,1100.0,19.63,19.63,19.56,19.56
