date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,0.0,2.125,2.125,2.0,1.875
2000-01-04,0.0,2.25,2.25,2.0938,2.0
2000-01-05,0.0,2.25,2.25,2.25,2.25
2000-01-06,0.0,2.3438,2.3438,2.25,2.1875
2000-01-07,0.0,2.1875,2.25,2.0625,2.0
2000-01-10,0.0,2.25,2.4375,2.3125,2.25
2000-01-11,100000.0,2.5,2.5625,2.375,2.25
2000-01-12,200000.0,2.625,2.6563,2.5938,2.5
2000-01-13,200000.0,2.8125,2.9063,2.6563,2.5938
2000-01-14,200000.0,3.0625,3.375,2.875,2.8125
2000-01-18,200000.0,3.1875,3.2813,3.0625,3.0625
2000-01-19,400000.0,3.4688,3.5,3.25,3.0938
2000-01-20,600000.0,3.9688,4.0,3.75,3.6875
2000-01-21,100000.0,4.0625,4.125,3.9688,3.875
2000-01-24,200000.0,4.1563,4.25,4.125,4.125
2000-01-25,0.0,3.875,4.1875,4.1563,3.875
2000-01-26,200000.0,3.4688,3.875,3.875,3.4688
2000-01-27,0.0,3.5,3.5156,3.5,3.4375
2000-01-28,0.0,3.2813,3.5,3.5,3.2813
2000-01-31,0.0,3.0,3.4063,3.4063,2.9375
2000-02-01,0.0,2.875,3.0,3.0,2.875
2000-02-02,0.0,3.125,3.125,2.875,2.875
2000-02-03,0.0,3.125,3.125,3.125,3.0625
2000-02-04,100000.0,3.1563,3.1875,3.0,2.9375
2000-02-07,0.0,3.3125,3.5625,3.3125,3.2813
2000-02-08,0.0,3.25,3.3438,3.25,3.25
2000-02-09,0.0,3.3125,3.3438,3.3125,3.0625
2000-02-10,0.0,3.25,3.25,3.1875,3.1875
2000-02-11,0.0,3.375,3.375,3.3125,3.1875
2000-02-14,0.0,2.9375,3.375,3.3125,2.9375
2000-02-15,0.0,3.125,3.125,3.125,2.9375
2000-02-16,0.0,3.0625,3.25,3.125,3.0625
2000-02-17,0.0,3.125,3.125,3.125,2.9375
2000-02-18,0.0,3.0,3.375,3.125,3.0
2000-02-22,0.0,2.9375,3.0625,3.0,2.9375
2000-02-23,0.0,2.9375,3.0,2.9375,2.9375
2000-02-24,0.0,2.9688,2.9688,2.9375,2.9375
2000-02-25,0.0,3.0938,3.0938,2.9688,2.9688
2000-02-28,0.0,2.9688,3.2188,3.2188,2.9688
2000-02-29,0.0,2.9688,3.1875,3.1875,2.9688
2000-03-01,0.0,2.9375,3.125,3.0625,2.6563
2000-03-02,0.0,3.125,3.125,2.9688,2.9375
2000-03-03,0.0,3.1875,3.1875,2.9375,2.9375
2000-03-06,0.0,3.0,3.1875,3.125,2.9375
2000-03-07,0.0,3.0,3.0625,3.0,2.9375
2000-03-08,0.0,3.0,3.0,3.0,2.9375
2000-03-09,0.0,3.0,3.0,2.9375,2.9375
2000-03-10,0.0,3.0,3.0625,3.0,2.9375
2000-03-13,0.0,2.9375,3.0,2.9375,2.9375
2000-03-14,0.0,2.9688,2.9688,2.9375,2.9375
2000-03-15,0.0,3.0313,3.0313,2.9688,2.9375
2000-03-16,0.0,2.9688,3.0313,3.0313,2.9688
2000-03-17,0.0,3.0,3.0,3.0,3.0
2000-03-20,0.0,2.9688,3.0,3.0,2.9688
2000-03-21,0.0,3.0,3.0,2.9375,2.9375
2000-03-22,0.0,2.9375,3.0,3.0,2.9375
2000-03-23,0.0,3.0,3.0625,3.0625,2.9375
2000-03-24,0.0,3.0,3.0625,3.0,2.75
2000-03-27,0.0,3.0938,3.0938,3.0313,3.0
2000-03-28,0.0,3.0,3.0938,2.9375,2.9375
2000-03-29,0.0,3.0,3.0313,3.0,3.0
2000-03-30,0.0,3.0,3.0313,3.0,2.9375
2000-03-31,0.0,3.0,3.0313,3.0313,3.0
2000-04-03,0.0,2.9375,3.0625,3.0,2.9375
2000-04-04,0.0,2.9688,3.0,2.9375,2.9375
2000-04-05,0.0,2.9688,2.9688,2.9688,2.9375
2000-04-06,0.0,3.0313,3.0938,2.9375,2.9375
2000-04-07,0.0,3.0,3.0313,3.0313,3.0
2000-04-10,0.0,3.0,3.0625,3.0625,3.0
2000-04-11,0.0,2.9375,3.0313,3.0,2.9375
