date,5. volume,4. close,2. high,1. open,3. low
2016-04-20,2600.0,0.6346,0.6346,0.25,0.25
2016-04-21,10313.0,0.3601,0.6,0.6,0.3
2016-04-22,59302.0,0.44,0.44,0.36,0.36
2016-04-25,19363.0,0.95,0.95,0.5,0.5
2016-04-26,48380.0,0.628,1.05,1.05,0.5101
2016-04-27,9755.0,0.65,0.7,0.63,0.578
2016-04-28,5607.0,0.64,0.65,0.595,0.595
2016-04-29,30910.0,0.42,0.5,0.5,0.42
2016-05-02,3800.0,0.55,0.55,0.55,0.55
2016-05-03,5000.0,0.42,0.42,0.42,0.42
2016-05-04,0.0,0.42,0.42,0.42,0.42
2016-05-05,0.0,0.42,0.42,0.42,0.42
2016-05-06,0.0,0.42,0.42,0.42,0.42
2016-05-09,688.0,0.48,0.48,0.48,0.48
2016-05-10,0.0,0.48,0.48,0.48,0.48
2016-05-11,0.0,0.48,0.48,0.48,0.48
2016-05-12,0.0,0.48,0.48,0.48,0.48
2016-05-13,0.0,0.48,0.48,0.48,0.48
2016-05-16,0.0,0.48,0.48,0.48,0.48
2016-05-17,0.0,0.48,0.48,0.48,0.48
2016-05-18,0.0,0.48,0.48,0.48,0.48
2016-05-19,8500.0,0.4,0.4,0.4,0.4
2016-05-20,172595.0,0.92,1.05,0.55,0.55
2016-05-23,122702.0,1.2,1.88,1.04,0.753
2016-05-24,14363.0,0.95,1.0575,0.9,0.79
2016-05-25,10775.0,1.0,1.45,1.45,0.8555
2016-05-26,8888.0,0.74,1.0,1.0,0.7
2016-05-27,10631.0,0.9,0.92,0.75,0.7188
2016-05-31,5388.0,0.9,1.19,1.19,0.8039
2016-06-01,2493.0,0.8998,0.9,0.9,0.7
2016-06-02,64560.0,1.138,1.36,0.8894,0.8698
2016-06-03,24026.0,1.15,1.34,1.05,1.05
2016-06-06,39925.0,1.01,1.2,0.92,0.92
2016-06-07,35833.0,0.92,1.01,1.0,0.7
2016-06-08,0.0,0.92,0.92,0.92,0.92
2016-06-09,34096.0,1.07,1.26,1.0,0.9801
2016-06-10,625.0,1.0,1.07,1.07,1.0
2016-06-13,100.0,1.0,1.0,1.0,1.0
2016-06-14,100.0,1.0,1.0,1.0,1.0
2016-06-15,287513.0,0.9888,1.7,1.31,0.8045
