date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,552500.0,53.25,56.94,56.0,51.56
2000-01-04,619000.0,47.13,52.44,52.0,46.81
2000-01-05,1274700.0,44.75,47.0,46.25,41.25
2000-01-06,594800.0,43.88,44.75,43.25,43.25
2000-01-07,916800.0,46.0,46.0,43.88,43.5
2000-01-10,1223900.0,49.63,49.81,46.0,46.0
2000-01-11,670300.0,46.81,50.0,49.75,45.81
2000-01-12,1435000.0,46.81,48.5,47.5,46.38
2000-01-13,894900.0,47.13,49.25,49.25,46.63
2000-01-14,767900.0,47.0,48.0,48.0,47.0
2000-01-18,861900.0,45.69,46.38,46.13,44.81
2000-01-19,800600.0,44.5,46.0,46.0,42.5
2000-01-20,839400.0,45.06,45.44,44.5,43.38
2000-01-21,1138800.0,45.63,46.94,46.0,45.25
2000-01-24,776300.0,43.63,46.25,46.13,43.56
2000-01-25,1110700.0,41.13,43.5,43.5,40.25
2000-01-26,1000100.0,39.5,42.0,41.38,39.5
2000-01-27,1818300.0,37.56,39.88,39.5,35.5
2000-01-28,820900.0,39.6,39.94,38.75,37.81
2000-01-31,1225300.0,40.06,40.5,39.0,38.88
2000-02-01,1321900.0,42.25,42.31,41.94,41.06
2000-02-02,2175600.0,46.44,46.44,43.13,43.13
2000-02-03,1632100.0,50.38,50.94,48.0,47.88
2000-02-04,951800.0,50.38,50.38,50.38,50.38
2000-02-07,1196600.0,51.19,51.38,51.38,49.75
2000-02-08,1382300.0,53.38,54.69,53.0,51.75
2000-02-09,2320400.0,52.75,55.44,53.75,51.56
2000-02-10,887400.0,49.06,54.0,54.0,47.94
2000-02-11,1074000.0,48.5,51.69,49.25,47.38
2000-02-14,947900.0,43.63,48.19,47.88,43.0
2000-02-15,1544900.0,44.0,44.88,43.38,40.5
2000-02-16,745600.0,45.44,45.81,44.5,44.5
2000-02-17,904400.0,47.81,47.88,45.44,45.44
2000-02-18,835400.0,47.44,48.44,47.81,46.75
2000-02-22,1078600.0,43.69,45.94,45.94,43.5
2000-02-23,582200.0,45.5,45.5,43.94,43.94
2000-02-24,868500.0,45.25,47.0,45.5,44.81
2000-02-25,412900.0,46.44,47.0,45.44,45.38
2000-02-28,518800.0,46.94,47.5,47.0,46.63
2000-02-29,424000.0,46.19,47.81,47.0,46.0
2000-03-01,985800.0,45.63,46.31,46.19,44.56
2000-03-02,7339000.0,49.94,53.25,46.25,46.25
2000-03-03,1283700.0,49.5,49.94,49.94,47.88
2000-03-06,822600.0,49.0,49.75,48.81,48.0
2000-03-07,856700.0,47.69,50.25,49.0,46.88
2000-03-08,1303900.0,48.63,49.25,49.0,47.38
2000-03-09,1439700.0,50.0,50.75,48.75,48.13
2000-03-10,1430700.0,51.94,52.25,50.38,49.56
