date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,8433.0,1.219,1.219,1.219,1.219
2000-01-04,2933.0,1.219,1.219,1.125,1.125
2000-01-05,1100.0,1.219,1.219,1.125,1.125
2000-01-06,0.0,1.219,1.219,1.219,1.219
2000-01-07,0.0,1.22,1.22,1.22,1.22
2000-01-10,0.0,1.22,1.22,1.22,1.22
2000-01-11,10267.0,1.156,1.156,1.156,1.156
2000-01-12,26033.0,1.063,1.438,1.438,1.063
2000-01-13,11733.0,1.063,1.25,1.25,1.063
2000-01-14,733.0,1.063,1.406,1.406,1.063
2000-01-18,5867.0,1.563,1.563,1.031,1.031
2000-01-19,15033.0,1.625,1.875,1.469,1.375
2000-01-20,35200.0,1.375,1.813,1.813,1.25
2000-01-21,17600.0,2.0,2.0,1.875,1.625
2000-01-24,20900.0,2.063,2.438,1.719,1.719
2000-01-25,61967.0,2.656,3.0,2.438,2.156
2000-01-26,49867.0,2.25,2.625,2.219,2.219
2000-01-27,1833.0,2.344,2.875,2.875,2.313
2000-01-28,3667.0,2.625,2.625,2.578,2.578
2000-01-31,20533.0,2.25,2.688,2.688,2.25
2000-02-01,1467.0,2.5,2.5,2.0,2.0
2000-02-02,2567.0,2.5,2.5,2.188,2.0
2000-02-03,367.0,2.438,2.438,2.438,2.438
2000-02-04,733.0,2.125,2.125,2.125,2.125
2000-02-07,2567.0,2.0,2.438,2.438,2.0
2000-02-08,5500.0,2.313,2.313,1.875,1.75
2000-02-09,9533.0,1.625,1.875,1.875,1.625
2000-02-10,3667.0,2.0,2.0,2.0,2.0
2000-02-11,3667.0,2.125,2.188,2.188,2.125
2000-02-14,0.0,1.813,1.938,1.938,1.813
2000-02-15,7700.0,1.875,2.125,2.125,1.813
2000-02-16,3667.0,1.813,1.813,1.813,1.813
2000-02-17,38867.0,1.25,1.813,1.797,1.25
2000-02-18,45100.0,1.75,1.906,1.344,1.281
2000-02-22,61600.0,2.188,2.188,1.531,1.531
2000-02-23,13933.0,2.125,2.281,2.219,2.125
2000-02-24,11367.0,2.063,2.219,2.188,1.625
2000-02-25,3667.0,2.0,2.063,2.063,2.0
2000-02-28,0.0,2.25,2.25,2.25,2.25
2000-02-29,2933.0,2.25,2.25,2.25,2.0
2000-03-01,733.0,2.0,2.0,2.0,2.0
2000-03-02,1467.0,2.063,2.063,2.0,2.0
2000-03-03,159133.0,2.563,3.0,1.969,1.813
2000-03-06,17600.0,2.188,2.563,2.281,2.125
2000-03-07,7700.0,2.375,2.375,2.25,2.125
2000-03-08,12467.0,2.375,2.375,2.25,2.125
2000-03-09,2824433.0,8.2499,15.2499,3.25,3.1562
2000-03-10,686400.0,7.313,9.5,9.25,7.125
2000-03-13,305800.0,6.875,8.0,7.0,6.25
2000-03-14,128333.0,6.063,7.25,7.125,6.0
2000-03-15,145933.0,6.5,7.0,6.25,5.5
2000-03-16,39600.0,6.375,6.5,6.25,5.813
2000-03-17,133100.0,5.625,7.0,6.375,5.0
2000-03-20,59400.0,5.25,6.25,5.625,4.875
2000-03-21,278667.0,3.375,5.0,4.438,3.0
2000-03-22,93133.0,3.25,3.375,3.313,2.875
2000-03-23,58667.0,3.719,4.0,3.375,3.25
2000-03-24,93133.0,4.5,4.72,3.75,3.62
2000-03-27,57933.0,4.5,5.125,5.125,4.5
2000-03-28,69300.0,5.25,5.25,4.5,4.375
2000-03-29,34833.0,5.0,5.469,5.313,4.75
2000-03-30,30067.0,4.813,5.313,5.031,4.625
2000-03-31,8800.0,4.688,5.0,4.563,4.563
2000-04-03,8067.0,4.688,4.938,4.844,4.625
2000-04-04,67100.0,3.5,4.813,4.813,2.75
2000-04-05,23467.0,3.5,3.875,3.25,3.0
2000-04-06,13933.0,3.063,3.5,3.0,3.0
2000-04-07,17233.0,3.0,3.313,3.063,3.0
2000-04-10,18700.0,3.0,4.0,3.313,3.0
2000-04-11,13933.0,3.0,3.5,3.25,3.0
2000-04-12,15767.0,2.875,3.0,3.0,2.875
2000-04-13,16500.0,2.75,3.0,2.75,2.75
2000-04-14,26400.0,2.375,3.0,3.0,2.0
2000-04-17,44367.0,1.875,2.563,2.375,1.531
2000-04-18,12467.0,2.219,2.219,1.844,1.781
2000-04-19,3667.0,2.125,2.25,2.219,2.109
2000-04-20,367.0,2.0,2.0,2.0,2.0
2000-04-24,6967.0,2.125,2.281,2.281,2.031
2000-04-25,733.0,2.5,2.563,2.406,2.406
2000-04-26,2567.0,2.25,2.5,2.188,2.188
2000-04-27,8433.0,2.125,2.188,2.188,2.125
2000-04-28,2200.0,2.125,2.188,2.188,2.125
2000-05-01,9167.0,2.25,2.688,2.25,2.063
2000-05-02,13933.0,2.563,3.313,2.75,2.5
2000-05-03,1833.0,2.5,2.5,2.5,2.5
2000-05-04,15033.0,2.5,2.969,2.5,2.5
2000-05-05,2933.0,2.563,3.0,2.969,2.563
2000-05-08,11000.0,2.875,3.25,2.938,2.563
2000-05-09,4400.0,3.063,3.063,2.688,2.625
