date,5. volume,4. close,2. high,1. open,3. low
2001-12-13,4697800.0,17.2,17.7,14.27,14.27
2001-12-14,942267.0,16.7,17.29,17.21,16.45
2001-12-17,146400.0,16.98,17.1,16.7,16.6
2001-12-18,298800.0,17.26,17.37,16.9,16.7
2001-12-19,279400.0,20.71,21.3,17.25,17.2
2001-12-20,321267.0,19.85,22.8,20.4,19.75
2001-12-21,270467.0,19.9,20.1,20.09,19.85
2001-12-24,80667.0,19.95,20.25,19.94,19.61
2001-12-26,176267.0,20.32,20.6,19.9,19.82
2001-12-27,197667.0,20.8,20.89,20.5,20.28
2001-12-28,92400.0,21.5,21.8,20.65,20.65
2001-12-31,37600.0,21.95,23.1,21.88,21.27
2002-01-02,120667.0,22.0,22.67,22.67,21.84
2002-01-03,27400.0,22.0,22.05,21.89,21.89
2002-01-04,45800.0,21.75,22.04,22.04,21.39
2002-01-07,65800.0,20.57,21.69,21.45,20.4
2002-01-08,98667.0,21.2,21.2,20.61,20.55
2002-01-09,58067.0,20.72,21.2,21.2,20.72
2002-01-10,46000.0,20.56,20.85,20.85,19.84
2002-01-11,16200.0,21.2,21.7,20.26,20.25
2002-01-14,10800.0,20.96,21.4,21.4,20.78
2002-01-15,7867.0,21.0,21.05,21.0,20.8
2002-01-16,12467.0,20.05,21.06,21.0,20.05
2002-01-17,86400.0,19.55,20.52,20.02,18.2
2002-01-18,69467.0,19.5,19.69,19.32,19.12
2002-01-22,39200.0,20.2,20.2,19.3,19.2
2002-01-23,19267.0,21.71,21.71,19.86,19.86
2002-01-24,9000.0,21.55,21.84,21.59,21.0
2002-01-25,21067.0,21.65,21.65,21.55,21.15
2002-01-28,115400.0,20.32,21.45,21.45,19.75
2002-01-29,61867.0,20.5,21.0,20.24,20.24
2002-01-30,89000.0,20.12,20.51,20.51,20.11
2002-01-31,269600.0,18.5,20.36,20.06,18.1
2002-02-01,151467.0,19.4,20.0,19.2,19.0
2002-02-04,608800.0,18.8,19.6,19.4,18.55
2002-02-05,3800.0,19.1,19.12,18.81,18.81
2002-02-06,47600.0,20.1,20.17,19.1,19.1
2002-02-07,8200.0,19.21,20.1,19.95,19.21
2002-02-08,667.0,19.21,19.21,19.21,19.21
2002-02-11,3000.0,19.25,19.84,19.6,19.25
2002-02-12,4067.0,19.27,19.45,19.2,19.03
2002-02-13,69800.0,18.78,19.2,19.2,18.75
2002-02-14,11600.0,19.27,19.27,18.9,18.9
2002-02-15,80267.0,19.0,19.15,19.14,18.6
2002-02-19,2600.0,18.76,19.1,19.05,18.76
2002-02-20,30267.0,18.86,19.05,18.77,18.76
2002-02-21,46200.0,18.95,19.15,18.99,18.76
2002-02-22,47600.0,18.8,19.08,18.95,18.8
2002-02-25,172467.0,18.9,19.07,18.95,18.76
2002-02-26,18800.0,18.91,19.14,18.9,18.81
2002-02-27,110667.0,18.83,19.0,18.82,18.77
2002-02-28,119400.0,18.75,18.85,18.8,18.7
2002-03-01,96667.0,18.78,19.0,18.9,18.76
2002-03-04,55400.0,18.84,18.94,18.78,18.55
2002-03-05,25867.0,18.89,19.1,18.85,18.8
2002-03-06,22400.0,18.9,19.19,18.9,18.75
2002-03-07,6067.0,18.9,19.2,19.2,18.9
2002-03-08,13200.0,19.1,19.1,18.86,18.65
2002-03-11,14867.0,18.87,19.09,18.75,18.5
2002-03-12,57800.0,19.5,19.5,19.05,18.85
2002-03-13,60467.0,20.74,20.74,19.54,19.5
2002-03-14,124800.0,22.0,22.07,20.55,20.55
2002-03-15,72867.0,22.6,22.85,21.95,21.95
2002-03-18,82867.0,22.9,23.56,22.98,22.8
2002-03-19,33600.0,23.1,23.1,23.1,22.83
2002-03-20,19667.0,23.0,23.21,22.96,22.77
2002-03-21,81000.0,23.05,23.05,23.0,22.65
2002-03-22,35000.0,23.08,23.13,22.77,22.7
2002-03-25,5067.0,22.95,23.05,23.05,22.69
2002-03-26,11667.0,23.0,23.05,22.85,22.69
2002-03-27,20600.0,22.95,23.11,23.06,22.87
2002-03-28,139067.0,22.9,23.24,22.99,21.3
2002-04-01,27200.0,22.95,22.95,22.94,22.68
2002-04-02,9000.0,22.9,22.95,22.95,22.82
2002-04-03,48000.0,22.97,23.0,22.9,22.9
2002-04-04,5200.0,22.9,23.0,22.95,22.61
2002-04-05,4667.0,22.9,22.9,22.9,22.9
2002-04-08,18800.0,22.95,22.95,22.8,22.65
2002-04-09,87600.0,25.1,25.1,22.93,22.75
2002-04-10,59067.0,26.55,26.62,25.14,25.14
2002-04-11,15667.0,28.39,28.64,26.54,25.77
2002-04-12,28667.0,28.95,29.23,28.25,28.25
2002-04-15,7000.0,28.6,29.0,28.95,28.32
2002-04-16,16000.0,28.98,29.0,28.55,28.5
2002-04-17,33667.0,27.88,29.0,29.0,27.88
2002-04-18,66200.0,29.0,29.0,27.85,26.75
2002-04-19,43600.0,29.26,29.59,29.0,28.62
2002-04-22,41467.0,29.22,29.85,29.49,29.0
2002-04-23,31400.0,29.99,30.0,28.97,28.24
2002-04-24,24400.0,29.63,29.99,29.65,28.9
2002-04-25,14000.0,28.67,30.18,29.98,28.67
2002-04-26,57467.0,27.5,28.65,28.65,26.65
