date,5. volume,4. close,2. high,1. open,3. low
2015-08-13,530411.0,10.6,10.6,9.75,9.75
2015-08-14,116249.0,10.5,10.69,10.4,10.4
2015-08-17,35464.0,10.5,10.68,10.5,10.4101
2015-08-18,21621.0,10.5,10.51,10.45,10.38
2015-08-19,119251.0,10.4701,10.68,10.45,9.821
2015-08-20,32063.0,10.4,10.51,10.51,9.67
2015-08-21,22098.0,10.42,10.52,10.5,10.25
2015-08-24,31762.0,10.24,10.38,10.0,9.5
2015-08-25,55028.0,10.35,10.5,10.5,10.1916
2015-08-26,30740.0,10.45,10.95,10.2028,10.2028
2015-08-27,1675.0,10.2523,10.49,10.49,10.2523
2015-08-28,15340.0,10.395,10.395,10.325,9.941
2015-08-31,5440.0,9.95,10.2259,10.205,9.81
2015-09-01,11514.0,9.95,10.1899,9.844,9.7418
2015-09-02,2094.0,10.12,10.21,9.78,9.78
2015-09-03,6972.0,10.24,10.24,9.7401,9.73
2015-09-04,3649.0,10.11,10.2,9.8136,9.8136
2015-09-08,10628.0,10.01,10.3399,9.8,9.8
2015-09-09,4074.0,9.87,10.1287,10.08,9.8427
2015-09-10,11232.0,9.8088,9.94,9.8,9.8
2015-09-11,11688.0,9.98,10.0,9.95,9.81
2015-09-14,60229.0,10.36,10.4,9.86,9.814
2015-09-15,37637.0,10.0,10.24,9.9,9.85
2015-09-16,9356.0,9.84,10.06,9.99,9.7564
2015-09-17,42138.0,10.0,10.2,10.0,9.75
2015-09-18,39030.0,10.03,10.39,9.89,9.89
2015-09-21,13401.0,9.76,10.31,10.19,9.75
2015-09-22,10747.0,9.7501,9.9195,9.7926,9.75
2015-09-23,14246.0,9.81,10.3,9.78,9.75
2015-09-24,10830.0,9.812,10.3,9.7556,9.75
2015-09-25,9265.0,9.91,10.3,9.9,9.7501
2015-09-28,19788.0,10.11,10.3,9.95,9.77
2015-09-29,44381.0,9.83,10.19,9.9,9.72
2015-09-30,53592.0,9.75,9.96,9.96,9.75
2015-10-01,70804.0,9.66,9.8499,9.5035,9.03
2015-10-02,49907.0,9.27,9.65,9.45,8.51
2015-10-05,23604.0,9.95,9.97,9.25,9.25
2015-10-06,1946.0,9.9,9.95,9.95,9.5639
2015-10-07,28822.0,9.78,9.96,9.96,9.55
2015-10-08,6999.0,9.75,9.89,9.85,9.63
2015-10-09,9580.0,9.8,9.9246,9.86,9.7521
2015-10-12,39116.0,9.34,9.96,9.75,9.105
2015-10-13,49690.0,9.0,9.4,9.4,8.6179
2015-10-14,55108.0,8.97,9.02,9.0,8.85
2015-10-15,78957.0,9.0,9.18,8.98,8.7723
2015-10-16,54749.0,9.14,9.14,8.84,8.715
2015-10-19,25201.0,9.34,9.34,9.08,8.9101
2015-10-20,57045.0,9.4,9.47,9.27,9.2028
2015-10-21,9499.0,9.45,9.48,9.47,9.3001
2015-10-22,25252.0,9.7,10.0,9.49,9.4016
2015-10-23,52334.0,9.7,9.9,9.01,9.01
2015-10-26,30667.0,9.66,9.87,9.82,9.51
2015-10-27,114140.0,9.39,9.71,9.71,8.99
2015-10-28,23486.0,9.625,9.63,9.4,9.05
2015-10-29,10628.0,9.6,9.64,9.5001,9.3
2015-10-30,27070.0,9.56,9.62,9.4,9.25
2015-11-02,35073.0,9.56,9.63,9.63,9.2601
2015-11-03,23850.0,9.54,9.64,9.64,9.3201
2015-11-04,12770.0,9.35,9.7199,9.61,9.3206
2015-11-05,19527.0,9.1,9.53,9.53,9.0601
2015-11-06,11882.0,9.38,9.4,9.19,9.19
2015-11-09,18454.0,9.21,9.51,9.39,9.15
2015-11-10,20082.0,9.59,9.81,9.41,9.2321
2015-11-11,12143.0,9.35,9.71,9.44,9.1601
2015-11-12,18680.0,9.25,9.525,9.36,9.11
2015-11-13,9630.0,9.195,9.37,9.11,9.11
2015-11-16,14710.0,9.19,9.5799,9.5799,9.1202
2015-11-17,21753.0,9.245,9.46,9.2,8.4772
2015-11-18,36800.0,9.13,9.39,9.39,8.7563
2015-11-19,27499.0,9.14,9.29,9.0131,9.0131
2015-11-20,25096.0,9.1,9.26,9.02,9.01
2015-11-23,19963.0,9.1,9.3,9.1,9.1
2015-11-24,26566.0,9.275,9.275,9.11,9.0
2015-11-25,43299.0,9.78,9.92,9.21,9.1101
2015-11-27,12388.0,10.09,10.09,9.75,9.1601
2015-11-30,12226.0,9.79,9.89,9.82,9.34
2015-12-01,11198.0,9.68,9.775,9.74,9.5
2015-12-02,35121.0,9.43,9.785,9.58,9.28
2015-12-03,67811.0,9.42,9.61,9.36,9.2247
2015-12-04,64359.0,9.78,10.05,9.25,9.0911
2015-12-07,28390.0,9.94,10.05,9.71,9.4401
2015-12-08,24627.0,9.67,10.03,9.79,9.5101
2015-12-09,35619.0,9.57,10.03,9.55,9.45
2015-12-10,32505.0,9.83,9.845,9.55,9.36
