date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,86867.0,33.0,35.0,35.0,32.37
2000-01-04,119267.0,30.5,33.0,32.0,29.75
2000-01-05,116067.0,29.06,30.5,30.0,28.13
2000-01-06,37267.0,29.63,30.25,29.13,28.94
2000-01-07,111800.0,30.44,31.0,30.19,29.63
2000-01-10,97800.0,31.44,31.44,31.38,30.75
2000-01-11,61600.0,30.5,31.41,30.75,30.5
2000-01-12,63400.0,27.75,30.31,30.31,26.0
2000-01-13,74467.0,26.63,28.38,28.31,26.0
2000-01-14,47400.0,28.0,28.06,26.0,26.0
2000-01-18,89467.0,29.81,30.0,28.69,28.69
2000-01-19,457867.0,28.31,29.63,28.69,27.63
2000-01-20,81200.0,27.25,28.75,28.38,27.25
2000-01-21,129267.0,27.5,28.0,27.44,27.38
2000-01-24,198600.0,28.44,28.63,27.66,27.0
2000-01-25,149667.0,29.88,30.0,28.0,28.0
2000-01-26,410067.0,30.81,31.75,30.69,29.88
2000-01-27,300467.0,31.5,33.0,32.25,31.5
2000-01-28,124800.0,30.88,32.63,32.63,30.0
2000-01-31,132200.0,29.5,31.0,30.75,27.75
2000-02-01,99867.0,29.44,30.5,29.91,29.38
2000-02-02,26667.0,29.19,30.0,30.0,29.13
2000-02-03,60667.0,29.69,29.75,29.13,29.13
2000-02-04,144800.0,29.63,30.0,29.69,28.63
2000-02-07,55067.0,28.88,29.88,29.25,28.38
2000-02-08,37200.0,29.0,29.88,28.81,28.63
2000-02-09,65400.0,28.31,29.0,29.0,28.13
2000-02-10,55200.0,29.0,29.38,28.63,28.38
2000-02-11,71000.0,28.63,29.0,29.0,28.13
2000-02-14,66000.0,27.25,28.88,28.88,27.0
2000-02-15,20400.0,27.63,28.13,27.5,27.38
2000-02-16,25200.0,27.75,28.25,27.63,27.38
2000-02-17,12267.0,27.5,28.31,28.31,27.25
2000-02-18,92000.0,27.5,27.56,27.25,26.5
2000-02-22,68200.0,25.0,27.63,27.0,24.5
2000-02-23,87267.0,24.0,25.0,25.0,22.5
2000-02-24,27200.0,23.75,25.0,23.5,23.5
2000-02-25,50867.0,23.63,24.0,23.88,23.0
2000-02-28,18867.0,24.88,24.88,23.88,23.44
2000-02-29,46667.0,26.31,26.75,25.63,25.0
2000-03-01,137800.0,27.38,29.63,26.31,26.06
2000-03-02,25800.0,26.88,28.38,28.38,26.38
2000-03-03,42200.0,26.06,27.38,27.0,26.0
2000-03-06,38267.0,25.5,26.13,26.13,23.88
2000-03-07,29000.0,24.88,25.0,25.0,24.25
2000-03-08,43867.0,23.5,24.88,24.88,23.13
2000-03-09,45000.0,23.0,24.13,23.13,23.0
2000-03-10,56600.0,22.13,23.5,23.0,22.0
2000-03-13,45267.0,22.06,22.63,22.06,21.25
2000-03-14,112867.0,23.88,24.75,23.94,22.88
2000-03-15,77267.0,23.63,23.75,23.0,22.5
2000-03-16,146867.0,24.0,25.13,23.88,23.25
2000-03-17,66667.0,25.0,26.48,23.5,23.38
2000-03-20,97000.0,24.88,25.25,24.63,24.63
2000-03-21,77600.0,24.88,25.13,24.94,24.75
2000-03-22,253667.0,27.13,27.13,25.75,25.19
2000-03-23,102200.0,26.25,27.25,26.5,26.25
2000-03-24,79600.0,25.25,27.0,27.0,25.06
2000-03-27,99067.0,24.63,25.81,25.38,24.63
2000-03-28,215467.0,25.0,26.31,24.75,24.75
2000-03-29,116200.0,25.31,25.63,25.38,25.0
2000-03-30,149867.0,27.38,27.5,25.13,24.88
2000-03-31,180600.0,28.25,29.38,27.5,27.19
2000-04-03,145067.0,29.13,29.56,29.25,28.25
2000-04-04,77400.0,27.88,30.0,29.5,26.5
2000-04-05,149067.0,31.75,31.88,27.13,27.13
2000-04-06,250667.0,32.63,34.94,32.0,32.0
2000-04-07,58867.0,31.63,34.0,33.5,31.5
2000-04-10,94400.0,30.69,30.88,30.88,29.0
2000-04-11,78467.0,29.63,30.06,29.75,28.88
2000-04-12,156800.0,30.5,33.5,29.63,29.5
2000-04-13,102467.0,31.0,33.0,31.0,30.5
2000-04-14,93000.0,28.69,30.81,30.5,28.63
2000-04-17,106667.0,29.25,30.19,29.56,29.0
2000-04-18,206400.0,34.0,34.38,30.38,29.88
2000-04-19,527667.0,38.38,39.5,34.38,34.38
2000-04-20,779267.0,42.75,46.63,39.69,39.0
2000-04-24,205667.0,39.91,42.75,42.0,37.38
2000-04-25,305400.0,45.06,45.56,41.19,41.19
2000-04-26,138400.0,42.5,48.88,48.5,42.5
2000-04-27,91867.0,45.88,46.0,42.25,41.88
2000-04-28,108000.0,47.88,48.13,46.88,45.5
2000-05-01,324600.0,55.06,56.0,48.0,48.0
2000-05-02,178467.0,47.25,54.0,53.94,45.0
2000-05-03,232200.0,47.63,48.38,43.63,43.25
2000-05-04,84800.0,46.13,49.75,48.38,46.13
2000-05-05,204267.0,47.75,50.0,46.63,45.94
2000-05-08,216000.0,51.0,52.0,47.88,47.81
2000-05-09,191867.0,53.13,54.94,53.75,49.19
2000-05-10,151000.0,50.88,53.25,53.06,49.5
2000-05-11,138667.0,50.13,51.0,50.88,48.5
2000-05-12,60867.0,51.94,54.0,51.13,50.81
2000-05-15,104600.0,54.0,55.25,51.94,51.0
2000-05-16,119600.0,51.63,55.88,54.75,50.5
2000-05-17,93467.0,51.63,53.75,51.75,51.13
2000-05-18,166400.0,55.0,57.25,53.0,51.63
2000-05-19,113667.0,52.25,57.25,57.25,51.06
2000-05-22,78000.0,51.44,53.0,53.0,48.25
2000-05-23,61267.0,49.25,51.53,51.5,49.0
2000-05-24,86200.0,34.81,35.0,33.13,33.0
2000-05-25,106300.0,35.44,36.25,35.0,34.88
2000-05-26,90100.0,35.5,36.31,35.38,35.0
2000-05-30,228600.0,37.69,38.5,36.38,35.88
2000-05-31,260700.0,40.56,41.13,38.13,37.5
2000-06-01,198700.0,43.06,43.19,40.63,40.59
2000-06-02,198700.0,44.81,46.0,44.63,44.38
2000-06-05,206000.0,43.0,44.75,44.25,42.0
2000-06-06,175100.0,43.44,44.19,43.0,42.75
2000-06-07,209300.0,43.69,45.0,43.0,41.5
2000-06-08,102600.0,46.44,46.44,44.09,44.09
2000-06-09,158600.0,47.0,51.5,46.63,46.5
2000-06-12,186400.0,50.19,52.31,48.84,48.31
2000-06-13,170500.0,52.38,54.0,51.5,49.0
2000-06-14,296600.0,52.5,57.38,54.25,52.5
2000-06-15,412900.0,49.81,53.88,52.38,45.19
2000-06-16,90300.0,51.5,51.63,50.47,47.88
2000-06-19,109400.0,51.81,52.88,52.88,50.5
2000-06-20,174600.0,49.06,52.0,52.0,48.38
2000-06-21,101500.0,49.81,49.88,48.81,48.63
2000-06-22,220500.0,48.5,50.5,50.0,48.5
2000-06-23,82000.0,50.0,50.13,48.63,47.5
2000-06-26,77900.0,50.0,50.0,48.44,48.0
2000-06-27,159300.0,55.5,56.13,50.0,49.5
2000-06-28,87000.0,55.25,56.0,53.53,53.44
2000-06-29,71800.0,55.56,58.5,54.84,53.5
2000-06-30,76700.0,57.0,58.0,57.06,56.0
2000-07-03,53600.0,56.5,58.5,57.0,56.13
2000-07-05,64200.0,57.69,58.5,57.13,57.0
2000-07-06,132500.0,61.81,62.0,58.5,58.0
2000-07-07,299000.0,60.0,61.94,61.88,56.69
2000-07-10,113000.0,59.06,61.75,61.13,58.94
2000-07-11,157900.0,56.75,58.94,58.03,54.06
2000-07-12,160900.0,56.38,58.0,57.88,53.5
2000-07-13,165100.0,54.31,57.0,56.63,54.25
2000-07-14,349000.0,52.88,53.75,53.69,49.75
2000-07-17,240300.0,51.81,52.88,51.0,50.44
2000-07-18,452300.0,53.44,55.44,50.44,50.0
2000-07-19,339800.0,58.19,59.75,55.19,55.0
2000-07-20,299300.0,57.0,60.0,58.31,55.5
2000-07-21,146600.0,53.88,57.88,57.88,52.75
2000-07-24,287500.0,51.75,53.94,53.38,48.25
2000-07-25,231900.0,53.88,54.25,51.47,50.0
2000-07-26,131300.0,52.75,53.88,53.88,51.5
2000-07-27,72600.0,51.38,53.06,52.06,50.5
2000-07-28,148700.0,48.0,51.25,50.88,45.5
2000-07-31,227200.0,45.19,48.0,47.56,42.44
2000-08-01,254100.0,47.25,48.38,44.88,44.75
2000-08-02,73400.0,49.63,50.0,45.56,45.5
2000-08-03,136700.0,49.75,50.0,47.88,46.88
2000-08-04,124500.0,51.06,52.75,49.94,49.13
2000-08-07,335500.0,53.38,54.25,53.0,52.13
2000-08-08,76800.0,52.38,53.88,53.81,52.25
2000-08-09,218800.0,52.56,53.25,52.31,52.31
2000-08-10,115500.0,50.75,52.63,52.59,50.5
2000-08-11,270500.0,49.94,51.25,51.25,49.25
2000-08-14,172400.0,51.19,51.5,49.06,49.0
2000-08-15,112800.0,49.25,50.81,50.38,49.25
2000-08-16,63100.0,49.75,50.5,48.91,48.88
2000-08-17,71900.0,52.38,52.38,50.16,50.0
2000-08-18,44900.0,52.75,53.3,52.5,51.25
2000-08-21,47900.0,52.19,52.25,51.5,50.13
2000-08-22,91300.0,55.0,55.38,51.94,51.25
2000-08-23,50200.0,54.75,55.25,54.25,52.06
2000-08-24,24800.0,54.44,54.75,54.0,53.63
2000-08-25,25200.0,52.5,54.5,53.88,51.88
2000-08-28,87300.0,51.94,53.19,51.19,50.5
2000-08-29,190900.0,57.56,57.56,50.81,50.81
