date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,468467.0,52.16,53.0,53.0,50.81
2000-01-04,583467.0,50.13,52.69,52.0,49.25
2000-01-05,691800.0,51.0,51.63,50.38,49.75
2000-01-06,811200.0,50.97,52.0,50.06,49.88
2000-01-07,686600.0,53.53,54.13,50.94,50.5
2000-01-10,623200.0,54.75,55.5,54.0,53.63
2000-01-11,826667.0,51.56,54.19,54.19,51.19
2000-01-12,1036200.0,50.13,51.38,51.25,50.13
2000-01-13,635467.0,54.31,54.38,50.0,50.0
2000-01-14,682400.0,54.56,55.63,54.5,53.5
2000-01-18,620667.0,55.31,55.63,53.81,53.38
2000-01-19,461067.0,52.0,55.5,55.5,51.56
2000-01-20,821600.0,51.25,52.63,52.44,51.0
2000-01-21,1024200.0,49.25,51.0,50.75,48.88
2000-01-24,711400.0,49.06,49.75,49.19,49.0
2000-01-25,1545600.0,47.25,48.69,48.69,44.95
2000-01-26,663400.0,47.69,48.63,47.25,47.06
2000-01-27,528800.0,47.56,48.75,47.75,47.0
2000-01-28,1373400.0,44.88,48.0,46.94,44.63
2000-01-31,946667.0,46.84,47.13,45.38,45.19
2000-02-01,504867.0,46.5,47.38,47.09,45.97
2000-02-02,827267.0,48.0,48.06,46.81,46.08
2000-02-03,670867.0,48.69,49.56,47.75,47.06
2000-02-04,538400.0,49.38,50.17,48.5,48.25
2000-02-07,794000.0,45.38,49.63,49.38,45.0
2000-02-08,1721467.0,43.63,46.75,46.63,41.0
2000-02-09,3019200.0,42.56,43.56,43.5,41.5
2000-02-10,2061600.0,40.25,42.13,42.13,39.75
2000-02-11,1881867.0,38.81,40.38,40.31,38.5
2000-02-14,1366867.0,39.84,40.75,39.19,38.25
2000-02-15,1154600.0,40.75,41.25,39.0,38.44
2000-02-16,582800.0,39.44,40.5,40.38,39.25
2000-02-17,599000.0,40.56,40.69,40.0,39.25
2000-02-18,1238200.0,37.38,41.06,40.56,37.0
2000-02-22,2185467.0,36.44,36.94,36.81,34.75
2000-02-23,1059667.0,36.38,37.5,36.38,35.75
2000-02-24,1052667.0,38.19,38.25,36.88,36.0
2000-02-25,982267.0,38.38,40.88,38.13,38.06
2000-02-28,899267.0,38.69,39.81,37.5,36.19
2000-02-29,667600.0,39.94,40.38,38.69,37.94
2000-03-01,727400.0,40.75,41.44,40.13,37.88
2000-03-02,561600.0,40.56,42.0,40.38,40.0
2000-03-03,747067.0,41.25,42.75,41.5,40.63
2000-03-06,660667.0,40.56,41.14,40.91,40.25
2000-03-07,876400.0,40.0,40.81,40.5,39.88
2000-03-08,824800.0,26.69,27.0,27.0,25.31
2000-03-09,1455300.0,27.25,27.5,26.56,26.25
2000-03-10,1278100.0,27.69,28.63,27.0,26.88
2000-03-13,1089100.0,26.88,27.75,26.75,25.63
2000-03-14,881200.0,26.38,28.13,26.88,26.31
2000-03-15,2065700.0,29.88,31.25,27.0,25.75
2000-03-16,4676400.0,36.25,37.88,29.56,29.5
2000-03-17,2144500.0,34.13,35.75,34.75,33.63
2000-03-20,1252900.0,32.06,33.5,33.5,31.0
2000-03-21,1323700.0,35.06,35.25,32.25,32.25
2000-03-22,1267200.0,34.88,35.25,35.0,33.88
2000-03-23,759400.0,35.06,35.69,34.31,33.75
2000-03-24,1317500.0,36.81,36.88,35.5,35.5
2000-03-27,660000.0,36.44,37.13,36.75,35.75
2000-03-28,661800.0,36.06,36.63,36.38,35.63
2000-03-29,923200.0,34.81,36.25,35.44,34.25
2000-03-30,1673900.0,36.06,36.81,34.63,34.56
2000-03-31,2071600.0,39.19,39.63,36.0,34.75
2000-04-03,978700.0,39.06,40.0,38.38,38.06
2000-04-04,2293100.0,40.38,41.25,39.0,38.25
2000-04-05,688600.0,38.33,40.88,39.69,37.81
2000-04-06,726300.0,37.63,38.44,38.31,36.94
2000-04-07,566500.0,38.94,38.94,37.38,36.94
2000-04-10,702300.0,37.13,39.31,39.31,37.13
2000-04-11,926000.0,37.75,38.94,37.0,36.5
2000-04-12,1144100.0,37.88,38.44,37.25,37.0
2000-04-13,1132700.0,38.25,38.44,38.0,36.25
2000-04-14,1464800.0,33.75,38.13,37.81,33.44
2000-04-17,1627300.0,39.88,40.0,33.0,33.0
2000-04-18,1572400.0,37.63,39.38,39.0,37.44
2000-04-19,872800.0,36.25,37.44,37.38,35.5
2000-04-20,896500.0,37.88,38.19,36.31,36.31
2000-04-24,894300.0,38.88,39.31,37.25,37.0
2000-04-25,1509400.0,42.13,42.63,38.63,38.63
2000-04-26,1168600.0,37.63,42.06,42.06,37.0
2000-04-27,1050400.0,40.0,41.0,37.06,36.75
2000-04-28,845700.0,39.63,39.88,39.56,37.5
2000-05-01,610700.0,39.75,40.13,39.63,38.38
2000-05-02,834400.0,37.44,39.75,39.09,37.25
2000-05-03,749700.0,37.06,37.5,37.25,35.56
2000-05-04,757700.0,38.13,38.25,37.5,36.75
2000-05-05,630400.0,39.44,40.0,38.06,37.5
2000-05-08,798300.0,38.75,40.44,38.88,37.44
2000-05-09,614700.0,39.75,40.44,39.25,37.5
2000-05-10,800100.0,39.31,41.3,39.19,39.0
2000-05-11,866300.0,39.69,40.06,39.5,38.44
2000-05-12,533700.0,40.06,40.19,39.69,39.06
2000-05-15,713500.0,41.13,41.75,39.63,39.63
2000-05-16,1410700.0,44.88,44.88,41.5,41.25
2000-05-17,663200.0,42.13,44.13,43.94,41.94
2000-05-18,412700.0,40.25,43.0,42.25,40.13
2000-05-19,591600.0,40.44,41.88,39.19,39.19
2000-05-22,657000.0,41.31,41.94,40.5,39.19
2000-05-23,534400.0,39.31,43.0,41.75,39.25
2000-05-24,1259100.0,42.63,44.25,39.38,38.75
2000-05-25,723200.0,40.75,43.38,42.13,40.38
2000-05-26,642600.0,42.0,42.75,41.63,39.81
2000-05-30,1078700.0,45.19,45.19,42.25,42.19
2000-05-31,1350600.0,44.0,47.38,43.69,43.63
2000-06-01,896500.0,46.88,47.25,44.13,43.63
2000-06-02,1920800.0,48.13,48.5,47.31,47.25
2000-06-05,957900.0,46.81,48.88,48.13,45.06
2000-06-06,622800.0,45.38,46.69,46.5,45.13
2000-06-07,794800.0,44.81,45.63,45.44,43.75
2000-06-08,1052800.0,41.0,44.94,44.78,40.81
