date,5. volume,4. close,2. high,1. open,3. low
2000-01-03,159800.0,14.06,14.81,14.69,14.06
2000-01-04,39700.0,14.0,14.56,14.12,14.0
2000-01-05,20400.0,14.06,14.12,14.0,13.81
2000-01-06,13000.0,13.88,13.94,13.94,13.62
2000-01-07,117800.0,14.88,15.19,13.94,13.88
2000-01-10,28100.0,15.06,15.06,14.94,14.56
2000-01-11,79900.0,15.69,15.94,15.19,15.06
2000-01-12,18900.0,15.25,15.56,15.56,15.25
2000-01-13,49100.0,14.88,15.12,15.12,14.75
2000-01-14,28500.0,14.94,15.38,15.0,14.88
2000-01-18,44400.0,14.5,14.75,14.56,14.31
2000-01-19,42400.0,14.62,14.88,14.38,14.38
2000-01-20,34100.0,14.88,14.94,14.56,14.56
2000-01-21,337500.0,20.0,20.0,15.06,15.06
2000-01-24,197100.0,18.5,19.56,19.56,16.81
2000-01-25,83400.0,17.81,18.25,18.25,17.62
2000-01-26,56000.0,17.88,18.44,17.56,17.56
2000-01-27,44900.0,17.75,18.06,18.0,17.44
2000-01-28,19200.0,17.06,17.88,17.88,16.94
2000-01-31,14400.0,16.62,17.12,17.12,16.56
2000-02-01,29600.0,16.25,16.69,16.69,16.19
2000-02-02,42900.0,16.25,16.75,16.19,16.12
2000-02-03,25800.0,16.25,16.88,16.38,16.19
2000-02-04,26000.0,16.19,16.5,16.38,16.19
2000-02-07,72500.0,16.0,16.38,16.31,15.94
2000-02-08,127200.0,15.31,16.0,16.0,15.25
2000-02-09,57000.0,15.12,15.38,15.19,14.81
2000-02-10,180000.0,15.25,16.0,15.25,14.94
2000-02-11,126700.0,14.25,15.25,15.25,14.0
2000-02-14,103600.0,15.75,15.81,14.0,14.0
2000-02-15,93700.0,15.31,16.0,16.0,14.88
2000-02-16,28500.0,14.81,15.31,15.31,14.75
2000-02-17,100900.0,15.38,15.69,14.94,14.69
2000-02-18,21900.0,14.69,15.38,15.38,14.38
2000-02-22,44600.0,14.38,14.44,14.44,13.69
2000-02-23,58400.0,14.19,14.38,14.38,13.62
2000-02-24,48500.0,13.75,14.06,14.06,13.38
2000-02-25,125500.0,12.81,13.69,13.5,12.75
2000-02-28,43300.0,12.81,13.19,13.0,12.69
2000-02-29,139800.0,12.81,13.12,12.81,12.69
2000-03-01,45500.0,12.62,12.81,12.81,12.56
2000-03-02,80600.0,12.56,12.75,12.75,12.56
2000-03-03,124400.0,12.75,13.12,12.69,12.56
2000-03-06,86600.0,13.31,13.88,12.75,12.75
2000-03-07,27500.0,13.44,13.44,13.25,13.12
2000-03-08,112400.0,13.69,14.0,13.44,13.31
2000-03-09,25700.0,13.81,13.88,13.56,13.31
2000-03-10,69700.0,13.25,13.81,13.81,13.0
2000-03-13,61600.0,12.62,13.25,13.25,12.56
2000-03-14,80200.0,13.06,13.06,12.75,12.69
2000-03-15,63900.0,12.69,13.0,13.0,12.69
2000-03-16,91900.0,12.75,13.0,12.75,12.69
2000-03-17,67000.0,12.62,12.88,12.5,12.38
2000-03-20,148300.0,12.0,12.5,12.25,11.88
2000-03-21,56700.0,12.5,12.62,12.06,11.94
2000-03-22,37600.0,12.44,12.75,12.62,12.44
2000-03-23,44200.0,12.5,12.62,12.5,12.38
2000-03-24,40100.0,12.62,12.62,12.38,12.38
2000-03-27,23900.0,12.19,12.75,12.62,12.0
2000-03-28,24600.0,11.94,12.38,12.12,11.94
2000-03-29,42000.0,11.69,12.31,12.0,11.62
2000-03-30,75100.0,12.19,12.88,11.81,11.81
2000-03-31,184000.0,11.0,11.81,11.81,10.0
2000-04-03,77200.0,10.56,11.0,11.0,10.31
2000-04-04,145400.0,9.38,10.56,10.56,9.19
2000-04-05,25300.0,9.81,10.0,9.5,9.5
2000-04-06,121000.0,9.44,10.0,9.94,9.31
2000-04-07,35600.0,9.56,9.62,9.56,9.38
2000-04-10,49300.0,9.19,9.44,9.31,9.12
2000-04-11,81100.0,9.0,9.31,9.25,8.81
2000-04-12,53400.0,8.81,9.25,9.0,8.81
2000-04-13,38100.0,8.5,9.0,8.94,8.5
2000-04-14,111900.0,8.19,8.75,8.5,8.0
2000-04-17,87400.0,7.81,8.25,8.19,7.62
2000-04-18,78000.0,7.75,7.88,7.88,7.5
2000-04-19,86800.0,7.94,8.0,7.75,7.56
2000-04-20,27200.0,7.88,8.0,7.94,7.81
2000-04-24,30900.0,7.56,7.94,7.94,7.56
2000-04-25,31200.0,7.62,7.69,7.62,7.5
2000-04-26,62200.0,7.75,7.75,7.69,7.62
2000-04-27,47200.0,8.0,8.0,7.62,7.5
2000-04-28,43100.0,8.5,8.62,8.38,8.31
2000-05-01,92900.0,9.38,9.88,9.25,9.12
2000-05-02,98800.0,9.44,9.56,9.25,9.06
2000-05-03,94300.0,9.12,9.44,9.38,9.06
2000-05-04,56000.0,9.38,9.62,9.62,9.25
2000-05-05,33700.0,8.56,9.44,9.44,8.5
2000-05-08,18300.0,8.5,8.81,8.5,8.38
2000-05-09,56000.0,8.81,8.81,8.75,8.31
2000-05-10,29100.0,8.25,8.81,8.81,8.0
2000-05-11,22800.0,8.06,8.62,8.5,8.0
2000-05-12,36600.0,7.94,8.25,8.19,7.88
2000-05-15,70300.0,8.06,8.12,7.81,7.75
2000-05-16,32500.0,8.12,8.38,8.25,8.06
2000-05-17,63600.0,7.56,8.0,8.0,7.56
2000-05-18,47500.0,7.88,8.0,7.75,7.75
2000-05-19,34500.0,7.62,7.88,7.75,7.5
2000-05-22,28300.0,7.5,7.5,7.38,7.25
2000-05-23,7700.0,7.31,7.69,7.69,7.31
2000-05-24,25900.0,7.38,7.62,7.44,7.25
2000-05-25,22000.0,8.12,8.12,7.38,7.31
2000-05-26,49700.0,7.94,8.0,8.0,7.69
2000-05-30,26400.0,7.56,7.88,7.88,7.56
2000-05-31,21500.0,7.19,7.69,7.62,7.19
2000-06-01,84300.0,7.44,7.62,7.44,7.25
2000-06-02,102700.0,8.06,8.25,8.0,7.88
2000-06-05,51600.0,7.69,7.88,7.81,7.62
2000-06-06,40900.0,7.56,7.75,7.62,7.5
2000-06-07,24900.0,7.06,7.56,7.5,7.0
2000-06-08,43600.0,6.75,7.25,7.19,6.75
2000-06-09,87400.0,6.56,6.88,6.75,6.25
2000-06-12,87900.0,6.75,6.81,6.31,6.31
2000-06-13,74300.0,7.0,7.06,6.81,6.81
2000-06-14,47800.0,6.44,7.0,6.88,6.38
2000-06-15,51600.0,6.44,6.69,6.38,6.38
2000-06-16,97100.0,5.94,6.44,6.44,5.94
2000-06-19,31900.0,6.31,6.31,6.0,6.0
2000-06-20,49200.0,6.06,6.12,6.12,5.88
2000-06-21,111700.0,6.19,6.88,6.19,6.12
2000-06-22,162100.0,6.0,6.56,6.31,6.0
2000-06-23,87000.0,5.62,5.94,5.88,5.62
2000-06-26,48800.0,5.56,5.88,5.88,5.38
2000-06-27,88800.0,5.44,5.62,5.62,5.44
2000-06-28,122700.0,5.12,5.5,5.5,5.06
2000-06-29,115800.0,4.81,5.19,5.0,4.75
2000-06-30,301900.0,5.06,5.25,4.81,4.81
2000-07-03,33900.0,5.12,5.12,5.0,5.0
